Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/08,Big 12 Championships,125,L,FALL,2:49,Stevo Poulin,71929,24 - 6,Northern Colorado,Bridger Ricks,82572
2025,03/08,Big 12 Championships,125,L,SV-1,7 - 4,Tucker Owens,71711,4 - 6,Air Force,Bridger Ricks,82572
2025,02/14,Northern Colorado - Utah Valley Dual,125,W,TF5,18 - 3 6:53,Bryson Valdez,85101,1 - 5,Northern Colorado,Bridger Ricks,82572
2025,02/07,Air Force - Utah Valley Dual,125,W,DEC,4 - 2,Nico Tocci,73466,3 - 8,Air Force,Bridger Ricks,82572
2025,02/06,West Virginia - Utah Valley Dual,125,L,MD,11 - 2,Jett Strickenberger,74382,16 - 8,West Virginia,Bridger Ricks,82572
2025,02/01,Utah Valley - North Dakota State Dual,125,W,DEC,5 - 2,Tristan Daugherty,62877,10 - 16,North Dakota State,Bridger Ricks,82572
2025,01/31,Utah Valley - South Dakota State Dual,125,L,TB-1,4 - 3,Tanner Jordan,57664,24 - 10,South Dakota State,Bridger Ricks,82572
2025,01/24,Utah Valley - Wyoming Dual,125,W,DEC,4 - 3,Garrett Ricks,67111,6 - 9,Wyoming,Bridger Ricks,82572
2025,01/19,Cyclone Open,125,W,MD,12 - 0,Bowen Downey,84485,4 - 7,Northern Iowa,Bridger Ricks,82572
2025,01/19,Cyclone Open,125,W,TB-1,5 - 4,Koufax Christiensen,84614,1 - 5,Oklahoma,Bridger Ricks,82572
2025,01/19,Cyclone Open,125,L,DEC,7 - 6,Ethan Perryman,78477,13 - 10,Iowa State,Bridger Ricks,82572
2025,01/19,Cyclone Open,125,L,DEC,2 - 1,Kysen Terukina,67143,12 - 3,Iowa State,Bridger Ricks,82572
2025,01/17,Utah Valley - Missouri Dual,125,L,DEC,6 - 3,Gage Walker,84476,11 - 11,Missouri,Bridger Ricks,82572
2025,01/04,Cal Baptist - Utah Valley Dual,125,W,DEC,5 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Bridger Ricks,82572
2025,12/06,Cliff Keen Invitational,125,L,DEC,5 - 0,Eddie Ventresca,62357,22 - 5,Virginia Tech,Bridger Ricks,82572
2025,12/06,Cliff Keen Invitational,125,L,SV-1,2 - 1,Sulayman Bah,79305,18 - 16,Columbia,Bridger Ricks,82572
2025,11/23,Utah Valley - NC State Dual,125,L,DEC,5 - 2,Vincent Robinson,78062,24 - 3,NC State,Bridger Ricks,82572
2025,11/23,Utah Valley - Presbyterian Dual,125,W,TF5,17 - 2 5:34,Brayden Adams,78607,2 - 14,Presbyterian,Bridger Ricks,82572
2025,11/23,Utah Valley - Duke Dual,125,W,MD,14 - 3,Ethan Grimminger,79008,3 - 13,Duke,Bridger Ricks,82572
2025,11/15,Oklahoma State - Utah Valley Dual,125,L,DEC,6 - 3,Troy Spratley,73119,24 - 5,Oklahoma State,Bridger Ricks,82572
2025,11/08,Utah Valley - Nebraska Dual,125,L,SV-1,8 - 5,Caleb Smith,58559,24 - 7,Nebraska,Bridger Ricks,82572
2025,11/02,Menlo Invitational,125,W,DEC,8 - 4,Talen Eck,93479,1 - 2,Utah Valley,Bridger Ricks,82572
2025,11/02,Menlo Invitational,125,W,SV-1,4 - 1,Yusief Lillie,72995,0 - 2,Utah Valley,Bridger Ricks,82572
2025,11/02,Menlo Invitational,125,W,MD,8 - 0,Elijah Valencia,94097,Unlisted,Menlo,Bridger Ricks,82572
2025,11/02,Menlo Invitational,125,W,TF5,15 - 0 7:00,Zachary Wright,70221,Unlisted,San Francisco State,Bridger Ricks,82572
2025,11/01,CSU Bakersfield - Utah Valley Dual,125,L,DEC,7 - 6,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Bridger Ricks,82572
2024,12/17,Reno TOC,125,L,TB-2,3 - 2,Caleb Coyle,69462,3 - 3,Oregon State,Bridger Ricks,82572
2024,12/17,Reno TOC,125,W,INJ,2:50,Kainoa Medina,77387,0 - 3,Cal Baptist,Bridger Ricks,82572
2024,11/18,Younes Hospitality Open,125,W,MD,14 - 6,Jaxson Newcomb,87347,Unlisted,Newman,Bridger Ricks,82572
2024,11/18,Younes Hospitality Open,125,W,DEC,7 - 3,Dayson Torgerson,85173,Unlisted,Colorado Mesa,Bridger Ricks,82572
2024,11/18,Younes Hospitality Open,125,W,DEC,4 - 1,Adam Concepcion,76752,Unlisted,Adams State,Bridger Ricks,82572
2024,11/05,Rookie Open,125,W,DEC,8 - 4,Dayson Torgerson,85173,Unlisted,Colorado Mesa,Bridger Ricks,82572
2024,11/05,Rookie Open,125,W,MD,11 - 2,Nico Tocci,73466,2 - 4,Air Force,Bridger Ricks,82572
2024,11/05,Rookie Open,125,L,DEC,7 - 2,Nick Gonzalez,71708,4 - 3,Air Force,Bridger Ricks,82572
2024,11/05,Rookie Open,125,L,DEC,5 - 2,Jacob Carson,84799,2 - 4,Utah Valley,Bridger Ricks,82572
2023,12/18,Reno TOC,125,L,DEC,5 - 0,Zach Blankenship,78461,3 - 5,Oklahoma State,Bridger Ricks,82572
2023,12/18,Reno TOC,125,W,FALL,3:29,Devin Garcia,69952,0 - 9,Cal Baptist,Bridger Ricks,82572
2023,12/15,Western Wyoming College - Colorado State University - Pueblo Dual,125,W,DEC,5 - 3,Dominick Castro,73248,Unlisted,CSU-Pueblo,Bridger Ricks,82572
2023,12/02,Cliff Keen Invitational,125,L,DEC,6 - 2,Yianni Vines,72655,1 - 8,Columbia,Bridger Ricks,82572
2023,12/02,Cliff Keen Invitational,125,L,DEC,7 - 4,Caleb Smith,58559,25 - 7,Appalachian State,Bridger Ricks,82572
2023,11/19,Younes Hospitality Open,125,W,TF5,21 - 4 7:00,Devin Gomez,81218,Unlisted,Western Colorado,Bridger Ricks,82572
2023,11/19,Younes Hospitality Open,125,W,FALL,1:57,Ian Balana,81208,Unlisted,Western Colorado,Bridger Ricks,82572
2023,11/19,Younes Hospitality Open,125,W,DEC,2 - 1,Dominick Castro,73248,Unlisted,CSU-Pueblo,Bridger Ricks,82572
2025,12/22,Reno TOC,125,W,TF5,20 - 3 3:00,Tobey Forman,99343,Unlisted,Merchant Marine,Yusief Lillie,72995
2025,12/22,Reno TOC,125,W,MD,11 - 2,Vonn Fenn,86232,Unlisted,Southern Oregon,Yusief Lillie,72995
2025,12/22,Reno TOC,125,W,DEC,7 - 4,Landon Smith,82104,Unlisted,Embry-Riddle,Yusief Lillie,72995
2025,12/22,Reno TOC,125,L,DEC,7 - 3,Aden Reeves,56711,Unlisted,Grand View,Yusief Lillie,72995
2025,12/22,Reno TOC,125,W,FALL,2:29,Tanner Bartonico,94089,Unlisted,San Francisco State,Yusief Lillie,72995
2025,11/02,Menlo Invitational,125,L,SV-1,4 - 1,Bridger Ricks,82572,12 - 13,Utah Valley,Yusief Lillie,72995
2025,11/02,Menlo Invitational,125,L,DEC,4 - 0,Will VomBaur,57735,2 - 0,Utah Valley,Yusief Lillie,72995
2025,11/02,Menlo Invitational,125,W,FALL,2:59,Cristian Cruz,94085,Unlisted,Skyline College,Yusief Lillie,72995
2025,11/02,Menlo Invitational,125,W,DEC,15 - 9,Isaiah Miller,86473,Unlisted,Cal Poly Humboldt,Yusief Lillie,72995
2024,03/09,Big 12 Championships,125,L,DEC,4 - 0,Tanner Jordan,57664,26 - 12,South Dakota State,Yusief Lillie,72995
2024,03/09,Big 12 Championships,125,W,SV-1,4 - 1,Conrad Hendriksen,80186,12 - 12,Oklahoma,Yusief Lillie,72995
2024,03/09,Big 12 Championships,125,L,MD,9 - 1,Stevo Poulin,71929,18 - 6,Northern Colorado,Yusief Lillie,72995
2024,02/24,Cal Baptist - Utah Valley Dual,125,L,MD,10 - 1,Eli Griffin,68743,19 - 13,Cal Baptist,Yusief Lillie,72995
2024,02/10,Utah Valley - Northern Colorado Dual,125,L,FALL,1:50,Stevo Poulin,71929,18 - 6,Northern Colorado,Yusief Lillie,72995
2024,02/09,Utah Valley - Air Force Dual,125,L,DEC,9 - 2,Tucker Owens,71711,11 - 12,Air Force,Yusief Lillie,72995
2024,02/03,South Dakota State - Utah Valley Dual,125,L,DEC,5 - 0,Tanner Jordan,57664,26 - 12,South Dakota State,Yusief Lillie,72995
2024,02/02,North Dakota State - Utah Valley Dual,125,W,DEC,5 - 2,Ryan Henningson,67078,1 - 12,North Dakota State,Yusief Lillie,72995
2024,01/20,Wyoming - Utah Valley Dual,125,L,TF5,15 - 0 5:53,Jore Volk,72600,22 - 8,Wyoming,Yusief Lillie,72995
2024,01/13,Utah Valley - Northern Iowa Dual,125,L,DEC,1 - 0,Trever Anderson,76359,11 - 12,Northern Iowa,Yusief Lillie,72995
2024,01/12,Utah Valley - Iowa State Dual,125,L,MD,9 - 1,Kysen Terukina,67143,14 - 10,Iowa State,Yusief Lillie,72995
2024,11/19,Keystone Classic,125,L,MD,9 - 1,Diego Sotelo,71874,25 - 12,Harvard,Yusief Lillie,72995
2024,11/19,Keystone Classic,125,L,DEC,4 - 2,Desmond Pleasant,71583,19 - 16,Drexel,Yusief Lillie,72995
2024,11/17,Utah Valley - American Dual,125,L,DEC,7 - 1,Jack Maida,72679,15 - 5,American,Yusief Lillie,72995
2023,02/12,Rocky Mountain Collegiate Open,125,W,TF5,23 - 6 7:00,Roberto Estrada,81073,Unlisted,Western Colorado,Yusief Lillie,72995
2023,02/12,Rocky Mountain Collegiate Open,125,L,DEC,5 - 2,Adrian Limon,78764,1 - 2,Cal Baptist,Yusief Lillie,72995
2023,02/12,Rocky Mountain Collegiate Open,125,W,DEC,12 - 5,Kainoa Medina,77387,0 - 1,Cal Baptist,Yusief Lillie,72995
2023,02/12,Rocky Mountain Collegiate Open,125,W,DEC,4 - 2,Moses Santiago,72178,0 - 3,Northern Colorado,Yusief Lillie,72995
2023,01/07,Snow College Open,125,W,TF5,24 - 6 4:54,Isaiah Valle,83378,Unlisted,Ottawa,Yusief Lillie,72995
2023,01/07,Snow College Open,125,W,FALL,1:39,Cesare Riccio,82098,Unlisted,Ottawa,Yusief Lillie,72995
2023,12/18,Reno TOC,125,W,TF5,19 - 4 6:17,Saoul Prado,82570,Unlisted,Unattached,Yusief Lillie,72995
2023,12/18,Reno TOC,125,W,TB-2,3 - 2,Bobby Cuevas Jr,81137,Unlisted,Menlo,Yusief Lillie,72995
2023,12/18,Reno TOC,125,W,DEC,12 - 5,Suhas Chundi,69471,0 - 3,Stanford,Yusief Lillie,72995
2023,12/18,Reno TOC,125,L,DEC,3 - 0,Garrett Ricks,67111,13 - 15,Wyoming,Yusief Lillie,72995
2023,12/18,Reno TOC,125,L,MD,11 - 2,Jacob Moran,63550,16 - 15,Indiana,Yusief Lillie,72995
2023,11/20,Roadrunner Open,125,W,DEC,4 - 2,Naythan Galbiso,73934,Unlisted,New Mexico Highlands,Yusief Lillie,72995
2023,11/20,Roadrunner Open,125,W,DEC,3 - 2,Caleb Coyle,69462,1 - 5,Oregon State,Yusief Lillie,72995
2023,11/20,Roadrunner Open,125,L,DEC,4 - 2,Nic Aguilar,51104,Unlisted,Beaver Dam RTC,Yusief Lillie,72995
2023,11/20,Roadrunner Open,125,L,FALL,6:07,Dean Peterson,72936,22 - 11,Rutgers,Yusief Lillie,72995
2023,11/12,Cowboy Open,125,W,FALL,2:34,Cole Huber,81220,Unlisted,Northeastern Junior College,Yusief Lillie,72995
2023,11/12,Cowboy Open,125,L,DEC,3 - 0,Garrett Ricks,67111,13 - 15,Wyoming,Yusief Lillie,72995
2023,11/12,Cowboy Open,125,W,MFOR,0 - 0,Yusef Nelson,64900,Unlisted,Chadron State,Yusief Lillie,72995
2023,11/12,Cowboy Open,125,L,DEC,4 - 3,Yusef Nelson,64900,Unlisted,Chadron State,Yusief Lillie,72995
2023,11/12,Cowboy Open,125,W,DEC,5 - 3,Moses Santiago,72178,0 - 3,Northern Colorado,Yusief Lillie,72995
2022,02/13,Rocky Mountain Open,125,W,DEC,3 - 1,Noah Kasprowicz,85958,Unlisted,Western Colorado,Yusief Lillie,72995
2022,02/13,Rocky Mountain Open,125,W,DEC,5 - 2,Eric Griego,73249,Unlisted,CSU-Pueblo,Yusief Lillie,72995
2022,02/13,Rocky Mountain Open,125,L,DEC,4 - 3,Dominick Castro,73248,Unlisted,CSU-Pueblo,Yusief Lillie,72995
2022,02/13,Rocky Mountain Open,125,W,DEC,5 - 3,Yusef Nelson,64900,Unlisted,Chadron State,Yusief Lillie,72995
2022,02/13,Rocky Mountain Open,125,L,DEC,4 - 2,Cian Apple,59921,Unlisted,Colorado Mesa,Yusief Lillie,72995
