Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,W,DEC,11 - 4,Sheldon Seymour,62339,24 - 6,Lehigh,Eddie Ventresca,62357
2025,03/20,NCAA Championships,125,L,SV-1,4 - 1,Luke Lilledahl,80223,26 - 3,Penn State,Eddie Ventresca,62357
2025,03/20,NCAA Championships,125,L,TB-1,6 - 4,Troy Spratley,73119,24 - 5,Oklahoma State,Eddie Ventresca,62357
2025,03/20,NCAA Championships,125,W,SV-1,4 - 1,Jett Strickenberger,74382,16 - 8,West Virginia,Eddie Ventresca,62357
2025,03/20,NCAA Championships,125,W,DEC,6 - 3,Spencer Moore,68720,18 - 9,North Carolina,Eddie Ventresca,62357
2025,03/20,NCAA Championships,125,W,DEC,5 - 1,Gylon Sims,84440,19 - 9,The Citadel,Eddie Ventresca,62357
2025,03/09,ACC Championships,125,W,SV-1,4 - 1,Vincent Robinson,78062,24 - 3,NC State,Eddie Ventresca,62357
2025,03/09,ACC Championships,125,W,MD,19 - 5,Nick Babin,65929,10 - 11,Pittsburgh,Eddie Ventresca,62357
2025,02/21,NC State - Virginia Tech Dual,125,W,DEC,4 - 1,Vincent Robinson,78062,24 - 3,NC State,Eddie Ventresca,62357
2025,02/14,Pittsburgh - Virginia Tech Dual,125,W,MD,15 - 1,Nick Babin,65929,10 - 11,Pittsburgh,Eddie Ventresca,62357
2025,01/31,Virginia - Virginia Tech Dual,125,W,MD,8 - 0,Keyveon Roller,73139,14 - 9,Virginia,Eddie Ventresca,62357
2025,01/19,Virginia Tech - Appalachian State Dual,125,W,FALL,2:27,Bryson Terrell,79650,11 - 13,Appalachian State,Eddie Ventresca,62357
2025,01/10,North Carolina - Virginia Tech Dual,125,L,SV-1,4 - 1,Spencer Moore,68720,18 - 9,North Carolina,Eddie Ventresca,62357
2025,12/19,Virginia Tech - Oklahoma State Dual,125,L,MD,10 - 1,Troy Spratley,73119,24 - 5,Oklahoma State,Eddie Ventresca,62357
2025,12/06,Cliff Keen Invitational,125,W,DEC,5 - 0,Bridger Ricks,82572,12 - 13,Utah Valley,Eddie Ventresca,62357
2025,12/06,Cliff Keen Invitational,125,W,DEC,9 - 5,Marcello Milani,78106,16 - 14,Cornell,Eddie Ventresca,62357
2025,12/06,Cliff Keen Invitational,125,W,TB-1,3 - 2,Caleb Smith,58559,24 - 7,Nebraska,Eddie Ventresca,62357
2025,12/06,Cliff Keen Invitational,125,W,DEC,8 - 5,Tanner Jordan,57664,24 - 10,South Dakota State,Eddie Ventresca,62357
2025,12/06,Cliff Keen Invitational,125,L,DEC,7 - 4,Matt Ramos,57134,31 - 3,Purdue,Eddie Ventresca,62357
2025,11/22,Rutgers - Virginia Tech Dual,125,W,MD,13 - 0,Ayden Smith,92279,10 - 4,Rutgers,Eddie Ventresca,62357
