Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,MD,11 - 2,Tanner Jordan,57664,24 - 10,South Dakota State,Keyveon Roller,73139
2025,03/20,NCAA Championships,125,L,TF5,15 - 0 4:18,Troy Spratley,73119,24 - 5,Oklahoma State,Keyveon Roller,73139
2025,03/09,ACC Championships,125,W,DEC,8 - 5,Spencer Moore,68720,18 - 9,North Carolina,Keyveon Roller,73139
2025,03/09,ACC Championships,125,W,DEC,7 - 5,Nick Babin,65929,10 - 11,Pittsburgh,Keyveon Roller,73139
2025,03/09,ACC Championships,125,L,MD,10 - 2,Nick Babin,65929,10 - 11,Pittsburgh,Keyveon Roller,73139
2025,02/21,Pittsburgh - Virginia Dual,125,L,DEC,5 - 3,Nick Babin,65929,10 - 11,Pittsburgh,Keyveon Roller,73139
2025,02/16,American - Virginia Dual,125,W,DEC,12 - 10,JJ Peace,82775,15 - 6,American,Keyveon Roller,73139
2025,02/14,Virginia - North Carolina Dual,125,L,DEC,5 - 0,Spencer Moore,68720,18 - 9,North Carolina,Keyveon Roller,73139
2025,02/07,Duke - Virginia Dual,125,W,TF5,19 - 4 4:26,Ethan Grimminger,79008,3 - 13,Duke,Keyveon Roller,73139
2025,01/31,Virginia - Virginia Tech Dual,125,L,MD,8 - 0,Eddie Ventresca,62357,22 - 5,Virginia Tech,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,W,MD,11 - 3,Gylon Sims,84440,19 - 9,The Citadel,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,L,MFOR,0 - 0,Kurt McHenry,56182,7 - 4,Penn State,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,W,DEC,8 - 7,Beric Jordan,84763,12 - 3,Oklahoma,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,L,CMFF,0 - 0,Antonio Lorenzo,57329,18 - 11,Oklahoma,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,L,MD,9 - 0,Anthony Molton,57207,18 - 8,Campbell,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,W,MD,17 - 3,Ostin Blanchard,84266,3 - 7,Bellarmine,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,W,TF5,18 - 0 5:38,Coen Bainey,78808,13 - 13,American,Keyveon Roller,73139
2025,01/04,Southern Scuffle,125,W,TF5,17 - 2 5:34,Isaac Sheehan,84766,0 - 6,Morgan State,Keyveon Roller,73139
2025,12/07,Virginia - VMI Dual,125,W,MD,13 - 3,Waylon Rogers,93673,4 - 15,VMI,Keyveon Roller,73139
