Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,SoCon Championships,125,W,DEC,2 - 1,Brayden Adams,78607,2 - 14,Presbyterian,Waylon Rogers,93673
2025,03/07,SoCon Championships,125,L,FALL,4:04,Anthony Molton,57207,18 - 8,Campbell,Waylon Rogers,93673
2025,03/07,SoCon Championships,125,L,FALL,4:47,Bryson Terrell,79650,11 - 13,Appalachian State,Waylon Rogers,93673
2025,02/23,VMI - Sacred Heart Dual,125,W,TF5,16 - 1 3:54,Michael Baker,93968,0 - 8,Sacred Heart,Waylon Rogers,93673
2025,02/20,Presbyterian - VMI Dual,125,L,DEC,4 - 1,Brayden Adams,78607,2 - 14,Presbyterian,Waylon Rogers,93673
2025,02/16,The Citadel - VMI Dual,125,L,TF5,19 - 4 6:34,Gylon Sims,84440,19 - 9,The Citadel,Waylon Rogers,93673
2025,02/14,VMI - Davidson Dual,125,L,DEC,4 - 2,Enis Ljikovic,84455,3 - 16,Davidson,Waylon Rogers,93673
2025,02/09,Campbell - VMI Dual,125,L,FALL,2:03,Cooper Shore,84285,18 - 3,Campbell,Waylon Rogers,93673
2025,02/02,VMI - Bellarmine Dual,125,L,DEC,11 - 9,Jack Parker,71291,15 - 11,Bellarmine,Waylon Rogers,93673
2025,01/25,VMI - Chattanooga Dual,125,L,TF5,15 - 0 4:32,Ty Tice,84391,7 - 19,Chattanooga,Waylon Rogers,93673
2025,01/19,Purple Raider Open,125,L,SV-1,4 - 1,Cody Tanner,93674,5 - 12,VMI,Waylon Rogers,93673
2025,01/19,Purple Raider Open,125,W,FALL,4:27,Austin Bernash,99453,Unlisted,Unattached,Waylon Rogers,93673
2025,01/19,Purple Raider Open,125,L,MD,19 - 6,JB Dragovich,78828,14 - 13,George Mason,Waylon Rogers,93673
2025,12/07,Virginia - VMI Dual,125,L,MD,13 - 3,Keyveon Roller,73139,14 - 9,Virginia,Waylon Rogers,93673
2025,12/07,Edinboro - VMI Dual,125,L,TF5,19 - 1 7:00,Chris Vargo,85069,19 - 13,Edinboro,Waylon Rogers,93673
2025,11/17,Morgan State - VMI Dual,125,L,DEC,9 - 4,Julian Dawson,84955,4 - 16,Morgan State,Waylon Rogers,93673
2025,11/02,Southeast Open,125,W,FALL,2:29,Christian Price,93940,0 - 2,Gardner-Webb,Waylon Rogers,93673
2025,11/02,Southeast Open,125,W,DEC,11 - 6,Ty Porter,84936,0 - 10,Gardner-Webb,Waylon Rogers,93673
2025,11/02,Southeast Open,125,L,DEC,7 - 1,Elijah Lowe,93497,11 - 8,Chattanooga,Waylon Rogers,93673
2025,11/02,Southeast Open,125,L,TF5,17 - 0 6:23,Bentley Ellison,84471,2 - 2,Campbell,Waylon Rogers,93673
2024,03/09,SoCon Championships,125,W,TF5,17 - 0 5:35,Enis Ljikovic,84455,0 - 14,Davidson,Tony Burke,78464
2024,03/09,SoCon Championships,125,L,FALL,3:49,Brayden Palmer,59826,17 - 4,Chattanooga,Tony Burke,78464
2024,03/09,SoCon Championships,125,L,TF5,21 - 6 2:31,Anthony Molton,57207,21 - 5,Campbell,Tony Burke,78464
2024,02/24,Campbell - VMI Dual,125,L,TF5,21 - 5 4:48,Anthony Molton,57207,21 - 5,Campbell,Tony Burke,78464
2024,02/18,VMI - Gardner-Webb Dual,125,L,MD,9 - 0,Drew West,50041,23 - 9,Gardner-Webb,Tony Burke,78464
2024,02/16,Davidson - VMI Dual,125,W,MD,9 - 0,Enis Ljikovic,84455,0 - 14,Davidson,Tony Burke,78464
2024,02/09,Bellarmine - VMI Dual,125,L,DEC,3 - 2,Damion Ryan,78489,8 - 10,Bellarmine,Tony Burke,78464
2024,02/09,Long Island University  - VMI Dual,125,L,DEC,5 - 1,Robbie Sagaris,73406,14 - 14,LIU,Tony Burke,78464
