Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Wildcat Open,125,W,FALL,0:34,Marcus Tyson,93730,2 - 4,NC State,Louie Gill,79342
2025,02/23,Wildcat Open,125,W,DEC,9 - 2,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Louie Gill,79342
2025,02/23,Wildcat Open,125,W,MD,8 - 0,Cam Stinson,84378,12 - 7,North Carolina,Louie Gill,79342
2025,02/23,Wildcat Open,125,W,TF5,17 - 2 1:30,Enis Ljikovic,84455,3 - 16,Davidson,Louie Gill,79342
2025,01/25,Appalachian Open,125,W,DEC,6 - 5,Cam Stinson,84378,12 - 7,North Carolina,Louie Gill,79342
2025,01/25,Appalachian Open,125,W,TF5,16 - 1 1:59,Easton Cooper,93008,2 - 8,Chattanooga,Louie Gill,79342
2025,01/25,Appalachian Open,125,W,DEC,8 - 1,Colby McBride,79082,10 - 6,Appalachian State,Louie Gill,79342
2025,01/10,Duke - NC State Dual,125,W,TF5,18 - 1 7:00,Ethan Grimminger,79008,3 - 13,Duke,Louie Gill,79342
2025,12/22,NC State - Cornell Dual,125,W,SV-1,5 - 2,Marcello Milani,78106,16 - 14,Cornell,Louie Gill,79342
2025,11/10,Journeymen Classic,125,L,DEC,6 - 5,Marcello Milani,78106,16 - 14,Cornell,Louie Gill,79342
2025,11/10,Journeymen Classic,125,W,MD,17 - 4,Luke Sirianni,84262,0 - 6,Army West Point,Louie Gill,79342
2025,11/10,Journeymen Classic,125,W,MD,11 - 0,Damian Moreno,84698,2 - 3,Arizona State,Louie Gill,79342
2025,11/03,Battle at The Citadel,125,L,MD,10 - 2,Vincent Robinson,78062,24 - 3,NC State,Louie Gill,79342
2025,11/03,Battle at The Citadel,125,W,TF5,17 - 2 2:05,Genaro De La Garza,84461,1 - 6,The Citadel,Louie Gill,79342
2025,11/03,Battle at The Citadel,125,W,MD,14 - 4,Noah Luna,79081,5 - 10,Appalachian State,Louie Gill,79342
2025,11/03,Battle at The Citadel,125,W,DEC,5 - 0,Ben Monn,69708,17 - 13,George Mason,Louie Gill,79342
2025,11/03,Battle at The Citadel,125,L,DEC,3 - 2,Ben Monn,69708,17 - 13,George Mason,Louie Gill,79342
2025,02/01,Edinboro Open,125,W,DEC,2 - 1,Nick Corday,70986,7 - 8,Michigan State,Matthew Dolan,78805
2025,02/01,Edinboro Open,125,W,DEC,13 - 6,Tyeler Hagensen,90801,9 - 21,Kent State,Matthew Dolan,78805
2025,02/01,Edinboro Open,125,W,FALL,4:51,JB Dragovich,78828,14 - 13,George Mason,Matthew Dolan,78805
2025,02/01,Edinboro Open,125,L,DEC,8 - 1,JJ Peace,82775,15 - 6,American,Matthew Dolan,78805
2025,01/19,Purple Raider Open,125,W,DEC,5 - 3,Tyeler Hagensen,90801,9 - 21,Kent State,Matthew Dolan,78805
2025,01/19,Purple Raider Open,125,L,DEC,9 - 3,Colyn Limbert,85116,12 - 9,Pittsburgh,Matthew Dolan,78805
2025,01/19,Purple Raider Open,125,L,TF5,16 - 0 7:00,Ashton Jackson,81722,15 - 8,Purdue,Matthew Dolan,78805
2025,01/19,Purple Raider Open,125,W,FALL,6:12,Cody Tanner,93674,5 - 12,VMI,Matthew Dolan,78805
2025,01/19,Purple Raider Open,125,W,FALL,0:16,Fabian Rivera,88521,Unlisted,Salem,Matthew Dolan,78805
2025,12/20,Kent State Open,125,L,MD,15 - 1,Camren French,93788,9 - 5,Northern Illinois,Matthew Dolan,78805
2025,12/20,Kent State Open,125,W,FALL,4:22,Talan Parsons,93524,4 - 7,Northern Illinois,Matthew Dolan,78805
2025,12/20,Kent State Open,125,L,DEC,6 - 0,Travis Clawson,93659,12 - 12,Clarion,Matthew Dolan,78805
2025,12/07,Cleveland State Open,125,W,DEC,3 - 2,Drew Hensen,93545,6 - 8,Michigan State,Matthew Dolan,78805
2025,12/07,Cleveland State Open,125,L,SV-1,9 - 6,Colyn Limbert,85116,12 - 9,Pittsburgh,Matthew Dolan,78805
2025,12/07,Cleveland State Open,125,L,DEC,5 - 0,Tyler Chappell,79287,8 - 16,Pittsburgh,Matthew Dolan,78805
2025,11/02,Southeast Open,125,W,DEC,8 - 3,Julian Dawson,84955,4 - 16,Morgan State,Matthew Dolan,78805
2025,11/02,Southeast Open,125,W,FALL,2:06,Vincent Gioffre,93790,0 - 8,Franklin & Marshall,Matthew Dolan,78805
2025,11/02,Southeast Open,125,L,TF5,17 - 2 7:00,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Matthew Dolan,78805
2025,11/02,Southeast Open,125,L,TF5,17 - 2 3:00,Jack Parker,83327,16 - 16,Franklin & Marshall,Matthew Dolan,78805
2025,11/02,Southeast Open,125,W,DEC,9 - 3,Bentley Ellison,84471,2 - 2,Campbell,Matthew Dolan,78805
2024,02/03,Edinboro Open,125,L,FALL,3:40,Tyler Chappell,79287,11 - 7,Pittsburgh,Matthew Dolan,78805
2024,02/03,Edinboro Open,125,W,FALL,4:58,Zach Starr,79789,1 - 5,Kent State,Matthew Dolan,78805
2024,02/03,Edinboro Open,125,L,DEC,6 - 1,Grant Stahl,84287,5 - 5,Central Michigan,Matthew Dolan,78805
2024,02/03,Edinboro Open,125,W,FALL,1:36,Kenny Schmitz,84914,Unlisted,Gannon,Matthew Dolan,78805
2024,01/28,Mat-Town Open II,125,L,DEC,9 - 6,Tyler Chappell,79287,11 - 7,Pittsburgh,Matthew Dolan,78805
2024,01/28,Mat-Town Open II,125,L,MD,11 - 1,Brady Pruett,73565,9 - 8,Pennsylvania,Matthew Dolan,78805
2024,01/07,Bobby Kauffman Memorial Open,125,W,MD,18 - 9,Julian Dawson,84955,5 - 15,Morgan State,Matthew Dolan,78805
2024,01/07,Bobby Kauffman Memorial Open,125,L,TF5,20 - 5 2:39,Greg Diakomihalis,61116,13 - 3,Cornell,Matthew Dolan,78805
2024,01/07,Bobby Kauffman Memorial Open,125,W,MD,18 - 5,Eamonn Jimenez,78779,3 - 13,Edinboro,Matthew Dolan,78805
2024,01/07,Bobby Kauffman Memorial Open,125,W,SV-1,5 - 2,Caleb Edwards,72216,6 - 23,Edinboro,Matthew Dolan,78805
2025,03/20,NCAA Championships,125,L,SV-1,12 - 9,Caleb Smith,58559,24 - 7,Nebraska,Jett Strickenberger,74382
2025,03/20,NCAA Championships,125,L,SV-1,4 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Jett Strickenberger,74382
2025,03/20,NCAA Championships,125,W,MD,18 - 6,Nicolar Rivera,78438,24 - 7,Wisconsin,Jett Strickenberger,74382
2025,03/20,NCAA Championships,125,W,DEC,7 - 2,Tristan Daugherty,62877,10 - 16,North Dakota State,Jett Strickenberger,74382
2025,03/08,Big 12 Championships,125,W,SV-1,5 - 2,Troy Spratley,73119,24 - 5,Oklahoma State,Jett Strickenberger,74382
2025,03/08,Big 12 Championships,125,W,DEC,4 - 0,Antonio Lorenzo,57329,18 - 11,Oklahoma,Jett Strickenberger,74382
