Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,7 - 3,Luke Lilledahl,80223,26 - 3,Penn State,Nicolar Rivera,78438
2025,03/20,NCAA Championships,125,W,MD,11 - 3,Spencer Moore,68720,18 - 9,North Carolina,Nicolar Rivera,78438
2025,03/20,NCAA Championships,125,W,DEC,5 - 0,Antonio Lorenzo,57329,18 - 11,Oklahoma,Nicolar Rivera,78438
2025,03/20,NCAA Championships,125,L,MD,18 - 6,Jett Strickenberger,74382,16 - 8,West Virginia,Nicolar Rivera,78438
2025,03/20,NCAA Championships,125,W,DEC,4 - 2,Trever Anderson,76359,17 - 11,Northern Iowa,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,L,DEC,8 - 5,Matt Ramos,57134,31 - 3,Purdue,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,W,CMFF,0 - 0,Dean Peterson,72936,22 - 8,Rutgers,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,L,FALL,7:56,Matt Ramos,57134,31 - 3,Purdue,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,W,MD,14 - 4,Brendan McCrone,76350,22 - 11,Ohio State,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,W,TF5,17 - 0 6:45,Cooper Flynn,72148,16 - 8,Minnesota,Nicolar Rivera,78438
2025,03/08,Big Ten Championships,125,W,MD,12 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Nicolar Rivera,78438
2025,02/21,Northern Iowa - Wisconsin Dual,125,W,DEC,13 - 8,Trever Anderson,76359,17 - 11,Northern Iowa,Nicolar Rivera,78438
2025,02/14,Wisconsin - Northwestern Dual,125,W,MD,11 - 2,Dedrick Navarro,84344,18 - 13,Northwestern,Nicolar Rivera,78438
2025,02/09,Michigan State - Wisconsin Dual,125,W,MD,14 - 4,Caleb Weiand,79429,13 - 18,Michigan State,Nicolar Rivera,78438
2025,02/07,Purdue - Wisconsin Dual,125,L,MD,11 - 2,Matt Ramos,57134,31 - 3,Purdue,Nicolar Rivera,78438
2025,01/31,Wisconsin - Nebraska Dual,125,W,DEC,8 - 2,Kael Lauridsen,78611,5 - 4,Nebraska,Nicolar Rivera,78438
2025,01/24,Minnesota - Wisconsin Dual,125,L,DEC,7 - 3,Cooper Flynn,72148,16 - 8,Minnesota,Nicolar Rivera,78438
2025,01/19,Wisconsin - Rutgers Dual,125,W,DEC,4 - 1,Dean Peterson,72936,22 - 8,Rutgers,Nicolar Rivera,78438
2025,01/17,Wisconsin - Maryland Dual,125,W,TF5,17 - 2 3:59,Tyler Garvin,84590,5 - 21,Maryland,Nicolar Rivera,78438
2025,01/12,Iowa - Wisconsin Dual,125,L,DEC,8 - 2,Joey Cruz,73188,12 - 13,Iowa,Nicolar Rivera,78438
2025,12/21,North Dakota State - Wisconsin Dual,125,W,MD,17 - 7,Ezekiel Witt,93201,3 - 4,North Dakota State,Nicolar Rivera,78438
2025,12/21,Wisconsin - West Virginia Dual,125,W,MD,9 - 0,Jace Schafer,73377,10 - 6,West Virginia,Nicolar Rivera,78438
2025,12/21,Wisconsin - Campbell Dual,125,W,TF5,17 - 0 5:41,Anthony Molton,57207,18 - 8,Campbell,Nicolar Rivera,78438
2025,12/08,Wisconsin - Lock Haven Dual,125,W,FALL,1:10,Lucas Fye,85081,4 - 11,Lock Haven,Nicolar Rivera,78438
2025,12/07,Wisconsin - Bucknell Dual,125,W,MD,13 - 1,Ty Kapusta,84278,8 - 7,Bucknell,Nicolar Rivera,78438
