Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Cowboy Shootout,133,L,MD,17 - 5,Tyson Charmoli,79503,6 - 2,Wyoming,Tucker Bowen,92979
2025,02/23,Cowboy Shootout,133,L,INJ,7:00,Dylan Catlin,77321,1 - 3,Wyoming,Tucker Bowen,92979
2025,02/23,Cowboy Shootout,133,L,DEC,9 - 3,Jake Castagneto,93081,3 - 5,Utah Valley,Tucker Bowen,92979
2025,02/23,Cowboy Shootout,133,W,MD,16 - 3,Josh Kyle,67456,3 - 6,Wyoming,Tucker Bowen,92979
2025,02/16,Rocky Mountain Collegiate Open,133,L,MD,17 - 3,Tyson Charmoli,79503,6 - 2,Wyoming,Tucker Bowen,92979
2025,02/16,Rocky Mountain Collegiate Open,133,L,DEC,7 - 5,Adam Concepcion,76752,Unlisted,Adams State,Tucker Bowen,92979
2025,02/16,Rocky Mountain Collegiate Open,133,W,TF5,18 - 3 7:00,Elliot Kim,90509,Unlisted,Colorado School Of Mines,Tucker Bowen,92979
2025,02/16,Rocky Mountain Collegiate Open,133,W,DEC,13 - 7,Xander Sweeney,84856,Unlisted,Colorado School Of Mines,Tucker Bowen,92979
2025,12/29,Soldier Salute Silver Matches,125,L,MD,14 - 3,Daniel Guanajuato,78629,6 - 2,South Dakota State,Tucker Bowen,92979
2025,12/29,Soldier Salute Silver Matches,125,W,DEC,1 - 0,Kody Tanimoto,85100,1 - 8,North Dakota State,Tucker Bowen,92979
2025,12/29,Soldier Salute Silver Matches,125,W,FALL,4:55,Ostin Blanchard,84266,3 - 7,Bellarmine,Tucker Bowen,92979
2025,12/29,Soldier Salute,125,W,FALL,1:47,Anthony Lavezzola,93251,0 - 5,Iowa,Tucker Bowen,92979
2025,12/29,Soldier Salute,125,L,DEC,12 - 10,Adrian Meza,83499,12 - 6,Iowa State,Tucker Bowen,92979
2025,12/29,Soldier Salute,125,L,DEC,7 - 5,Shay Korhorn,79324,3 - 6,Bellarmine,Tucker Bowen,92979
2025,12/22,Reno TOC,125,W,TF5,17 - 2 4:10,Camilo Ramirez,99029,Unlisted,Unattached,Tucker Bowen,92979
2025,12/22,Reno TOC,125,W,MD,17 - 5,Jack Eylar,88292,Unlisted,Eastern Oregon University,Tucker Bowen,92979
2025,12/22,Reno TOC,125,L,DEC,3 - 2,Landon Smith,82104,Unlisted,Embry-Riddle,Tucker Bowen,92979
2025,12/22,Reno TOC,125,L,DEC,4 - 1,Gage Singleton,93533,2 - 2,Oregon State,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,W,MFOR,0 - 0,Jake Goodin,99110,Unlisted,Unattached,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,L,DEC,4 - 2,Devon Miller,93568,Unlisted,High School,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,W,MD,10 - 1,Noah Jones,86687,Unlisted,Iowa Western Community College,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,L,DEC,9 - 3,Mason Gutenberger,94969,Unlisted,Mary,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,W,DEC,5 - 1,Austin Berry,85308,Unlisted,Mary,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,W,TF5,16 - 1 7:00,Keaton Pickering,94664,Unlisted,Adams State,Tucker Bowen,92979
2025,11/23,Younes Hospitality Open,125,W,DEC,13 - 6,Hunter Jacobsen,98110,Unlisted,Chadron State,Tucker Bowen,92979
2025,11/03,Colorado Mines Rookie Open,133,W,DEC,6 - 3,Zachary Covolo,94713,Unlisted,Northwest College,Tucker Bowen,92979
2025,11/03,Colorado Mines Rookie Open,133,L,MD,11 - 3,Zach Marrero,94681,Unlisted,Western Wyoming College,Tucker Bowen,92979
2025,11/03,Colorado Mines Rookie Open,133,W,DEC,3 - 0,Spencer Wright,94645,Unlisted,Western Wyoming College,Tucker Bowen,92979
2025,11/03,Colorado Mines Rookie Open,133,L,DEC,3 - 0,AJ Hague,93438,Unlisted,Colorado Mesa,Tucker Bowen,92979
2025,02/16,Rocky Mountain Collegiate Open,125,L,DEC,9 - 2,Auzzy Thiel,101054,Unlisted,Unattached,John Braman,92867
2025,02/16,Rocky Mountain Collegiate Open,125,W,DEC,10 - 7,Tanner Stone,85172,Unlisted,Colorado Mesa,John Braman,92867
2025,02/16,Rocky Mountain Collegiate Open,125,W,MD,11 - 3,Cole Rogers,94626,Unlisted,Western Colorado,John Braman,92867
2025,12/15,Wyoming - Penn State Dual,125,L,TF5,20 - 5 4:25,Luke Lilledahl,80223,26 - 3,Penn State,John Braman,92867
2025,12/06,Cliff Keen Invitational,125,L,TF5,19 - 1 4:00,Matt Ramos,57134,31 - 3,Purdue,John Braman,92867
2025,12/06,Cliff Keen Invitational,125,L,TF5,17 - 2 7:00,Logan Brzozowski,85072,11 - 15,Harvard,John Braman,92867
2025,11/23,Younes Hospitality Open,125,L,DEC,8 - 7,Christian Olsen,73228,Unlisted,Augustana,John Braman,92867
2025,11/23,Younes Hospitality Open,125,W,FALL,0:31,Bishop Murray,72932,Unlisted,Nebraska-Kearney,John Braman,92867
2025,11/23,Younes Hospitality Open,125,L,DEC,10 - 3,Sloan Johannsen,94934,Unlisted,Northern State University,John Braman,92867
2024,02/18,Cowboy Shootout,133,L,MD,17 - 8,David Saenz,84616,7 - 5,Wyoming,John Braman,92867
2024,02/18,Cowboy Shootout,133,L,DEC,8 - 6,Josh Kyle,67456,5 - 6,Wyoming,John Braman,92867
2024,02/18,Cowboy Shootout,133,W,FALL,2:26,Hayden Brady,84935,0 - 4,Northern Colorado,John Braman,92867
2024,02/18,Cowboy Shootout,133,L,MD,17 - 6,Logan Graf,79256,6 - 0,South Dakota State,John Braman,92867
2025,12/22,Reno TOC,125,W,DEC,8 - 4,Gage Singleton,93533,2 - 2,Oregon State,Sefton Douglass,78673
2025,12/22,Reno TOC,125,L,MFOR,0 - 0,Hunter Taylor,79558,2 - 2,Oregon State,Sefton Douglass,78673
2025,12/22,Reno TOC,125,W,DEC,2 - 0,Evan Kusumoto,97903,Unlisted,San Francisco State,Sefton Douglass,78673
2025,11/23,Younes Hospitality Open,125,W,DEC,6 - 0,Tanner Stone,85172,Unlisted,Colorado Mesa,Sefton Douglass,78673
2025,11/23,Younes Hospitality Open,125,W,DEC,3 - 0,Mason Gutenberger,94969,Unlisted,Mary,Sefton Douglass,78673
2025,11/23,Younes Hospitality Open,125,W,FALL,3:35,Yusef Nelson,98112,Unlisted,Chadron State,Sefton Douglass,78673
2025,11/09,Western Wyoming College - Wyoming Dual,125,L,FALL,4:36,Jore Volk,72600,1 - 2,Wyoming,Sefton Douglass,78673
2025,11/03,Colorado Mines Rookie Open,125,W,FALL,2:44,Keaton Pickering,94664,Unlisted,Adams State,Sefton Douglass,78673
