season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,02/14,Air Force - Oregon State Dual,125,L,DEC,4 - 1,Ronnie Bresser,25183,Oregon State,Isaac Jimenez,22176,Air Force
2016,02/11,New Mexico Highlands - Air Force Dual,125,W,DEC,4 - 1,Evan Perez,44423,New Mexico Highlands,Isaac Jimenez,22176,Air Force
2016,01/09,Colorado Mesa University - Air Force Dual,125,W,MD,14 - 0,Jonathon Stelling,21918,Colorado Mesa,Isaac Jimenez,22176,Air Force
2016,11/07,Cowboy Open,125,L,MFOR,0 - 0,Erick Rangel,41719,New Mexico Highlands,Isaac Jimenez,22176,Air Force
2016,11/07,Cowboy Open,125,W,MD,9 - 0,Erick Rangel,41719,New Mexico Highlands,Isaac Jimenez,22176,Air Force
2016,11/07,Cowboy Open,125,W,MD,19 - 5,Trey Andrews,13284,Northern Colorado,Isaac Jimenez,22176,Air Force
2016,11/07,Cowboy Open,125,L,INJ,7:00,Rami Haddadin,16069,Boise State,Isaac Jimenez,22176,Air Force
2016,03/17,NCAA Championships,125,W,DEC,9 - 4,Paul Petrov,12116,Bucknell,Drew Romero,20712,Air Force
2016,03/17,NCAA Championships,125,L,DEC,6 - 0,Ryan Millhof,20815,Oklahoma,Drew Romero,20712,Air Force
2016,03/17,NCAA Championships,125,L,FALL,4:49,Dalton Macri,42225,Cornell,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,L,DEC,6 - 2,Ryan Millhof,20815,Oklahoma,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,W,MFOR,0 - 0,Zeke Moisey,20472,West Virginia,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,W,MFOR,0 - 0,Chasen Tolbert,13373,Utah Valley,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,W,MD,13 - 3,Jesse Reed,40205,Northern Colorado,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,L,DEC,6 - 2,Drew Templeman,15167,Wyoming,Drew Romero,20712,Air Force
2016,03/05,Big 12 Championships,125,W,SV-1,5 - 3,Kyle Larson,12069,Iowa State,Drew Romero,20712,Air Force
2016,02/17,Air Force - Northern Colorado Dual,125,W,MD,14 - 4,Jesse Reed,40205,Northern Colorado,Drew Romero,20712,Air Force
2016,02/11,Utah Valley - Air Force Dual,125,L,MD,8 - 0,Chasen Tolbert,13373,Utah Valley,Drew Romero,20712,Air Force
2016,02/06,Stanford - Air Force Dual,125,L,DEC,8 - 4,Connor Schram,14982,Stanford,Drew Romero,20712,Air Force
2016,01/30,All Academy Championships,125,W,FALL,3:53,Michael Mui,44234,Merchant Marine,Drew Romero,20712,Air Force
2016,01/30,All Academy Championships,125,W,MD,15 - 6,Brant Leadbeter,20612,Navy,Drew Romero,20712,Air Force
2016,01/30,All Academy Championships,125,L,DEC,12 - 6,Dalton Henderson,22457,VMI,Drew Romero,20712,Air Force
2016,01/24,Air Force - South Dakota State Dual,125,L,MD,15 - 4,Ben Gillette,13275,South Dakota State,Drew Romero,20712,Air Force
2016,01/22,Air Force - North Dakota State Dual,125,L,TF5,18 - 2 5:23,Josh Rodriguez,13418,North Dakota State,Drew Romero,20712,Air Force
2016,01/17,Air Force - Grand Canyon Dual,125,W,DEC,11 - 5,Trayton Libolt,40387,Grand Canyon,Drew Romero,20712,Air Force
2016,01/09,Western State Colorado University - Air Force Dual,125,W,DEC,7 - 4,Ronald Wardleigh,22175,Western Colorado,Drew Romero,20712,Air Force
2016,01/01,Southern Scuffle,125,L,DEC,9 - 8,Dalton Macri,42225,Cornell,Drew Romero,20712,Air Force
2016,01/01,Southern Scuffle,125,L,SV-1,4 - 2,Darian Cruz,12135,Lehigh,Drew Romero,20712,Air Force
2016,01/01,Southern Scuffle,125,W,DEC,6 - 4,Skyler Petry,20045,Minnesota,Drew Romero,20712,Air Force
2016,12/04,Cliff Keen Las Vegas Invitational,125,W,MD,10 - 1,Landon Bailey,43282,North Idaho College,Drew Romero,20712,Air Force
2016,12/04,Cliff Keen Las Vegas Invitational,125,W,DEC,9 - 3,Ares Carpio,12143,Arizona State,Drew Romero,20712,Air Force
2016,12/04,Cliff Keen Las Vegas Invitational,125,L,DEC,7 - 4,Joey Dance,12221,Virginia Tech,Drew Romero,20712,Air Force
2016,12/04,Cliff Keen Las Vegas Invitational,125,L,DEC,10 - 8,Rami Haddadin,16069,Boise State,Drew Romero,20712,Air Force
2016,11/21,Air Force - Wisconsin-La Crosse Dual,125,W,DEC,10 - 8,Ryan Weinmann,42586,Wisconsin-La Crosse,Drew Romero,20712,Air Force
2016,11/21,Air Force - Minnesota Dual,125,L,DEC,9 - 7,Skyler Petry,20045,Minnesota,Drew Romero,20712,Air Force
2016,11/13,Wyoming - Air Force Dual,125,L,DEC,8 - 1,Drew Templeman,15167,Wyoming,Drew Romero,20712,Air Force
2016,11/07,Cowboy Open,125,L,FALL,5:30,Mitch Brown,40325,Utah Valley,Drew Romero,20712,Air Force
2016,11/07,Cowboy Open,125,W,FALL,4:01,Channing Lewis,21906,Colorado Mesa,Drew Romero,20712,Air Force
2016,11/07,Cowboy Open,125,W,DEC,5 - 1,Gunnar Woodburn,16526,Wyoming,Drew Romero,20712,Air Force
2016,11/07,Cowboy Open,125,L,DEC,4 - 1,Drew Templeman,15167,Wyoming,Drew Romero,20712,Air Force
2016,02/06,Rocky Mountain Open,125,L,DEC,8 - 5,Matthew Lavengood,44293,Colorado School Of Mines,Cassidy Oshiro,16913,Air Force
2016,02/06,Rocky Mountain Open,125,W,DEC,7 - 5,Rocky Nava,40595,Colorado Mesa,Cassidy Oshiro,16913,Air Force
2016,02/06,Rocky Mountain Open,125,L,DEC,8 - 3,Zachary Gracia,42581,Colorado School Of Mines,Cassidy Oshiro,16913,Air Force
2016,02/06,Rocky Mountain Open,125,W,DEC,5 - 2,Sam Sandoval,40642,Colorado Mesa,Cassidy Oshiro,16913,Air Force
2016,11/21,Holiday Inn Open,125,L,MD,12 - 0,Zachary Gracia,42581,Colorado School Of Mines,Daron Fanniel,40626,Air Force
2016,11/21,Holiday Inn Open,125,L,DEC,4 - 2,Devin Phaly,42580,Morningside,Daron Fanniel,40626,Air Force
2016,11/07,Cowboy Open,125,L,DEC,6 - 3,Aaron Beltran,41815,Northwest Kansas Technical College,Daron Fanniel,40626,Air Force
2016,11/07,Cowboy Open,125,L,DEC,5 - 1,Jesse Reed,40205,Northern Colorado,Daron Fanniel,40626,Air Force
2016,11/01,Northern Colorado Open,125,L,FALL,1:21,Rocky Nava,40595,Colorado Mesa,Daron Fanniel,40626,Air Force
2016,11/01,Northern Colorado Open,125,L,TF5,16 - 0 2:58,Jonathon Stelling,21918,Colorado Mesa,Daron Fanniel,40626,Air Force
2016,03/17,NCAA Championships,133,L,DEC,7 - 3,Mason Beckman,12016,Lehigh,Josh Martinez,12145,Air Force
2016,03/17,NCAA Championships,133,W,DEC,13 - 8,Johnni DiJulius,14679,Ohio State,Josh Martinez,12145,Air Force
2016,03/17,NCAA Championships,133,W,DEC,3 - 2,Rossi Bruno,15289,Michigan,Josh Martinez,12145,Air Force
2016,03/17,NCAA Championships,133,L,DEC,6 - 3,Earl Hall,12220,Iowa State,Josh Martinez,12145,Air Force
2016,03/05,Big 12 Championships,133,W,MD,10 - 2,Keegan Moore,39680,West Virginia,Josh Martinez,12145,Air Force
2016,03/05,Big 12 Championships,133,L,DEC,10 - 6,Jade Rauser,13291,Utah Valley,Josh Martinez,12145,Air Force
2016,03/05,Big 12 Championships,133,W,MD,11 - 2,Rico Montoya,39862,Northern Colorado,Josh Martinez,12145,Air Force
2016,03/05,Big 12 Championships,133,L,DEC,12 - 9,Gary Wayne Harding,20270,Oklahoma State,Josh Martinez,12145,Air Force
2016,02/17,Air Force - Northern Colorado Dual,133,W,DEC,7 - 4,Rico Montoya,39862,Northern Colorado,Josh Martinez,12145,Air Force
2016,02/11,Utah Valley - Air Force Dual,133,W,DEC,4 - 3,Jade Rauser,13291,Utah Valley,Josh Martinez,12145,Air Force
2016,02/06,Stanford - Air Force Dual,133,W,DEC,4 - 0,Brian Rossi,20394,Stanford,Josh Martinez,12145,Air Force
2016,01/30,All Academy Championships,133,W,TF5,17 - 1 5:53,Caleb Smith,40371,The Citadel,Josh Martinez,12145,Air Force
2016,01/30,All Academy Championships,133,L,DEC,7 - 4,Zack Davis,20604,Navy,Josh Martinez,12145,Air Force
2016,01/30,All Academy Championships,133,W,FALL,4:36,Dominick Gallo,39739,VMI,Josh Martinez,12145,Air Force
2016,01/24,Air Force - South Dakota State Dual,133,W,FALL,6:00,Brance Simms,11703,South Dakota State,Josh Martinez,12145,Air Force
2016,01/22,Air Force - North Dakota State Dual,133,W,DEC,8 - 3,Nico Colunga,39981,North Dakota State,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,W,DEC,8 - 5,Rico Montoya,39862,Northern Colorado,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,L,DEC,10 - 5,George DiCamillo,20426,Virginia,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,W,MD,14 - 3,Anthony Rivera,14699,Edinboro,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,W,MFOR,0 - 0,Kaid Brock,39544,Oklahoma State,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,L,DEC,10 - 6,Kaid Brock,39544,Oklahoma State,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,W,DEC,8 - 5,Sam Brancale,13257,Minnesota,Josh Martinez,12145,Air Force
2016,01/01,Southern Scuffle,133,W,MD,11 - 3,Austin Harry,22478,Army West Point,Josh Martinez,12145,Air Force
