season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2019,03/21,NCAA Championships,125,L,FALL,4:48,Jacob Schwarm,39750,Northern Iowa,Gage Curry,44583,American
2019,03/21,NCAA Championships,125,L,FALL,1:27,Jack Mueller,45232,Virginia,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,L,FALL,4:22,Patrick Glory,51100,Princeton,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,W,DEC,8 - 2,Joe Manchio,50937,Columbia,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,W,DEC,4 - 3,Antonio Mininno,50806,Drexel,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,W,TB-2,2 - 1,Carmen Ferrante,50660,Pennsylvania,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,W,SV-1,6 - 4,Trey Chalifoux,44745,Army West Point,Gage Curry,44583,American
2019,03/08,EIWA Championships,125,W,MD,10 - 2,Trey Keeley,44696,Brown,Gage Curry,44583,American
2019,02/24,Mat-Town Open II,125,W,MD,13 - 1,Eric Damian,61750,Unattached,Gage Curry,44583,American
2019,02/24,Mat-Town Open II,125,W,DEC,5 - 4,Dalton Rohrbaugh,51091,Lock Haven,Gage Curry,44583,American
2019,02/24,Mat-Town Open II,125,W,FALL,1:45,Nick DeNora,50327,Rutgers,Gage Curry,44583,American
2019,02/22,Old Dominion - American Dual,125,L,DEC,7 - 1,Michael McGee,49264,Old Dominion,Gage Curry,44583,American
2019,02/15,George Mason - American Dual,125,W,DEC,17 - 13,Talha Farooq,45317,George Mason,Gage Curry,44583,American
2019,02/14,American - Navy Dual,125,W,DEC,7 - 6,Jacob Allen,50935,Navy,Gage Curry,44583,American
2019,02/08,American - Bucknell Dual,125,L,DEC,11 - 5,Jakob Campbell,49060,Bucknell,Gage Curry,44583,American
2019,02/02,American - Drexel Dual,125,W,DEC,4 - 3,Antonio Mininno,50806,Drexel,Gage Curry,44583,American
2019,01/19,Lehigh - American Dual,125,W,DEC,6 - 4,Luke Resnick,51027,Lehigh,Gage Curry,44583,American
2019,01/13,Hofstra - American Dual,125,L,DEC,12 - 8,Dylan Ryder,50876,Hofstra,Gage Curry,44583,American
2019,01/12,Columbia - American Dual,125,W,DEC,10 - 5,Joe Manchio,50937,Columbia,Gage Curry,44583,American
2019,01/04,American - Wyoming Dual,125,W,TF5,18 - 1 4:45,Brock George,51520,Wyoming,Gage Curry,44583,American
2019,01/04,North Carolina - American Dual,125,L,DEC,4 - 1,Joe Heilmann,51223,North Carolina,Gage Curry,44583,American
2019,01/04,American - Army Dual,125,L,DEC,5 - 2,Trey Chalifoux,44745,Army West Point,Gage Curry,44583,American
2019,12/20,Reno Tournament of Champions,125,W,DEC,5 - 1,Joshua Nira,56354,Embry-Riddle,Gage Curry,44583,American
2019,12/20,Reno Tournament of Champions,125,W,DEC,7 - 2,Rob Pair,54124,Montana State-Northern,Gage Curry,44583,American
2019,12/20,Reno Tournament of Champions,125,W,DEC,7 - 6,Brandon Courtney,50881,Arizona State,Gage Curry,44583,American
2019,12/20,Reno Tournament of Champions,125,L,DEC,11 - 5,Michael McGee,49264,Old Dominion,Gage Curry,44583,American
2019,12/20,Reno Tournament of Champions,125,L,TF5,16 - 0 6:50,Nick Piccininni,39547,Oklahoma State,Gage Curry,44583,American
2019,12/09,Patriots Open,125,W,DEC,7 - 0,Reese Fry,56796,Brown,Gage Curry,44583,American
2019,12/09,Patriots Open,125,W,DEC,8 - 3,Blair Orr,55804,Pennsylvania,Gage Curry,44583,American
2019,12/09,Patriots Open,125,L,TB-2,2 - 1,Nic Aguilar,51104,Rutgers,Gage Curry,44583,American
2019,11/30,Cliff Keen Invitational,125,L,TB-2,5 - 1,Colby Smith,44996,Missouri,Gage Curry,44583,American
2019,11/30,Cliff Keen Invitational,125,L,DEC,3 - 1,Christian Moody,39746,Oklahoma,Gage Curry,44583,American
2019,11/10,East Stroudsburg Open,125,W,DEC,7 - 2,Brandon Seidman,56803,Bucknell,Gage Curry,44583,American
2019,11/10,East Stroudsburg Open,125,W,DEC,5 - 2,Richie Koehler,51648,Rider,Gage Curry,44583,American
2019,11/10,East Stroudsburg Open,125,W,FALL,1:15,Daniel Grobman,51015,Drexel,Gage Curry,44583,American
2019,11/10,East Stroudsburg Open,125,W,DEC,8 - 1,Ryan Chauvin,50835,United States Military Academy,Gage Curry,44583,American
2019,03/21,NCAA Championships,133,L,TF5,17 - 1 5:42,Austin Gomez,49153,Iowa State,Josh Terao,20533,American
2019,03/21,NCAA Championships,133,W,DEC,7 - 2,Devan Turner,45397,Oregon State,Josh Terao,20533,American
2019,03/21,NCAA Championships,133,L,MD,11 - 3,Korbin Myers,39637,Virginia Tech,Josh Terao,20533,American
2019,03/08,EIWA Championships,133,W,FALL,4:07,Zack Trampe,51913,Binghamton,Josh Terao,20533,American
2019,03/08,EIWA Championships,133,W,TF5,19 - 4 5:23,Jonathan Gomez,49300,Princeton,Josh Terao,20533,American
2019,03/08,EIWA Championships,133,W,MD,14 - 3,Brandon Paetzell,44578,Lehigh,Josh Terao,20533,American
2019,03/08,EIWA Championships,133,L,DEC,9 - 4,Chaz Tucker,39771,Cornell,Josh Terao,20533,American
2019,02/22,Old Dominion - American Dual,133,W,FALL,3:18,Trevon Majette,51364,Old Dominion,Josh Terao,20533,American
2019,02/15,George Mason - American Dual,133,W,FALL,2:05,Spencer Reed,48319,George Mason,Josh Terao,20533,American
2019,02/14,American - Navy Dual,133,W,DEC,4 - 1,Casey Cobb,45566,Navy,Josh Terao,20533,American
2019,02/08,American - Bucknell Dual,133,W,DEC,8 - 1,David Campbell,49061,Bucknell,Josh Terao,20533,American
2019,02/02,American - Drexel Dual,133,W,FALL,1:36,Chandler Olson,49119,Drexel,Josh Terao,20533,American
2019,01/19,Lehigh - American Dual,133,W,DEC,10 - 5,Brandon Paetzell,44578,Lehigh,Josh Terao,20533,American
2019,01/13,Hofstra - American Dual,133,W,MD,17 - 5,Jacob Martin,42329,Hofstra,Josh Terao,20533,American
2019,01/12,Columbia - American Dual,133,W,MD,20 - 7,Spencer Good,51030,Columbia,Josh Terao,20533,American
2019,01/04,American - Wyoming Dual,133,L,DEC,3 - 2,Montorie Bridges,44844,Wyoming,Josh Terao,20533,American
2019,01/04,North Carolina - American Dual,133,L,DEC,5 - 2,Gary Wayne Harding,20270,North Carolina,Josh Terao,20533,American
2019,01/04,American - Army Dual,133,L,DEC,3 - 2,Lane Peters,45639,Army West Point,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,L,SV-1,7 - 6,Shiquan Hall,60558,Grand View,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,W,TF5,17 - 2 7:00,Adam Velasquez,51704,Cal Baptist,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,W,TF5,17 - 2 2:59,Trevor Murano,46641,Grand View,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,W,TF5,18 - 0 2:51,Devan Turner,45397,Oregon State,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,W,TF5,15 - 0 3:06,Steven Simpson,39905,Old Dominion,Josh Terao,20533,American
2019,12/20,Reno Tournament of Champions,133,W,DEC,12 - 8,Joshua Kramer,39736,Arizona State,Josh Terao,20533,American
2019,12/09,Patriots Open,133,W,MD,13 - 1,Chris Wright,51092,Rider,Josh Terao,20533,American
2019,12/09,Patriots Open,133,W,FALL,5:52,Sam Book,49332,Virginia,Josh Terao,20533,American
2019,12/09,Patriots Open,133,W,FALL,4:55,Malcolm Robinson,49472,Rutgers,Josh Terao,20533,American
2019,12/02,Bob Quade Cyclone Open,133,W,TF5,18 - 3 6:16,Nate White,60460,Lackawanna College,Josh Terao,20533,American
2019,12/02,Bob Quade Cyclone Open,133,W,TF5,20 - 2 2:14,Mark Kagiwada,60457,Nassau Community College,Josh Terao,20533,American
2019,12/02,Bob Quade Cyclone Open,133,W,TF5,18 - 2 5:40,Jacob Falleni,55644,The College of New Jersey,Josh Terao,20533,American
2019,12/02,Bob Quade Cyclone Open,133,W,FALL,2:49,Bobby Demeter,57839,Centenary,Josh Terao,20533,American
2019,11/17,Navy Classic,133,L,MD,13 - 3,Hunter Kosco,49058,Brown,Daniel Kidd,50026,American
2019,11/17,Navy Classic,133,L,MD,15 - 2,Cody Trybus,45568,Navy,Daniel Kidd,50026,American
2019,11/10,East Stroudsburg Open,133,L,FALL,6:53,Dominic Carone,50845,United States Military Academy,Daniel Kidd,50026,American
2019,11/10,East Stroudsburg Open,133,W,FALL,6:58,Gerhardt Reiter,57675,East Stroudsburg,Daniel Kidd,50026,American
2019,11/10,East Stroudsburg Open,133,W,DEC,10 - 7,Decklan Fischer,57117,Maryland,Daniel Kidd,50026,American
2019,11/10,East Stroudsburg Open,133,L,FALL,6:53,Andrew Wert,50945,United States Military Academy,Daniel Kidd,50026,American
2019,03/08,EIWA Championships,141,W,DEC,4 - 2,Danny Fongaro,51713,Columbia,Jack Mutchnik,13900,American
2019,03/08,EIWA Championships,141,W,DEC,6 - 3,Marshall Keller,51509,Princeton,Jack Mutchnik,13900,American
2019,03/08,EIWA Championships,141,L,DEC,6 - 3,Wil Gil,51024,Franklin & Marshall,Jack Mutchnik,13900,American
2019,03/08,EIWA Championships,141,W,DEC,3 - 1,Noah Levett,50658,Bucknell,Jack Mutchnik,13900,American
2019,03/08,EIWA Championships,141,L,DEC,3 - 1,Anthony Sparacio,47621,Binghamton,Jack Mutchnik,13900,American
2019,02/24,Mat-Town Open II,141,W,DEC,5 - 0,Patrick Ryan,57253,American,Jack Mutchnik,13900,American
2019,02/24,Mat-Town Open II,141,W,FALL,0:32,Jackie Gold,54500,Edinboro,Jack Mutchnik,13900,American
2019,02/24,Mat-Town Open II,141,W,DEC,5 - 3,Anthony Brito,49035,Appalachian State,Jack Mutchnik,13900,American
2019,02/24,Mat-Town Open II,141,W,INJ,7:00,James Giaccia,40310,American,Jack Mutchnik,13900,American
2019,02/22,Old Dominion - American Dual,141,L,DEC,7 - 2,Sa'Derian Perry,40084,Old Dominion,Jack Mutchnik,13900,American
2019,02/15,George Mason - American Dual,141,W,FALL,2:38,Julio Alegria,56956,George Mason,Jack Mutchnik,13900,American
2019,02/14,American - Navy Dual,141,L,TB-1,5 - 1,Nicholas Gil,40255,Navy,Jack Mutchnik,13900,American
2019,02/08,American - Bucknell Dual,141,W,DEC,8 - 1,Brett Rezendes,56802,Bucknell,Jack Mutchnik,13900,American
2019,02/02,American - Drexel Dual,141,W,DEC,3 - 2,Nick Widmann,40313,Drexel,Jack Mutchnik,13900,American
2019,01/19,Lehigh - American Dual,141,L,TB-1,5 - 4,Ryan Pomrinca,39667,Lehigh,Jack Mutchnik,13900,American
2019,01/13,Hofstra - American Dual,141,W,MD,11 - 1,Garrett Lambert,44698,Hofstra,Jack Mutchnik,13900,American
2019,01/12,Columbia - American Dual,141,W,DEC,7 - 2,Danny Fongaro,51713,Columbia,Jack Mutchnik,13900,American
2019,01/04,American - Wyoming Dual,141,W,FALL,2:34,Mark McConnell,45165,Wyoming,Jack Mutchnik,13900,American
2019,01/04,North Carolina - American Dual,141,L,DEC,3 - 2,AC Headlee,39627,North Carolina,Jack Mutchnik,13900,American
