season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,02/06,Panther Open,125,W,MD,17 - 6,Bailey Cooper,44519,Ferrum,Logan Durham,40399,Appalachian State
2016,02/06,Panther Open,125,W,DEC,7 - 3,Caison Scott,20167,UNC Pembroke,Logan Durham,40399,Appalachian State
2016,02/06,Panther Open,125,W,DEC,11 - 8,Marvin Galette,40691,Spartanburg Methodist College,Logan Durham,40399,Appalachian State
2016,11/22,Wolfpack Open,125,W,MD,10 - 1,Zamir Ode,40334,Davidson,Logan Durham,40399,Appalachian State
2016,11/22,Wolfpack Open,125,L,DEC,14 - 9,Landon LoAlbo,20795,Gardner-Webb,Logan Durham,40399,Appalachian State
2016,11/22,Wolfpack Open,125,L,DEC,9 - 6,Charles Kearney,40372,The Citadel,Logan Durham,40399,Appalachian State
2016,03/05,SoCon Championships,133,W,DEC,11 - 5,Dustin Runzo,19843,Davidson,Irvin Enriquez,40401,Appalachian State
2016,03/05,SoCon Championships,133,L,DEC,4 - 3,Tyler Ziegler,13787,Gardner-Webb,Irvin Enriquez,40401,Appalachian State
2016,03/05,SoCon Championships,133,W,DEC,14 - 7,Cody Hill,19772,Chattanooga,Irvin Enriquez,40401,Appalachian State
2016,03/05,SoCon Championships,133,W,DEC,6 - 2,Dominick Gallo,39739,VMI,Irvin Enriquez,40401,Appalachian State
2016,02/21,Appalachian State - Indiana Dual,133,W,DEC,6 - 2,Alonzo Shepherd,12076,Indiana,Irvin Enriquez,40401,Appalachian State
2016,02/12,Missouri - Appalachian State Dual,133,L,DEC,6 - 2,Zach Synon,12142,Missouri,Irvin Enriquez,40401,Appalachian State
2016,02/11,VMI - Appalachian State Dual,133,L,DEC,6 - 4,Dominick Gallo,39739,VMI,Irvin Enriquez,40401,Appalachian State
2016,02/05,Appalachian State - Chattanooga Dual,133,W,DEC,6 - 0,Cody Minnick,39943,Chattanooga,Irvin Enriquez,40401,Appalachian State
2016,01/20,Appalachian State - The Citadel Dual,133,W,TF5,16 - 0 4:39,Caleb Smith,40371,The Citadel,Irvin Enriquez,40401,Appalachian State
2016,01/10,Southern Illinois Edwardsville - Appalachian State Dual,133,W,DEC,7 - 2,Dakota Leach,13281,SIU Edwardsville,Irvin Enriquez,40401,Appalachian State
2016,11/22,Keystone Classic,133,L,FALL,5:36,Robert Deutsch,12122,Rider,Irvin Enriquez,40401,Appalachian State
2016,11/22,Keystone Classic,133,L,DEC,14 - 12,Jeffrey Ott,15132,Harvard,Irvin Enriquez,40401,Appalachian State
2016,11/15,Michigan State Open,133,L,DEC,12 - 7,David Bavery,21022,Notre Dame,Irvin Enriquez,40401,Appalachian State
2016,11/15,Michigan State Open,133,L,DEC,14 - 8,Jose Rodriguez,39639,Ohio State,Irvin Enriquez,40401,Appalachian State
2016,11/15,Michigan State Open,133,W,DEC,11 - 5,Josh Parrett,20236,Ohio,Irvin Enriquez,40401,Appalachian State
2016,11/08,Hokie Open,133,W,DEC,10 - 7,Dustin Kirk,42893,King,Irvin Enriquez,40401,Appalachian State
2016,11/08,Hokie Open,133,W,DEC,11 - 9,David Bavery,21022,Notre Dame,Irvin Enriquez,40401,Appalachian State
2016,11/08,Hokie Open,133,W,DEC,3 - 0,Austin Jamison,40659,Limestone,Irvin Enriquez,40401,Appalachian State
2016,11/08,Hokie Open,133,W,DEC,8 - 1,Cameron O'Connor,22287,George Mason,Irvin Enriquez,40401,Appalachian State
2016,01/26,Appalachian State - Gardner-Webb Dual,133,L,TB-3,4 - 2,Tyler Ziegler,13787,Gardner-Webb,Jacob Grigg,19620,Appalachian State
2016,01/06,Appalachian State - Campbell Dual,133,L,TF5,18 - 0 4:56,Nathan Kraisser,20783,Campbell,Jacob Grigg,19620,Appalachian State
