season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/15,NCAA Championships,125,L,INJ,7:00,Nathan Tomasello,14674,Ohio State,Ryan Millhof,20815,Arizona State
2018,03/15,NCAA Championships,125,L,DEC,5 - 2,Sebastian Rivera,44799,Northwestern,Ryan Millhof,20815,Arizona State
2018,03/15,NCAA Championships,125,W,TF5,17 - 2 7:00,Sergio Mendez,15986,CSU Bakersfield,Ryan Millhof,20815,Arizona State
2018,03/15,NCAA Championships,125,W,DEC,4 - 3,Christian Moody,39746,Oklahoma,Ryan Millhof,20815,Arizona State
2018,02/25,Pac 12 Championships,125,L,DEC,3 - 2,Ronnie Bresser,25183,Oregon State,Ryan Millhof,20815,Arizona State
2018,02/25,Pac 12 Championships,125,W,DEC,8 - 7,Sergio Mendez,15986,CSU Bakersfield,Ryan Millhof,20815,Arizona State
2018,02/11,Arizona State - Cal Poly Dual,125,W,MD,8 - 0,Yoshito Funakoshi,19739,Cal Poly,Ryan Millhof,20815,Arizona State
2018,02/09,Lehigh - Arizona State Dual,125,L,DEC,8 - 3,Darian Cruz,12135,Lehigh,Ryan Millhof,20815,Arizona State
2018,01/20,Oregon State - Arizona State Dual,125,W,DEC,9 - 4,Ronnie Bresser,25183,Oregon State,Ryan Millhof,20815,Arizona State
2018,01/19,Stanford - Arizona State Dual,125,W,DEC,7 - 1,Gabe Townsell,45387,Stanford,Ryan Millhof,20815,Arizona State
2018,01/13,Arizona State - Virginia Tech Dual,125,W,MD,10 - 2,Kyle Norstrem,45110,Virginia Tech,Ryan Millhof,20815,Arizona State
2018,01/13,Arizona State - Northern Iowa Dual,125,W,DEC,6 - 0,Jacob Schwarm,39750,Northern Iowa,Ryan Millhof,20815,Arizona State
2018,01/12,Iowa State - Arizona State Dual,125,W,TF5,16 - 1 7:00,Sinjin Briggs,54314,Iowa State,Ryan Millhof,20815,Arizona State
2018,12/29,Midlands Invitational,125,W,FALL,3:54,Lukus Stricker,49139,Harvard,Ryan Millhof,20815,Arizona State
2018,12/29,Midlands Invitational,125,L,MFOR,0 - 0,Travis Piotrowski,44646,Illinois,Ryan Millhof,20815,Arizona State
2018,12/29,Midlands Invitational,125,L,MD,12 - 2,Devin Schroder,44591,Purdue,Ryan Millhof,20815,Arizona State
2018,12/01,Cliff Keen Invitational,125,W,TF5,16 - 0 5:51,Tomas Gutierrez,45017,Eastern Michigan,Ryan Millhof,20815,Arizona State
2018,12/01,Cliff Keen Invitational,125,W,DEC,9 - 4,Sergio Mendez,15986,CSU Bakersfield,Ryan Millhof,20815,Arizona State
2018,12/01,Cliff Keen Invitational,125,L,DEC,8 - 6,Jacob Schwarm,39750,Northern Iowa,Ryan Millhof,20815,Arizona State
2018,12/01,Cliff Keen Invitational,125,L,FALL,5:00,Drew Mattin,49180,Michigan,Ryan Millhof,20815,Arizona State
2018,11/26,South Dakota State - Arizona State Dual,125,W,DEC,5 - 2,Connor Brown,49321,South Dakota State,Ryan Millhof,20815,Arizona State
