season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/04,EIWA Championships,125,W,MD,14 - 4,Spencer Good,51030,Columbia,Trey Chalifoux,44745,Army West Point
2018,03/04,EIWA Championships,125,L,DEC,7 - 3,Noah Baughman,44749,Cornell,Trey Chalifoux,44745,Army West Point
2018,03/04,EIWA Championships,125,W,DEC,10 - 3,Trey Keeley,44696,Brown,Trey Chalifoux,44745,Army West Point
2018,03/04,EIWA Championships,125,L,MFOR,0 - 0,Joe Nelson,19659,Binghamton,Trey Chalifoux,44745,Army West Point
2018,03/04,EIWA Championships,125,L,MD,8 - 0,Zack Fuentes,12061,Drexel,Trey Chalifoux,44745,Army West Point
2018,02/16,Army - Navy Dual,125,W,DEC,6 - 5,Aslan Kilic,45565,Navy,Trey Chalifoux,44745,Army West Point
2018,02/11,Army - Bucknell Dual,125,L,FALL,5:14,Michael Macklin,39870,Bucknell,Trey Chalifoux,44745,Army West Point
2018,02/03,Edinboro Open,125,L,MFOR,0 - 0,Cody Moosman,49103,Cleveland State,Trey Chalifoux,44745,Army West Point
2018,02/03,Edinboro Open,125,W,DEC,10 - 3,Brock Bergelin,49078,Central Michigan,Trey Chalifoux,44745,Army West Point
2018,02/03,Edinboro Open,125,L,DEC,6 - 3,Jack Medley,51392,Michigan,Trey Chalifoux,44745,Army West Point
2018,01/27,All Academy Championship,125,W,FALL,1:57,Cole Nickerson,49590,Norwich,Trey Chalifoux,44745,Army West Point
2018,01/27,All Academy Championship,125,W,DEC,6 - 3,Aslan Kilic,45565,Navy,Trey Chalifoux,44745,Army West Point
2018,01/27,All Academy Championship,125,W,DEC,5 - 2,Tony DeCesare,46349,Air Force,Trey Chalifoux,44745,Army West Point
2018,01/21,Lehigh - Army Dual,125,L,MD,14 - 4,Darian Cruz,12135,Lehigh,Trey Chalifoux,44745,Army West Point
2018,01/20,Drexel - Army Dual,125,W,DEC,8 - 4,Zack Fuentes,12061,Drexel,Trey Chalifoux,44745,Army West Point
2018,01/05,North Carolina - Army Dual,125,W,DEC,5 - 2,James Szymanski,39623,North Carolina,Trey Chalifoux,44745,Army West Point
2018,01/05,Wyoming - Army Dual,125,L,DEC,3 - 2,Drake Foster,39797,Wyoming,Trey Chalifoux,44745,Army West Point
2018,01/05,Army - Duke Dual,125,W,DEC,9 - 6,Thayer Atkins,19857,Duke,Trey Chalifoux,44745,Army West Point
2018,12/01,Cliff Keen Invitational,125,W,DEC,11 - 4,Sean Williams,16527,Fresno State,Trey Chalifoux,44745,Army West Point
2018,12/01,Cliff Keen Invitational,125,L,DEC,4 - 3,Christian Moody,39746,Oklahoma,Trey Chalifoux,44745,Army West Point
2018,12/01,Cliff Keen Invitational,125,L,DEC,8 - 7,Rayvon Foley,50823,Michigan State,Trey Chalifoux,44745,Army West Point
2018,11/19,Black Knight Invitational,125,W,DEC,3 - 0,Steven Bulzomi,40242,Binghamton,Trey Chalifoux,44745,Army West Point
