season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/07,SoCon Championships,125,L,DEC,16 - 15,Anthony Molton,57207,Campbell,Jack Parker,71291,Bellarmine
2025,03/07,SoCon Championships,125,L,MD,11 - 2,Gylon Sims,84440,The Citadel,Jack Parker,71291,Bellarmine
2025,03/07,SoCon Championships,125,W,MD,15 - 6,Ty Tice,84391,Chattanooga,Jack Parker,71291,Bellarmine
2025,03/07,SoCon Championships,125,W,DEC,6 - 2,Bryson Terrell,79650,Appalachian State,Jack Parker,71291,Bellarmine
2025,02/23,Bellarmine - Chattanooga Dual,125,W,DEC,8 - 5,Ty Tice,84391,Chattanooga,Jack Parker,71291,Bellarmine
2025,02/14,Bellarmine - Gardner-Webb Dual,125,L,DEC,8 - 1,Tyson Lane,75724,Gardner-Webb,Jack Parker,71291,Bellarmine
2025,02/14,Bellarmine - Presbyterian Dual,125,W,TF5,19 - 4 2:38,Brayden Adams,78607,Presbyterian,Jack Parker,71291,Bellarmine
2025,02/09,Davidson - Bellarmine Dual,125,W,TF5,15 - 0 7:00,Enis Ljikovic,84455,Davidson,Jack Parker,71291,Bellarmine
2025,02/07,The Citadel - Bellarmine Dual,125,W,MD,20 - 10,Gylon Sims,84440,The Citadel,Jack Parker,71291,Bellarmine
2025,02/02,VMI - Bellarmine Dual,125,W,DEC,11 - 9,Waylon Rogers,93673,VMI,Jack Parker,71291,Bellarmine
2025,01/31,Appalachian State - Bellarmine Dual,125,W,DEC,6 - 3,Bryson Terrell,79650,Appalachian State,Jack Parker,71291,Bellarmine
2025,12/29,Soldier Salute,125,L,MD,14 - 2,Adrian Meza,83499,Iowa State,Jack Parker,71291,Bellarmine
2025,12/29,Soldier Salute,125,W,FALL,6:31,Brandon Paez,82508,Northern Iowa,Jack Parker,71291,Bellarmine
2025,12/29,Soldier Salute,125,L,MD,14 - 2,Garret Rinken,78705,Northern Iowa,Jack Parker,71291,Bellarmine
2025,12/29,Soldier Salute,125,L,MD,17 - 6,Ethan Perryman,78477,Iowa State,Jack Parker,71291,Bellarmine
2025,12/29,Soldier Salute,125,W,DEC,3 - 2,Trever Anderson,76359,Northern Iowa,Jack Parker,71291,Bellarmine
2025,12/07,Cougar Clash,125,L,DEC,11 - 10,Brandon Morvari,81742,Minnesota,Jack Parker,71291,Bellarmine
2025,12/07,Cougar Clash,125,L,TF5,18 - 3 4:46,Noah Surtin,56715,Missouri,Jack Parker,71291,Bellarmine
2025,11/17,Kent State - Bellarmine Dual,125,L,MD,14 - 4,Nico Calello,73713,Kent State,Jack Parker,71291,Bellarmine
2025,11/15,Iowa - Bellarmine Dual,125,L,TF5,26 - 6 6:15,Kale Petersen,82485,Iowa,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,W,FALL,3:00,Weston Pisarchick,92999,Clarion,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,W,DEC,9 - 6,Shay Korhorn,79324,Bellarmine,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,W,MD,14 - 5,Tyler Chappell,79287,Pittsburgh,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,W,DEC,8 - 2,Damion Ryan,78489,Bellarmine,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,L,TF5,18 - 1 2:09,Brendan McCrone,76350,Ohio State,Jack Parker,71291,Bellarmine
2025,11/03,Clarion Open,125,W,MD,14 - 3,Caleb Edwards,72216,Edinboro,Jack Parker,71291,Bellarmine
2025,02/09,Greyhound Open,125,W,TF5,16 - 1 7:00,George Wilmer,85935,Cornerstone,Damion Ryan,78489,Bellarmine
2025,02/09,Greyhound Open,125,W,MD,12 - 3,Brayden Littell,62516,Unattached,Damion Ryan,78489,Bellarmine
2025,02/09,Greyhound Open,125,L,DEC,8 - 2,Davian Guanajuato,74863,SIU Edwardsville,Damion Ryan,78489,Bellarmine
2025,02/09,Greyhound Open,125,W,DEC,14 - 9,Mason Jones,86211,Manchester,Damion Ryan,78489,Bellarmine
2025,02/09,Greyhound Open,125,W,MD,15 - 1,Jadon Gyan,97637,Indianapolis,Damion Ryan,78489,Bellarmine
2025,01/24,Bellarmine - Campbell Dual,125,L,TF5,23 - 7 3:16,Anthony Molton,57207,Campbell,Damion Ryan,78489,Bellarmine
2025,01/04,Southern Scuffle,125,L,DEC,6 - 4,Caleb Uhorchuk,79300,Army West Point,Damion Ryan,78489,Bellarmine
2025,01/04,Southern Scuffle,125,L,DEC,8 - 1,Sawyer Ostroff,92990,LIU,Damion Ryan,78489,Bellarmine
2025,12/29,Soldier Salute,125,W,SV-1,13 - 10,Bowen Downey,84485,Northern Iowa,Damion Ryan,78489,Bellarmine
2025,12/29,Soldier Salute,125,L,DEC,8 - 1,Mack Mauger,84326,Missouri,Damion Ryan,78489,Bellarmine
2025,12/29,Soldier Salute,125,L,MD,11 - 3,Garret Rinken,78705,Northern Iowa,Damion Ryan,78489,Bellarmine
2025,12/07,Cougar Clash,125,L,FALL,4:38,Mack Mauger,84326,Missouri,Damion Ryan,78489,Bellarmine
