season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,03/18,NCAA Championships,125,L,FALL,6:14,Jaret Lane,50909,Lehigh,Micah Roes,67299,Binghamton
2021,03/18,NCAA Championships,125,W,DEC,10 - 4,Kysen Terukina,67143,Iowa State,Micah Roes,67299,Binghamton
2021,03/18,NCAA Championships,125,L,MD,18 - 7,Brandon Courtney,50881,Arizona State,Micah Roes,67299,Binghamton
2021,02/26,EIWA Championships,125,W,DEC,6 - 3,Brandon Seidman,56803,Bucknell,Micah Roes,67299,Binghamton
2021,02/26,EIWA Championships,125,L,DEC,6 - 0,Jaret Lane,50909,Lehigh,Micah Roes,67299,Binghamton
2021,02/26,EIWA Championships,125,W,MD,14 - 4,Dylan Ryder,50876,Hofstra,Micah Roes,67299,Binghamton
2021,02/26,EIWA Championships,125,L,DEC,6 - 2,Gage Curry,44583,American,Micah Roes,67299,Binghamton
2021,01/30,Binghamton - Lehigh Dual,125,W,DEC,8 - 2,Sheldon Seymour,62339,Lehigh,Micah Roes,67299,Binghamton
2021,01/23,Binghamton - Army Dual,125,W,DEC,10 - 8,Ryan Chauvin,50835,Army West Point,Micah Roes,67299,Binghamton
2021,01/14,Long Island University-Post - Binghamton Dual,125,W,MD,8 - 0,Bryce Cockrell,65769,LIU,Micah Roes,67299,Binghamton
2021,01/09,Rider - Binghamton Dual,125,W,FALL,6:59,Jonathon Tropea,46048,Rider,Micah Roes,67299,Binghamton
2021,02/26,EIWA Championships,133,L,DEC,7 - 2,Darren Miller,57210,Bucknell,Anthony Sobotker,60378,Binghamton
2021,02/26,EIWA Championships,133,W,DEC,10 - 6,Kyle Randall,56471,Sacred Heart,Anthony Sobotker,60378,Binghamton
2021,02/26,EIWA Championships,133,L,DEC,6 - 3,Mark Montgomery,60539,Army West Point,Anthony Sobotker,60378,Binghamton
2021,01/30,Binghamton - Lehigh Dual,133,L,DEC,8 - 3,Mitchell Polito,54384,Lehigh,Anthony Sobotker,60378,Binghamton
2021,01/23,Binghamton - Army Dual,133,W,DEC,10 - 5,Mark Montgomery,60539,Army West Point,Anthony Sobotker,60378,Binghamton
2021,01/14,Long Island University-Post - Binghamton Dual,133,W,DEC,6 - 4,Devin Matthews,70150,LIU,Anthony Sobotker,60378,Binghamton
2021,01/09,Rider - Binghamton Dual,133,W,FALL,1:10,Richie Koehler,51648,Rider,Anthony Sobotker,60378,Binghamton
2021,02/26,EIWA Championships,141,W,FALL,1:55,Jordan Carlucci,62475,Sacred Heart,Dane Heberlein,49049,Binghamton
2021,02/26,EIWA Championships,141,L,TF5,17 - 1 6:16,Cody Trybus,45568,Navy,Dane Heberlein,49049,Binghamton
2021,02/26,EIWA Championships,141,L,DEC,7 - 2,Patrick Ryan,57253,American,Dane Heberlein,49049,Binghamton
2021,01/23,Army Binghamton Extra,141,L,FALL,2:20,Lane Peters,45639,Army West Point,Dane Heberlein,49049,Binghamton
2021,01/14,Binghamton LIU Extra,149,W,FALL,1:49,Kyle Matthews,70152,LIU,Dane Heberlein,49049,Binghamton
2021,01/30,Binghamton - Lehigh Dual,141,L,DEC,9 - 7,Malyke Hines,56932,Lehigh,Zack Trampe,51913,Binghamton
