season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/07,MAC Championships,125,L,TF5,17 - 1 2:07,Luke Werner,50282,Lock Haven,Christian Gannone,62458,Bloomsburg
2020,03/07,MAC Championships,125,L,DEC,9 - 7,Bryce West,50039,Northern Illinois,Christian Gannone,62458,Bloomsburg
2020,03/07,MAC Championships,125,L,FALL,2:55,Bryce West,50039,Northern Illinois,Christian Gannone,62458,Bloomsburg
2020,03/07,MAC Championships,125,W,MD,13 - 2,Gage Datlovsky,45290,SIU Edwardsville,Christian Gannone,62458,Bloomsburg
2020,03/07,MAC Championships,125,W,FALL,0:32,Jake Gromacki,20324,Clarion,Christian Gannone,62458,Bloomsburg
2020,02/23,Bloomsburg - Old Dominion Dual,125,L,MD,13 - 5,Killian Cardinale,49268,Old Dominion,Christian Gannone,62458,Bloomsburg
2020,02/16,Bloomsburg - George Mason Dual,125,W,MD,14 - 3,Talha Farooq,45317,George Mason,Christian Gannone,62458,Bloomsburg
2020,02/14,Cleveland State - Bloomsburg Dual,125,L,DEC,3 - 2,Logan Heil,57515,Cleveland State,Christian Gannone,62458,Bloomsburg
2020,02/09,Bloomsburg - Sacred Heart Dual,125,W,MD,11 - 1,Sean Faraon,62473,Sacred Heart,Christian Gannone,62458,Bloomsburg
2020,02/07,VMI - Bloomsburg Dual,125,W,FALL,2:11,John McGarry,62382,VMI,Christian Gannone,62458,Bloomsburg
2020,02/02,Bloomsburg - Ohio Dual,125,W,DEC,4 - 1,Derek Giallombardo,51614,Ohio,Christian Gannone,62458,Bloomsburg
2020,01/19,Clarion - Bloomsburg Dual,125,L,DEC,6 - 5,Cameron Butler,44660,Clarion,Christian Gannone,62458,Bloomsburg
2020,01/16,Edinboro - Bloomsburg Dual,125,L,DEC,9 - 7,Lucas Rodriguez,51061,Edinboro,Christian Gannone,62458,Bloomsburg
2020,01/05,Bloomsburg - Hofstra Dual,125,L,DEC,4 - 2,Dylan Ryder,50876,Hofstra,Christian Gannone,62458,Bloomsburg
2020,01/03,Long Island University-Post - Bloomsburg Dual,125,W,DEC,7 - 5,James Ryan,61391,LIU,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,W,MD,11 - 2,Romeo Rodriguez,65898,Ursinus,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,W,DEC,7 - 3,Brandon Spellman,63969,NJRTC,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,L,DEC,5 - 4,Brandon Spellman,63969,NJRTC,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,W,MFOR,0 - 0,Devin Flannery,62457,Millersville,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,W,MFOR,0 - 0,Willy Girard,45191,Bloomsburg,Christian Gannone,62458,Bloomsburg
2020,12/19,Bloomsburg - Lock Haven Dual,125,W,DEC,7 - 4,Matt Maloney,62920,Lock Haven,Christian Gannone,62458,Bloomsburg
2020,12/06,Rider - Bloomsburg Dual,125,L,DEC,12 - 10,Jonathon Tropea,46048,Rider,Christian Gannone,62458,Bloomsburg
2020,12/05,Bloomsburg - Bucknell Dual,125,L,DEC,3 - 2,Brandon Seidman,56803,Bucknell,Christian Gannone,62458,Bloomsburg
2020,11/17,Black Knight Invitational,125,L,MD,12 - 4,Brandon Meredith,56935,Penn State,Christian Gannone,62458,Bloomsburg
2020,11/17,Black Knight Invitational,125,L,DEC,6 - 4,Jarod Kosman,56590,Maryland,Christian Gannone,62458,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,125,L,FALL,5:00,Reese Fry,56796,Brown,Christian Gannone,62458,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,125,L,DEC,4 - 3,Luke Resnick,51027,Lehigh,Christian Gannone,62458,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,125,W,DEC,8 - 1,Aaron Valenzuela,62770,Arizona State,Christian Gannone,62458,Bloomsburg
2020,12/22,Wilkes Open,125,W,TF5,16 - 1 5:47,Nicholas Bauer,60515,Wilkes,Willy Girard,45191,Bloomsburg
2020,12/22,Wilkes Open,125,L,MFOR,0 - 0,Christian Gannone,62458,Bloomsburg,Willy Girard,45191,Bloomsburg
2020,12/22,Wilkes Open,125,W,FALL,1:42,Romeo Rodriguez,65898,Ursinus,Willy Girard,45191,Bloomsburg
2020,12/22,Wilkes Open,125,L,DEC,6 - 5,Nico Provo,65883,High School,Willy Girard,45191,Bloomsburg
2020,12/22,Wilkes Open,125,W,DEC,5 - 2,David Yeh,61166,Williams College,Willy Girard,45191,Bloomsburg
2020,12/14,Cleveland State Open,125,L,SV-1,11 - 9,Logan Heil,57515,Cleveland State,Willy Girard,45191,Bloomsburg
2020,12/14,Cleveland State Open,125,W,FALL,5:37,Vince Perez,60001,Central Michigan,Willy Girard,45191,Bloomsburg
2020,12/14,Cleveland State Open,125,W,DEC,11 - 4,Zach Shupp,51187,Central Michigan,Willy Girard,45191,Bloomsburg
2020,12/14,Cleveland State Open,125,W,DEC,9 - 7,Matt Vinci,57087,Northwestern,Willy Girard,45191,Bloomsburg
2020,12/14,Cleveland State Open,125,W,DEC,7 - 5,Matt Vinci,57087,Northwestern,Willy Girard,45191,Bloomsburg
2020,11/03,Clarion Open,125,L,DEC,6 - 5,Logan Heil,57515,Cleveland State,Willy Girard,45191,Bloomsburg
2020,11/03,Clarion Open,125,W,FALL,2:06,Jacob Sherman,57303,Kent State,Willy Girard,45191,Bloomsburg
2020,11/03,Clarion Open,125,L,FALL,6:45,Brandon Meredith,56935,Penn State,Willy Girard,45191,Bloomsburg
2020,11/03,Clarion Open,125,W,DEC,8 - 7,Luke Werner,50282,Lock Haven,Willy Girard,45191,Bloomsburg
2020,11/03,Clarion Open,125,W,MD,14 - 1,Cameron Butler,44660,Clarion,Willy Girard,45191,Bloomsburg
2020,02/23,Mat-Town Open II,125,L,DEC,9 - 2,Brandon Spellman,63969,NJRTC,Tal-Reese Flemming,62443,Bloomsburg
2020,02/23,Mat-Town Open II,125,W,MFOR,0 - 0,Zach Spence,57519,Maryland,Tal-Reese Flemming,62443,Bloomsburg
2020,02/23,Mat-Town Open II,125,L,DEC,4 - 2,Mathew Schreiber,62420,Binghamton,Tal-Reese Flemming,62443,Bloomsburg
2020,11/10,East Stroudsburg Open,125,W,TF5,15 - 0 3:12,Mitchell McGhee,62961,Emmanuel,Tal-Reese Flemming,62443,Bloomsburg
2020,11/10,East Stroudsburg Open,125,L,MFOR,0 - 0,Mitchell McGhee,62961,Emmanuel,Tal-Reese Flemming,62443,Bloomsburg
2020,11/10,East Stroudsburg Open,125,W,TF5,15 - 0 7:00,David Colton,62821,Drexel,Tal-Reese Flemming,62443,Bloomsburg
2020,11/10,East Stroudsburg Open,125,W,MFOR,0 - 0,Matt Wilde,57391,Kutztown,Tal-Reese Flemming,62443,Bloomsburg
2020,11/10,East Stroudsburg Open,125,L,MD,11 - 0,Angelo Rini,56766,Columbia,Tal-Reese Flemming,62443,Bloomsburg
2020,11/03,Clarion Open,125,L,DEC,10 - 4,Jake Ferri,51179,Kent State,Tal-Reese Flemming,62443,Bloomsburg
2020,11/03,Clarion Open,125,L,DEC,3 - 0,Cameron Butler,44660,Clarion,Tal-Reese Flemming,62443,Bloomsburg
2020,03/07,MAC Championships,133,L,DEC,2 - 1,Derek Spann,45028,Buffalo,Josh Mason,53817,Bloomsburg
2020,03/07,MAC Championships,133,L,DEC,9 - 8,DJ Fehlman,39898,Lock Haven,Josh Mason,53817,Bloomsburg
2020,03/07,MAC Championships,133,W,DEC,6 - 2,Justin Patrick,39587,Cleveland State,Josh Mason,53817,Bloomsburg
2020,03/07,MAC Championships,133,W,FALL,2:58,Josh Jones,57073,George Mason,Josh Mason,53817,Bloomsburg
2020,03/07,MAC Championships,133,W,DEC,4 - 0,Caleb Brooks,56507,Northern Illinois,Josh Mason,53817,Bloomsburg
2020,03/07,MAC Championships,133,L,MD,11 - 3,DJ Fehlman,39898,Lock Haven,Josh Mason,53817,Bloomsburg
2020,02/23,Bloomsburg - Old Dominion Dual,133,L,DEC,12 - 7,Steven Simpson,39905,Old Dominion,Josh Mason,53817,Bloomsburg
2020,02/16,Bloomsburg - George Mason Dual,133,W,MD,8 - 0,Josh Jones,57073,George Mason,Josh Mason,53817,Bloomsburg
2020,02/14,Cleveland State - Bloomsburg Dual,133,W,DEC,8 - 2,Justin Patrick,39587,Cleveland State,Josh Mason,53817,Bloomsburg
2020,02/09,Bloomsburg - Sacred Heart Dual,133,W,FALL,0:15,Kyle Randall,56471,Sacred Heart,Josh Mason,53817,Bloomsburg
2020,02/07,VMI - Bloomsburg Dual,133,W,FALL,1:04,Cliff Conway,50304,VMI,Josh Mason,53817,Bloomsburg
2020,02/02,Bloomsburg - Ohio Dual,133,L,DEC,5 - 0,Gio Disabato,50840,Ohio,Josh Mason,53817,Bloomsburg
2020,01/19,Clarion - Bloomsburg Dual,133,W,DEC,15 - 11,Seth Koleno,51157,Clarion,Josh Mason,53817,Bloomsburg
2020,01/16,Edinboro - Bloomsburg Dual,133,W,FALL,1:52,Tye Varndell,55697,Edinboro,Josh Mason,53817,Bloomsburg
2020,12/19,Bloomsburg - Lock Haven Dual,133,L,MD,13 - 3,DJ Fehlman,39898,Lock Haven,Josh Mason,53817,Bloomsburg
2020,12/06,Rider - Bloomsburg Dual,133,W,FALL,5:27,Richie Koehler,51648,Rider,Josh Mason,53817,Bloomsburg
2020,12/05,Bloomsburg - Bucknell Dual,133,W,MD,14 - 3,Darren Miller,57210,Bucknell,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,L,DEC,5 - 4,King Sandoval,57116,Maryland,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,W,FALL,2:58,Shawn Orem,51045,Bloomsburg,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,W,FALL,3:13,Kyle Luigs,50007,Indiana,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,L,FALL,3:45,Brock Bergelin,49078,Central Michigan,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,L,FALL,1:15,Brock Bergelin,49078,Central Michigan,Josh Mason,53817,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,W,MD,12 - 0,Noah Burstein,59677,Davidson,Josh Mason,53817,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,W,FALL,1:40,Josh Jones,57073,George Mason,Josh Mason,53817,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,W,FALL,2:10,Charles Faber,49054,Brown,Josh Mason,53817,Bloomsburg
2020,11/03,Clarion Open,133,W,INJ,7:00,Brayden Palmer,59826,Clarion,Josh Mason,53817,Bloomsburg
2020,11/03,Clarion Open,133,L,DEC,9 - 7,Brandon Loperfido,44874,Lock Haven,Josh Mason,53817,Bloomsburg
2020,11/03,Clarion Open,133,W,FALL,3:09,Justin Patrick,39587,Cleveland State,Josh Mason,53817,Bloomsburg
2020,11/17,Black Knight Invitational,133,L,MFOR,0 - 0,Kyle Luigs,50007,Indiana,Vincent Miceli,52123,Bloomsburg
2020,11/17,Black Knight Invitational,133,L,FALL,1:55,Andrew Wert,50945,Army West Point,Vincent Miceli,52123,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,W,FALL,4:03,Lukasz Walendzak,62579,George Mason,Vincent Miceli,52123,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,L,DEC,5 - 1,Shannon Hanna,57654,Old Dominion,Vincent Miceli,52123,Bloomsburg
2020,11/10,Journeyman Collegiate Classic,133,W,DEC,2 - 0,Jonathan Moran,57078,Indiana,Vincent Miceli,52123,Bloomsburg
2020,11/03,Clarion Open,133,L,DEC,2 - 1,Richie Markulics,62849,Edinboro,Vincent Miceli,52123,Bloomsburg
