season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2015,03/01,Pac-12 Championships,125,L,INJ,7:00,Evan Silver,12224,Stanford,Carson Kuhn,16532,Boise State
2015,03/01,Pac-12 Championships,125,L,MFOR,0 - 0,Sergio Mendez,15986,CSU Bakersfield,Carson Kuhn,16532,Boise State
2015,03/01,Pac-12 Championships,125,L,MFOR,0 - 0,Yoshito Funakoshi,19739,Cal Poly,Carson Kuhn,16532,Boise State
2015,02/15,Boise State - Wyoming Dual,125,L,DEC,14 - 12,Tyler Cox,13326,Wyoming,Carson Kuhn,16532,Boise State
2015,02/08,Boise State - Oregon State Dual,125,L,DEC,6 - 2,Ronnie Bresser,25183,Oregon State,Carson Kuhn,16532,Boise State
2015,02/06,CSU Bakersfield - Boise State Dual,125,W,DEC,10 - 5,Sergio Mendez,15986,CSU Bakersfield,Carson Kuhn,16532,Boise State
2015,02/05,Boise State vs Cal Poly -  Dual,125,W,DEC,5 - 0,Yoshito Funakoshi,19739,Cal Poly,Carson Kuhn,16532,Boise State
2015,02/01,Stanford - Boise State Dual,125,W,DEC,7 - 3,Evan Silver,12224,Stanford,Carson Kuhn,16532,Boise State
2015,01/23,Arizona State - Boise State Dual,125,W,DEC,5 - 3,Ares Carpio,12143,Arizona State,Carson Kuhn,16532,Boise State
2015,01/16,Boise State - South Dakota State Dual,125,W,DEC,7 - 0,Isaac Andrade,13269,South Dakota State,Carson Kuhn,16532,Boise State
2015,01/09,Boise State - Northern Colorado Dual,125,W,FALL,2:40,Trey Andrews,13284,Northern Colorado,Carson Kuhn,16532,Boise State
2015,12/13,Oregon State - Boise State Dual,125,L,MD,15 - 6,Ronnie Bresser,25183,Oregon State,Carson Kuhn,16532,Boise State
2015,11/14,Utah Valley University - Boise State Dual,125,L,DEC,8 - 2,Chasen Tolbert,13373,Utah Valley,Carson Kuhn,16532,Boise State
2015,03/01,Pac-12 Championships,133,L,DEC,6 - 0,Ian Nickell,20540,CSU Bakersfield,Michael Cook,19685,Boise State
2015,03/01,Pac-12 Championships,133,L,FALL,2:27,Jason DelaCruz,19736,Cal Poly,Michael Cook,19685,Boise State
2015,03/01,Pac-12 Championships,133,W,DEC,5 - 2,Jason DelaCruz,19736,Cal Poly,Michael Cook,19685,Boise State
2015,02/08,Boise State - Oregon State Dual,133,L,FALL,0:50,Jack Hathaway,15765,Oregon State,Michael Cook,19685,Boise State
2015,02/06,CSU Bakersfield - Boise State Dual,133,L,DEC,6 - 0,Ian Nickell,20540,CSU Bakersfield,Michael Cook,19685,Boise State
2015,02/05,Boise State vs Cal Poly -  Dual,133,L,DEC,9 - 7,Jason DelaCruz,19736,Cal Poly,Michael Cook,19685,Boise State
2015,02/01,Stanford - Boise State Dual,133,L,DEC,6 - 2,Connor Schram,14982,Stanford,Michael Cook,19685,Boise State
2015,01/23,Arizona State - Boise State Dual,133,W,DEC,9 - 8,Judson Preskitt,20579,Arizona State,Michael Cook,19685,Boise State
2015,01/18,Boise State - North Dakota State Dual,133,W,DEC,4 - 2,Hunter Weber,13273,North Dakota State,Michael Cook,19685,Boise State
2015,01/16,Boise State - South Dakota State Dual,133,W,DEC,6 - 5,Brance Simms,11703,South Dakota State,Michael Cook,19685,Boise State
2015,01/09,Boise State - Northern Colorado Dual,133,W,FALL,6:37,Abe Fox,20185,Northern Colorado,Michael Cook,19685,Boise State
2015,01/01,Southern Scuffle,133,L,SV-1,3 - 1,Tyler Ziegler,13787,Gardner-Webb,Michael Cook,19685,Boise State
2015,01/01,Southern Scuffle,133,L,MD,10 - 2,Mark Grey,12040,Cornell,Michael Cook,19685,Boise State
2015,12/21,Reno Tournament of Champions,133,L,DEC,5 - 1,Devin Poppen,22026,Southern Oregon,Michael Cook,19685,Boise State
2015,12/21,Reno Tournament of Champions,133,W,FALL,1:04,Danny Sabatello,11741,Purdue,Michael Cook,19685,Boise State
2015,12/21,Reno Tournament of Champions,133,L,DEC,5 - 4,Gary Wayne Harding,20270,Oklahoma State,Michael Cook,19685,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,133,L,FALL,7:00,Ryan Osleeb,11828,Harvard,Michael Cook,19685,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,133,W,DEC,8 - 5,Maverick Passaro,20545,Hofstra,Michael Cook,19685,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,133,W,DEC,7 - 3,Deondre Wilson,23800,North Idaho College,Michael Cook,19685,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,133,W,DEC,3 - 2,Chris Caton,13376,Indiana,Michael Cook,19685,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,133,L,MD,13 - 3,Earl Hall,12220,Iowa State,Michael Cook,19685,Boise State
2015,11/14,Utah Valley University - Boise State Dual,133,L,DEC,4 - 1,Jade Rauser,13291,Utah Valley,Michael Cook,19685,Boise State
2015,11/14,Iowa State @ Boise State,133,L,MD,13 - 4,Earl Hall,12220,Iowa State,Michael Cook,19685,Boise State
2015,11/08,Cowboy Open,133,W,DEC,5 - 0,Taylor Summers,21100,Chadron State,Michael Cook,19685,Boise State
2015,03/19,NCAA Championships,141,W,SV-1,6 - 4,Michael Morales,20474,West Virginia,Geordan Martinez,19690,Boise State
2015,03/19,NCAA Championships,141,L,DEC,6 - 4,Anthony Abidin,11584,Nebraska,Geordan Martinez,19690,Boise State
2015,03/19,NCAA Championships,141,W,DEC,6 - 4,David Pearce,13379,Drexel,Geordan Martinez,19690,Boise State
2015,03/19,NCAA Championships,141,W,FALL,1:40,Michael Longo,19624,Appalachian State,Geordan Martinez,19690,Boise State
2015,03/19,NCAA Championships,141,L,DEC,9 - 5,Dean Heil,15376,Oklahoma State,Geordan Martinez,19690,Boise State
2015,03/01,Pac-12 Championships,141,W,DEC,5 - 3,Devin Reynolds,20294,Oregon State,Geordan Martinez,19690,Boise State
2015,03/01,Pac-12 Championships,141,W,DEC,6 - 3,Matt Kraus,11779,Arizona State,Geordan Martinez,19690,Boise State
2015,02/15,Boise State - Wyoming Dual,141,W,DEC,10 - 3,Cole Mendenhall,11607,Wyoming,Geordan Martinez,19690,Boise State
2015,02/08,Boise State - Oregon State Dual,141,W,DEC,13 - 7,Devin Reynolds,20294,Oregon State,Geordan Martinez,19690,Boise State
2015,02/06,CSU Bakersfield - Boise State Dual,141,W,FALL,1:25,Timmy Box,14724,CSU Bakersfield,Geordan Martinez,19690,Boise State
2015,02/05,Boise State vs Cal Poly -  Dual,141,W,DEC,8 - 1,Colton Schilling,12033,Cal Poly,Geordan Martinez,19690,Boise State
2015,02/01,Stanford - Boise State Dual,141,W,TF4,18 - 2 6:34,Mason Pengilly,20392,Stanford,Geordan Martinez,19690,Boise State
2015,01/23,Arizona State - Boise State Dual,141,W,DEC,5 - 3,Matt Kraus,11779,Arizona State,Geordan Martinez,19690,Boise State
2015,01/09,Boise State - Northern Colorado Dual,141,W,FALL,4:17,Benjamin Polkowske,20556,Northern Colorado,Geordan Martinez,19690,Boise State
2015,01/01,Southern Scuffle,141,W,FALL,1:41,Zach Horan,11624,Central Michigan,Geordan Martinez,19690,Boise State
2015,01/01,Southern Scuffle,141,W,MD,10 - 2,Anthony Abidin,11584,Nebraska,Geordan Martinez,19690,Boise State
2015,01/01,Southern Scuffle,141,W,MD,9 - 0,Jason Estevez,17873,Buffalo,Geordan Martinez,19690,Boise State
2015,01/01,Southern Scuffle,141,W,MD,13 - 5,Tanner Tough,24326,Duke,Geordan Martinez,19690,Boise State
2015,01/01,Southern Scuffle,141,L,DEC,6 - 4,Lavion Mayes,11599,Missouri,Geordan Martinez,19690,Boise State
2015,12/13,Oregon State - Boise State Dual,141,W,DEC,7 - 4,Devin Reynolds,20294,Oregon State,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,DEC,5 - 4,Michael Morales,20474,West Virginia,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,L,DEC,6 - 1,Todd Preston,11608,Harvard,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,FALL,5:09,Jamel Hudson,12024,Hofstra,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,DEC,9 - 3,Ty Buckiso,20399,The Citadel,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,DEC,10 - 6,Sam Speno,11813,NC State,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,DEC,4 - 3,Mitch Bengtson,11619,North Dakota State,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,DEC,8 - 4,Michael Morales,20474,West Virginia,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,FALL,7:00,Jamel Hudson,12024,Hofstra,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,W,TF4,15 - 0 5:37,Dante Rodriguez,19964,Iowa State,Geordan Martinez,19690,Boise State
2015,12/05,Cliff Keen Las Vegas Invitational,141,L,DEC,10 - 8,Anthony Ashnault,11803,Rutgers,Geordan Martinez,19690,Boise State
2015,11/14,Utah Valley University - Boise State Dual,141,W,FALL,1:32,Derek Malan,20415,Utah Valley,Geordan Martinez,19690,Boise State
2015,11/14,Iowa State @ Boise State,141,W,DEC,9 - 5,John Meeks,11597,Iowa State,Geordan Martinez,19690,Boise State
2015,11/23,Spokane Open,141,L,MFOR,0 - 0,erick garcia,21842,New Mexico Highlands,Chris Caldwell,15660,Boise State
2015,11/23,Spokane Open,141,L,MFOR,0 - 0,Eric Ambriz,23078,Cerritos College,Chris Caldwell,15660,Boise State
2015,11/23,Spokane Open,141,L,DEC,4 - 0,Bryce Weatherston,23079,North Idaho College,Chris Caldwell,15660,Boise State
2015,11/23,Spokane Open,141,W,DEC,6 - 3,Robert Rizzolino,21847,Clarion,Chris Caldwell,15660,Boise State
2015,11/23,Spokane Open,141,W,DEC,8 - 2,Cesar Montes,23081,Belmont Abbey,Chris Caldwell,15660,Boise State
2015,11/23,Spokane Open,141,W,FALL,1:31,chauncey kono,23080,New Mexico Highlands,Chris Caldwell,15660,Boise State
2015,11/22,Nor Cal Invitational,141,L,MD,10 - 2,Tommy Pawelski,12007,Stanford,Chris Caldwell,15660,Boise State
2015,11/22,Nor Cal Invitational,141,L,MD,10 - 2,Brian Rossi,20394,Stanford,Chris Caldwell,15660,Boise State
2015,01/18,Boise State - North Dakota State Dual,141,L,FALL,3:44,Mitch Bengtson,11619,North Dakota State,Jared Jonshoy,23076,Boise State
2015,01/16,Boise State - South Dakota State Dual,141,L,MD,10 - 1,Luke Zilverberg,13633,South Dakota State,Jared Jonshoy,23076,Boise State
2015,12/21,Reno Tournament of Champions,141,L,MD,14 - 5,Austin Solari,23973,Grand Canyon,Jared Jonshoy,23076,Boise State
2015,12/21,Reno Tournament of Champions,141,L,FALL,5:27,Isaiah Locsin,20391,Stanford,Jared Jonshoy,23076,Boise State
2015,12/06,Battle of the Rockies,141,L,DEC,5 - 3,Michael Asselstine,23464,Boston U,Jared Jonshoy,23076,Boise State
2015,12/06,Battle of the Rockies,141,W,DEC,11 - 7,Jimmy Zhen,23463,Unattached,Jared Jonshoy,23076,Boise State
2015,12/06,Battle of the Rockies,141,L,MD,11 - 2,Darren Wynn,23462,McKendree University,Jared Jonshoy,23076,Boise State
2015,12/06,Battle of the Rockies,141,W,TF4,15 - 0 7:00,Austin Meyn,22301,Cumberland,Jared Jonshoy,23076,Boise State
2015,11/23,Spokane Open,141,W,DEC,12 - 5,Bryce Weatherston,23079,North Idaho College,Jared Jonshoy,23076,Boise State
2015,11/23,Spokane Open,141,W,MD,16 - 4,erick garcia,21842,New Mexico Highlands,Jared Jonshoy,23076,Boise State
2015,11/23,Spokane Open,141,W,MD,16 - 6,Eric Ambriz,23078,Cerritos College,Jared Jonshoy,23076,Boise State
2015,11/23,Spokane Open,141,W,TF4,19 - 3 5:41,Ricky Moroguez,23077,Unattached,Jared Jonshoy,23076,Boise State
2015,11/23,Spokane Open,141,W,FALL,0:39,Jake Crawford,21841,Western Colorado,Jared Jonshoy,23076,Boise State
2015,03/01,Pac-12 Championships,149,L,DEC,7 - 4,Garrett Schaner,13763,Stanford,Jake Velarde,19695,Boise State
2015,03/01,Pac-12 Championships,149,L,DEC,3 - 1,Blake Kastl,11799,Cal Poly,Jake Velarde,19695,Boise State
2015,03/01,Pac-12 Championships,149,L,MD,10 - 0,Coleman Hammond,14011,CSU Bakersfield,Jake Velarde,19695,Boise State
2015,02/15,Boise State - Wyoming Dual,149,L,FALL,2:40,Austin Breckenridge,16769,Wyoming,Jake Velarde,19695,Boise State
2015,02/08,Boise State - Oregon State Dual,149,L,MD,11 - 3,Abraham Rodriquez,42226,Oregon State,Jake Velarde,19695,Boise State
2015,02/06,CSU Bakersfield - Boise State Dual,149,L,DEC,4 - 0,Coleman Hammond,14011,CSU Bakersfield,Jake Velarde,19695,Boise State
2015,02/05,Boise State vs Cal Poly -  Dual,149,L,DEC,7 - 4,Blake Kastl,11799,Cal Poly,Jake Velarde,19695,Boise State
2015,02/01,Stanford - Boise State Dual,149,L,DEC,8 - 2,Garrett Schaner,13763,Stanford,Jake Velarde,19695,Boise State
2015,01/23,Arizona State - Boise State Dual,149,L,MD,16 - 5,Christian Pagdilao,20575,Arizona State,Jake Velarde,19695,Boise State
2015,12/21,Reno Tournament of Champions,149,L,DEC,6 - 4,Joe Mavins,21853,Unattached,Jake Velarde,19695,Boise State
2015,12/21,Reno Tournament of Champions,149,L,MD,8 - 0,Jake Ekster,22969,Missouri Baptist,Jake Velarde,19695,Boise State
2015,02/15,Boise State - Wyoming Dual,157,L,MD,10 - 1,Brandon Richardson,13647,Wyoming,Lucas Somera,15847,Boise State
2015,01/10,UVU Open,157,L,MFOR,0 - 0,Raider Lofthouse,20414,Utah Valley,Lucas Somera,15847,Boise State
2015,12/21,Reno Tournament of Champions,149,L,FALL,0:28,Jordan Henrickson,13523,Oregon State,Lucas Somera,15847,Boise State
2015,12/21,Reno Tournament of Champions,149,L,FALL,1:54,Brayden Humpherys,20413,Utah Valley,Lucas Somera,15847,Boise State
2015,12/21,Reno Tournament of Champions,149,W,FALL,0:19,Christopher Garcia,21754,Clackamas Community College,Lucas Somera,15847,Boise State
2015,11/23,Spokane Open,149,L,DEC,10 - 9,Christopher Garcia,21754,Clackamas Community College,Lucas Somera,15847,Boise State
