season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/21,NCAA Championships,125,L,DEC,7 - 3,Eli Griffin,68743,Cal Baptist,Michael Joyce,76394,Brown
2024,03/21,NCAA Championships,125,L,DEC,8 - 4,Tristan Lujan,63015,Michigan State,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,L,MD,14 - 4,Max Gallagher,78893,Pennsylvania,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,W,DEC,14 - 7,Drew Heethuis,78620,Princeton,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,W,MD,12 - 1,Eric Howe,73497,Franklin & Marshall,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,W,DEC,4 - 3,Diego Sotelo,71874,Harvard,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,L,DEC,5 - 3,Ethan Berginc,71779,Army West Point,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,125,W,CMFF,0 - 0,Jack Maida,72679,American,Michael Joyce,76394,Brown
2024,02/24,Sacred Heart - Brown Dual,125,W,MD,12 - 1,Jake Ice,73474,Sacred Heart,Michael Joyce,76394,Brown
2024,02/23,Harvard - Brown Dual,125,W,MD,13 - 2,Isaiah Adams,84480,Harvard,Michael Joyce,76394,Brown
2024,02/18,Brown - Columbia Dual,125,L,DEC,13 - 6,Nick Babin,65929,Columbia,Michael Joyce,76394,Brown
2024,02/17,Brown - Bucknell Dual,125,W,MD,8 - 0,Kade Davidheiser,78810,Bucknell,Michael Joyce,76394,Brown
2024,02/10,Drexel - Brown Dual,125,L,SV-1,8 - 5,Desmond Pleasant,71583,Drexel,Michael Joyce,76394,Brown
2024,02/04,Princeton - Brown Dual,125,L,FALL,6:16,Drew Heethuis,78620,Princeton,Michael Joyce,76394,Brown
2024,02/03,Pennsylvania - Brown Dual,125,L,DEC,5 - 1,Max Gallagher,78893,Pennsylvania,Michael Joyce,76394,Brown
2024,01/27,Brown - Binghamton Dual,125,W,DEC,7 - 2,Carson Wagner,78720,Binghamton,Michael Joyce,76394,Brown
2024,01/27,Brown - Cornell Dual,125,L,SV-1,7 - 4,Greg Diakomihalis,61116,Cornell,Michael Joyce,76394,Brown
2024,03/08,EIWA Championships,133,W,MD,11 - 1,Mason Leiphart,73193,Franklin & Marshall,Hunter Adrian,65842,Brown
2024,03/08,EIWA Championships,133,W,MD,15 - 6,Brendan Ferretti,72187,Navy,Hunter Adrian,65842,Brown
2024,03/08,EIWA Championships,133,L,SV-1,5 - 2,Micah Roes,67299,Binghamton,Hunter Adrian,65842,Brown
2024,03/08,EIWA Championships,133,L,DEC,8 - 2,Vitali Arujau,49108,Cornell,Hunter Adrian,65842,Brown
