season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,02/26,EIWA Championships,125,W,DEC,3 - 2,Kyle Waterman,67256,Drexel,Brandon Seidman,56803,Bucknell
2021,02/26,EIWA Championships,125,L,SV-1,6 - 2,Dylan Ryder,50876,Hofstra,Brandon Seidman,56803,Bucknell
2021,02/26,EIWA Championships,125,L,DEC,6 - 3,Micah Roes,67299,Binghamton,Brandon Seidman,56803,Bucknell
2021,02/26,EIWA Championships,125,L,DEC,7 - 4,Gage Curry,44583,American,Brandon Seidman,56803,Bucknell
2021,01/31,Bucknell - Army Dual,125,W,DEC,6 - 5,Ryan Chauvin,50835,Army West Point,Brandon Seidman,56803,Bucknell
2021,01/24,Sacred Heart Bucknell Extra,125,W,DEC,6 - 2,Sean Faraon,62473,Sacred Heart,Brandon Seidman,56803,Bucknell
2021,01/17,Oklahoma - Bucknell Dual,125,W,DEC,5 - 3,Tommy Hoskins,50613,Oklahoma,Brandon Seidman,56803,Bucknell
2021,01/17,Bucknell - West Virginia Dual,125,L,DEC,11 - 8,Killian Cardinale,49268,West Virginia,Brandon Seidman,56803,Bucknell
2021,01/03,Bison Round Robin,125,W,MD,10 - 2,Cliff Conway,50304,VMI,Brandon Seidman,56803,Bucknell
2021,01/03,Bison Round Robin,125,W,SV-1,4 - 2,Bryce Cockrell,65769,LIU,Brandon Seidman,56803,Bucknell
2021,03/18,NCAA Championships,133,L,FALL,1:36,Boo Dryden,52313,Minnesota,Darren Miller,57210,Bucknell
2021,03/18,NCAA Championships,133,L,DEC,8 - 3,Lucas Byrd,56714,Illinois,Darren Miller,57210,Bucknell
2021,02/26,EIWA Championships,133,W,DEC,5 - 1,Devin Matthews,70150,LIU,Darren Miller,57210,Bucknell
2021,02/26,EIWA Championships,133,L,MD,10 - 1,Jacob Allen,50935,Navy,Darren Miller,57210,Bucknell
2021,02/26,EIWA Championships,133,W,DEC,4 - 0,Chandler Olson,49119,Drexel,Darren Miller,57210,Bucknell
2021,02/26,EIWA Championships,133,W,DEC,5 - 0,Garrett Lambert,44698,Hofstra,Darren Miller,57210,Bucknell
2021,02/26,EIWA Championships,133,W,DEC,7 - 2,Anthony Sobotker,60378,Binghamton,Darren Miller,57210,Bucknell
2021,01/31,Bucknell - Army Dual,133,L,DEC,6 - 4,Mark Montgomery,60539,Army West Point,Darren Miller,57210,Bucknell
2021,01/24,Sacred Heart Bucknell Extra,133,W,TF5,22 - 4 7:00,Kyle Randall,56471,Sacred Heart,Darren Miller,57210,Bucknell
2021,01/17,Oklahoma - Bucknell Dual,133,W,DEC,4 - 1,Anthony Madrigal,50633,Oklahoma,Darren Miller,57210,Bucknell
2021,01/03,Bison Round Robin,133,W,TF5,16 - 0 4:01,Luke Fegley,67426,VMI,Darren Miller,57210,Bucknell
2021,01/03,Bison Round Robin,133,W,DEC,3 - 1,Jakob Campbell,49060,Bucknell,Darren Miller,57210,Bucknell
2021,01/03,Bison Round Robin,133,W,DEC,6 - 0,Devin Matthews,70150,LIU,Darren Miller,57210,Bucknell
2021,01/17,Bucknell - West Virginia Dual,133,L,TB-1,4 - 3,Joey Thomas,51008,West Virginia,Jakob Campbell,49060,Bucknell
2021,01/03,Bison Round Robin,133,L,DEC,3 - 1,Darren Miller,57210,Bucknell,Jakob Campbell,49060,Bucknell
2021,01/03,Bison Round Robin,133,W,MD,10 - 1,Luke Fegley,67426,VMI,Jakob Campbell,49060,Bucknell
2021,01/03,Bison Round Robin,133,W,FALL,4:08,Devin Matthews,70150,LIU,Jakob Campbell,49060,Bucknell
2021,02/26,EIWA Championships,141,L,DEC,7 - 3,Drew Witham,70151,LIU,Kurt Phipps,63966,Bucknell
2021,02/26,EIWA Championships,141,W,MD,11 - 2,Jordan Carlucci,62475,Sacred Heart,Kurt Phipps,63966,Bucknell
2021,02/26,EIWA Championships,141,L,DEC,3 - 0,Lane Peters,45639,Army West Point,Kurt Phipps,63966,Bucknell
2021,02/26,EIWA Championships,141,W,MFOR,0 - 0,Patrick Ryan,57253,American,Kurt Phipps,63966,Bucknell
2021,02/26,EIWA Championships,141,W,FALL,4:18,Patrick Ryan,57253,American,Kurt Phipps,63966,Bucknell
