season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,02/06,Edinboro Open,125,W,FALL,1:47,Andrew Coghill,19800,Cleveland State,Justin Patrick,39587,Buffalo
2016,02/06,Edinboro Open,125,W,MD,10 - 1,Brendan Howard,39805,Clarion,Justin Patrick,39587,Buffalo
2016,02/06,Edinboro Open,125,W,DEC,8 - 1,Ezekiel Beatty,44261,Pitt-Johnstown,Justin Patrick,39587,Buffalo
2016,02/06,Edinboro Open,125,W,DEC,14 - 11,John Martin,12102,Cleveland State,Justin Patrick,39587,Buffalo
2016,02/06,Edinboro Open,125,L,DEC,7 - 2,Logan Griffin,40454,Michigan State,Justin Patrick,39587,Buffalo
2016,02/06,Edinboro Open,125,L,DEC,5 - 3,Ares Carpio,12143,Arizona State,Justin Patrick,39587,Buffalo
2016,01/17,Purple Raider Open,125,W,DEC,4 - 3,Ivan McClay,21006,Notre Dame,Justin Patrick,39587,Buffalo
2016,01/17,Purple Raider Open,125,W,DEC,6 - 0,Dylan Shockey,41931,Ashland,Justin Patrick,39587,Buffalo
2016,01/17,Purple Raider Open,125,W,MD,12 - 3,Luke Nace,20234,Ohio,Justin Patrick,39587,Buffalo
2016,01/17,Purple Raider Open,125,W,DEC,7 - 5,Jake Ayers,41293,Notre Dame,Justin Patrick,39587,Buffalo
2016,01/17,Purple Raider Open,125,L,MFOR,0 - 0,Austin Assad,39516,Michigan,Justin Patrick,39587,Buffalo
2016,12/28,Wilkes Open,125,L,FALL,5:27,Josh Antoine,22831,Nassau Community College,Justin Patrick,39587,Buffalo
2016,12/28,Wilkes Open,125,W,DEC,1 - 0,Nick Barbaria,43580,Roger Williams,Justin Patrick,39587,Buffalo
2016,12/28,Wilkes Open,125,L,DEC,4 - 3,Luis Gonzalez,40041,Rutgers,Justin Patrick,39587,Buffalo
2016,12/28,Wilkes Open,125,W,MFOR,0 - 0,Gerard Daly,40044,Sacred Heart,Justin Patrick,39587,Buffalo
2016,12/12,Cleveland State Open,125,W,DEC,8 - 4,Ben Smith,23445,Shorter,Justin Patrick,39587,Buffalo
2016,12/12,Cleveland State Open,125,W,DEC,9 - 2,Steven Simpson,39905,Old Dominion,Justin Patrick,39587,Buffalo
2016,12/12,Cleveland State Open,125,W,FALL,9:00,Cortez Starkes,12194,Gardner-Webb,Justin Patrick,39587,Buffalo
2016,12/12,Cleveland State Open,125,W,DEC,7 - 5,Cortez Starkes,12194,Gardner-Webb,Justin Patrick,39587,Buffalo
2016,12/12,Cleveland State Open,125,L,DEC,6 - 0,Austin Assad,39516,Michigan,Justin Patrick,39587,Buffalo
2016,12/05,Thunderwolves Open,125,W,DEC,15 - 10,Damian Short,43438,Muskegon Community College,Justin Patrick,39587,Buffalo
2016,12/05,Thunderwolves Open,125,W,TF5,17 - 2 7:00,Colt Kollock,23882,Mercyhurst,Justin Patrick,39587,Buffalo
2016,12/05,Thunderwolves Open,125,W,DEC,14 - 11,Joe Nelson,19659,Binghamton,Justin Patrick,39587,Buffalo
2016,11/22,New York State Championships,125,W,DEC,8 - 4,Ferdinand Mase,43045,Ithaca,Justin Patrick,39587,Buffalo
2016,11/22,New York State Championships,125,W,MD,19 - 7,Kyle Kelly,12123,Binghamton,Justin Patrick,39587,Buffalo
2016,11/22,New York State Championships,125,W,MD,14 - 5,Vince Pallone,19817,Columbia,Justin Patrick,39587,Buffalo
2016,11/22,New York State Championships,125,W,FALL,0:34,Conner Ziegler,43075,Army West Point,Justin Patrick,39587,Buffalo
2016,11/15,East Stroudsburg Open,125,W,FALL,2:45,Brandon Roseborough,41212,United States Military Academy,Justin Patrick,39587,Buffalo
2016,11/15,East Stroudsburg Open,125,W,DEC,9 - 4,Steven Simpson,39905,Old Dominion,Justin Patrick,39587,Buffalo
2016,11/15,East Stroudsburg Open,125,W,DEC,13 - 6,Alex Madrigal,39754,Old Dominion,Justin Patrick,39587,Buffalo
2016,11/15,East Stroudsburg Open,125,W,DEC,10 - 6,Michael Russo,19704,Brown,Justin Patrick,39587,Buffalo
2016,11/15,East Stroudsburg Open,125,W,DEC,12 - 7,Tanner Shoap,12205,Drexel,Justin Patrick,39587,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,125,L,DEC,10 - 6,Tanner Shoap,12205,Drexel,Justin Patrick,39587,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,125,W,FALL,4:39,Derek Gulotta,40294,Lock Haven,Justin Patrick,39587,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,125,L,DEC,6 - 1,Steven Bulzomi,40242,Binghamton,Justin Patrick,39587,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,125,W,DEC,11 - 6,Scott Stossel,40229,Penn State,Justin Patrick,39587,Buffalo
2016,11/01,Clarion Open,125,W,TF5,15 - 0 7:00,Kevin Miller,41280,Pitt-Johnstown,Justin Patrick,39587,Buffalo
2016,11/01,Clarion Open,125,L,DEC,4 - 3,Jake Gromacki,20324,Pittsburgh,Justin Patrick,39587,Buffalo
2016,11/01,Clarion Open,125,L,DEC,7 - 3,Evan Cheek,40190,Cleveland State,Justin Patrick,39587,Buffalo
2016,11/01,Clarion Open,125,W,TF5,20 - 5 7:00,Nick DeRosa,19801,Cleveland State,Justin Patrick,39587,Buffalo
2016,03/17,NCAA Championships,133,L,DEC,8 - 3,Jamal Morris,20136,NC State,Bryan Lantry,19723,Buffalo
2016,03/17,NCAA Championships,133,L,MD,14 - 0,Cameron Kelly,39687,Ohio,Bryan Lantry,19723,Buffalo
2016,03/05,MAC Championships,133,W,MFOR,0 - 0,Shayne Wireman,12103,Eastern Michigan,Bryan Lantry,19723,Buffalo
2016,02/19,Northern Iowa - Buffalo Dual,133,L,FALL,4:47,Josh Alber,20208,Northern Iowa,Bryan Lantry,19723,Buffalo
2016,02/12,Binghamton - Buffalo Dual,133,W,DEC,9 - 3,Jacob Nicholson,40186,Binghamton,Bryan Lantry,19723,Buffalo
2016,02/07,Buffalo - Central Michigan Dual,133,L,MD,13 - 5,Corey Keener,12111,Central Michigan,Bryan Lantry,19723,Buffalo
2016,01/24,Ohio - Buffalo Dual,133,L,FALL,1:05,Cameron Kelly,39687,Ohio,Bryan Lantry,19723,Buffalo
2016,01/16,Buffalo - Sacred Heart Dual,133,W,FALL,4:25,Tim Johnson,20831,Sacred Heart,Bryan Lantry,19723,Buffalo
2016,01/16,Buffalo - Columbia Dual,133,L,DEC,4 - 1,Angelo Amenta,12031,Columbia,Bryan Lantry,19723,Buffalo
2016,01/08,Buffalo - Missouri Dual,133,L,DEC,5 - 0,Zach Synon,12142,Missouri,Bryan Lantry,19723,Buffalo
2016,12/29,Midlands Championships,133,L,MD,11 - 2,Joey Palmer,12152,Oregon State,Bryan Lantry,19723,Buffalo
2016,12/29,Midlands Championships,133,W,DEC,6 - 5,Scott DelVecchio,12021,Rutgers,Bryan Lantry,19723,Buffalo
2016,12/29,Midlands Championships,133,W,DEC,11 - 4,Nico Colunga,39981,North Dakota State,Bryan Lantry,19723,Buffalo
2016,12/29,Midlands Championships,133,W,DEC,10 - 3,Garrett Pepple,39561,Indiana,Bryan Lantry,19723,Buffalo
2016,12/29,Midlands Championships,133,L,DEC,12 - 8,jacob colon,21374,Grand View,Bryan Lantry,19723,Buffalo
2016,12/19,Appalachian State - Buffalo Dual,133,W,DEC,5 - 1,Jacob Grigg,19620,Appalachian State,Bryan Lantry,19723,Buffalo
2016,12/19,Buffalo - Clarion Dual,133,W,MD,11 - 3,Roshaun Cooley,39552,Clarion,Bryan Lantry,19723,Buffalo
2016,12/13,Buffalo - Kent State Dual,133,L,DEC,10 - 7,Mack McGuire,12004,Kent State,Bryan Lantry,19723,Buffalo
2016,12/11,Gardner-Webb - Buffalo Dual,133,W,SV-1,3 - 1,Tyler Ziegler,13787,Gardner-Webb,Bryan Lantry,19723,Buffalo
2016,12/06,Buffalo - Eastern Michigan Dual,133,L,DEC,8 - 3,Shayne Wireman,12103,Eastern Michigan,Bryan Lantry,19723,Buffalo
2016,11/22,New York State Championships,133,W,TF5,17 - 2 7:00,Jaydon Rice,42720,Hunter,Bryan Lantry,19723,Buffalo
2016,11/22,New York State Championships,133,W,MD,18 - 5,Kyle Mcgregor,43037,Niagara Community College,Bryan Lantry,19723,Buffalo
2016,11/22,New York State Championships,133,W,DEC,3 - 1,Bryan Israel,43090,Ithaca,Bryan Lantry,19723,Buffalo
2016,11/22,New York State Championships,133,L,MD,14 - 1,Jacob Nicholson,40186,Binghamton,Bryan Lantry,19723,Buffalo
2016,11/22,New York State Championships,133,L,DEC,3 - 2,Angelo Amenta,12031,Columbia,Bryan Lantry,19723,Buffalo
2016,11/15,Lock Haven - Buffalo Dual,133,W,DEC,7 - 4,Robert Rehm,21101,Lock Haven,Bryan Lantry,19723,Buffalo
2016,11/15,West Virginia - Buffalo Dual,133,W,DEC,10 - 4,Cory Stainbrook,12131,West Virginia,Bryan Lantry,19723,Buffalo
2016,11/01,Buffalo - Davidson Dual,133,W,FALL,1:31,Zachary Jones,40333,Davidson,Bryan Lantry,19723,Buffalo
2016,11/01,Buffalo - Maryland Dual,133,L,MD,16 - 5,Tyler Goodwin,18147,Maryland,Bryan Lantry,19723,Buffalo
2016,12/05,Thunderwolves Open,133,L,DEC,11 - 9,Kyle Mcgregor,43037,Niagara Community College,Rocco Russo,19728,Buffalo
2016,12/05,Thunderwolves Open,133,W,TF5,19 - 2 7:00,Archie Palmer,43439,Niagara Community College,Rocco Russo,19728,Buffalo
2016,12/05,Thunderwolves Open,133,W,TF5,23 - 7 7:00,Detric Mccoy,41300,Mercyhurst Northeast,Rocco Russo,19728,Buffalo
2016,11/22,New York State Championships,133,L,FALL,2:16,Mike Russo,42009,Spartan Combat RTC,Rocco Russo,19728,Buffalo
2016,11/22,New York State Championships,133,W,TF5,15 - 0 7:00,Donald Mccoy,41419,Brockport,Rocco Russo,19728,Buffalo
2016,11/22,New York State Championships,133,W,FALL,1:58,Joe Rorick,43079,Spartan Combat RTC,Rocco Russo,19728,Buffalo
2016,11/22,New York State Championships,133,W,DEC,12 - 11,Austin Harry,22478,Army West Point,Rocco Russo,19728,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,133,L,DEC,9 - 8,Zack Davis,20604,Navy,Rocco Russo,19728,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,FALL,4:33,Vincent Vespa,41322,United States Military Academy,Rocco Russo,19728,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,FALL,2:10,Ryan Friedman,39557,Harvard,Rocco Russo,19728,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,TF5,16 - 0 7:00,Lewis Williams,40291,Lock Haven,Rocco Russo,19728,Buffalo
2016,11/08,Jonathan Kaloust Bearcat Open,133,L,DEC,14 - 9,Nicholas Ottaviano,20364,Rutgers,Rocco Russo,19728,Buffalo
2016,12/28,Wilkes Open,133,L,DEC,11 - 4,Zach Valcarce,12156,Rider,Blake Retell,19727,Buffalo
2016,12/28,Wilkes Open,133,W,DEC,3 - 1,Christian Briody,39562,Columbia,Blake Retell,19727,Buffalo
2016,12/28,Wilkes Open,133,L,DEC,5 - 1,Tim Johnson,20831,Sacred Heart,Blake Retell,19727,Buffalo
2016,12/05,Thunderwolves Open,133,W,FALL,0:30,Archie Palmer,43439,Niagara Community College,Blake Retell,19727,Buffalo
2016,12/05,Thunderwolves Open,133,W,DEC,4 - 1,Detric Mccoy,41300,Mercyhurst Northeast,Blake Retell,19727,Buffalo
