season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/20,NCAA Championships,125,L,MD,8 - 0,Antonio Lorenzo,57329,Oklahoma,Koda Holeman,73792,Cal Poly
2025,03/20,NCAA Championships,125,L,DEC,12 - 7,Richard Figueroa,61129,Arizona State,Koda Holeman,73792,Cal Poly
2025,03/06,PAC 12 True 2nd Matches,125,L,FALL,2:20,Richard Castro-Sandoval,69366,CSU Bakersfield,Koda Holeman,73792,Cal Poly
2025,03/06,PAC 12 Championships,125,L,MD,11 - 2,Maximo Renteria,71870,Oregon State,Koda Holeman,73792,Cal Poly
2025,03/06,PAC 12 Championships,125,W,MD,16 - 2,Jayden Carson,62838,Little Rock,Koda Holeman,73792,Cal Poly
2025,02/23,Cal Poly - CSU Bakersfield Dual,125,W,MD,22 - 8,Eathon Rider,67395,CSU Bakersfield,Koda Holeman,73792,Cal Poly
2025,02/14,Little Rock - Cal Poly Dual,125,W,DEC,1 - 0,Jayden Carson,62838,Little Rock,Koda Holeman,73792,Cal Poly
2025,02/14,Northern Illinois - Cal Poly Dual,125,L,MD,8 - 0,Blake West,73337,Northern Illinois,Koda Holeman,73792,Cal Poly
2025,02/07,Oregon State - Cal Poly Dual,125,W,SV-1,3 - 0,Maximo Renteria,71870,Oregon State,Koda Holeman,73792,Cal Poly
2025,02/02,Southern Illinois Edwardsville - Cal Poly Dual,125,W,DEC,4 - 2,Drew Davis,84419,SIU Edwardsville,Koda Holeman,73792,Cal Poly
2025,01/11,Ohio - Cal Poly Dual,125,W,FALL,0:36,Logan Dean,93528,Ohio,Koda Holeman,73792,Cal Poly
2025,01/10,Drexel - Cal Poly Dual,125,L,DEC,9 - 5,Desmond Pleasant,71583,Drexel,Koda Holeman,73792,Cal Poly
2025,01/10,Cal Poly - Little Rock Dual,125,W,DEC,12 - 11,Jayden Carson,62838,Little Rock,Koda Holeman,73792,Cal Poly
2025,01/10,Cal Poly - George Mason Dual,125,W,DEC,4 - 1,Ben Monn,69708,George Mason,Koda Holeman,73792,Cal Poly
2025,12/29,Midlands Championships,125,W,DEC,8 - 4,Logan Brzozowski,85072,Harvard,Koda Holeman,73792,Cal Poly
2025,12/29,Midlands Championships,125,L,TF5,20 - 3 7:00,Marc-Anthony McGowan,79468,Princeton,Koda Holeman,73792,Cal Poly
2025,12/29,Midlands Championships,125,L,SV-1,4 - 1,Max Gallagher,78893,Pennsylvania,Koda Holeman,73792,Cal Poly
2025,12/29,Midlands Championships,125,W,FALL,6:22,Blaine Frazier,78575,Indiana,Koda Holeman,73792,Cal Poly
2025,12/19,Northwestern - Cal Poly Dual,125,W,DEC,8 - 6,Dedrick Navarro,84344,Northwestern,Koda Holeman,73792,Cal Poly
2025,12/19,Cal Baptist - Cal Poly Dual,125,W,FALL,4:44,Mitchell Neiner,83540,Cal Baptist,Koda Holeman,73792,Cal Poly
2025,12/06,Cliff Keen Invitational,125,L,DEC,8 - 5,Adrian Meza,83499,Iowa State,Koda Holeman,73792,Cal Poly
2025,12/06,Cliff Keen Invitational,125,L,MD,10 - 2,Vincent Robinson,78062,NC State,Koda Holeman,73792,Cal Poly
2025,11/24,Roadrunner Open,125,W,FALL,2:38,Erik Ramirez,92746,Menlo Wrestling Club,Koda Holeman,73792,Cal Poly
2025,11/24,Roadrunner Open,125,L,MD,11 - 2,Beric Jordan,84763,Oklahoma,Koda Holeman,73792,Cal Poly
2025,11/24,Roadrunner Open,125,W,DEC,7 - 1,Gage Singleton,93533,Oregon State,Koda Holeman,73792,Cal Poly
2025,11/24,Roadrunner Open,125,W,DEC,8 - 7,Richard Castro-Sandoval,69366,CSU Bakersfield,Koda Holeman,73792,Cal Poly
2025,11/09,Tiger Style Invite,125,W,DEC,7 - 2,Drew Davis,84419,SIU Edwardsville,Koda Holeman,73792,Cal Poly
2025,11/09,Tiger Style Invite,125,W,DEC,2 - 1,Isaiah Quintero,81600,Purdue,Koda Holeman,73792,Cal Poly
2025,11/09,Tiger Style Invite,125,L,TF5,19 - 1 5:09,Matt Ramos,57134,Purdue,Koda Holeman,73792,Cal Poly
2025,11/09,Tiger Style Invite,125,W,DEC,4 - 1,Gage Walker,84476,Missouri,Koda Holeman,73792,Cal Poly
2025,11/03,Indiana - Cal Poly Dual,125,L,MD,14 - 5,Jacob Moran,63550,Indiana,Koda Holeman,73792,Cal Poly
2025,11/02,Menlo Invitational,125,W,FALL,0:56,Cristian Cruz,94085,Skyline College,Ezequiel Vela,94098,Cal Poly
2025,11/02,Menlo Invitational,125,L,DEC,3 - 0,Will VomBaur,57735,Utah Valley,Ezequiel Vela,94098,Cal Poly
2025,11/02,Menlo Invitational,125,L,MD,12 - 3,Zachary Wright,70221,San Francisco State,Ezequiel Vela,94098,Cal Poly
2025,02/01,Oaks Invitational,125,W,FALL,3:52,Julian Sanchez,96838,Menlo Wrestling Club,Eziequel Vela,93037,Cal Poly
2025,02/01,Oaks Invitational,125,L,TF5,15 - 0 7:00,Isaiah Miller,86473,Cal Poly Humboldt,Eziequel Vela,93037,Cal Poly
2025,02/01,Oaks Invitational,125,L,DEC,11 - 7,Ethan Guillermo,89963,Menlo,Eziequel Vela,93037,Cal Poly
2025,02/01,Oaks Invitational,125,W,FALL,4:13,Marques Calapiz,70322,Simon Fraser,Eziequel Vela,93037,Cal Poly
2025,11/24,Roadrunner Open,125,L,TF5,16 - 1 7:00,Richard Castro-Sandoval,69366,CSU Bakersfield,Eziequel Vela,93037,Cal Poly
2025,11/24,Roadrunner Open,125,W,DEC,7 - 1,Elijah Valencia,94097,Menlo,Eziequel Vela,93037,Cal Poly
2025,11/24,Roadrunner Open,125,L,INJ,7:00,Julian Albang,99024,Cal Poly Humboldt,Eziequel Vela,93037,Cal Poly
2025,03/20,NCAA Championships,133,W,DEC,7 - 3,Zan Fugitt,78091,Wisconsin,Zeth Romney,73191,Cal Poly
2025,03/20,NCAA Championships,133,W,DEC,7 - 2,Connor McGonagle,56713,Virginia Tech,Zeth Romney,73191,Cal Poly
2025,03/20,NCAA Championships,133,L,DEC,2 - 0,Lucas Byrd,56714,Illinois,Zeth Romney,73191,Cal Poly
2025,03/20,NCAA Championships,133,W,DEC,8 - 2,Angelo Rini,56766,Indiana,Zeth Romney,73191,Cal Poly
2025,03/20,NCAA Championships,133,W,DEC,4 - 2,Tyler Knox,83265,Stanford,Zeth Romney,73191,Cal Poly
2025,03/20,NCAA Championships,133,W,DEC,7 - 3,Tyler Ferrera,78735,Cornell,Zeth Romney,73191,Cal Poly
2025,03/06,PAC 12 Championships,133,L,SV-1,4 - 1,Nasir Bailey,79029,Little Rock,Zeth Romney,73191,Cal Poly
2025,03/06,PAC 12 Championships,133,W,MD,15 - 7,Damion Elliott,76356,Oregon State,Zeth Romney,73191,Cal Poly
2025,02/14,Little Rock - Cal Poly Dual,133,L,DEC,8 - 2,Nasir Bailey,79029,Little Rock,Zeth Romney,73191,Cal Poly
2025,02/14,Northern Illinois - Cal Poly Dual,133,L,DEC,7 - 6,Markel Baker,78892,Northern Illinois,Zeth Romney,73191,Cal Poly
2025,02/02,Southern Illinois Edwardsville - Cal Poly Dual,133,W,DEC,8 - 2,Marcel Lopez,78290,SIU Edwardsville,Zeth Romney,73191,Cal Poly
2025,01/10,Cal Poly - Little Rock Dual,133,W,FALL,4:14,Nasir Bailey,79029,Little Rock,Zeth Romney,73191,Cal Poly
2025,01/10,Cal Poly - George Mason Dual,133,W,TF5,22 - 7 7:00,Geoff Whelan,93650,George Mason,Zeth Romney,73191,Cal Poly
2025,12/06,Cliff Keen Invitational,133,W,DEC,5 - 2,Jacob Van Dee,73557,Nebraska,Zeth Romney,73191,Cal Poly
2025,12/06,Cliff Keen Invitational,133,W,DEC,6 - 5,Nic Bouzakis,73468,Ohio State,Zeth Romney,73191,Cal Poly
2025,12/06,Cliff Keen Invitational,133,W,DEC,7 - 3,Evan Frost,72948,Iowa State,Zeth Romney,73191,Cal Poly
2025,12/06,Cliff Keen Invitational,133,W,FALL,2:09,Derrick Cardinal,68734,South Dakota State,Zeth Romney,73191,Cal Poly
2025,12/06,Cliff Keen Invitational,133,W,TF5,19 - 2 5:59,Chase DeBlaere,72993,Oregon State,Zeth Romney,73191,Cal Poly
2025,11/16,Stanford - Cal Poly Dual,133,L,DEC,5 - 3,Tyler Knox,83265,Stanford,Zeth Romney,73191,Cal Poly
2025,11/09,Tiger Style Invite,133,W,DEC,10 - 3,Braxton Brown,72103,Maryland,Zeth Romney,73191,Cal Poly
2025,11/09,Tiger Style Invite,133,W,FALL,1:25,Jake Crapps,84932,Missouri,Zeth Romney,73191,Cal Poly
2025,11/09,Tiger Style Invite,133,W,DEC,10 - 4,Kade Moore,73859,Missouri,Zeth Romney,73191,Cal Poly
2025,11/03,Indiana - Cal Poly Dual,133,W,DEC,7 - 3,Angelo Rini,56766,Indiana,Zeth Romney,73191,Cal Poly
2025,02/07,Oregon State - Cal Poly Dual,133,L,DEC,7 - 4,Hunter Taylor,79558,Oregon State,Anthony Lucio,93036,Cal Poly
2025,02/01,Oaks Invitational,133,W,DEC,7 - 3,Roberto Lopez,88075,Menlo,Anthony Lucio,93036,Cal Poly
2025,02/01,Oaks Invitational,133,W,DEC,5 - 3,Jeremiah Steele,85843,Menlo,Anthony Lucio,93036,Cal Poly
2025,02/01,Oaks Invitational,133,W,MD,10 - 0,Brayden Concepcion,79185,San Francisco State,Anthony Lucio,93036,Cal Poly
2025,12/22,Reno TOC,133,W,MD,15 - 2,Caleb Morales,98973,Montana State-Northern,Anthony Lucio,93036,Cal Poly
2025,12/22,Reno TOC,133,L,TF5,17 - 2 5:25,Ryan Lobato,92309,Grand View,Anthony Lucio,93036,Cal Poly
2025,12/22,Reno TOC,133,W,DEC,4 - 2,Cameron Clark,81828,Grand View,Anthony Lucio,93036,Cal Poly
2025,12/22,Reno TOC,133,L,DEC,4 - 1,Josh Neiwert,94103,Cal Poly Humboldt,Anthony Lucio,93036,Cal Poly
2025,11/24,Roadrunner Open,133,W,MD,11 - 2,Hayden Ancheta,84902,Unattached,Anthony Lucio,93036,Cal Poly
2025,11/24,Roadrunner Open,133,L,DEC,7 - 0,Santino Sanchez,79001,CSU Bakersfield,Anthony Lucio,93036,Cal Poly
