season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2017,03/16,NCAA Championships,125,L,DEC,10 - 3,Sean Russell,20727,Edinboro,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,L,DEC,4 - 2,Joey Dance,12221,Virginia Tech,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,W,DEC,4 - 1,Alfredo Rodriguez,41005,SIU Edwardsville,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,W,DEC,6 - 0,Josh Rodriguez,13418,North Dakota State,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,W,DEC,10 - 7,Gabe Townsell,45387,Stanford,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,L,MD,22 - 8,Thomas Gilman,13245,Iowa,Nathan Kraisser,20783,Campbell
2017,03/16,NCAA Championships,125,W,DEC,3 - 0,Jake Gromacki,20324,Clarion,Nathan Kraisser,20783,Campbell
2017,03/04,SoCon Championships,125,L,DEC,12 - 8,Alfredo Rodriguez,41005,SIU Edwardsville,Nathan Kraisser,20783,Campbell
2017,03/04,SoCon Championships,125,W,TF5,16 - 1 7:00,Dalton Henderson,22457,VMI,Nathan Kraisser,20783,Campbell
2017,03/04,SoCon Championships,125,W,DEC,14 - 10,Vito Pasone,12239,Appalachian State,Nathan Kraisser,20783,Campbell
2017,02/18,VMI - Campbell Dual,125,W,MD,12 - 2,Dalton Henderson,22457,VMI,Nathan Kraisser,20783,Campbell
2017,02/11,Southern Illinois Edwardsville - Campbell Dual,125,L,MD,13 - 2,Alfredo Rodriguez,41005,SIU Edwardsville,Nathan Kraisser,20783,Campbell
2017,02/05,Campbell - The Citadel Dual,125,W,TF5,16 - 0 3:51,Charles Kearney,40372,The Citadel,Nathan Kraisser,20783,Campbell
2017,01/28,Campbell - Chattanooga Dual,125,L,DEC,11 - 4,Alonzo Allen,19765,Chattanooga,Nathan Kraisser,20783,Campbell
2017,01/20,Gardner-Webb - Campbell Dual,125,W,FALL,1:15,Artur Hofer,45575,Gardner-Webb,Nathan Kraisser,20783,Campbell
2017,01/14,Campbell - Old Dominion Dual,125,W,FALL,0:56,Steven Simpson,39905,Old Dominion,Nathan Kraisser,20783,Campbell
2017,01/13,Kent State - Campbell Dual,125,W,FALL,2:51,Cory Simpson,45037,Kent State,Nathan Kraisser,20783,Campbell
2017,01/13,Campbell - Arizona State Dual,125,W,FALL,0:17,Michael Nguyn,16092,Arizona State,Nathan Kraisser,20783,Campbell
2017,01/13,Campbell - Bucknell Dual,125,W,TF5,20 - 1 7:00,Jordan Gessner,45220,Bucknell,Nathan Kraisser,20783,Campbell
2017,01/01,Southern Scuffle,125,W,DEC,1 - 0,Barlow McGhee,13251,Missouri,Nathan Kraisser,20783,Campbell
2017,01/01,Southern Scuffle,125,L,DEC,6 - 5,Sean Russell,20727,Edinboro,Nathan Kraisser,20783,Campbell
