season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/17,NCAA Championships,125,L,DEC,7 - 0,Josh Rodriguez,13418,North Dakota State,Brent Fleetwood,19750,Central Michigan
2016,03/17,NCAA Championships,125,L,TF5,24 - 8 5:37,Thomas Gilman,13245,Iowa,Brent Fleetwood,19750,Central Michigan
2016,03/17,NCAA Championships,125,W,SV-1,3 - 1,Zack Fuentes,12061,Drexel,Brent Fleetwood,19750,Central Michigan
2016,03/05,MAC Championships,125,W,DEC,4 - 0,Brandon Jeske,12133,Old Dominion,Brent Fleetwood,19750,Central Michigan
2016,03/05,MAC Championships,125,W,MD,9 - 0,Shakur Laney,39917,Ohio,Brent Fleetwood,19750,Central Michigan
2016,03/05,MAC Championships,125,W,DEC,3 - 0,Alijah Jeffery,20204,Northern Illinois,Brent Fleetwood,19750,Central Michigan
2016,03/05,MAC Championships,125,L,DEC,3 - 1,Kyle Akins,19714,Buffalo,Brent Fleetwood,19750,Central Michigan
2016,02/18,Wisconsin - Central Michigan Dual,125,L,DEC,7 - 2,Johnny Jimenez,20483,Wisconsin,Brent Fleetwood,19750,Central Michigan
2016,01/29,Central Michigan - Northern Iowa Dual,125,L,DEC,8 - 3,Dylan Peters,13253,Northern Iowa,Brent Fleetwood,19750,Central Michigan
2016,01/22,Central Michigan - Michigan Dual,125,L,DEC,4 - 2,Conor Youtsey,13271,Michigan,Brent Fleetwood,19750,Central Michigan
2016,01/17,Missouri - Central Michigan Dual,125,L,DEC,9 - 4,Barlow McGhee,13251,Missouri,Brent Fleetwood,19750,Central Michigan
2016,01/10,Ohio - Central Michigan Dual,125,W,DEC,9 - 2,Shakur Laney,39917,Ohio,Brent Fleetwood,19750,Central Michigan
2016,01/09,Oregon State - Central Michigan Dual,125,L,DEC,8 - 3,Ronnie Bresser,25183,Oregon State,Brent Fleetwood,19750,Central Michigan
2016,01/01,Southern Scuffle,125,L,DEC,7 - 5,Zeke Moisey,20472,West Virginia,Brent Fleetwood,19750,Central Michigan
2016,01/01,Southern Scuffle,125,W,DEC,5 - 0,Landon LoAlbo,20795,Gardner-Webb,Brent Fleetwood,19750,Central Michigan
2016,01/01,Southern Scuffle,125,W,DEC,3 - 2,Sean Russell,20727,Edinboro,Brent Fleetwood,19750,Central Michigan
2016,01/01,Southern Scuffle,125,L,DEC,9 - 3,Eddie Klimara,12136,Oklahoma State,Brent Fleetwood,19750,Central Michigan
2016,01/01,Southern Scuffle,125,W,DEC,1 - 0,Steve Polakowski,20046,Minnesota,Brent Fleetwood,19750,Central Michigan
