season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2014,02/02,Appalachian State - Chattanooga Dual,125,L,TF5,18 - 2 5:41,Vito Pasone,12239,Appalachian State,Campbell Lewis,12240,Chattanooga
2014,01/22,The Citadel - Chattanooga Dual,125,W,FALL,2:57,Joaquin Marquez,12146,The Citadel,Campbell Lewis,12240,Chattanooga
2014,01/11,Rider - Chattanooga Dual,125,L,DEC,8 - 3,Robert Deutsch,12122,Rider,Campbell Lewis,12240,Chattanooga
2014,01/11,Chattanooga - Virginia Dual,125,L,MD,13 - 3,Nick Herrmann,12144,Virginia,Campbell Lewis,12240,Chattanooga
2014,01/10,Nebraska-Kearney - Chattanooga Dual,125,L,DEC,11 - 4,Connor Bolling,22758,Nebraska-Kearney,Campbell Lewis,12240,Chattanooga
2014,12/20,Stanford - Chattanooga Dual,125,L,MD,15 - 3,Evan Silver,12224,Stanford,Campbell Lewis,12240,Chattanooga
2014,12/16,Gardner-Webb - Chattanooga Dual,125,W,DEC,5 - 0,William Anderson,12218,Gardner-Webb,Campbell Lewis,12240,Chattanooga
2014,11/16,Chattanooga - Shorter (Ga) Dual,125,W,TF5,17 - 2 4:02,Hayden Randolp,17581,Shorter,Zach Bridson,16041,Chattanooga
2014,11/10,Rider - Chattanooga Dual,125,L,DEC,7 - 3,Robert Deutsch,12122,Rider,Zach Bridson,16041,Chattanooga
2014,11/10,Hofstra - Chattanooga Dual,125,L,DEC,6 - 1,Jamie Franco,37445,Hofstra,Zach Bridson,16041,Chattanooga
2014,11/10,Virginia Tech - Chattanooga Dual,125,L,DEC,9 - 3,Joey Dance,12221,Virginia Tech,Zach Bridson,16041,Chattanooga
2014,11/08,Wisconsin - Chattanooga Dual,125,L,MD,22 - 9,Ryan Taylor,12219,Wisconsin,Zach Bridson,16041,Chattanooga
2014,11/08,Chattanooga - Cumberland (Tenn) Dual,125,W,TF5,16 - 1 4:24,Justus Griffith,13298,Cumberland,Zach Bridson,16041,Chattanooga
2014,11/10,VT Hokie Open,149,L,MD,10 - 2,Jahlani Callender,13882,Hofstra,Anderson Pope,37769,Chattanooga
2014,03/08,SoCon Championships,125,L,FALL,3:20,Philip Elias,12241,Davidson,Byron Smith,12132,Chattanooga
2014,03/08,SoCon Championships,125,L,DEC,9 - 6,Joaquin Marquez,12146,The Citadel,Byron Smith,12132,Chattanooga
2014,02/23,Chattanooga - VMI Dual,125,W,DEC,13 - 9,Dalton Henderson,22457,VMI,Byron Smith,12132,Chattanooga
2014,02/17,Virginia Tech - Chattanooga Dual,125,L,MD,16 - 3,Joey Dance,12221,Virginia Tech,Byron Smith,12132,Chattanooga
2014,02/16,Chattanooga - North Dakota State Dual,125,L,FALL,2:58,Hunter Weber,13273,North Dakota State,Byron Smith,12132,Chattanooga
2014,02/08,Chattanooga - Campbell Dual,125,L,MD,13 - 4,Tyler Walker,20789,Campbell,Byron Smith,12132,Chattanooga
2014,01/19,Chattanooga - Southern Illinois Edwardsville Dual,125,L,DEC,9 - 6,Dakota Leach,13281,SIU Edwardsville,Byron Smith,12132,Chattanooga
2014,01/10,Lock Haven - Chattanooga Dual,125,L,MD,13 - 5,Kaleb LeMaire,12109,Lock Haven,Byron Smith,12132,Chattanooga
2014,01/10,Arizona State - Chattanooga Dual,125,L,MD,11 - 3,Ares Carpio,12143,Arizona State,Byron Smith,12132,Chattanooga
2014,01/01,Southern Scuffle,125,L,FALL,3:57,Tyler Dorrell,37250,Oklahoma State,Byron Smith,12132,Chattanooga
2014,01/01,Southern Scuffle,125,L,TF5,16 - 0 5:56,Caleb Richardson,12113,Pennsylvania,Byron Smith,12132,Chattanooga
2014,01/01,Southern Scuffle,125,W,FALL,3:54,John Martin,12102,Cleveland State,Byron Smith,12132,Chattanooga
2014,12/15,Purdue - Chattanooga Dual,125,L,FALL,4:00,Camden Eppert,37441,Purdue,Byron Smith,12132,Chattanooga
2014,11/23,Navy Classic,125,W,DEC,5 - 4,Jason Bing,12124,Franklin & Marshall,Byron Smith,12132,Chattanooga
2014,11/23,Navy Classic,125,L,FALL,2:30,Joaquin Marquez,12146,The Citadel,Byron Smith,12132,Chattanooga
2014,11/23,Navy Classic,125,W,DEC,13 - 9,Steven Cox,13290,The Citadel,Byron Smith,12132,Chattanooga
2014,11/23,Navy Classic,125,W,MD,18 - 10,Dane Lemmon,12078,Navy,Byron Smith,12132,Chattanooga
2014,11/23,Navy Classic,125,L,FALL,3:38,Brenden Campbell,12140,Navy,Byron Smith,12132,Chattanooga
2014,11/10,VT Hokie Open,125,L,MD,13 - 3,Zach Valcarce,12156,Rider,Byron Smith,12132,Chattanooga
2014,11/10,VT Hokie Open,125,L,MD,12 - 1,Cortez Starkes,12194,Gardner-Webb,Byron Smith,12132,Chattanooga
2014,03/20,NCAA Championships,133,L,DEC,8 - 7,Cashé Quiroga,37185,Purdue,Nick Soto,12005,Chattanooga
2014,03/20,NCAA Championships,133,W,DEC,10 - 7,Nick Smith,37479,Northern Illinois,Nick Soto,12005,Chattanooga
2014,03/20,NCAA Championships,133,L,FALL,4:47,Rossi Bruno,15289,Michigan,Nick Soto,12005,Chattanooga
2014,03/20,NCAA Championships,133,W,DEC,9 - 5,Joey Palmer,12152,Oregon State,Nick Soto,12005,Chattanooga
2014,03/08,SoCon Championships,133,W,MD,12 - 2,Drew Walker,12118,Campbell,Nick Soto,12005,Chattanooga
2014,03/08,SoCon Championships,133,W,DEF,3:00,Anthony Elias,15359,Davidson,Nick Soto,12005,Chattanooga
2014,03/08,SoCon Championships,133,W,FALL,2:54,Michael Flora,12025,VMI,Nick Soto,12005,Chattanooga
2014,02/23,Chattanooga - VMI Dual,133,W,DEC,11 - 6,Michael Flora,12025,VMI,Nick Soto,12005,Chattanooga
2014,02/17,Virginia Tech - Chattanooga Dual,133,L,MD,14 - 5,Dennis Gustafson,11706,Virginia Tech,Nick Soto,12005,Chattanooga
2014,02/16,Chattanooga - North Dakota State Dual,133,L,SV-1,6 - 4,Justin LaValle,37157,North Dakota State,Nick Soto,12005,Chattanooga
2014,02/08,Chattanooga - Campbell Dual,133,W,MD,15 - 5,Drew Walker,12118,Campbell,Nick Soto,12005,Chattanooga
2014,01/22,The Citadel - Chattanooga Dual,133,W,MD,8 - 0,Aaron Hansen,11993,The Citadel,Nick Soto,12005,Chattanooga
2014,01/19,Chattanooga - Southern Illinois Edwardsville Dual,133,W,MD,15 - 2,Patrick Myers,11876,SIU Edwardsville,Nick Soto,12005,Chattanooga
2014,01/11,Chattanooga - Virginia Dual,133,W,MD,10 - 2,Joseph Martinez,12044,Virginia,Nick Soto,12005,Chattanooga
2014,01/11,Rider - Chattanooga Dual,133,W,DEC,11 - 7,Chuck Zeisloft,15756,Rider,Nick Soto,12005,Chattanooga
2014,01/10,Nebraska-Kearney - Chattanooga Dual,133,W,MD,14 - 1,Ryan Bauer,21346,Nebraska-Kearney,Nick Soto,12005,Chattanooga
2014,01/10,Lock Haven - Chattanooga Dual,133,L,DEC,5 - 3,Cody Wheeler,15130,Lock Haven,Nick Soto,12005,Chattanooga
