season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/04,MAC Championships,125,L,SV-1,3 - 1,Anthony Noto,64642,Lock Haven,Joseph Fischer,68702,Clarion
2022,03/04,MAC Championships,125,W,SV-1,3 - 1,Logan Heil,57515,Cleveland State,Joseph Fischer,68702,Clarion
2022,03/04,MAC Championships,125,W,SV-2,2 - 1,Tristan Daugherty,62877,Buffalo,Joseph Fischer,68702,Clarion
2022,03/04,MAC Championships,125,W,DEC,4 - 0,Bronson Garber,56759,Bloomsburg,Joseph Fischer,68702,Clarion
2022,02/19,Clarion - Edinboro Dual,125,W,MD,10 - 1,Chris Merlo,69410,Edinboro,Joseph Fischer,68702,Clarion
2022,02/11,Clarion - Rider Dual,125,L,DEC,6 - 4,Tyler Klinsky,62353,Rider,Joseph Fischer,68702,Clarion
2022,02/06,Clarion - Navy Dual,125,W,DEC,4 - 1,Jacob Allen,50935,Navy,Joseph Fischer,68702,Clarion
2022,02/05,Clarion - Southern Illinois Edwardsville Dual,125,W,MD,14 - 5,Austin Macias,57088,SIU Edwardsville,Joseph Fischer,68702,Clarion
2022,02/05,Clarion - George Mason Dual,125,W,MD,10 - 2,Ben Monn,69708,George Mason,Joseph Fischer,68702,Clarion
2022,01/30,Kent State - Clarion Dual,125,L,DEC,6 - 4,Jake Ferri,51179,Kent State,Joseph Fischer,68702,Clarion
2022,01/22,Clarion - Lock Haven Dual,125,L,DEC,4 - 1,Anthony Noto,64642,Lock Haven,Joseph Fischer,68702,Clarion
2022,01/18,Cleveland State - Clarion Dual,125,W,DEC,10 - 4,Logan Heil,57515,Cleveland State,Joseph Fischer,68702,Clarion
2022,12/23,Clarion - Buffalo Dual,125,L,TB-3,3 - 2,Tristan Daugherty,62877,Buffalo,Joseph Fischer,68702,Clarion
2022,12/19,Reno TOC,125,W,TF5,18 - 3 7:00,Paul Mascarenas,75870,Grand View,Joseph Fischer,68702,Clarion
2022,12/19,Reno TOC,125,W,FALL,1:57,Cooper Birdwell,72143,Oklahoma State,Joseph Fischer,68702,Clarion
