season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/16,NCAA Championships,125,L,MD,14 - 3,Brett Ungar,68705,Cornell,Nick Babin,65929,Columbia
2023,03/16,NCAA Championships,125,W,FALL,4:15,Jack Wagner,44755,North Carolina,Nick Babin,65929,Columbia
2023,03/16,NCAA Championships,125,W,DEC,2 - 0,Joey Prata,44734,Oklahoma,Nick Babin,65929,Columbia
2023,03/16,NCAA Championships,125,L,MD,9 - 0,Eric Barnett,56753,Wisconsin,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,L,DEC,4 - 1,Ryan Miller,62350,Pennsylvania,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,W,FALL,0:25,Mason Leiphart,73193,Franklin & Marshall,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,W,DEC,7 - 2,Diego Sotelo,71874,Harvard,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,W,DEC,7 - 0,Jacob Moon,73024,Hofstra,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,L,DEC,4 - 1,Diego Sotelo,71874,Harvard,Nick Babin,65929,Columbia
2023,03/04,EIWA Championships,125,W,MD,14 - 4,Antonio Mininno,50806,Drexel,Nick Babin,65929,Columbia
2023,02/19,Maryland - Columbia Dual,125,W,DEC,8 - 5,Braxton Brown,72103,Maryland,Nick Babin,65929,Columbia
2023,02/10,Columbia - Harvard Dual,125,L,DEC,3 - 2,Diego Sotelo,71874,Harvard,Nick Babin,65929,Columbia
2023,02/03,Columbia - Bucknell Dual,125,W,TF5,16 - 0 7:00,Grayson McLellan,79295,Bucknell,Nick Babin,65929,Columbia
2023,01/29,Cornell - Columbia Dual,125,L,DEC,2 - 1,Brett Ungar,68705,Cornell,Nick Babin,65929,Columbia
2023,01/27,Lehigh - Columbia Dual,125,W,FALL,6:10,Carter Bailey,73039,Lehigh,Nick Babin,65929,Columbia
2023,01/22,Pennsylvania - Columbia Dual,125,L,DEC,4 - 3,Ryan Miller,62350,Pennsylvania,Nick Babin,65929,Columbia
2023,01/20,Princeton - Columbia Dual,125,W,FALL,1:59,Nick Kayal,65849,Princeton,Nick Babin,65929,Columbia
2023,01/15,Oklahoma State - Columbia Dual,125,W,DEC,6 - 0,Trevor Mastrogiovanni,57608,Oklahoma State,Nick Babin,65929,Columbia
2023,01/13,Columbia - American Dual,125,W,FALL,1:03,Maximillian Leete,72678,American,Nick Babin,65929,Columbia
2023,12/29,Soldier Salute Open,125,W,DEC,2 - 1,Ethan Berginc,71779,Army West Point,Nick Babin,65929,Columbia
2023,12/29,Soldier Salute Open,125,W,DEC,6 - 2,Charlie Farmer,71771,Army West Point,Nick Babin,65929,Columbia
