season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2017,03/03,EIWA Championships,125,W,DEC,20 - 14,Jacob Martin,42329,Hofstra,Noah Baughman,44749,Cornell
2017,03/03,EIWA Championships,125,L,FALL,1:34,Darian Cruz,12135,Lehigh,Noah Baughman,44749,Cornell
2017,03/03,EIWA Championships,125,W,FALL,6:58,Tanner Shoap,12205,Drexel,Noah Baughman,44749,Cornell
2017,03/03,EIWA Championships,125,W,FALL,2:58,Jordan Gessner,45220,Bucknell,Noah Baughman,44749,Cornell
2017,03/03,EIWA Championships,125,W,DEC,8 - 2,Steven Bulzomi,40242,Binghamton,Noah Baughman,44749,Cornell
2017,02/19,Ohio State - Cornell Dual,125,W,DEC,4 - 0,Jose Rodriguez,39639,Ohio State,Noah Baughman,44749,Cornell
2017,02/11,Princeton - Cornell Dual,125,W,SV-1,6 - 4,Ty Agaisse,45131,Princeton,Noah Baughman,44749,Cornell
2017,02/10,Pennsylvania - Cornell Dual,125,W,DEC,5 - 1,Jeremy Schwartz,12148,Pennsylvania,Noah Baughman,44749,Cornell
2017,02/04,Cornell - Columbia Dual,125,W,DEC,4 - 0,Johnson Mai,12151,Columbia,Noah Baughman,44749,Cornell
2017,01/28,Cornell - Harvard Dual,125,W,FALL,4:00,Connor Sakmar,45144,Harvard,Noah Baughman,44749,Cornell
2017,01/28,Cornell - Brown Dual,125,W,MD,12 - 3,Trey Keeley,44696,Brown,Noah Baughman,44749,Cornell
2017,01/22,Lock Haven - Cornell Dual,125,W,FALL,6:12,Jake Field,12108,Lock Haven,Noah Baughman,44749,Cornell
2017,01/21,Cornell - Lehigh Dual,125,L,TF5,17 - 1 4:02,Darian Cruz,12135,Lehigh,Noah Baughman,44749,Cornell
2017,01/14,Missouri - Cornell Dual,125,L,DEC,3 - 0,Barlow McGhee,13251,Missouri,Noah Baughman,44749,Cornell
2017,01/13,Drexel - Cornell Dual,125,L,TF5,22 - 2 7:00,Tanner Shoap,12205,Drexel,Noah Baughman,44749,Cornell
2017,01/01,Southern Scuffle,125,L,TF5,16 - 0 4:05,Ethan Lizak,20040,Minnesota,Noah Baughman,44749,Cornell
2017,01/01,Southern Scuffle,125,W,MD,13 - 4,Landon LoAlbo,20795,Gardner-Webb,Noah Baughman,44749,Cornell
2017,01/01,Southern Scuffle,125,L,MD,15 - 4,Alonzo Allen,19765,Chattanooga,Noah Baughman,44749,Cornell
2017,12/18,Cornell - Oklahoma Dual,125,L,FALL,1:38,Christian Moody,39746,Oklahoma,Noah Baughman,44749,Cornell
