season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/05,National Collegiate Open,125,W,MFOR,0 - 0,Derek Gulotta,40294,Lock Haven,Sean Nickell,11606,Csu Bakersfield
2016,03/05,National Collegiate Open,125,W,DEC,4 - 3,Trayton Libolt,40387,Grand Canyon,Sean Nickell,11606,Csu Bakersfield
2016,03/05,National Collegiate Open,125,L,FALL,5:00,Steven Simpson,39905,Old Dominion,Sean Nickell,11606,Csu Bakersfield
2016,03/05,National Collegiate Open,125,L,MFOR,0 - 0,Mitch Brown,40325,Utah Valley,Sean Nickell,11606,Csu Bakersfield
2016,03/05,National Collegiate Open,125,L,MFOR,0 - 0,Ezekiel Beatty,44261,Pitt-Johnstown,Sean Nickell,11606,Csu Bakersfield
2016,02/07,California Collegiate Open,125,W,DEC,7 - 2,Darthe Capellan,24799,Unattached,Sean Nickell,11606,Csu Bakersfield
2016,02/07,California Collegiate Open,125,W,DEC,7 - 0,Kyle Anderson,14677,CSU Bakersfield,Sean Nickell,11606,Csu Bakersfield
2016,01/09,UVU Open,125,L,DEC,4 - 2,Ben Kjar,43913,Unattached,Sean Nickell,11606,Csu Bakersfield
2016,01/09,UVU Open,125,W,DEC,3 - 2,Drake Foster,39797,Wyoming,Sean Nickell,11606,Csu Bakersfield
2016,01/09,UVU Open,125,W,TF5,17 - 2 7:00,Brock George,21667,Wyoming,Sean Nickell,11606,Csu Bakersfield
2016,12/20,Reno TOC,125,L,MD,14 - 0,Elijah Oliver,39583,Indiana,Sean Nickell,11606,Csu Bakersfield
2016,12/20,Reno TOC,125,W,DEC,6 - 5,Darthe Cappelan,43636,Simon Fraser,Sean Nickell,11606,Csu Bakersfield
2016,12/20,Reno TOC,125,L,MD,9 - 1,Nick Piccininni,39547,Oklahoma State,Sean Nickell,11606,Csu Bakersfield
2016,12/20,Reno TOC,125,W,FALL,2:44,Mhar Caballa,41831,Eastern Oregon University,Sean Nickell,11606,Csu Bakersfield
2016,12/20,Reno TOC,125,W,FALL,0:29,David Peterson,41503,Southwestern Oregon Community College,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,W,MD,13 - 5,Troy Lakin,21784,Menlo,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,L,DEC,6 - 3,Kegan Calkins,20291,Oregon State,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,W,DEC,13 - 6,Troy Lakin,21784,Menlo,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,W,FALL,1:06,Kyle Anderson,14677,CSU Bakersfield,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,W,DEC,3 - 0,Brian Rossi,20394,Stanford,Sean Nickell,11606,Csu Bakersfield
2016,11/15,Roadrunner Open,125,L,TB-1,4 - 2,Zack Fuentes,12061,Drexel,Sean Nickell,11606,Csu Bakersfield
2016,11/07,Bill Musick Open,125,W,DEC,5 - 4,Julian Gaytan,43381,Fresno City College,Sean Nickell,11606,Csu Bakersfield
2016,11/07,Bill Musick Open,125,W,MFOR,0 - 0,Aj Rosas,43379,Fresno City College,Sean Nickell,11606,Csu Bakersfield
2016,11/07,Bill Musick Open,125,W,FALL,0:52,Jacob Valdez,43377,Cerritos College,Sean Nickell,11606,Csu Bakersfield
2016,11/07,Bill Musick Open,125,W,FALL,2:22,Oscar Velasco,42093,Cuesta,Sean Nickell,11606,Csu Bakersfield
2016,11/01,SFSU JC/College Open,125,W,DEC,6 - 4,Troy Lakin,42726,Camden County Community College,Sean Nickell,11606,Csu Bakersfield
2016,11/01,SFSU JC/College Open,125,W,DEC,5 - 0,Christian Ramos,42075,San Francisco State,Sean Nickell,11606,Csu Bakersfield
2016,11/01,SFSU JC/College Open,125,W,MD,12 - 2,Christian Vasquez,42729,Modesto Junior College,Sean Nickell,11606,Csu Bakersfield
2016,11/01,SFSU JC/College Open,125,W,TF5,19 - 0 7:00,Michael Lefuel,42728,Shasta Community College,Sean Nickell,11606,Csu Bakersfield
2016,11/01,SFSU JC/College Open,125,W,DEC,7 - 1,Huy Nguyen,42062,San Francisco State,Sean Nickell,11606,Csu Bakersfield
2016,02/07,California Collegiate Open,125,L,DEC,7 - 0,Sean Nickell,11606,CSU Bakersfield,Kyle Anderson,14677,Csu Bakersfield
2016,02/07,California Collegiate Open,125,W,FALL,1:11,Oscar Bulaqui,24829,Simon Fraser,Kyle Anderson,14677,Csu Bakersfield
2016,02/07,California Collegiate Open,125,W,FALL,1:12,Isaac Blackburn,19734,Cal Poly,Kyle Anderson,14677,Csu Bakersfield
2016,12/20,Reno TOC,125,L,TF5,15 - 0 2:51,Drew Templeman,15167,Wyoming,Kyle Anderson,14677,Csu Bakersfield
