season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/04,SoCon Championships,125,L,FALL,4:06,Blair Orr,55804,The Citadel,Devon Diaco,78849,Davidson
2023,03/04,SoCon Championships,125,L,TF5,16 - 1 7:00,Caleb Smith,58559,Appalachian State,Devon Diaco,78849,Davidson
2023,02/18,Davidson - Gardner-Webb Dual,125,L,DEC,6 - 2,Drew West,50041,Gardner-Webb,Devon Diaco,78849,Davidson
2023,02/04,VMI - Davidson Dual,125,L,DEC,4 - 2,Tony Burke,78464,VMI,Devon Diaco,78849,Davidson
2023,01/28,Appalachian Open,125,W,FALL,1:15,JaJuan Givens,82943,Greensboro,Devon Diaco,78849,Davidson
2023,01/28,Appalachian Open,125,L,FALL,2:03,Malik Hardy,73357,The Citadel,Devon Diaco,78849,Davidson
2023,01/28,Appalachian Open,125,L,MD,11 - 2,Aedyn Concepcion,69782,Gardner-Webb,Devon Diaco,78849,Davidson
2023,01/06,David Lehman Open,125,L,FALL,3:24,Maximillian Leete,72678,American,Devon Diaco,78849,Davidson
2023,01/06,David Lehman Open,125,L,FALL,3:47,Gio Diaz,67279,Franklin & Marshall,Devon Diaco,78849,Davidson
2023,01/05,Davidson - Brown Dual,125,L,DEC,4 - 1,Shane Hanson-Ashworth,57718,Brown,Devon Diaco,78849,Davidson
2023,01/05,Davidson - Franklin & Marshall Dual,125,L,TF5,16 - 0 1:30,Mason Leiphart,73193,Franklin & Marshall,Devon Diaco,78849,Davidson
2023,11/19,King  Open,125,L,FALL,4:00,Preston Soriano,67561,King,Devon Diaco,78849,Davidson
2023,11/19,King  Open,125,W,MD,13 - 3,D'angelo Pruitt,81060,Emmanuel,Devon Diaco,78849,Davidson
2023,11/19,King  Open,125,L,MFOR,0 - 0,Aaron Zebrauskas,59806,Belmont Abbey,Devon Diaco,78849,Davidson
2023,11/13,Battle at the Citadel,125,W,FALL,5:45,Trevor Borom,82077,Southeastern University,Devon Diaco,78849,Davidson
2023,11/13,Battle at the Citadel,125,L,FALL,5:30,Kaiden Fisher,70938,Lander,Devon Diaco,78849,Davidson
2023,11/13,Battle at the Citadel,125,W,MD,8 - 0,Esau Bazilme,58906,Southeastern University,Devon Diaco,78849,Davidson
2023,11/13,Battle at the Citadel,125,L,FALL,0:56,Maximillian Leete,72678,American,Devon Diaco,78849,Davidson
2023,11/11,Michigan State - Davidson Dual,125,L,FALL,4:52,Tristan Lujan,63015,Michigan State,Devon Diaco,78849,Davidson
2023,11/05,Southeast Open,125,W,MD,10 - 1,Luke Roberts,80204,Bluefield State,Devon Diaco,78849,Davidson
2023,11/05,Southeast Open,125,L,MD,16 - 5,Caelan Riley,73733,The Citadel,Devon Diaco,78849,Davidson
2023,11/05,Southeast Open,125,L,DEC,9 - 3,Jace Schafer,73377,West Virginia,Devon Diaco,78849,Davidson
2023,11/05,Southeast Open,125,W,DEC,6 - 0,Colby McBride,79082,Appalachian State,Devon Diaco,78849,Davidson
2023,02/19,Davidson - Appalachian State Dual,125,L,FALL,4:29,Caleb Smith,58559,Appalachian State,Hale Robinson,70746,Davidson
2023,02/03,The Citadel - Davidson Dual,125,L,FALL,3:26,Blair Orr,55804,The Citadel,Hale Robinson,70746,Davidson
2023,01/28,Davidson - Campbell Dual,125,L,MD,16 - 4,Anthony Molton,57207,Campbell,Hale Robinson,70746,Davidson
2023,01/21,Davidson - Chattanooga Dual,125,L,FALL,2:11,Logan Ashton,57605,Chattanooga,Hale Robinson,70746,Davidson
2023,01/15,Bellarmine - Davidson Dual,125,L,MD,14 - 6,Jack Parker,71291,Bellarmine,Hale Robinson,70746,Davidson
2023,01/06,David Lehman Open,125,L,FALL,2:34,Gabe Giampietro,72979,Drexel,Hale Robinson,70746,Davidson
