season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/06,EIWA Championships,125,W,TB-2,9 - 5,Dylan Ryder,50876,Hofstra,Antonio Mininno,50806,Drexel
2020,03/06,EIWA Championships,125,L,FALL,2:39,Brandon Paetzell,44578,Lehigh,Antonio Mininno,50806,Drexel
2020,03/06,EIWA Championships,125,W,DEC,5 - 3,Tommaso Frezza,62421,Binghamton,Antonio Mininno,50806,Drexel
2020,03/06,EIWA Championships,125,L,TB-2,4 - 3,Dominic LaJoie,49112,Cornell,Antonio Mininno,50806,Drexel
2020,03/06,EIWA Championships,125,W,FALL,4:22,Michael Colaiocco,56733,Pennsylvania,Antonio Mininno,50806,Drexel
2020,02/21,Drexel - Northern Illinois Dual,125,L,DEC,7 - 4,Bryce West,50039,Northern Illinois,Antonio Mininno,50806,Drexel
2020,02/15,Pennsylvania - Drexel Dual,125,L,MD,19 - 7,Michael Colaiocco,56733,Pennsylvania,Antonio Mininno,50806,Drexel
2020,02/15,Drexel - Princeton Dual,125,L,DEC,9 - 4,Sean Pierson,60443,Princeton,Antonio Mininno,50806,Drexel
2020,02/10,Drexel - Old Dominion Dual,125,L,DEC,7 - 3,Killian Cardinale,49268,Old Dominion,Antonio Mininno,50806,Drexel
2020,02/07,Columbia - Drexel Dual,125,L,DEC,3 - 2,Joe Manchio,50937,Columbia,Antonio Mininno,50806,Drexel
2020,02/01,Navy - Drexel Dual,125,L,TF5,16 - 1 5:00,Logan Treaster,49205,Navy,Antonio Mininno,50806,Drexel
2020,01/26,Drexel - Bucknell Dual,125,W,DEC,5 - 4,Brandon Seidman,56803,Bucknell,Antonio Mininno,50806,Drexel
2020,01/19,Binghamton - Drexel Dual,125,W,SV-1,3 - 1,Tommaso Frezza,62421,Binghamton,Antonio Mininno,50806,Drexel
2020,01/17,North Carolina State - Drexel Dual,125,L,TF5,20 - 5 7:00,Jakob Camacho,50655,NC State,Antonio Mininno,50806,Drexel
2020,01/11,Drexel - American Dual,125,L,SV-1,5 - 3,Gage Curry,44583,American,Antonio Mininno,50806,Drexel
2020,01/01,Southern Scuffle,125,L,TB-2,2 - 1,Joey Thomas,51008,West Virginia,Antonio Mininno,50806,Drexel
2020,01/01,Southern Scuffle,125,L,DEC,2 - 1,Sidney Flores,49031,Air Force,Antonio Mininno,50806,Drexel
2020,12/20,Drexel - California Baptist (Calif) Dual,125,W,DEC,7 - 4,Keanu Perez,57267,Cal Baptist,Antonio Mininno,50806,Drexel
2020,12/19,Drexel - Cal Poly Dual,125,W,DEC,6 - 5,Benjamin Martinez,56668,Cal Poly,Antonio Mininno,50806,Drexel
