season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/05,MAC Championships,125,L,TF5,15 - 0 4:36,Alijah Jeffery,20204,Northern Illinois,Armando Torres,19876,Eastern Michigan
2016,03/05,MAC Championships,125,L,DEC,3 - 2,Edilberto Vinas,20938,Kent State,Armando Torres,19876,Eastern Michigan
2016,02/14,Eastern Michigan - Old Dominion Dual,125,L,DEC,10 - 6,Brandon Jeske,12133,Old Dominion,Armando Torres,19876,Eastern Michigan
2016,01/30,Northern Illinois - Eastern Michigan Dual,125,L,DEC,4 - 2,Alijah Jeffery,20204,Northern Illinois,Armando Torres,19876,Eastern Michigan
2016,01/17,Kent State - Eastern Michigan Dual,125,W,TB-1,5 - 1,Edilberto Vinas,20938,Kent State,Armando Torres,19876,Eastern Michigan
2016,01/15,Eastern Michigan - Missouri Dual,125,W,DEC,6 - 3,Aaron Assad,15239,Missouri,Armando Torres,19876,Eastern Michigan
2016,01/08,Eastern Michigan - Ohio Dual,125,L,DEC,8 - 3,Shakur Laney,39917,Ohio,Armando Torres,19876,Eastern Michigan
2016,01/06,Northern Iowa - Eastern Michigan Dual,125,W,MD,11 - 1,Leighton Gaul,15052,Northern Iowa,Armando Torres,19876,Eastern Michigan
2016,12/29,Midlands Championships,125,L,DEC,4 - 2,Brandon Jeske,12133,Old Dominion,Armando Torres,19876,Eastern Michigan
2016,12/29,Midlands Championships,125,L,FALL,6:29,Kyle Akins,19714,Buffalo,Armando Torres,19876,Eastern Michigan
2016,12/20,Reno TOC,125,L,DEC,6 - 4,Elijah Oliver,39583,Indiana,Armando Torres,19876,Eastern Michigan
2016,12/20,Reno TOC,125,W,DEC,8 - 6,Sergio Mendez,15986,CSU Bakersfield,Armando Torres,19876,Eastern Michigan
2016,12/20,Reno TOC,125,W,MD,15 - 1,Channing Lewis,21906,Colorado Mesa,Armando Torres,19876,Eastern Michigan
2016,12/20,Reno TOC,125,L,DEC,6 - 3,Chasen Tolbert,13373,Utah Valley,Armando Torres,19876,Eastern Michigan
2016,12/13,Eastern Michigan - Manchester Dual,125,W,MD,15 - 1,Alan Mock,43538,Manchester,Armando Torres,19876,Eastern Michigan
2016,12/02,Eastern Michigan - Michigan State Dual,125,W,DEC,4 - 3,Mitch Rogaliner,12203,Michigan State,Armando Torres,19876,Eastern Michigan
2016,11/22,Keystone Classic,125,L,DEC,3 - 1,Jake Gromacki,20324,Pittsburgh,Armando Torres,19876,Eastern Michigan
2016,11/22,Keystone Classic,125,W,DEC,8 - 5,Zach Valcarce,12156,Rider,Armando Torres,19876,Eastern Michigan
2016,11/22,Keystone Classic,125,L,DEC,5 - 3,Zack Fuentes,12061,Drexel,Armando Torres,19876,Eastern Michigan
