season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/04,MAC Championships,125,L,FALL,6:52,Anthony Noto,64642,Lock Haven,Chris Merlo,69410,Edinboro
2022,03/04,MAC Championships,125,L,MD,8 - 0,Oscar Sanchez,57320,Ohio,Chris Merlo,69410,Edinboro
2022,02/20,Edinboro Bloomsburg ECM,133,L,FALL,4:27,Cole Rhone,62773,Bloomsburg,Chris Merlo,69410,Edinboro
2022,02/20,Bloomsburg - Edinboro Dual,125,L,FALL,5:34,Bronson Garber,56759,Bloomsburg,Chris Merlo,69410,Edinboro
2022,02/19,Clarion - Edinboro Dual,125,L,MD,10 - 1,Joseph Fischer,68702,Clarion,Chris Merlo,69410,Edinboro
2022,02/13,Lock Haven - Edinboro Dual,125,L,FALL,4:26,Anthony Noto,64642,Lock Haven,Chris Merlo,69410,Edinboro
2022,02/06,Edinboro Open,125,L,MD,14 - 1,Jace Schafer,73377,West Virginia,Chris Merlo,69410,Edinboro
2022,02/06,Edinboro Open,125,L,DEC,8 - 2,Patrick Adams,72223,Buffalo,Chris Merlo,69410,Edinboro
2022,02/04,Central Michigan - Edinboro Dual,125,L,MD,10 - 2,Brock Bergelin,49078,Central Michigan,Chris Merlo,69410,Edinboro
2022,01/30,Edinboro - George Mason Dual,125,L,DEC,2 - 0,Ben Monn,69708,George Mason,Chris Merlo,69410,Edinboro
2022,01/22,Edinboro - Cleveland State Dual,125,L,MD,10 - 0,Logan Heil,57515,Cleveland State,Chris Merlo,69410,Edinboro
2022,01/22,Rider - Edinboro Dual,125,L,TF5,19 - 2 6:48,Tyler Klinsky,62353,Rider,Chris Merlo,69410,Edinboro
2022,01/16,Purple Raider Open,125,L,DEC,4 - 2,Joseph Davis,78103,Akron,Chris Merlo,69410,Edinboro
2022,01/16,Purple Raider Open,125,W,DEC,5 - 1,Caleb Schroer,71253,Findlay,Chris Merlo,69410,Edinboro
2022,01/16,Purple Raider Open,125,L,DEC,10 - 7,Luke Hewitt,60025,Mount Union,Chris Merlo,69410,Edinboro
2022,12/11,Cleveland State Open,125,L,TF5,16 - 1 7:00,Logan Heil,57515,Cleveland State,Chris Merlo,69410,Edinboro
2022,12/11,Cleveland State Open,125,L,SV-1,8 - 6,Hunter Verge,63707,Clarion,Chris Merlo,69410,Edinboro
2022,12/05,Storm Open,125,W,DEC,7 - 4,Caden Crawford,74443,Tiffin University,Chris Merlo,69410,Edinboro
2022,12/05,Storm Open,125,L,DEC,7 - 1,Kade Orr,73311,Kent State,Chris Merlo,69410,Edinboro
2022,12/05,Storm Open,125,W,DEC,10 - 7,Chris Petteys,72200,Gannon,Chris Merlo,69410,Edinboro
2022,11/20,Findlay Open,125,L,DEC,9 - 2,Trey Bates,71792,Central Michigan,Chris Merlo,69410,Edinboro
2022,11/20,Findlay Open,125,L,MD,10 - 2,Sean Spidle,63063,Central Michigan,Chris Merlo,69410,Edinboro
2022,11/14,Ohio Intercollegiate Open,125,L,MD,11 - 3,Oscar Sanchez,57320,Ohio,Chris Merlo,69410,Edinboro
2022,11/14,Ohio Intercollegiate Open,125,L,DEC,13 - 6,Brady Koontz,50853,Ohio State,Chris Merlo,69410,Edinboro
2022,11/06,Michigan State Open,125,L,DEC,4 - 0,Logan Jaquay,67227,Edinboro,Chris Merlo,69410,Edinboro
2022,11/06,Michigan State Open,125,W,DEC,11 - 6,Nicholas Korhorn,71988,Findlay,Chris Merlo,69410,Edinboro
2022,11/06,Michigan State Open,125,L,DEC,7 - 2,Trey Bates,71792,Central Michigan,Chris Merlo,69410,Edinboro
2022,12/21,Kent State - Edinboro Dual,125,L,DEC,10 - 3,Jake Ferri,51179,Kent State,Logan Jaquay,67227,Edinboro
2022,12/10,Edinboro - Binghamton Dual,125,W,MD,10 - 1,Nick Curley,73364,Binghamton,Logan Jaquay,67227,Edinboro
2022,12/03,Gannon - Edinboro Dual,125,W,SV-1,5 - 3,Jacob Dunlop,59662,Gannon,Logan Jaquay,67227,Edinboro
2022,12/03,Buffalo - Edinboro Dual,125,L,DEC,4 - 1,Tristan Daugherty,62877,Buffalo,Logan Jaquay,67227,Edinboro
2022,11/20,Navy Classic,125,L,DEC,8 - 5,Calvin Dalton,72509,Bucknell,Logan Jaquay,67227,Edinboro
2022,11/20,Navy Classic,125,W,FALL,4:14,Samuel Congleton,63712,VMI,Logan Jaquay,67227,Edinboro
2022,11/20,Navy Classic,125,L,DEC,4 - 2,Andrew Fallon,69899,American,Logan Jaquay,67227,Edinboro
2022,11/13,Pittsburgh - Edinboro Dual,125,L,DEC,3 - 1,Gage Curry,44583,Pittsburgh,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,W,MD,8 - 0,Trevor Marsman,74303,Cornerstone,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,W,FALL,3:17,Christian Tanefeu,73460,Michigan,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,W,MD,18 - 6,Dierre Clayton,72515,Ohio,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,L,DEC,9 - 4,Dierre Clayton,72515,Ohio,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,W,FALL,1:29,Jeremy Sarter,69868,Michigan State,Logan Jaquay,67227,Edinboro
2022,11/06,Michigan State Open,125,W,DEC,4 - 0,Chris Merlo,69410,Edinboro,Logan Jaquay,67227,Edinboro
2022,12/11,Cleveland State Open,125,L,DEC,6 - 3,Nathan Cummings,51073,Purdue,Zachary Soda,72220,Edinboro
2022,12/11,Cleveland State Open,125,L,DEC,4 - 2,Sean Spidle,63063,Central Michigan,Zachary Soda,72220,Edinboro
2022,12/05,Storm Open,125,L,DEC,8 - 1,Kade Orr,73311,Kent State,Zachary Soda,72220,Edinboro
2022,12/05,Storm Open,125,W,FALL,4:37,Jeremy Sarter,69868,Michigan State,Zachary Soda,72220,Edinboro
2022,12/05,Storm Open,125,L,DEC,6 - 2,Brady Koontz,50853,Ohio State,Zachary Soda,72220,Edinboro
2022,11/06,Michigan State Open,125,W,FALL,1:45,Justin Heiden,74309,Ashland,Zachary Soda,72220,Edinboro
2022,11/06,Michigan State Open,125,L,DEC,4 - 3,Andrew Hampton,73020,Michigan State,Zachary Soda,72220,Edinboro
2022,11/06,Michigan State Open,125,L,DEC,3 - 1,Andrew Hampton,73020,Michigan State,Zachary Soda,72220,Edinboro
2022,11/06,Michigan State Open,125,W,MFOR,0 - 0,Maximo Renteria,71870,Illinois,Zachary Soda,72220,Edinboro
2022,11/06,Michigan State Open,125,W,MD,18 - 6,Caleb Schroer,71253,Findlay,Zachary Soda,72220,Edinboro
2022,03/04,MAC Championships,133,L,DEC,10 - 6,Michael Rapuano,71926,George Mason,Cameron Soda,72219,Edinboro
2022,03/04,MAC Championships,133,L,DEC,6 - 2,Richie Koehler,51648,Rider,Cameron Soda,72219,Edinboro
2022,02/20,Edinboro Bloomsburg ECM,133,L,DEC,10 - 7,Cole Rhone,62773,Bloomsburg,Cameron Soda,72219,Edinboro
2022,02/20,Bloomsburg - Edinboro Dual,133,L,FALL,6:22,Cole Rhone,62773,Bloomsburg,Cameron Soda,72219,Edinboro
2022,02/19,Clarion - Edinboro Dual,133,L,DEC,5 - 3,Alexander Blake,57720,Clarion,Cameron Soda,72219,Edinboro
2022,02/13,Lock Haven - Edinboro Dual,133,L,DEC,7 - 2,Gable Strickland,71822,Lock Haven,Cameron Soda,72219,Edinboro
2022,02/06,Edinboro Open,133,W,INJ,3:50,Warren Stanfield,51207,Chicago,Cameron Soda,72219,Edinboro
2022,02/06,Edinboro Open,133,L,FALL,1:55,Raymond Lopez,71769,United States Military Academy,Cameron Soda,72219,Edinboro
2022,02/06,Edinboro Open,133,L,DEC,5 - 4,Jackson Cockrell,63028,Maryland,Cameron Soda,72219,Edinboro
2022,02/06,Edinboro Open,133,W,MFOR,0 - 0,Jordan Decatur,56727,Ohio State,Cameron Soda,72219,Edinboro
2022,02/06,Edinboro Open,133,W,FALL,2:57,Declan Neville,73354,Buffalo,Cameron Soda,72219,Edinboro
2022,02/04,Central Michigan - Edinboro Dual,133,L,DEC,4 - 1,Vince Perez,60001,Central Michigan,Cameron Soda,72219,Edinboro
2022,01/30,Edinboro - George Mason Dual,133,L,DEC,9 - 3,Michael Rapuano,71926,George Mason,Cameron Soda,72219,Edinboro
