season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/04,EIWA Championships,125,L,MD,12 - 2,Vitali Arujau,49108,Cornell,Gio Diaz,67279,Franklin And Marshall
2022,03/04,EIWA Championships,125,L,DEC,6 - 1,Reese Fry,56796,Brown,Gio Diaz,67279,Franklin And Marshall
2022,03/04,EIWA Championships,125,W,DEC,8 - 7,Maximillian Leete,72678,American,Gio Diaz,67279,Franklin And Marshall
2022,02/20,Hofstra - Franklin & Marshall Dual,125,L,DEC,5 - 4,Jacob Moon,73024,Hofstra,Gio Diaz,67279,Franklin And Marshall
2022,02/11,Franklin & Marshall - Millersville Dual,125,W,MD,13 - 2,Bryce Beatty,72599,Millersville,Gio Diaz,67279,Franklin And Marshall
2022,02/02,McDaniel - Franklin & Marshall Dual,125,W,TF5,18 - 3 6:37,Alex DuFour,70885,McDaniel,Gio Diaz,67279,Franklin And Marshall
2022,01/30,Franklin & Marshall - Sacred Heart Dual,125,W,DEC,7 - 1,Jacob Venezia,75962,Sacred Heart,Gio Diaz,67279,Franklin And Marshall
2022,01/23,Army Franklin & Marshall ECM,125,W,FALL,5:41,Ryan Chauvin,50835,Army West Point,Gio Diaz,67279,Franklin And Marshall
2022,01/23,Army Franklin & Marshall ECM,125,W,DEC,4 - 2,Ryan Chauvin,50835,Army West Point,Gio Diaz,67279,Franklin And Marshall
2022,01/14,Franklin & Marshall - Davidson Dual,125,W,TF5,16 - 0 4:38,Hale Robinson,70746,Davidson,Gio Diaz,67279,Franklin And Marshall
2022,12/29,Illinois Matmen Open,125,W,DEC,2 - 1,Wilfred Tanefeu,73461,Michigan,Gio Diaz,67279,Franklin And Marshall
2022,12/29,Illinois Matmen Open,125,L,MD,8 - 0,Justin Cardani,51687,Illinois,Gio Diaz,67279,Franklin And Marshall
2022,12/29,Illinois Matmen Open,125,L,DEC,2 - 1,Brandon Seidman,56803,Bucknell,Gio Diaz,67279,Franklin And Marshall
2022,11/21,Keystone Classic,133,L,DEC,10 - 3,Lukas Richie,63472,Pennsylvania,Gio Diaz,67279,Franklin And Marshall
2022,11/21,Keystone Classic,133,L,FALL,2:04,Michael Colaiocco,56733,Pennsylvania,Gio Diaz,67279,Franklin And Marshall
2022,11/21,Keystone Classic,133,W,DEC,7 - 3,Anthony Glasl,69714,George Mason,Gio Diaz,67279,Franklin And Marshall
2022,11/14,Jonathan Kaloust Bearcat Open,133,L,FALL,3:58,JJ Wilson,59823,Cornell,Gio Diaz,67279,Franklin And Marshall
