season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/07,Big 12 Championships,125,L,MFOR,0 - 0,Danny Vega,45142,South Dakota State,Jeremy Trihn,50849,Fresno State
2020,03/07,Big 12 Championships,125,L,MFOR,0 - 0,Joey Thomas,51008,West Virginia,Jeremy Trihn,50849,Fresno State
2020,02/23,Fresno State - Oklahoma Dual,125,L,DEC,6 - 1,Christian Moody,39746,Oklahoma,Jeremy Trihn,50849,Fresno State
2020,02/21,Fresno State - Illinois Dual,125,L,MD,11 - 0,Justin Cardani,51687,Illinois,Jeremy Trihn,50849,Fresno State
2020,12/15,Reno Tournament of Champions,125,L,DEC,8 - 4,Cole Reyes,56700,Cal Poly,Jeremy Trihn,50849,Fresno State
2020,12/15,Reno Tournament of Champions,125,W,DEC,9 - 5,Collin Metzgar,53448,Colorado Mesa,Jeremy Trihn,50849,Fresno State
2020,12/15,Reno Tournament of Champions,125,W,FALL,3:41,Eddie Daniel,50539,Clackamas Community College,Jeremy Trihn,50849,Fresno State
2020,12/15,Reno Tournament of Champions,125,L,FALL,4:35,Korbin Meink,49074,Campbell,Jeremy Trihn,50849,Fresno State
2020,12/15,Reno Tournament of Champions,125,W,TF5,18 - 2 4:50,Adrian Marquez,57074,Northern Colorado,Jeremy Trihn,50849,Fresno State
2020,12/06,Cliff Keen Invitational,125,L,FALL,6:46,Joey Prata,44734,Virginia Tech,Jeremy Trihn,50849,Fresno State
2020,12/06,Cliff Keen Invitational,125,L,FALL,1:21,Dominic LaJoie,49112,Cornell,Jeremy Trihn,50849,Fresno State
2020,11/01,Army - Fresno State Dual,125,L,FALL,4:13,Trey Chalifoux,44745,Army West Point,Jeremy Trihn,50849,Fresno State
2020,11/01,Navy - Fresno State Dual,125,L,MD,11 - 0,Logan Treaster,49205,Navy,Jeremy Trihn,50849,Fresno State
2020,01/17,Duke - Fresno State Dual,133,L,MD,12 - 1,Harrison Campbell,49125,Duke,Destin Summers,62244,Fresno State
2020,01/11,Old Dominion - Fresno State Dual,125,L,DEC,8 - 2,Killian Cardinale,49268,Old Dominion,Destin Summers,62244,Fresno State
2020,01/11,Kent State - Fresno State Dual,125,L,DEC,4 - 0,Tomas Gutierrez,45017,Kent State,Destin Summers,62244,Fresno State
2020,01/10,Maryland - Fresno State Dual,125,L,MD,9 - 0,Brandon Cray,44681,Maryland,Destin Summers,62244,Fresno State
2020,12/15,Reno Tournament of Champions,125,L,DEC,7 - 3,Andrew Lucero,65825,North Idaho College,Destin Summers,62244,Fresno State
2020,12/15,Reno Tournament of Champions,125,W,TF5,19 - 1 4:07,Ryan Davis,65824,Corban University,Destin Summers,62244,Fresno State
2020,12/15,Reno Tournament of Champions,125,L,MD,11 - 2,Cole Reyes,56700,Cal Poly,Destin Summers,62244,Fresno State
2020,12/15,Reno Tournament of Champions,125,W,DEC,1 - 0,Logan Ashton,57605,Stanford,Destin Summers,62244,Fresno State
2020,11/24,Roadrunner Open,125,L,DEC,6 - 5,Gregory Viloria,63667,Menlo,Destin Summers,62244,Fresno State
2020,11/24,Roadrunner Open,125,W,MD,14 - 5,Pedro Ramirez,62859,CSU Bakersfield,Destin Summers,62244,Fresno State
