season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/05,SoCon Championships,125,L,FALL,6:32,Charles Kearney,40372,The Citadel,Cortez Starkes,12194,Gardner Webb
2016,03/05,SoCon Championships,125,L,DEC,7 - 5,Alfredo Rodriguez,41005,SIU Edwardsville,Cortez Starkes,12194,Gardner Webb
2016,02/13,Ohio - Gardner-Webb Dual,125,L,DEC,4 - 3,Shakur Laney,39917,Ohio,Cortez Starkes,12194,Gardner Webb
2016,02/13,Cleveland State - Gardner-Webb Dual,125,W,DEC,6 - 4,John Martin,12102,Cleveland State,Cortez Starkes,12194,Gardner Webb
2016,02/10,Davidson - Gardner-Webb Dual,125,W,FALL,5:00,Zamir Ode,40334,Davidson,Cortez Starkes,12194,Gardner Webb
2016,02/05,The Citadel - Gardner-Webb Dual,125,W,MD,13 - 2,Charles Kearney,40372,The Citadel,Cortez Starkes,12194,Gardner Webb
2016,02/03,Gardner-Webb - Duke Dual,125,W,DEC,5 - 3,Thayer Atkins,19857,Duke,Cortez Starkes,12194,Gardner Webb
2016,01/31,Campbell - Gardner-Webb Dual,125,W,MD,13 - 5,Collin Stewart,40428,Campbell,Cortez Starkes,12194,Gardner Webb
2016,01/26,Appalachian State - Gardner-Webb Dual,125,L,DEC,12 - 5,Vito Pasone,12239,Appalachian State,Cortez Starkes,12194,Gardner Webb
2016,01/15,Gardner-Webb - Chattanooga Dual,125,W,DEC,6 - 5,Alonzo Allen,19765,Chattanooga,Cortez Starkes,12194,Gardner Webb
2016,01/08,Gardner-Webb - Southern Illinois Edwardsville Dual,125,W,TF5,18 - 3 7:00,Joe Antonelli,40200,SIU Edwardsville,Cortez Starkes,12194,Gardner Webb
2016,01/01,Southern Scuffle,125,L,DEC,3 - 1,Connor Schram,14982,Stanford,Cortez Starkes,12194,Gardner Webb
2016,01/01,Southern Scuffle,125,W,DEC,2 - 1,Joseph Martinez,12044,Virginia,Cortez Starkes,12194,Gardner Webb
2016,01/01,Southern Scuffle,125,L,DEC,3 - 0,Eli Hale,15232,Oklahoma State,Cortez Starkes,12194,Gardner Webb
2016,01/01,Southern Scuffle,125,W,SV-1,4 - 2,Conner Ziegler,43075,Army West Point,Cortez Starkes,12194,Gardner Webb
2016,01/01,Southern Scuffle,125,W,MD,8 - 0,Sean Badua,19635,Army West Point,Cortez Starkes,12194,Gardner Webb
2016,12/19,Gardner-Webb - Bucknell Dual,125,L,FALL,2:55,Paul Petrov,12116,Bucknell,Cortez Starkes,12194,Gardner Webb
2016,12/12,Cleveland State Open,125,L,FALL,9:00,Justin Patrick,39587,Buffalo,Cortez Starkes,12194,Gardner Webb
2016,12/12,Cleveland State Open,125,W,TB-1,6 - 1,Derek Gulotta,40294,Lock Haven,Cortez Starkes,12194,Gardner Webb
