season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,02/26,MAC Championships,125,L,DEC,6 - 1,Luke Werner,50282,Lock Haven,Josh Jones,57073,George Mason
2021,02/26,MAC Championships,125,L,DEC,4 - 2,Jake Ferri,51179,Kent State,Josh Jones,57073,George Mason
2021,02/26,MAC Championships,125,W,DEC,1 - 0,Tristan Daugherty,62877,Buffalo,Josh Jones,57073,George Mason
2021,02/26,MAC Championships,125,W,FALL,3:21,Cameron Butler,44660,Clarion,Josh Jones,57073,George Mason
2021,02/26,MAC Championships,125,L,DEC,6 - 2,Jonathon Tropea,46048,Rider,Josh Jones,57073,George Mason
2021,02/26,MAC Championships,125,W,FALL,0:43,Cody Moosman,49103,Cleveland State,Josh Jones,57073,George Mason
2021,02/10,George Mason Drexel Extra,125,W,DEC,9 - 3,Kyle Waterman,67256,Drexel,Josh Jones,57073,George Mason
2021,02/10,Drexel - George Mason Dual,125,W,DEC,10 - 8,Antonio Mininno,50806,Drexel,Josh Jones,57073,George Mason
2021,02/05,Navy George Mason Extra,125,W,TF5,16 - 0 1:15,Caleb Kelly,51927,Navy,Josh Jones,57073,George Mason
2021,02/05,George Mason - Navy Dual,125,L,MD,9 - 0,Logan Treaster,49205,Navy,Josh Jones,57073,George Mason
2021,01/31,Edinboro George Mason Extra,125,W,FALL,6:59,Chris Merlo,69410,Edinboro,Josh Jones,57073,George Mason
2021,01/31,Edinboro George Mason Extra,125,W,TF5,16 - 0 7:00,Logan Jaquay,67227,Edinboro,Josh Jones,57073,George Mason
2021,01/31,Edinboro - George Mason Dual,125,W,TF5,21 - 6 7:00,Lucas Rodriguez,51061,Edinboro,Josh Jones,57073,George Mason
2021,01/24,Rider George Mason Extra,125,W,DEC,9 - 4,Tyler Klinsky,62353,Rider,Josh Jones,57073,George Mason
2021,01/24,Rider - George Mason Dual,125,L,MD,12 - 3,Jonathon Tropea,46048,Rider,Josh Jones,57073,George Mason
2021,02/10,George Mason Drexel Extra,125,W,DEC,6 - 2,Kyle Waterman,67256,Drexel,Ben Monn,69708,George Mason
2021,02/10,George Mason Drexel Extra,125,W,INJ,7:00,Antonio Mininno,50806,Drexel,Ben Monn,69708,George Mason
2021,02/05,Navy George Mason Extra,125,L,DEC,2 - 0,Logan Treaster,49205,Navy,Ben Monn,69708,George Mason
2021,02/05,Navy George Mason Extra,125,W,DEC,4 - 0,Caleb Kelly,51927,Navy,Ben Monn,69708,George Mason
2021,01/31,Edinboro George Mason Extra,125,L,FALL,6:59,Lucas Rodriguez,51061,Edinboro,Ben Monn,69708,George Mason
2021,01/24,Rider George Mason Extra,125,L,DEC,10 - 4,Tyler Klinsky,62353,Rider,Ben Monn,69708,George Mason
2021,02/26,MAC Championships,133,L,DEC,5 - 4,Bryce West,50039,Northern Illinois,Anthony Glasl,69714,George Mason
2021,02/26,MAC Championships,133,L,MD,10 - 2,Mario Guillen,44618,Ohio,Anthony Glasl,69714,George Mason
2021,02/10,George Mason Drexel Extra,133,L,MD,8 - 0,Jaxon Maroney,62880,Drexel,Anthony Glasl,69714,George Mason
2021,02/10,Drexel - George Mason Dual,133,L,DEC,5 - 2,Chandler Olson,49119,Drexel,Anthony Glasl,69714,George Mason
2021,02/05,Navy George Mason Extra,133,W,DEC,4 - 3,Luke Lucerne,67546,Navy,Anthony Glasl,69714,George Mason
2021,02/05,George Mason - Navy Dual,133,L,DEC,6 - 2,Jacob Allen,50935,Navy,Anthony Glasl,69714,George Mason
