season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/16,NCAA Championships,125,L,DEC,11 - 4,Stevo Poulin,71929,Northern Colorado,Diego Sotelo,71874,Harvard
2023,03/16,NCAA Championships,125,L,MD,12 - 3,Patrick McKee,50594,Minnesota,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,125,L,DEC,4 - 3,Ethan Berginc,71779,Army West Point,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,125,L,SV-1,4 - 2,Brett Ungar,68705,Cornell,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,125,L,DEC,7 - 2,Nick Babin,65929,Columbia,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,125,W,DEC,6 - 1,Robbie Sagaris,73406,LIU,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,125,W,DEC,4 - 1,Nick Babin,65929,Columbia,Diego Sotelo,71874,Harvard
2023,02/11,Hofstra - Harvard Dual,125,W,TF5,17 - 0 6:56,Jacob Moon,73024,Hofstra,Diego Sotelo,71874,Harvard
2023,02/10,Columbia - Harvard Dual,125,W,DEC,3 - 2,Nick Babin,65929,Columbia,Diego Sotelo,71874,Harvard
2023,01/28,Harvard - Pennsylvania Dual,125,W,DEC,5 - 4,Ryan Miller,62350,Pennsylvania,Diego Sotelo,71874,Harvard
2023,01/27,Harvard - Princeton Dual,125,W,DEC,6 - 0,Nick Kayal,65849,Princeton,Diego Sotelo,71874,Harvard
2023,01/21,Cornell - Harvard Dual,125,W,DEC,1 - 0,Brett Ungar,68705,Cornell,Diego Sotelo,71874,Harvard
2023,01/21,Binghamton - Harvard Dual,125,W,MD,11 - 1,Micah Roes,67299,Binghamton,Diego Sotelo,71874,Harvard
2023,01/14,North Carolina - Harvard Dual,125,L,DEC,8 - 7,Jack Wagner,44755,North Carolina,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Tristan Mascarenas,70010,Arizona State,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,MD,10 - 0,Beau Bayless,59670,Harvard,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Killian Cardinale,49268,West Virginia,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Dean Peterson,72936,Rutgers,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,FALL,5:34,Ryan Miller,62350,Pennsylvania,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,MD,11 - 3,Sheldon Seymour,62339,Lehigh,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,W,DEC,9 - 3,Benjamin Aranda,71804,Cleveland State,Diego Sotelo,71874,Harvard
2023,12/29,Midlands Championships,125,L,MD,15 - 3,Jack Medley,51392,Michigan,Diego Sotelo,71874,Harvard
2023,11/13,Journeymen Classic,125,L,DEC,3 - 2,Jacob Van Dee,73557,Nebraska,Diego Sotelo,71874,Harvard
2023,11/13,Journeymen Classic,125,L,DEC,6 - 3,Ryan Miller,62350,Pennsylvania,Diego Sotelo,71874,Harvard
2023,11/13,Journeymen Classic,125,L,MD,13 - 1,Richard Figueroa,61129,Arizona State,Diego Sotelo,71874,Harvard
2023,03/04,EIWA Championships,133,L,DEC,9 - 6,Andrew Fallon,69899,Sacred Heart,Dante Frinzi,74056,Harvard
2023,03/04,EIWA Championships,133,L,MD,15 - 6,Angelo Rini,56766,Columbia,Dante Frinzi,74056,Harvard
2023,02/17,Brown - Harvard Dual,133,L,MD,11 - 3,Hunter Adrian,65842,Brown,Dante Frinzi,74056,Harvard
2023,02/11,Hofstra - Harvard Dual,133,L,DEC,3 - 1,Chase Liardi,72134,Hofstra,Dante Frinzi,74056,Harvard
2023,02/10,Columbia - Harvard Dual,133,W,FALL,1:45,Angelo Rini,56766,Columbia,Dante Frinzi,74056,Harvard
2023,01/14,North Carolina - Harvard Dual,133,L,DEC,10 - 4,Jace Palmer,73198,North Carolina,Dante Frinzi,74056,Harvard
2023,01/06,David Lehman Open,133,L,SV-1,4 - 2,John Hildebrandt,78511,Drexel,Dante Frinzi,74056,Harvard
2023,01/06,David Lehman Open,133,L,MFOR,0 - 0,Nico Nardone,71688,Pennsylvania,Dante Frinzi,74056,Harvard
2023,01/06,David Lehman Open,133,W,DEC,8 - 2,Sean Seefeldt,70755,Pennsylvania,Dante Frinzi,74056,Harvard
2023,01/06,David Lehman Open,133,W,DEC,3 - 1,Jaxon Maroney,62880,Drexel,Dante Frinzi,74056,Harvard
2023,01/06,David Lehman Open,133,W,DEC,6 - 4,Joey Melendez,50805,North Carolina,Dante Frinzi,74056,Harvard
2023,12/29,Midlands Championships,133,L,DEC,10 - 4,Sean Pierson,60443,Princeton,Dante Frinzi,74056,Harvard
2023,12/29,Midlands Championships,133,L,FALL,2:49,Michael Colaiocco,56733,Pennsylvania,Dante Frinzi,74056,Harvard
2023,12/29,Midlands Championships,133,W,DEC,12 - 6,Gabe Vidlak,70293,Oklahoma,Dante Frinzi,74056,Harvard
2023,12/02,Cliff Keen Invitational,133,L,MD,9 - 0,Dustin Norris,72154,Purdue,Dante Frinzi,74056,Harvard
2023,12/02,Cliff Keen Invitational,133,L,TF5,15 - 0 7:00,Cody Phippen,50644,Air Force,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,W,DEC,5 - 4,Carter Dibert,71775,Arizona State,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,L,SV-1,3 - 1,Kyle Waterman,67256,Drexel,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,L,DEC,3 - 1,Kyle Waterman,67256,Drexel,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,W,DEC,4 - 0,Ethan Oakley,62754,Appalachian State,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,W,DEC,3 - 2,Beau Bayless,59670,Harvard,Dante Frinzi,74056,Harvard
2023,11/20,Keystone Classic,133,W,DEC,11 - 4,Josh Hillard,78475,Franklin & Marshall,Dante Frinzi,74056,Harvard
2023,11/13,Journeymen Classic,133,L,MD,16 - 2,Evan Mougalian,72984,Pennsylvania,Dante Frinzi,74056,Harvard
2023,11/13,Journeymen Classic,133,W,DEC,15 - 8,Daniel Uhorchuk,71765,Army West Point,Dante Frinzi,74056,Harvard
2023,11/13,Journeymen Classic,133,L,DEC,3 - 2,Richard Treanor,68698,Army West Point,Dante Frinzi,74056,Harvard
2023,01/28,Harvard - Pennsylvania Dual,133,L,TF5,20 - 5 6:43,Michael Colaiocco,56733,Pennsylvania,Beau Bayless,59670,Harvard
2023,01/27,Harvard - Princeton Dual,133,L,FALL,5:24,Patrick Glory,51100,Princeton,Beau Bayless,59670,Harvard
2023,01/21,Cornell - Harvard Dual,133,L,DEC,8 - 1,Ethan Fernandez,72088,Cornell,Beau Bayless,59670,Harvard
2023,01/21,Binghamton - Harvard Dual,133,L,DEC,8 - 1,Ivan Garcia,67298,Binghamton,Beau Bayless,59670,Harvard
2023,12/29,Midlands Championships,125,L,MD,10 - 0,Diego Sotelo,71874,Harvard,Beau Bayless,59670,Harvard
2023,12/29,Midlands Championships,125,L,DEC,6 - 0,Blake West,73337,Northern Illinois,Beau Bayless,59670,Harvard
2023,12/29,Midlands Championships,125,W,DEC,1 - 0,Gio Diaz,67279,Franklin & Marshall,Beau Bayless,59670,Harvard
2023,11/20,Keystone Classic,133,L,DEC,3 - 2,Dante Frinzi,74056,Harvard,Beau Bayless,59670,Harvard
2023,11/20,Keystone Classic,133,W,TB-2,4 - 3,Christian Colman,71684,Duke,Beau Bayless,59670,Harvard
2023,11/20,Keystone Classic,133,L,MD,13 - 3,Michael Colaiocco,56733,Pennsylvania,Beau Bayless,59670,Harvard
2023,11/20,Keystone Classic,133,W,DEC,7 - 2,Patrick Schellpfeffer,69712,George Mason,Beau Bayless,59670,Harvard
