season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/05,EIWA Championships,125,L,FALL,1:53,Gerard Daly,40044,Sacred Heart,Bryan Damon,19924,Hofstra
2016,03/05,EIWA Championships,125,L,FALL,6:05,Paul Petrov,12116,Bucknell,Bryan Damon,19924,Hofstra
2016,03/05,EIWA Championships,125,W,MD,9 - 0,Steven Bulzomi,40242,Binghamton,Bryan Damon,19924,Hofstra
2016,02/20,Hofstra - Brown Dual,125,L,SV-1,3 - 1,Michael Russo,19704,Brown,Bryan Damon,19924,Hofstra
2016,02/19,Hofstra - Harvard Dual,125,L,FALL,6:41,Nolan Hellickson,39558,Harvard,Bryan Damon,19924,Hofstra
2016,02/14,Drexel - Hofstra Dual,125,L,DEC,2 - 1,Zack Fuentes,12061,Drexel,Bryan Damon,19924,Hofstra
2016,02/11,Hofstra - Rider Dual,125,L,DEC,9 - 6,Zach Valcarce,12156,Rider,Bryan Damon,19924,Hofstra
2016,01/24,Columbia - Hofstra Dual,125,W,DEC,8 - 1,Vince Pallone,19817,Columbia,Bryan Damon,19924,Hofstra
2016,01/24,Clarion - Hofstra Dual,125,W,DEC,2 - 0,Patrick Dewitt,21164,Clarion,Bryan Damon,19924,Hofstra
2016,01/24,Sacred Heart - Hofstra Dual,125,W,MD,9 - 1,Gerard Daly,40044,Sacred Heart,Bryan Damon,19924,Hofstra
2016,01/17,Binghamton - Hofstra Dual,125,W,DEC,4 - 1,Steven Bulzomi,40242,Binghamton,Bryan Damon,19924,Hofstra
2016,01/16,Hofstra - Army Dual,125,W,FALL,2:57,Jacob Fontanez,39599,Army West Point,Bryan Damon,19924,Hofstra
2016,01/09,Hofstra - Davidson Dual,125,W,MD,12 - 1,Zamir Ode,40334,Davidson,Bryan Damon,19924,Hofstra
2016,01/09,Hofstra - North Carolina State Dual,125,L,FALL,5:56,Sean Fausz,20126,NC State,Bryan Damon,19924,Hofstra
2016,01/03,Bloomsburg - Hofstra Dual,125,L,SV-1,3 - 1,Jon Haas,19672,Bloomsburg,Bryan Damon,19924,Hofstra
2016,01/03,VMI - Hofstra Dual,125,L,DEC,3 - 0,Dalton Henderson,22457,VMI,Bryan Damon,19924,Hofstra
2016,12/29,Lock Haven Invitational,125,L,FALL,4:07,Jake Gromacki,20324,Pittsburgh,Bryan Damon,19924,Hofstra
2016,12/29,Lock Haven Invitational,125,L,DEC,7 - 0,Jake Gromacki,20324,Pittsburgh,Bryan Damon,19924,Hofstra
2016,12/29,Lock Haven Invitational,125,W,MD,10 - 0,Frank Satriale,39700,Bucknell,Bryan Damon,19924,Hofstra
2016,12/29,Lock Haven Invitational,125,W,DEC,8 - 1,Drew Dickson,20964,Kent State,Bryan Damon,19924,Hofstra
2016,12/29,Lock Haven Invitational,125,W,DEC,6 - 1,Ibrahim Bunduka,19897,George Mason,Bryan Damon,19924,Hofstra
