season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,03/06,Big Ten Championships,125,L,MD,12 - 2,Eric Barnett,56753,Wisconsin,Justin Cardani,51687,Illinois
2021,03/06,Big Ten Championships,125,W,MD,11 - 0,Zach Spence,57519,Maryland,Justin Cardani,51687,Illinois
2021,03/06,Big Ten Championships,125,L,SV-1,5 - 3,Dylan Ragusin,63153,Michigan,Justin Cardani,51687,Illinois
2021,03/06,Big Ten Championships,125,L,DEC,2 - 0,Devin Schroder,44591,Purdue,Justin Cardani,51687,Illinois
2021,02/21,Nebraska - Illinois Dual,125,L,DEC,4 - 3,Liam Cronin,45061,Nebraska,Justin Cardani,51687,Illinois
2021,02/07,Illinois - Northwestern Dual,125,L,DEC,2 - 1,Michael DeAugustino,56007,Northwestern,Justin Cardani,51687,Illinois
2021,02/05,Illinois - Minnesota Dual,125,L,DEC,4 - 2,Patrick McKee,50594,Minnesota,Justin Cardani,51687,Illinois
2021,01/31,Iowa - Illinois Dual,125,L,FALL,2:30,Spencer Lee,49146,Iowa,Justin Cardani,51687,Illinois
2021,01/22,Purdue - Illinois Dual,125,L,DEC,2 - 0,Devin Schroder,44591,Purdue,Justin Cardani,51687,Illinois
2021,01/17,Wisconsin - Illinois Dual,125,W,DEC,3 - 1,Eric Barnett,56753,Wisconsin,Justin Cardani,51687,Illinois
2021,01/17,Ohio State - Illinois Dual,125,L,DEC,9 - 2,Malik Heinselman,50611,Ohio State,Justin Cardani,51687,Illinois
2021,01/10,Illinois - Indiana Dual,125,W,DEC,3 - 1,Brock Hudkins,44808,Indiana,Justin Cardani,51687,Illinois
2021,02/21,Illinois Nebraska Extra,125,L,FALL,6:57,Jeremiah Reno,62342,Nebraska,Josh Contreras,50857,Illinois
2021,01/17,Ohio State Illinois Extra,125,L,DEC,3 - 1,Brady Koontz,50853,Ohio State,Josh Contreras,50857,Illinois
2021,01/10,Indiana Illinois Extra,125,L,DEC,3 - 2,Jacob Moran,63550,Indiana,Josh Contreras,50857,Illinois
2021,03/18,NCAA Championships,133,W,FALL,6:17,Michael McGee,49264,Arizona State,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,L,DEC,8 - 5,Korbin Myers,39637,Virginia Tech,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,W,DEC,4 - 1,Chris Cannon,62895,Northwestern,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,W,TB-1,6 - 2,Micky Phillippi,45230,Pittsburgh,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,W,DEC,3 - 1,Devan Turner,45397,Oregon State,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,W,MD,12 - 3,Jake Rundell,67302,Purdue,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,L,SV-1,6 - 4,Louie Hayes,44641,Virginia,Lucas Byrd,56714,Illinois
2021,03/18,NCAA Championships,133,W,DEC,8 - 3,Darren Miller,57210,Bucknell,Lucas Byrd,56714,Illinois
2021,03/06,Big Ten Championships,133,W,MD,8 - 0,Jake Rundell,67302,Purdue,Lucas Byrd,56714,Illinois
2021,03/06,Big Ten Championships,133,W,DEC,7 - 1,Chris Cannon,62895,Northwestern,Lucas Byrd,56714,Illinois
2021,03/06,Big Ten Championships,133,L,DEC,5 - 4,Austin DeSanto,49117,Iowa,Lucas Byrd,56714,Illinois
2021,03/06,Big Ten Championships,133,W,DEC,12 - 5,Boo Dryden,52313,Minnesota,Lucas Byrd,56714,Illinois
2021,03/06,Big Ten Championships,133,W,FALL,6:06,Shane Metzler,49307,Rutgers,Lucas Byrd,56714,Illinois
2021,02/21,Nebraska - Illinois Dual,133,W,DEC,10 - 8,Tucker Sjomeling,49209,Nebraska,Lucas Byrd,56714,Illinois
2021,02/07,Illinois - Northwestern Dual,133,W,FALL,5:15,Dylan Utterback,51399,Northwestern,Lucas Byrd,56714,Illinois
2021,02/05,Illinois - Minnesota Dual,133,W,MD,11 - 3,Boo Dryden,52313,Minnesota,Lucas Byrd,56714,Illinois
2021,01/31,Iowa - Illinois Dual,133,L,MD,18 - 6,Austin DeSanto,49117,Iowa,Lucas Byrd,56714,Illinois
2021,01/22,Purdue - Illinois Dual,133,W,FALL,6:40,Nathan Cummings,51073,Purdue,Lucas Byrd,56714,Illinois
2021,01/17,Wisconsin - Illinois Dual,133,W,DEC,5 - 0,Kyle Burwick,57385,Wisconsin,Lucas Byrd,56714,Illinois
2021,01/17,Ohio State - Illinois Dual,133,W,DEC,2 - 0,Jordan Decatur,56727,Ohio State,Lucas Byrd,56714,Illinois
2021,01/10,Illinois - Indiana Dual,133,W,MD,14 - 5,Cayden Rooks,56710,Indiana,Lucas Byrd,56714,Illinois
2021,02/21,Illinois Nebraska Extra,133,L,DEC,3 - 2,Alex Thomsen,50601,Nebraska,We Rachal,56818,Illinois
2021,02/07,Illinois Northwestern Extra,141,W,MD,15 - 3,Matt Vinci,57087,Northwestern,We Rachal,56818,Illinois
2021,02/05,Minnesota Illinois Extra,133,L,DEC,6 - 2,Jake Gliva,51241,Minnesota,We Rachal,56818,Illinois
2021,01/31,Iowa Illinois Extra,133,L,MD,22 - 9,Cullan Schriever,57331,Iowa,We Rachal,56818,Illinois
2021,01/17,Ohio State Illinois Extra,133,W,DEC,8 - 6,Phillip Kue,63244,Ohio State,We Rachal,56818,Illinois
2021,03/18,NCAA Championships,141,W,DEC,3 - 0,Chad Red,44683,Nebraska,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,L,DEC,7 - 4,Sebastian Rivera,44799,Rutgers,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,W,DEC,3 - 2,Clay Carlson,56441,South Dakota State,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,W,DEC,8 - 6,Dresden Simon,44707,Central Michigan,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,W,DEC,3 - 2,Grant Willits,49273,Oregon State,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,W,DEC,4 - 1,Durbin Lloren,44916,Fresno State,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,L,DEC,10 - 4,Sebastian Rivera,44799,Rutgers,Dylan Duncan,44647,Illinois
2021,03/18,NCAA Championships,141,W,MD,13 - 2,Lane Peters,45639,Army West Point,Dylan Duncan,44647,Illinois
2021,03/06,Big Ten Championships,141,W,DEC,6 - 2,Drew Mattin,49180,Michigan,Dylan Duncan,44647,Illinois
2021,03/06,Big Ten Championships,141,L,DEC,11 - 7,Parker Filius,49302,Purdue,Dylan Duncan,44647,Illinois
2021,03/06,Big Ten Championships,141,W,MD,8 - 0,Marcos Polanco,57653,Minnesota,Dylan Duncan,44647,Illinois
2021,03/06,Big Ten Championships,141,W,MD,8 - 0,Matt Santos,44890,Michigan State,Dylan Duncan,44647,Illinois
2021,03/06,Big Ten Championships,141,L,MD,12 - 3,Chad Red,44683,Nebraska,Dylan Duncan,44647,Illinois
2021,02/21,Nebraska - Illinois Dual,141,L,DEC,4 - 3,Chad Red,44683,Nebraska,Dylan Duncan,44647,Illinois
2021,02/07,Illinois - Northwestern Dual,141,W,MD,14 - 4,Colin Valdiviez,49244,Northwestern,Dylan Duncan,44647,Illinois
2021,02/05,Illinois - Minnesota Dual,141,W,DEC,5 - 2,Marcos Polanco,57653,Minnesota,Dylan Duncan,44647,Illinois
2021,01/31,Iowa - Illinois Dual,141,L,FALL,6:05,Jaydin Eierman,39508,Iowa,Dylan Duncan,44647,Illinois
2021,01/22,Purdue - Illinois Dual,141,W,MD,11 - 3,Parker Filius,49302,Purdue,Dylan Duncan,44647,Illinois
2021,01/10,Illinois - Indiana Dual,141,W,FALL,6:18,Paul Konrath,49348,Indiana,Dylan Duncan,44647,Illinois
2021,02/21,Nebraska - Illinois Dual,149,L,TF5,20 - 5 7:00,Ridge Lovett,57520,Nebraska,Danny Pucino,66101,Illinois
2021,02/07,Illinois Northwestern Extra,141,W,DEC,6 - 2,Frankie Tal-Shahar,64959,Northwestern,Danny Pucino,66101,Illinois
2021,02/05,Minnesota Illinois Extra,141,W,FALL,6:01,Brent Jones,49188,Minnesota,Danny Pucino,66101,Illinois
2021,01/22,Purdue Illinois Extra,141,W,FALL,2:34,Bjorn Schroeder,54593,Purdue,Danny Pucino,66101,Illinois
2021,01/17,Wisconsin - Illinois Dual,141,W,DEC,10 - 4,Dominic Dentino,56924,Wisconsin,Danny Pucino,66101,Illinois
2021,01/17,Ohio State - Illinois Dual,141,W,DEC,12 - 7,Dylan D'Emilio,56726,Ohio State,Danny Pucino,66101,Illinois
2021,01/10,Indiana Illinois Extra,141,W,MD,14 - 6,Jonathan Moran,57078,Indiana,Danny Pucino,66101,Illinois
2021,03/06,Big Ten Championships,149,L,DEC,10 - 5,Drew Scharenbrock,59184,Wisconsin,Christian Kanzler,53194,Illinois
2021,03/06,Big Ten Championships,149,L,DEC,8 - 2,Yahya Thomas,49245,Northwestern,Christian Kanzler,53194,Illinois
2021,02/07,Illinois Northwestern Extra,149,L,DEC,3 - 0,Trevor Chumbley,57938,Northwestern,Christian Kanzler,53194,Illinois
2021,02/05,Minnesota Illinois Extra,149,L,DEC,2 - 1,Jake Bergeland,49189,Minnesota,Christian Kanzler,53194,Illinois
2021,01/31,Iowa Illinois Extra,149,W,DEC,5 - 4,Cobe Siebrecht,60716,Iowa,Christian Kanzler,53194,Illinois
2021,01/22,Purdue Illinois Extra,149,W,DEC,8 - 5,Trey Kruse,67044,Purdue,Christian Kanzler,53194,Illinois
2021,01/17,Wisconsin Illinois Extra,149,L,DEC,5 - 4,Daniel Stilling,62175,Wisconsin,Christian Kanzler,53194,Illinois
2021,02/07,Illinois - Northwestern Dual,149,W,DEC,3 - 2,Yahya Thomas,49245,Northwestern,Mike Carr,44645,Illinois
2021,02/05,Illinois - Minnesota Dual,149,W,DEC,5 - 3,Michael Blockhus,57163,Minnesota,Mike Carr,44645,Illinois
2021,01/31,Iowa - Illinois Dual,149,L,DEC,3 - 1,Max Murin,49148,Iowa,Mike Carr,44645,Illinois
2021,01/22,Purdue - Illinois Dual,149,W,DEC,8 - 2,Alec White,49305,Purdue,Mike Carr,44645,Illinois
2021,01/17,Wisconsin - Illinois Dual,149,W,DEC,8 - 3,Drew Scharenbrock,59184,Wisconsin,Mike Carr,44645,Illinois
2021,01/17,Ohio State - Illinois Dual,149,L,FALL,2:45,Sammy Sasso,51143,Ohio State,Mike Carr,44645,Illinois
2021,01/10,Illinois - Indiana Dual,149,W,MD,16 - 5,Luke Baughman,57288,Indiana,Mike Carr,44645,Illinois
2021,01/17,Wisconsin Illinois Extra,149,W,FALL,5:59,Aidan Medora,62360,Wisconsin,E'lan Heard,62337,Illinois
2021,02/21,Illinois Nebraska Extra,149,L,FALL,4:58,Brock Hardy,51242,Nebraska,Andrew Cohen,62738,Illinois
2021,03/06,Big Ten Championships,157,L,DEC,3 - 2,Luke Baughman,57288,Indiana,Johnny Mologousis,49144,Illinois
2021,03/06,Big Ten Championships,157,L,DEC,3 - 2,Will Lewan,50934,Michigan,Johnny Mologousis,49144,Illinois
2021,03/06,Big Ten Championships,157,W,TF5,17 - 2 7:00,Luke Baughman,57288,Indiana,Johnny Mologousis,49144,Illinois
2021,03/06,Big Ten Championships,157,L,MD,13 - 4,Brady Berge,49277,Penn State,Johnny Mologousis,49144,Illinois
2021,02/07,Illinois - Northwestern Dual,157,L,DEC,8 - 2,Maxx Mayfield,62981,Northwestern,Johnny Mologousis,49144,Illinois
