season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/05,Big Ten 9th Place Matches,125,W,DEC,9 - 7,Jeremiah Reno,62342,Nebraska,Jacob Moran,63550,Indiana
2022,03/05,Big Ten 9th Place Matches,125,L,DEC,4 - 0,Drew Hildebrandt,44818,Penn State,Jacob Moran,63550,Indiana
2022,03/05,Big Ten 9th Place Matches,125,L,DEC,6 - 2,Tristan Lujan,63015,Michigan State,Jacob Moran,63550,Indiana
2022,03/05,Big Ten Championships,125,L,MD,12 - 3,Drake Ayala,66975,Iowa,Jacob Moran,63550,Indiana
2022,03/05,Big Ten Championships,125,W,SV-1,13 - 11,Jeremiah Reno,62342,Nebraska,Jacob Moran,63550,Indiana
2022,03/05,Big Ten Championships,125,L,DEC,2 - 0,Devin Schroder,44591,Purdue,Jacob Moran,63550,Indiana
2022,02/20,Chattanooga - Indiana Dual,125,W,DEC,6 - 5,Fabian Gutierrez,45245,Chattanooga,Jacob Moran,63550,Indiana
2022,02/13,Indiana - Ohio State Dual,125,L,MD,10 - 2,Malik Heinselman,50611,Ohio State,Jacob Moran,63550,Indiana
2022,02/11,Michigan - Indiana Dual,125,L,FALL,5:34,Nick Suriano,44648,Michigan,Jacob Moran,63550,Indiana
2022,02/06,Indiana - Illinois Dual,125,L,SV-1,2 - 0,Justin Cardani,51687,Illinois,Jacob Moran,63550,Indiana
2022,01/29,Purdue - Indiana Dual,125,L,MD,11 - 0,Devin Schroder,44591,Purdue,Jacob Moran,63550,Indiana
2022,01/21,Maryland - Indiana Dual,125,W,TF5,26 - 8 7:00,Tommy Capul,73318,Maryland,Jacob Moran,63550,Indiana
2022,01/17,Michigan State - Indiana Dual,125,L,MD,8 - 0,Tristan Lujan,63015,Michigan State,Jacob Moran,63550,Indiana
2022,01/09,Indiana - Penn State Dual,125,L,DEC,6 - 2,Drew Hildebrandt,44818,Penn State,Jacob Moran,63550,Indiana
2022,01/07,Indiana - Rutgers Dual,125,L,MD,13 - 2,Dylan Shawver,61767,Rutgers,Jacob Moran,63550,Indiana
2022,01/04,Ohio Indiana Round Robin,125,L,DEC,4 - 3,Oscar Sanchez,57320,Ohio,Jacob Moran,63550,Indiana
2022,12/11,Cleveland State Open,125,W,DEC,7 - 4,Colton Camacho,58029,Pittsburgh,Jacob Moran,63550,Indiana
2022,12/11,Cleveland State Open,125,W,DEC,7 - 4,Logan Heil,57515,Cleveland State,Jacob Moran,63550,Indiana
2022,12/11,Cleveland State Open,125,W,DEC,14 - 7,Patrick Adams,72223,Buffalo,Jacob Moran,63550,Indiana
2022,12/11,Cleveland State Open,125,W,DEC,7 - 6,Brock Bergelin,49078,Central Michigan,Jacob Moran,63550,Indiana
2022,11/14,Mountaineer Invitational,125,W,DEC,6 - 5,Jake Ferri,51179,Kent State,Jacob Moran,63550,Indiana
2022,11/14,Mountaineer Invitational,125,L,DEC,9 - 4,Brandon Courtney,50881,Arizona State,Jacob Moran,63550,Indiana
2022,11/14,Mountaineer Invitational,125,W,MD,14 - 4,Quinn Melofchik,61895,Air Force,Jacob Moran,63550,Indiana
2022,11/07,Indiana - Bellarmine Dual,125,W,TF5,17 - 2 7:00,Jack Parker,71291,Bellarmine,Jacob Moran,63550,Indiana
2022,11/07,Indiana - Southern Illinois Edwardsville Dual,125,W,TF5,18 - 2 7:00,Tommy Dineen,62937,SIU Edwardsville,Jacob Moran,63550,Indiana
2022,03/17,NCAA Championships,133,L,MFOR,0 - 0,Richie Koehler,51648,Rider,Brock Hudkins,44808,Indiana
2022,03/17,NCAA Championships,133,L,INJ,6:05,Korbin Myers,39637,Virginia Tech,Brock Hudkins,44808,Indiana
2022,03/17,NCAA Championships,133,W,DEC,8 - 3,Chance Rich,50933,CSU Bakersfield,Brock Hudkins,44808,Indiana
2022,03/05,Big Ten 9th Place Matches,133,L,DEC,3 - 2,Joey Olivieri,67238,Rutgers,Brock Hudkins,44808,Indiana
2022,03/05,Big Ten 9th Place Matches,133,W,DEC,5 - 1,Kyle Burwick,57385,Wisconsin,Brock Hudkins,44808,Indiana
2022,03/05,Big Ten Championships,133,W,DEC,4 - 1,Kyle Burwick,57385,Wisconsin,Brock Hudkins,44808,Indiana
2022,03/05,Big Ten Championships,133,L,SV-1,3 - 1,Jake Gliva,51241,Minnesota,Brock Hudkins,44808,Indiana
2022,03/05,Big Ten Championships,133,L,MD,10 - 2,Lucas Byrd,56714,Illinois,Brock Hudkins,44808,Indiana
2022,02/20,Chattanooga - Indiana Dual,133,W,DEC,5 - 3,Brayden Palmer,59826,Chattanooga,Brock Hudkins,44808,Indiana
2022,02/13,Indiana - Ohio State Dual,133,W,DEC,5 - 3,Dylan Koontz,50854,Ohio State,Brock Hudkins,44808,Indiana
2022,02/11,Michigan - Indiana Dual,133,L,DEC,6 - 3,Dylan Ragusin,63153,Michigan,Brock Hudkins,44808,Indiana
2022,02/06,Indiana - Illinois Dual,133,L,FALL,1:10,Lucas Byrd,56714,Illinois,Brock Hudkins,44808,Indiana
2022,01/29,Purdue - Indiana Dual,133,W,DEC,7 - 1,Matt Ramos,57134,Purdue,Brock Hudkins,44808,Indiana
2022,01/17,Michigan State - Indiana Dual,133,W,DEC,5 - 3,Rayvon Foley,50823,Michigan State,Brock Hudkins,44808,Indiana
2022,01/09,Indiana - Penn State Dual,133,W,TF5,18 - 3 5:30,Baylor Shunk,62899,Penn State,Brock Hudkins,44808,Indiana
2022,01/07,Indiana - Rutgers Dual,133,W,DEC,6 - 0,Devon Britton,61762,Rutgers,Brock Hudkins,44808,Indiana
2022,01/04,Ohio Indiana Round Robin,133,W,DEC,6 - 2,Gio Disabato,50840,Ohio,Brock Hudkins,44808,Indiana
2022,11/14,Mountaineer Invitational,133,W,DEC,4 - 2,Julian Chlebove,56769,Arizona State,Brock Hudkins,44808,Indiana
2022,11/14,Mountaineer Invitational,133,L,MFOR,0 - 0,Michael McGee,49264,Arizona State,Brock Hudkins,44808,Indiana
2022,11/14,Mountaineer Invitational,133,W,DEC,6 - 3,Codi Russell,51113,Appalachian State,Brock Hudkins,44808,Indiana
2022,11/07,Indiana - Bellarmine Dual,133,W,MD,13 - 4,Max Dansereau,62790,Bellarmine,Brock Hudkins,44808,Indiana
