season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/16,NCAA Championships,125,L,MFOR,0 - 0,Liam Cronin,45061,Nebraska,Spencer Lee,49146,Iowa
2023,03/16,NCAA Championships,125,L,MFOR,0 - 0,Brandon Courtney,50881,Arizona State,Spencer Lee,49146,Iowa
2023,03/16,NCAA Championships,125,L,FALL,6:59,Matt Ramos,57134,Purdue,Spencer Lee,49146,Iowa
2023,03/16,NCAA Championships,125,W,MD,14 - 4,Anthony Noto,64642,Lock Haven,Spencer Lee,49146,Iowa
2023,03/16,NCAA Championships,125,W,TF5,17 - 0 2:30,Jack Medley,51392,Michigan,Spencer Lee,49146,Iowa
2023,03/16,NCAA Championships,125,W,FALL,0:36,Tucker Owens,71711,Air Force,Spencer Lee,49146,Iowa
2023,03/04,Big Ten Championships,125,W,DEC,8 - 2,Liam Cronin,45061,Nebraska,Spencer Lee,49146,Iowa
2023,03/04,Big Ten Championships,125,W,TF5,17 - 0 5:00,Jack Medley,51392,Michigan,Spencer Lee,49146,Iowa
2023,03/04,Big Ten Championships,125,W,TF5,20 - 2 6:51,Patrick McKee,50594,Minnesota,Spencer Lee,49146,Iowa
2023,02/19,Oklahoma State - Iowa Dual,125,W,FALL,0:51,Reece Witcraft,57312,Oklahoma State,Spencer Lee,49146,Iowa
2023,02/10,Michigan - Iowa Dual,125,W,MD,11 - 2,Jack Medley,51392,Michigan,Spencer Lee,49146,Iowa
2023,02/03,Iowa - Minnesota Dual,125,W,DEC,7 - 1,Patrick McKee,50594,Minnesota,Spencer Lee,49146,Iowa
2023,01/27,Iowa - Penn State Dual,125,W,TF5,18 - 2 2:14,Marco Vespa,66717,Penn State,Spencer Lee,49146,Iowa
2023,01/22,Iowa - Wisconsin Dual,125,W,FALL,4:38,Eric Barnett,56753,Wisconsin,Spencer Lee,49146,Iowa
2023,01/20,Nebraska - Iowa Dual,125,W,FALL,0:38,Liam Cronin,45061,Nebraska,Spencer Lee,49146,Iowa
2023,01/13,Northwestern - Iowa Dual,125,W,FALL,2:01,Michael DeAugustino,56007,Northwestern,Spencer Lee,49146,Iowa
2023,01/08,Iowa - Purdue Dual,125,W,FALL,2:56,Matt Ramos,57134,Purdue,Spencer Lee,49146,Iowa
2023,01/06,Illinois - Iowa Dual,125,W,FALL,2:22,Maximo Renteria,71870,Illinois,Spencer Lee,49146,Iowa
2023,12/29,Soldier Salute Open,125,W,FALL,1:24,Drake Ayala,66975,Iowa,Spencer Lee,49146,Iowa
2023,12/29,Soldier Salute Open,125,W,TF5,19 - 1 4:28,Charlie Farmer,71771,Army West Point,Spencer Lee,49146,Iowa
2023,12/29,Soldier Salute Open,125,W,FALL,0:54,Damion Ryan,78489,Bellarmine,Spencer Lee,49146,Iowa
2023,12/29,Soldier Salute Open,125,W,MD,15 - 5,Jore Volk,72600,Wyoming,Spencer Lee,49146,Iowa
2023,12/04,Iowa State - Iowa Dual,125,W,MD,16 - 5,Corey Cabanban,57236,Iowa State,Spencer Lee,49146,Iowa
2023,02/04,Don Parker Open,133,W,TF5,25 - 10 7:00,Justin Fortugno,81005,Wisconsin-Whitewater,Drake Ayala,66975,Iowa
2023,02/04,Don Parker Open,133,W,DEC,5 - 1,Nicolar Rivera,78438,Wisconsin,Drake Ayala,66975,Iowa
2023,02/04,Don Parker Open,133,W,TF5,20 - 5 7:00,Matthew Chi,77507,Wisconsin-Parkside,Drake Ayala,66975,Iowa
2023,02/04,Don Parker Open,133,W,MD,18 - 7,Robby Horsman,56904,St Cloud State,Drake Ayala,66975,Iowa
2023,01/28,Flash Flanagan Open,133,W,FALL,0:47,Cory Hoyle,78963,Central,Drake Ayala,66975,Iowa
2023,01/28,Flash Flanagan Open,133,W,TF5,20 - 4 7:00,Dylan Coy,77722,Wisconsin,Drake Ayala,66975,Iowa
2023,01/28,Flash Flanagan Open,133,W,DEC,7 - 2,Cory Land,73283,Northern Iowa,Drake Ayala,66975,Iowa
2023,01/28,Flash Flanagan Open,133,W,TF5,21 - 6 7:00,Denis Murphy,63506,Wisconsin-Oshkosh,Drake Ayala,66975,Iowa
2023,12/29,Soldier Salute Open,125,L,FALL,1:24,Spencer Lee,49146,Iowa,Drake Ayala,66975,Iowa
2023,12/29,Soldier Salute Open,125,W,DEC,5 - 2,Ethan Berginc,71779,Army West Point,Drake Ayala,66975,Iowa
2023,12/29,Soldier Salute Open,125,W,TF5,23 - 8 6:06,Jack Parker,71291,Bellarmine,Drake Ayala,66975,Iowa
2023,12/29,Soldier Salute Open,125,W,MD,20 - 6,Trever Anderson,76359,Northern Iowa,Drake Ayala,66975,Iowa
