season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/03,Big 12 Championships,125,L,MD,18 - 4,Sean Williams,16527,Fresno State,Sinjin Briggs,54314,Iowa State
2018,03/03,Big 12 Championships,125,L,MD,12 - 1,Drake Foster,39797,Wyoming,Sinjin Briggs,54314,Iowa State
2018,02/18,Iowa - Iowa State Dual,125,L,FALL,0:44,Spencer Lee,49146,Iowa,Sinjin Briggs,54314,Iowa State
2018,02/10,Iowa State - Northern Iowa Dual,125,L,FALL,0:51,Jacob Schwarm,39750,Northern Iowa,Sinjin Briggs,54314,Iowa State
2018,02/09,Fresno State - Iowa State Dual,125,L,MD,10 - 2,Sean Williams,16527,Fresno State,Sinjin Briggs,54314,Iowa State
2018,02/04,Iowa State - South Dakota State Dual,125,L,FALL,2:07,Connor Brown,49321,South Dakota State,Sinjin Briggs,54314,Iowa State
2018,02/02,Iowa State - North Dakota State Dual,125,L,FALL,4:39,Paul Bianchi,45589,North Dakota State,Sinjin Briggs,54314,Iowa State
2018,01/28,Iowa State - Oklahoma State Dual,125,L,TF5,15 - 0 3:45,Nick Piccininni,39547,Oklahoma State,Sinjin Briggs,54314,Iowa State
2018,01/26,Iowa State - Oklahoma Dual,125,L,FALL,0:37,Christian Moody,39746,Oklahoma,Sinjin Briggs,54314,Iowa State
2018,01/21,West Virginia - Iowa State Dual,125,L,TF5,18 - 2 3:00,Zeke Moisey,20472,West Virginia,Sinjin Briggs,54314,Iowa State
2018,01/13,Fresno State - Iowa State Dual,125,L,MD,15 - 3,Sean Williams,16527,Fresno State,Sinjin Briggs,54314,Iowa State
2018,01/12,Old Dominion - Iowa State Dual,125,L,TF5,17 - 1 7:00,Michael McGee,49264,Old Dominion,Sinjin Briggs,54314,Iowa State
2018,01/12,Iowa State - Arizona State Dual,125,L,TF5,16 - 1 7:00,Ryan Millhof,20815,Arizona State,Sinjin Briggs,54314,Iowa State
2018,01/12,Iowa State - Virginia Dual,125,L,TF5,20 - 4 7:00,Louie Hayes,44641,Virginia,Sinjin Briggs,54314,Iowa State
2018,01/06,Flash Flanagan Open,125,W,DEC,8 - 2,Beau Harrier,54029,Wisconsin-Platteville,Sinjin Briggs,54314,Iowa State
2018,01/06,Flash Flanagan Open,125,L,DEC,9 - 5,Anthony Pisciotta,52536,Maryville University,Sinjin Briggs,54314,Iowa State
2018,01/06,Flash Flanagan Open,125,L,FALL,1:41,Tyler Kreith,51944,Maryville University,Sinjin Briggs,54314,Iowa State
2018,01/05,Northern Colorado - Iowa State Dual,125,L,DEC,6 - 2,Sean Cannon,40053,Northern Colorado,Jakob Allison,46991,Iowa State
2018,12/09,Wyoming - Iowa State Dual,125,W,FALL,3:48,Trent Olson,44718,Wyoming,Jakob Allison,46991,Iowa State
2018,12/01,Cliff Keen Invitational,125,L,DEC,4 - 2,Rayvon Foley,50823,Michigan State,Jakob Allison,46991,Iowa State
2018,12/01,Cliff Keen Invitational,125,L,DEC,7 - 2,Vlad Kazakov,46273,Nebraska-Kearney,Jakob Allison,46991,Iowa State
2018,11/19,Lindenwood Open,125,L,FALL,3:39,Jett Taylor,52233,Oklahoma State,Jakob Allison,46991,Iowa State
2018,11/19,Lindenwood Open,125,L,MD,8 - 0,Boo Dryden,52313,Northeastern Oklahoma,Jakob Allison,46991,Iowa State
2018,11/19,Lindenwood Open,125,W,DEC,11 - 4,Majid Corbit,48156,Limestone,Jakob Allison,46991,Iowa State
2018,11/19,Lindenwood Open,125,W,TF5,16 - 0 7:00,Tre Pone,51947,Labette Community College,Jakob Allison,46991,Iowa State
2018,11/12,Drexel - Iowa State Dual,125,L,DEC,5 - 0,Tanner Shoap,12205,Drexel,Jakob Allison,46991,Iowa State
2018,11/04,Harold Nichols Cyclone Open,125,W,DEC,8 - 4,Jacob Schipper,50021,Northern Iowa,Jakob Allison,46991,Iowa State
