season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/03,MAC Championships,125,W,DEC,9 - 5,Trevor Giallombardo,45033,Ohio,Jake Ferri,51179,Kent State
2018,03/03,MAC Championships,125,L,FALL,4:31,Tomas Gutierrez,45017,Eastern Michigan,Jake Ferri,51179,Kent State
2018,03/03,MAC Championships,125,L,FALL,6:28,Kyle Akins,19714,Buffalo,Jake Ferri,51179,Kent State
2018,02/16,Kent State - Northern Illinois Dual,125,L,DEC,7 - 2,Brock Hudkins,44808,Northern Illinois,Jake Ferri,51179,Kent State
2018,02/11,Central Michigan - Kent State Dual,125,L,DEC,6 - 0,Drew Hildebrandt,44818,Central Michigan,Jake Ferri,51179,Kent State
2018,02/09,Old Dominion - Kent State Dual,125,L,MD,11 - 1,Michael McGee,49264,Old Dominion,Jake Ferri,51179,Kent State
2018,02/04,Kent State - Eastern Michigan Dual,125,L,DEC,9 - 8,Tomas Gutierrez,45017,Eastern Michigan,Jake Ferri,51179,Kent State
2018,01/21,Kent State - Oklahoma State Dual,125,L,TF5,16 - 1 2:41,Nick Piccininni,39547,Oklahoma State,Jake Ferri,51179,Kent State
2018,01/19,Kent State - Ohio Dual,125,W,DEC,7 - 4,Trevor Giallombardo,45033,Ohio,Jake Ferri,51179,Kent State
2018,01/13,Kent State - Campbell Dual,125,L,DEC,6 - 3,Korbin Meink,49074,Campbell,Jake Ferri,51179,Kent State
2018,01/12,Fresno State - Kent State Dual,125,W,DEC,4 - 3,Sean Williams,16527,Fresno State,Jake Ferri,51179,Kent State
2018,01/12,Kent State - Northern Iowa Dual,125,L,FALL,1:02,Jacob Schwarm,39750,Northern Iowa,Jake Ferri,51179,Kent State
2018,01/12,Kent State - Chattanooga Dual,125,L,MD,11 - 3,Alonzo Allen,19765,Chattanooga,Jake Ferri,51179,Kent State
2018,12/16,Cleveland State Open,125,W,MD,15 - 3,Trent Gill,53675,Mount Union,Jake Ferri,51179,Kent State
2018,12/16,Cleveland State Open,125,W,MD,10 - 2,Cameron Lathem,44691,Cleveland State,Jake Ferri,51179,Kent State
2018,12/16,Cleveland State Open,125,W,INJ,7:00,Fabian Gutierrez,45245,Chattanooga,Jake Ferri,51179,Kent State
2018,12/16,Cleveland State Open,125,W,DEC,7 - 4,Keegan Duncan,45576,Gardner-Webb,Jake Ferri,51179,Kent State
2018,12/03,Storm Open,125,L,DEC,18 - 14,Hunter Lucas,45132,Ohio State,Jake Ferri,51179,Kent State
2018,12/03,Storm Open,125,W,MD,11 - 3,Ryan More,45164,Virginia Tech,Jake Ferri,51179,Kent State
2018,12/03,Storm Open,125,L,DEC,11 - 5,Gavin Park,49094,Clarion,Jake Ferri,51179,Kent State
2018,12/03,Storm Open,125,W,TF5,15 - 0 4:40,Gage Griffith,51485,Ashland,Jake Ferri,51179,Kent State
2018,11/18,Findlay Open,125,L,DEC,10 - 5,Corey Secrist,52286,West Liberty University,Jake Ferri,51179,Kent State
2018,11/18,Findlay Open,125,L,MD,15 - 5,Sebastian Vidika,47120,Ashland,Jake Ferri,51179,Kent State
2018,11/11,Eastern Michigan Open,125,L,MD,13 - 4,Hunter Lucas,45132,Ohio State,Jake Ferri,51179,Kent State
2018,11/11,Eastern Michigan Open,125,L,MD,11 - 1,Drew West,50041,Northern Illinois,Jake Ferri,51179,Kent State
2018,11/11,Eastern Michigan Open,125,W,DEC,4 - 2,Mitch Seaver,50322,Edinboro,Jake Ferri,51179,Kent State
2018,11/05,Clarion Open,125,L,DEC,10 - 5,Joey Thomas,51008,West Virginia,Jake Ferri,51179,Kent State
2018,11/05,Clarion Open,125,W,MD,15 - 6,Cameron Lathem,44691,Cleveland State,Jake Ferri,51179,Kent State
2018,11/05,Clarion Open,125,L,DEC,8 - 4,Sam Book,49332,Virginia,Jake Ferri,51179,Kent State
2018,11/05,Clarion Open,125,W,DEC,11 - 8,Matt Siszka,51631,Pitt-Johnstown,Jake Ferri,51179,Kent State
2018,12/30,South Beach Individual,125,L,MD,12 - 4,Skyler Petry,20045,Minnesota,Will Bardezbain,42644,Kent State
2018,12/30,South Beach Individual,125,W,DEC,6 - 1,Aaron Assad,15239,Missouri,Will Bardezbain,42644,Kent State
2018,12/30,South Beach Individual,125,W,FALL,1:37,Mike Simonetti,51025,Franklin & Marshall,Will Bardezbain,42644,Kent State
2018,12/30,Kent State - Southern Illinois Edwardsville Dual,125,L,SV-1,8 - 6,Zach Gentzler,41461,SIU Edwardsville,Will Bardezbain,42644,Kent State
2018,12/30,Cornell - Kent State Dual,125,W,FOR,0 - 0,Mike Russo,42009,Cornell,Will Bardezbain,42644,Kent State
2018,12/10,Buffalo - Kent State Dual,125,L,DEC,5 - 1,Kyle Akins,19714,Buffalo,Will Bardezbain,42644,Kent State
2018,12/01,Cliff Keen Invitational,125,W,DEC,18 - 15,Dalton Macri,42225,North Carolina,Will Bardezbain,42644,Kent State
2018,12/01,Cliff Keen Invitational,125,L,DEC,4 - 1,Connor Schram,14982,Stanford,Will Bardezbain,42644,Kent State
2018,12/01,Cliff Keen Invitational,125,L,FALL,3:13,Louie Hayes,44641,Virginia,Will Bardezbain,42644,Kent State
2018,12/01,Cliff Keen Invitational,125,W,FALL,2:45,Trent Olson,44718,Wyoming,Will Bardezbain,42644,Kent State
2018,12/01,Cliff Keen Invitational,125,W,DEC,12 - 6,Tony DeCesare,46349,Air Force,Will Bardezbain,42644,Kent State
2018,11/21,Kent State - Cleveland State Dual,125,W,FALL,2:37,Cameron Lathem,44691,Cleveland State,Will Bardezbain,42644,Kent State
2018,11/21,Kent State - Ohio State Dual,125,W,DEC,10 - 5,Brakan Mead,50226,Ohio State,Will Bardezbain,42644,Kent State
2018,11/18,Navy Classic,125,W,DEC,9 - 8,Matteo DeVincenzo,44772,Princeton,Will Bardezbain,42644,Kent State
2018,11/18,Navy Classic,125,L,DEC,9 - 7,Kordell Rush,46501,Delaware Valley,Will Bardezbain,42644,Kent State
2018,11/18,Navy Classic,125,W,MD,15 - 4,Caleb Kelly,51927,Navy,Will Bardezbain,42644,Kent State
2018,11/18,Navy Classic,125,L,DEC,9 - 6,Ibrahim Bunduka,19897,George Mason,Will Bardezbain,42644,Kent State
2018,11/18,Navy Classic,125,W,DEC,11 - 9,Aaron Burton,40429,Campbell,Will Bardezbain,42644,Kent State
2018,11/12,Journeymen Classic,125,W,DEC,12 - 9,Gage Curry,44583,American,Will Bardezbain,42644,Kent State
2018,11/12,Journeymen Classic,125,W,FALL,3:37,Trey Chalifoux,44745,Army West Point,Will Bardezbain,42644,Kent State
2018,11/12,Journeymen Classic,125,L,FALL,4:05,Kyle Norstrem,45110,Virginia Tech,Will Bardezbain,42644,Kent State
2018,11/03,Mercyhurst Northeast - Kent State Dual,125,W,FALL,1:28,Derrick Burrage,51248,Mercyhurst Northeast,Will Bardezbain,42644,Kent State
2018,11/03,Kent State - Utah Valley Dual,125,L,MD,13 - 4,Taylor LaMont,44777,Utah Valley,Will Bardezbain,42644,Kent State
2018,11/03,Lake Erie College - Kent State Dual,125,W,DEC,14 - 9,Blake Glogouski,46400,Lake Erie College,Will Bardezbain,42644,Kent State
2018,03/15,NCAA Championships,133,L,FALL,8:30,Matthew Schmitt,45171,West Virginia,Anthony Tutolo,19968,Kent State
2018,03/15,NCAA Championships,133,L,MD,12 - 3,Stevan Micic,20223,Michigan,Anthony Tutolo,19968,Kent State
2018,03/15,NCAA Championships,133,W,DEC,5 - 2,Ali Naser,23812,Arizona State,Anthony Tutolo,19968,Kent State
2018,03/03,MAC Championships,133,W,MFOR,0 - 0,Cameron Kelly,39687,Ohio,Anthony Tutolo,19968,Kent State
2018,03/03,MAC Championships,133,L,FALL,5:59,John Erneste,20058,Missouri,Anthony Tutolo,19968,Kent State
2018,03/03,MAC Championships,133,W,DEC,3 - 2,Noah Gonser,40087,Eastern Michigan,Anthony Tutolo,19968,Kent State
2018,03/03,MAC Championships,133,W,DEC,10 - 5,Dresden Simon,44707,Central Michigan,Anthony Tutolo,19968,Kent State
2018,02/16,Kent State - Northern Illinois Dual,133,W,DEC,3 - 2,Alijah Jeffery,20204,Northern Illinois,Anthony Tutolo,19968,Kent State
2018,02/11,Central Michigan - Kent State Dual,133,W,DEC,6 - 3,Dresden Simon,44707,Central Michigan,Anthony Tutolo,19968,Kent State
2018,02/09,Old Dominion - Kent State Dual,133,W,DEC,3 - 1,Caleb Richardson,12113,Old Dominion,Anthony Tutolo,19968,Kent State
2018,02/04,Kent State - Eastern Michigan Dual,133,W,DEC,2 - 1,Noah Gonser,40087,Eastern Michigan,Anthony Tutolo,19968,Kent State
2018,01/21,Kent State - Oklahoma State Dual,133,L,MD,13 - 5,Kaid Brock,39544,Oklahoma State,Anthony Tutolo,19968,Kent State
2018,01/19,Kent State - Ohio Dual,133,L,MD,16 - 3,Cameron Kelly,39687,Ohio,Anthony Tutolo,19968,Kent State
2018,01/13,Kent State - Campbell Dual,133,W,DEC,5 - 2,Nathan Boston,19956,Campbell,Anthony Tutolo,19968,Kent State
2018,01/12,Fresno State - Kent State Dual,133,W,MD,11 - 3,Trevor Williams,46725,Fresno State,Anthony Tutolo,19968,Kent State
2018,01/12,Kent State - Northern Iowa Dual,133,W,DEC,13 - 9,Jack Wagner,44755,Northern Iowa,Anthony Tutolo,19968,Kent State
2018,01/12,Kent State - Chattanooga Dual,133,W,DEC,3 - 2,Chris Debien,39720,Chattanooga,Anthony Tutolo,19968,Kent State
2018,12/30,Kent State - Southern Illinois Edwardsville Dual,133,W,TF5,22 - 7 7:00,Joe Antonelli,40200,SIU Edwardsville,Anthony Tutolo,19968,Kent State
2018,12/30,Cornell - Kent State Dual,133,W,DEC,6 - 2,Chaz Tucker,39771,Cornell,Anthony Tutolo,19968,Kent State
2018,12/29,Columbia - Kent State Dual,133,W,DEC,8 - 7,Chris Scorese,51031,Columbia,Anthony Tutolo,19968,Kent State
2018,12/29,Kent State - Missouri Dual,133,L,DEC,4 - 0,John Erneste,20058,Missouri,Anthony Tutolo,19968,Kent State
2018,12/10,Buffalo - Kent State Dual,133,L,DEC,4 - 1,Bryan Lantry,19723,Buffalo,Anthony Tutolo,19968,Kent State
2018,12/01,Cliff Keen Invitational,133,W,DEC,6 - 4,Matthew Schmitt,45171,West Virginia,Anthony Tutolo,19968,Kent State
2018,12/01,Cliff Keen Invitational,133,W,DEC,5 - 1,Armando Torres,19876,Eastern Michigan,Anthony Tutolo,19968,Kent State
2018,12/01,Cliff Keen Invitational,133,L,DEC,5 - 3,Ali Naser,23812,Arizona State,Anthony Tutolo,19968,Kent State
2018,12/01,Cliff Keen Invitational,133,L,TF5,18 - 3 6:53,Stevan Micic,20223,Michigan,Anthony Tutolo,19968,Kent State
2018,11/21,Kent State - Cleveland State Dual,133,W,DEC,9 - 4,Andrew Coghill,19800,Cleveland State,Anthony Tutolo,19968,Kent State
2018,11/21,Kent State - Ohio State Dual,133,L,DEC,2 - 0,Luke Pletcher,44636,Ohio State,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,W,DEC,2 - 1,Caleb Richardson,12113,Old Dominion,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,W,DEC,10 - 3,Kegan Calkins,20291,Oregon State,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,W,DEC,8 - 2,Ben Thornton,20350,Purdue,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,L,SV-1,4 - 2,Garrett Pepple,39561,Indiana,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,W,DEC,8 - 4,Alec Kelly,45328,Columbia,Anthony Tutolo,19968,Kent State
2018,11/18,Navy Classic,133,W,TF5,17 - 1 6:20,Garrett Lambert,44698,Hofstra,Anthony Tutolo,19968,Kent State
2018,11/12,Journeymen Classic,133,L,DEC,7 - 2,Kaid Brock,39544,Oklahoma State,Anthony Tutolo,19968,Kent State
2018,11/12,Journeymen Classic,133,W,FALL,5:51,Ryan Haskett,40361,Virginia Tech,Anthony Tutolo,19968,Kent State
