season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2021,03/18,NCAA Championships,125,L,DEC,2 - 1,Michael DeAugustino,56007,Northwestern,Jaret Lane,50909,Lehigh
2021,03/18,NCAA Championships,125,W,DEC,13 - 12,Liam Cronin,45061,Nebraska,Jaret Lane,50909,Lehigh
2021,03/18,NCAA Championships,125,W,FALL,6:14,Micah Roes,67299,Binghamton,Jaret Lane,50909,Lehigh
2021,03/18,NCAA Championships,125,L,DEC,6 - 3,Eric Barnett,56753,Wisconsin,Jaret Lane,50909,Lehigh
2021,02/26,EIWA Championships,125,W,DEC,5 - 0,Logan Treaster,49205,Navy,Jaret Lane,50909,Lehigh
2021,02/26,EIWA Championships,125,W,DEC,6 - 0,Micah Roes,67299,Binghamton,Jaret Lane,50909,Lehigh
2021,02/26,EIWA Championships,125,W,MD,13 - 1,Ryan Chauvin,50835,Army West Point,Jaret Lane,50909,Lehigh
2021,02/07,Rider - Lehigh Dual,125,W,FALL,3:49,Jonathon Tropea,46048,Rider,Jaret Lane,50909,Lehigh
2021,02/06,North Carolina - Lehigh Dual,125,W,DEC,7 - 4,Wil Guida,62410,North Carolina,Jaret Lane,50909,Lehigh
2021,02/06,Army - Lehigh Dual,125,W,FALL,2:19,Ryan Chauvin,50835,Army West Point,Jaret Lane,50909,Lehigh
2021,01/16,Lehigh - Navy Dual,125,W,DEC,1 - 0,Logan Treaster,49205,Navy,Jaret Lane,50909,Lehigh
2021,01/09,Lehigh - Pittsburgh Dual,125,W,FALL,1:58,Colton Camacho,58029,Pittsburgh,Jaret Lane,50909,Lehigh
2021,02/07,Rider Lehigh Extra,125,W,DEC,5 - 3,Tyler Klinsky,62353,Rider,Sheldon Seymour,62339,Lehigh
2021,01/31,LIU - Lehigh Dual,125,W,FALL,1:44,Brandon Mercado,59786,LIU,Sheldon Seymour,62339,Lehigh
2021,01/30,Binghamton - Lehigh Dual,125,L,DEC,8 - 2,Micah Roes,67299,Binghamton,Sheldon Seymour,62339,Lehigh
2021,01/16,Lehigh Navy Extra,125,L,DEC,6 - 4,Logan Treaster,49205,Navy,Sheldon Seymour,62339,Lehigh
2021,01/09,Pittsburgh Lehigh Extra,125,L,TB-1,7 - 4,Colton Camacho,58029,Pittsburgh,Sheldon Seymour,62339,Lehigh
2021,03/18,NCAA Championships,133,L,MD,15 - 7,Michael McGee,49264,Arizona State,Malyke Hines,56932,Lehigh
2021,03/18,NCAA Championships,133,W,MD,10 - 2,Sean Carter,62808,Appalachian State,Malyke Hines,56932,Lehigh
2021,03/18,NCAA Championships,133,L,FALL,3:40,Daton Fix,49263,Oklahoma State,Malyke Hines,56932,Lehigh
2021,03/18,NCAA Championships,133,W,MD,8 - 0,Devan Turner,45397,Oregon State,Malyke Hines,56932,Lehigh
2021,02/26,EIWA Championships,133,W,FALL,0:33,Kyle Randall,56471,Sacred Heart,Malyke Hines,56932,Lehigh
2021,02/26,EIWA Championships,133,W,DEC,4 - 2,Jacob Allen,50935,Navy,Malyke Hines,56932,Lehigh
2021,02/26,EIWA Championships,133,W,MD,8 - 0,Chandler Olson,49119,Drexel,Malyke Hines,56932,Lehigh
2021,01/30,Binghamton - Lehigh Dual,141,W,DEC,9 - 7,Zack Trampe,51913,Binghamton,Malyke Hines,56932,Lehigh
2021,01/16,Lehigh Navy Extra,133,W,MD,13 - 3,Luke Lucerne,67546,Navy,Malyke Hines,56932,Lehigh
2021,01/16,Lehigh - Navy Dual,133,W,DEC,2 - 0,Jacob Allen,50935,Navy,Malyke Hines,56932,Lehigh
2021,01/09,Lehigh - Pittsburgh Dual,133,L,DEC,10 - 5,Micky Phillippi,45230,Pittsburgh,Malyke Hines,56932,Lehigh
2021,02/07,Rider - Lehigh Dual,133,L,DEC,6 - 4,Richie Koehler,51648,Rider,Mitchell Polito,54384,Lehigh
2021,02/06,North Carolina - Lehigh Dual,133,L,DEC,5 - 3,Joe Heilmann,51223,North Carolina,Mitchell Polito,54384,Lehigh
2021,02/06,Army - Lehigh Dual,133,W,DEC,6 - 5,Mark Montgomery,60539,Army West Point,Mitchell Polito,54384,Lehigh
2021,01/31,LIU - Lehigh Dual,133,W,DEC,7 - 1,Devin Matthews,70150,LIU,Mitchell Polito,54384,Lehigh
2021,01/30,Binghamton - Lehigh Dual,133,W,DEC,8 - 3,Anthony Sobotker,60378,Binghamton,Mitchell Polito,54384,Lehigh
2021,01/16,Lehigh Navy Extra,133,L,DEC,2 - 1,Jacob Allen,50935,Navy,Mitchell Polito,54384,Lehigh
2021,02/06,North Carolina Lehigh Extra,133,W,DEC,7 - 3,Timothy Decatur,63018,North Carolina,Satoshi Abe,49163,Lehigh
2021,01/16,Lehigh Navy Extra,133,L,DEC,8 - 6,Luke Lucerne,67546,Navy,Satoshi Abe,49163,Lehigh
2021,01/09,Pittsburgh Lehigh Extra,133,L,DEC,5 - 1,Louis Newell,50916,Pittsburgh,Satoshi Abe,49163,Lehigh
2021,03/18,NCAA Championships,141,L,DEC,7 - 3,Drew Mattin,49180,Michigan,Connor McGonagle,56713,Lehigh
2021,03/18,NCAA Championships,141,L,MD,18 - 6,Dresden Simon,44707,Central Michigan,Connor McGonagle,56713,Lehigh
2021,02/26,EIWA Championships,141,W,MD,11 - 2,Drew Witham,70151,LIU,Connor McGonagle,56713,Lehigh
2021,02/26,EIWA Championships,141,L,DEC,2 - 1,Cody Trybus,45568,Navy,Connor McGonagle,56713,Lehigh
2021,02/26,EIWA Championships,141,W,DEC,3 - 0,Julian Flores,44791,Drexel,Connor McGonagle,56713,Lehigh
