season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/05,PAC 12 Championships,125,L,DEC,4 - 1,Nico Provo,65883,Stanford,Jeremiah Reno,62342,Little Rock
2023,03/05,PAC 12 Championships,125,L,DEC,10 - 5,Eddie Flores,51127,CSU Bakersfield,Jeremiah Reno,62342,Little Rock
2023,03/05,PAC 12 Championships,125,L,MD,10 - 2,Antonio Lorenzo,57329,Cal Poly,Jeremiah Reno,62342,Little Rock
2023,02/12,Little Rock - Southern Illinois Edwardsville Dual,125,W,MD,15 - 7,Austin Macias,57088,SIU Edwardsville,Jeremiah Reno,62342,Little Rock
2023,02/12,Little Rock - Ohio Dual,125,W,DEC,3 - 2,Oscar Sanchez,57320,Ohio,Jeremiah Reno,62342,Little Rock
2023,02/05,Little Rock - CSU Bakersfield Dual,125,W,DEC,12 - 10,Eddie Flores,51127,CSU Bakersfield,Jeremiah Reno,62342,Little Rock
2023,02/05,Little Rock - Cal Poly Dual,125,W,MD,14 - 6,Koda Holeman,73792,Cal Poly,Jeremiah Reno,62342,Little Rock
2023,02/03,Little Rock - Arizona State Dual,125,L,MD,16 - 8,Brandon Courtney,50881,Arizona State,Jeremiah Reno,62342,Little Rock
2023,01/22,Northern Colorado - Little Rock Dual,125,L,MD,11 - 1,Stevo Poulin,71929,Northern Colorado,Jeremiah Reno,62342,Little Rock
2023,01/15,Oregon State - Little Rock Dual,125,L,MD,21 - 12,Brandon Kaylor,51198,Oregon State,Jeremiah Reno,62342,Little Rock
2023,01/13,Lindenwood (Mo) - Little Rock Dual,125,W,FALL,3:54,Austin Kegley,70722,Lindenwood,Jeremiah Reno,62342,Little Rock
2023,01/01,Southern Scuffle,125,L,DEC,9 - 4,Nico Provo,65883,Stanford,Jeremiah Reno,62342,Little Rock
2023,01/01,Southern Scuffle,125,W,DEC,7 - 6,Caleb Fuessley,62605,Iowa State,Jeremiah Reno,62342,Little Rock
2023,01/01,Southern Scuffle,125,W,TF5,15 - 0 3:18,Kenny Sailas,72179,Northern Colorado,Jeremiah Reno,62342,Little Rock
2023,01/01,Southern Scuffle,125,W,FALL,3:13,Noah Luna,79081,Appalachian State,Jeremiah Reno,62342,Little Rock
2023,01/01,Southern Scuffle,125,L,DEC,4 - 3,Caleb Smith,58559,Appalachian State,Jeremiah Reno,62342,Little Rock
2023,12/18,North Dakota State - Little Rock Dual,125,W,DEC,8 - 3,Carlos Negrete Jr,67085,North Dakota State,Jeremiah Reno,62342,Little Rock
2023,12/04,Cougar Clash Invite,125,W,TF5,20 - 2 7:00,Davian Guanajuato,74863,SIU Edwardsville,Jeremiah Reno,62342,Little Rock
2023,12/04,Cougar Clash Invite,125,L,DEC,6 - 4,Blake West,73337,Northern Illinois,Jeremiah Reno,62342,Little Rock
2023,12/04,Cougar Clash Invite,125,W,DEC,6 - 2,Jayden Carson,62838,Little Rock,Jeremiah Reno,62342,Little Rock
2023,12/04,Cougar Clash Invite,125,W,FALL,0:53,Austin Macias,57088,SIU Edwardsville,Jeremiah Reno,62342,Little Rock
2023,11/18,Little Rock - Oklahoma Dual,125,L,MD,10 - 1,Joey Prata,44734,Oklahoma,Jeremiah Reno,62342,Little Rock
2023,11/05,Little Rock - Chattanooga Dual,125,W,DEC,6 - 1,Logan Ashton,57605,Chattanooga,Jeremiah Reno,62342,Little Rock
2023,11/05,Iowa State - Little Rock Dual,125,W,MD,12 - 4,Caleb Fuessley,62605,Iowa State,Jeremiah Reno,62342,Little Rock
2023,11/01,Ouachita Baptist University - Little Rock Dual,125,W,MD,17 - 5,Noah Yeamans,70037,Ouachita Baptist University,Jeremiah Reno,62342,Little Rock
2023,02/05,Little Rock - CSU Bakersfield Dual,141,W,DEC,4 - 2,Louie Ramos,73173,CSU Bakersfield,Jayden Carson,62838,Little Rock
2023,01/15,Oregon State - Little Rock Dual,141,L,TF5,16 - 1 5:09,Cleveland Belton,57334,Oregon State,Jayden Carson,62838,Little Rock
2023,01/01,Southern Scuffle,133,L,TF5,17 - 0 6:45,Connor Brown,49321,Missouri,Jayden Carson,62838,Little Rock
2023,01/01,Southern Scuffle,133,L,MD,10 - 2,Jake Gliva,51241,Minnesota,Jayden Carson,62838,Little Rock
2023,01/01,Southern Scuffle,133,W,DEC,4 - 0,Chase Liardi,72134,Hofstra,Jayden Carson,62838,Little Rock
