season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,01/04,Franklin & Marshall Open,125,L,DEC,8 - 2,Noah Sirianni,45386,Navy,James Ryan,61391,Liu
2020,01/04,Franklin & Marshall Open,125,L,DEC,5 - 4,Sean Faraon,62473,Sacred Heart,James Ryan,61391,Liu
2020,01/03,Long Island University-Post - Bloomsburg Dual,125,L,DEC,7 - 5,Christian Gannone,62458,Bloomsburg,James Ryan,61391,Liu
2020,12/06,Long Island University-Post - George Mason Dual,125,W,DEC,12 - 9,Talha Farooq,45317,George Mason,James Ryan,61391,Liu
2020,12/06,Long Island University-Post - Gardner-Webb Dual,125,W,DEC,7 - 1,Michael Pappaconstantinou,62404,Gardner-Webb,James Ryan,61391,Liu
2020,12/06,Long Island University-Post - Davidson Dual,125,W,DEC,3 - 0,Anthony Rautmann,51175,Davidson,James Ryan,61391,Liu
2020,12/06,VMI - Long Island University-Post Dual,125,W,FALL,3:32,John McGarry,62382,VMI,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,W,DEC,7 - 2,Mathew Schreiber,62420,Binghamton,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,W,MFOR,0 - 0,Ryan Chauvin,50835,Army West Point,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,L,FALL,3:19,Luke Werner,50282,Lock Haven,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,L,DEC,7 - 3,Dominic LaJoie,49112,Cornell,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,L,DEC,7 - 6,Jacob Brasseur,61212,Presbyterian,James Ryan,61391,Liu
2020,11/09,Long Island University-Post - Buffalo Dual,125,W,DEC,12 - 8,Kevin Meloni,50549,Buffalo,James Ryan,61391,Liu
2020,11/09,Long Island University-Post - Sacred Heart Dual,125,W,DEC,5 - 2,Kyle Randall,56471,Sacred Heart,James Ryan,61391,Liu
2020,11/09,Long Island University-Post - Virginia Dual,125,L,DEC,7 - 3,Patrick McCormick,57063,Virginia,James Ryan,61391,Liu
2020,11/02,Long Island University-Post - Centenary (NJ) Dual,125,W,MD,9 - 1,Dylan Luciano,63148,Centenary,James Ryan,61391,Liu
2020,11/02,Pittsburgh-Johnstown - Long Island University-Post Dual,125,L,DEC,8 - 2,Matt Siszka,51631,Pitt-Johnstown,James Ryan,61391,Liu
2020,11/02,Long Island University-Post - Rutgers Dual,125,L,DEC,4 - 1,Malcolm Robinson,49472,Rutgers,James Ryan,61391,Liu
2020,11/24,Cornell Open,125,L,FALL,2:44,Matt Maloney,62920,Lock Haven,Hunter Scutellaro,57776,Liu
2020,11/24,Cornell Open,125,L,FALL,1:55,Carson Sauriol,62416,Binghamton,Hunter Scutellaro,57776,Liu
2020,11/24,Cornell Open,125,L,FALL,1:54,Kevin Meloni,50549,Buffalo,Hunter Scutellaro,57776,Liu
2020,11/24,Cornell Open,125,W,FALL,0:22,Dyllan Gorrin,63036,Presbyterian,Hunter Scutellaro,57776,Liu
2020,11/16,Long Island University-Post - Ohio Dual,125,L,TF5,20 - 5 7:00,Gio Disabato,50840,Ohio,Hunter Scutellaro,57776,Liu
2020,11/16,Long Island University-Post - Edinboro Dual,125,L,TF5,16 - 0 3:44,Lucas Rodriguez,51061,Edinboro,Hunter Scutellaro,57776,Liu
2020,02/16,Harvard - Long Island University-Post Dual,125,L,DEC,5 - 0,Beau Bayless,59670,Harvard,Brandon Mercado,59786,Liu
2020,02/16,Brown - Long Island University-Post Dual,125,L,TF5,16 - 1 7:00,Trey Keeley,44696,Brown,Brandon Mercado,59786,Liu
2020,01/31,Columbia - Long Island University-Post Dual,125,L,FALL,2:51,Joe Manchio,50937,Columbia,Brandon Mercado,59786,Liu
2020,01/26,Long Island University-Post - Hofstra Dual,125,L,FALL,3:54,Dylan Ryder,50876,Hofstra,Brandon Mercado,59786,Liu
2020,01/19,Long Island University-Post - Pennsylvania Dual,125,L,FALL,1:16,Daniel Planta,49280,Pennsylvania,Brandon Mercado,59786,Liu
2020,01/11,The Citadel - Long Island University-Post Dual,125,L,FALL,2:06,Jordan White,62179,The Citadel,Brandon Mercado,59786,Liu
2020,01/04,Franklin & Marshall Open,125,L,FALL,3:25,Romeo Rodriguez,65898,Ursinus,Brandon Mercado,59786,Liu
2020,01/04,Franklin & Marshall Open,125,L,TF5,19 - 4 7:00,Matthew Cardello,50598,Navy,Brandon Mercado,59786,Liu
2020,11/16,Long Island University-Post - Gannon Dual,125,L,FALL,2:55,Jacob Dunlop,59662,Gannon,Brandon Mercado,59786,Liu
2020,11/10,Journeyman Collegiate Classic,125,L,FALL,2:05,Jordan White,62179,The Citadel,Brandon Mercado,59786,Liu
2020,11/10,Journeyman Collegiate Classic,125,L,DEC,8 - 2,Matthew Templeton,56397,Hofstra,Brandon Mercado,59786,Liu
2020,11/10,Journeyman Collegiate Classic,125,L,FALL,4:42,William Edelblute,57059,Utah Valley,Brandon Mercado,59786,Liu
2020,03/06,EIWA Championships,141,L,TF5,15 - 0 3:11,Tyler Williams,59552,Drexel,Michael Blando,61775,Liu
2020,03/06,EIWA Championships,141,L,FALL,0:58,David Campbell,49061,Bucknell,Michael Blando,61775,Liu
2020,02/16,Harvard - Long Island University-Post Dual,141,L,MD,17 - 6,Lukus Stricker,49139,Harvard,Michael Blando,61775,Liu
2020,02/16,Brown - Long Island University-Post Dual,141,L,TF5,18 - 3 4:09,Jimmy Pawelski,44653,Brown,Michael Blando,61775,Liu
2020,01/31,Columbia - Long Island University-Post Dual,141,L,FALL,2:41,Matthew Kazimir,51644,Columbia,Michael Blando,61775,Liu
2020,01/26,Long Island University-Post - Hofstra Dual,141,L,DEC,11 - 7,Vincent Vespa,41322,Hofstra,Michael Blando,61775,Liu
2020,01/19,Long Island University-Post - Pennsylvania Dual,141,L,FALL,1:16,AJ Vindici,39785,Pennsylvania,Michael Blando,61775,Liu
2020,01/11,The Citadel - Long Island University-Post Dual,141,L,MD,12 - 2,Jacob Dado,59673,The Citadel,Michael Blando,61775,Liu
2020,01/04,Franklin & Marshall Open,141,L,FALL,0:42,Wil Gil,51024,Franklin & Marshall,Michael Blando,61775,Liu
2020,01/04,Franklin & Marshall Open,141,W,TF5,16 - 0 7:00,David Diaz,62396,VMI,Michael Blando,61775,Liu
2020,01/04,Franklin & Marshall Open,141,L,DEC,6 - 5,Nick Coy,57075,Virginia,Michael Blando,61775,Liu
2020,01/04,Franklin & Marshall Open,141,W,FALL,2:01,Lukus Stricker,49139,Harvard,Michael Blando,61775,Liu
2020,01/03,Long Island University-Post - Bloomsburg Dual,141,L,MD,18 - 7,Shawn Orem,51045,Bloomsburg,Michael Blando,61775,Liu
