season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2017,03/04,EWL Championships,125,L,DEC,6 - 4,JR Wert,24310,Rider,Jake Field,12108,Lock Haven
2017,03/04,EWL Championships,125,L,FALL,3:24,Sean Russell,20727,Edinboro,Jake Field,12108,Lock Haven
2017,02/02,Clarion - Lock Haven Dual,125,L,DEC,6 - 0,Jake Gromacki,20324,Clarion,Jake Field,12108,Lock Haven
2017,01/27,Lock Haven - Cleveland State Dual,125,W,DEC,4 - 1,John Martin,12102,Cleveland State,Jake Field,12108,Lock Haven
2017,01/27,Lock Haven - Edinboro Dual,125,L,MD,10 - 2,Sean Russell,20727,Edinboro,Jake Field,12108,Lock Haven
2017,01/22,Lock Haven - Cornell Dual,125,L,FALL,6:12,Noah Baughman,44749,Cornell,Jake Field,12108,Lock Haven
2017,01/21,Lock Haven - Pennsylvania Dual,125,W,DEC,9 - 3,Jeremy Schwartz,12148,Pennsylvania,Jake Field,12108,Lock Haven
2017,01/14,Lock Haven - Virginia Dual,125,L,TF5,15 - 0 7:00,Jack Mueller,45232,Virginia,Jake Field,12108,Lock Haven
2017,01/13,Chattanooga - Lock Haven Dual,125,L,DEC,9 - 3,Alonzo Allen,19765,Chattanooga,Jake Field,12108,Lock Haven
2017,01/13,Lock Haven - Virginia Tech Dual,125,L,TF5,20 - 4 7:00,Joey Dance,12221,Virginia Tech,Jake Field,12108,Lock Haven
2017,01/13,Kent State - Lock Haven Dual,125,W,DEC,5 - 3,Cory Simpson,45037,Kent State,Jake Field,12108,Lock Haven
2017,01/07,Franklin & Marshall Open,125,L,MFOR,0 - 0,Aaron Burkett,44628,Lehigh,Jake Field,12108,Lock Haven
2017,01/07,Franklin & Marshall Open,125,L,MFOR,0 - 0,Kyle Norstrem,45110,Virginia Tech,Jake Field,12108,Lock Haven
2017,01/07,Franklin & Marshall Open,125,W,TF5,17 - 1 5:03,Noah Sirianni,45386,Navy,Jake Field,12108,Lock Haven
2017,12/29,Lock Haven Classic,125,L,MD,15 - 5,Steven Simpson,39905,Old Dominion,Jake Field,12108,Lock Haven
2017,12/29,Lock Haven Classic,125,W,DEC,6 - 4,Derek Spann,45028,Buffalo,Jake Field,12108,Lock Haven
2017,12/29,Lock Haven Classic,125,L,SV-1,3 - 1,Sean Badua,19635,Army West Point,Jake Field,12108,Lock Haven
2017,12/16,Lock Haven - Bloomsburg Dual,125,W,DEC,9 - 6,Willy Girard,45191,Bloomsburg,Jake Field,12108,Lock Haven
2017,12/10,PSAC Championships,125,W,FALL,4:37,Zeke Beatty,48208,Pitt-Johnstown,Jake Field,12108,Lock Haven
2017,12/10,PSAC Championships,125,W,MD,18 - 5,Collin Dees,21102,Seton Hill,Jake Field,12108,Lock Haven
2017,12/10,PSAC Championships,125,W,DEC,15 - 8,Austin Petril,40771,Kutztown,Jake Field,12108,Lock Haven
2017,12/10,PSAC Championships,125,W,DEC,11 - 10,Austin Camacci,23581,Millersville,Jake Field,12108,Lock Haven
2017,12/10,PSAC Championships,125,L,MD,14 - 2,Jake Gromacki,20324,Clarion,Jake Field,12108,Lock Haven
