season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/03,Big Ten Championships,125,L,DEC,8 - 2,Sebastian Rivera,44799,Northwestern,Brandon Cray,44681,Maryland
2018,03/03,Big Ten Championships,125,L,DEC,7 - 4,Johnny Jimenez,20483,Wisconsin,Brandon Cray,44681,Maryland
2018,03/03,Big Ten Championships,125,L,DEC,6 - 2,Johnny Jimenez,20483,Wisconsin,Brandon Cray,44681,Maryland
2018,02/18,Ohio - Maryland Dual,125,W,FALL,3:28,Trevor Giallombardo,45033,Ohio,Brandon Cray,44681,Maryland
2018,02/18,Rider - Maryland Dual,125,L,DEC,3 - 1,JR Wert,24310,Rider,Brandon Cray,44681,Maryland
2018,02/11,Minnesota - Maryland Dual,125,L,TF5,18 - 2 7:00,Ethan Lizak,20040,Minnesota,Brandon Cray,44681,Maryland
2018,01/28,Maryland - Illinois Dual,125,L,MD,14 - 0,Travis Piotrowski,44646,Illinois,Brandon Cray,44681,Maryland
2018,01/21,Penn State - Maryland Dual,125,W,DEC,4 - 2,Devin Schnupp,45072,Penn State,Brandon Cray,44681,Maryland
2018,01/14,Maryland - Harvard Dual,125,W,DEC,4 - 0,Matthew Rodriguez,45145,Harvard,Brandon Cray,44681,Maryland
2018,01/14,Maryland - Brown Dual,125,W,DEC,9 - 5,Trey Keeley,44696,Brown,Brandon Cray,44681,Maryland
2018,01/12,Maryland - Navy Dual,125,W,DEC,10 - 9,Aslan Kilic,45565,Navy,Brandon Cray,44681,Maryland
2018,01/07,Maryland - Nebraska Dual,125,L,DEC,9 - 4,Mitchell Maginnis,15418,Nebraska,Brandon Cray,44681,Maryland
2018,01/05,Ohio State - Maryland Dual,125,L,TF5,18 - 2 7:00,Nathan Tomasello,14674,Ohio State,Brandon Cray,44681,Maryland
2018,12/29,Midlands Invitational,125,L,DEC,6 - 2,Connor Brown,49321,South Dakota State,Brandon Cray,44681,Maryland
2018,12/29,Midlands Invitational,125,L,MD,16 - 5,Sean Russell,20727,Edinboro,Brandon Cray,44681,Maryland
2018,12/10,Iowa - Maryland Dual,125,L,DEC,3 - 0,Justin Stickley,46895,Iowa,Brandon Cray,44681,Maryland
2018,12/07,Maryland - Wisconsin Dual,125,L,DEC,7 - 5,Ethan Rotondo,51219,Wisconsin,Brandon Cray,44681,Maryland
2018,12/02,Maryland - Northwestern Dual,125,L,FALL,5:53,Sebastian Rivera,44799,Northwestern,Brandon Cray,44681,Maryland
2018,11/19,Roadrunner Open,125,L,DEC,6 - 2,Mikel Perales,52735,Unattached,Brandon Cray,44681,Maryland
2018,11/19,Roadrunner Open,125,W,MD,12 - 3,Brandon Vu,21743,San Francisco State,Brandon Cray,44681,Maryland
2018,11/19,Roadrunner Open,125,W,FALL,2:11,Angelo Reyes,52763,San Francisco State,Brandon Cray,44681,Maryland
2018,11/19,Roadrunner Open,125,W,FALL,0:49,Christian Ramos,42075,San Francisco State,Brandon Cray,44681,Maryland
2018,11/19,Roadrunner Open,125,L,DEC,9 - 6,Joshua Kramer,39736,Arizona State,Brandon Cray,44681,Maryland
2018,11/18,Maryland - Stanford Dual,125,W,DEC,8 - 7,Connor Schram,14982,Stanford,Brandon Cray,44681,Maryland
2018,11/12,George Mason - Maryland Dual,125,W,DEC,7 - 6,Ibrahim Bunduka,19897,George Mason,Brandon Cray,44681,Maryland
2018,11/12,Campbell - Maryland Dual,125,W,FALL,2:00,Korbin Meink,49074,Campbell,Brandon Cray,44681,Maryland
2018,11/04,Maryland - Rutgers Dual,125,L,TF5,24 - 7 7:00,Nick Suriano,44648,Rutgers,Brandon Cray,44681,Maryland
2018,03/03,Big Ten Championships,133,L,TF5,17 - 2 3:43,Stevan Micic,20223,Michigan,Jhared Simmons,20012,Maryland
2018,03/03,Big Ten Championships,133,L,FALL,6:19,Dylan Duncan,44647,Illinois,Jhared Simmons,20012,Maryland
2018,02/18,Ohio - Maryland Dual,133,L,TF5,16 - 1 5:29,Cameron Kelly,39687,Ohio,Jhared Simmons,20012,Maryland
2018,02/18,Rider - Maryland Dual,133,L,TF5,21 - 3 6:35,Anthony Cefolo,40284,Rider,Jhared Simmons,20012,Maryland
2018,02/11,Minnesota - Maryland Dual,133,L,TF5,15 - 0 7:00,Mitch McKee,45139,Minnesota,Jhared Simmons,20012,Maryland
