season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/15,NCAA Championships,125,L,MD,17 - 6,Ethan Lizak,20040,Minnesota,Drew Mattin,49180,Michigan
2018,03/15,NCAA Championships,125,W,DEC,4 - 1,Gabe Townsell,45387,Stanford,Drew Mattin,49180,Michigan
2018,03/15,NCAA Championships,125,L,DEC,1 - 0,Darian Cruz,12135,Lehigh,Drew Mattin,49180,Michigan
2018,03/15,NCAA Championships,125,W,FALL,3:50,Jacob Schwarm,39750,Northern Iowa,Drew Mattin,49180,Michigan
2018,03/03,Big Ten Championships,125,L,DEC,3 - 2,Rayvon Foley,50823,Michigan State,Drew Mattin,49180,Michigan
2018,03/03,Big Ten Championships,125,W,DEC,6 - 4,Carson Kuhn,16532,Penn State,Drew Mattin,49180,Michigan
2018,03/03,Big Ten Championships,125,L,SV-1,7 - 1,Travis Piotrowski,44646,Illinois,Drew Mattin,49180,Michigan
2018,03/03,Big Ten Championships,125,L,DEC,2 - 0,Travis Piotrowski,44646,Illinois,Drew Mattin,49180,Michigan
2018,02/18,Central Michigan - Michigan Dual,125,W,DEC,4 - 1,Drew Hildebrandt,44818,Central Michigan,Drew Mattin,49180,Michigan
2018,02/11,Ohio State - Michigan Dual,125,L,TF5,20 - 5 7:00,Nathan Tomasello,14674,Ohio State,Drew Mattin,49180,Michigan
2018,02/09,Michigan State - Michigan Dual,125,L,DEC,10 - 3,Rayvon Foley,50823,Michigan State,Drew Mattin,49180,Michigan
2018,02/02,Nebraska - Michigan Dual,125,W,DEC,10 - 8,Mitchell Maginnis,15418,Nebraska,Drew Mattin,49180,Michigan
2018,01/27,Michigan - Iowa Dual,125,L,TF5,15 - 0 3:21,Spencer Lee,49146,Iowa,Drew Mattin,49180,Michigan
2018,01/21,Michigan - Minnesota Dual,125,W,TB-1,4 - 2,Ethan Lizak,20040,Minnesota,Drew Mattin,49180,Michigan
2018,01/19,Wisconsin - Michigan Dual,125,W,DEC,6 - 1,Johnny Jimenez,20483,Wisconsin,Drew Mattin,49180,Michigan
2018,01/12,Penn State - Michigan Dual,125,W,MD,8 - 0,Devin Schnupp,45072,Penn State,Drew Mattin,49180,Michigan
