season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,02/06,Edinboro Open,125,W,MD,11 - 2,Patrick Dewitt,21164,Clarion,Logan Griffin,40454,Michigan State
2016,02/06,Edinboro Open,125,W,DEC,7 - 2,Justin Patrick,39587,Buffalo,Logan Griffin,40454,Michigan State
2016,02/06,Edinboro Open,125,W,MD,13 - 1,Jacob Martin,42329,Wyoming,Logan Griffin,40454,Michigan State
2016,02/06,Edinboro Open,125,L,TF5,15 - 0 6:40,Aaron Assad,15239,Missouri,Logan Griffin,40454,Michigan State
2016,02/06,Edinboro Open,125,W,MD,13 - 5,David Sheesley,20805,Lock Haven,Logan Griffin,40454,Michigan State
2016,01/23,Alma Open,125,W,DEC,8 - 3,Ngun Uk,41846,Indiana Tech,Logan Griffin,40454,Michigan State
2016,01/23,Alma Open,125,W,FALL,1:41,Tyler Bridge,44121,Unattached,Logan Griffin,40454,Michigan State
2016,01/23,Alma Open,125,W,DEC,5 - 1,Mike Volyanyuk,40460,Michigan,Logan Griffin,40454,Michigan State
2016,01/17,Illinois - Michigan State Dual,125,W,DEC,8 - 2,Brendan Howard,39805,Clarion,Logan Griffin,40454,Michigan State
2016,01/17,Illinois - Michigan State Dual,125,W,DEC,7 - 0,Angelo DiSabato,15347,Ohio,Logan Griffin,40454,Michigan State
2016,01/17,Illinois - Michigan State Dual,125,W,DEC,3 - 1,Mike Volyanyuk,40460,Michigan,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,W,DEC,12 - 6,Anthony Rubinetti,40031,Northwestern,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,W,FALL,2:55,Brant Leadbeter,20612,Navy,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,L,FALL,4:06,Noah Gonser,40087,Eastern Michigan,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,W,DEC,9 - 4,Brant Leadbeter,20612,Navy,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,W,TF5,16 - 0 5:28,Ben Bliss,39704,Bucknell,Logan Griffin,40454,Michigan State
2016,11/15,Michigan State Open,125,W,FALL,1:45,Michael Macklin,39870,Bucknell,Logan Griffin,40454,Michigan State
2016,11/07,Eastern Michigan Open,125,L,DEC,13 - 7,Kirk Johansen,40079,Northern Illinois,Logan Griffin,40454,Michigan State
2016,11/07,Eastern Michigan Open,125,L,DEC,4 - 3,Forrest Glogouski,41619,Lake Erie College,Logan Griffin,40454,Michigan State
2016,11/07,Eastern Michigan Open,125,W,FALL,5:58,Nick DeRosa,19801,Cleveland State,Logan Griffin,40454,Michigan State
2016,03/05,Big Ten Championships,133,L,DEC,12 - 10,Alonzo Shepherd,12076,Indiana,Garth Yenter,13374,Michigan State
2016,03/05,Big Ten Championships,133,L,TF5,16 - 0 4:44,Eric Montoya,13414,Nebraska,Garth Yenter,13374,Michigan State
2016,02/19,Michigan State - Cleveland State Dual,133,W,DEC,8 - 7,Alfredo Gray,19802,Cleveland State,Garth Yenter,13374,Michigan State
2016,02/13,Michigan State - Penn State Dual,133,L,FALL,5:59,Jordan Conaway,15981,Penn State,Garth Yenter,13374,Michigan State
2016,02/12,Michigan State - Lock Haven Dual,133,L,DEC,8 - 7,Robert Rehm,21101,Lock Haven,Garth Yenter,13374,Michigan State
2016,01/31,Northwestern - Michigan State Dual,133,L,MD,10 - 0,Dominick Malone,12015,Northwestern,Garth Yenter,13374,Michigan State
2016,01/24,Michigan State - Ohio State Dual,133,L,DEC,5 - 2,Johnni DiJulius,14679,Ohio State,Garth Yenter,13374,Michigan State
2016,01/22,Indiana - Michigan State Dual,133,W,DEC,5 - 2,Alonzo Shepherd,12076,Indiana,Garth Yenter,13374,Michigan State
2016,01/17,Illinois - Michigan State Dual,133,L,FALL,3:35,Zane Richards,14736,Illinois,Garth Yenter,13374,Michigan State
2016,01/15,Purdue - Michigan State Dual,133,L,DEC,10 - 4,Luke Welch,13436,Purdue,Garth Yenter,13374,Michigan State
2016,01/10,Michigan State - Maryland Dual,133,L,DEC,6 - 2,Geoffrey Alexander,12022,Maryland,Garth Yenter,13374,Michigan State
2016,01/08,Michigan State - Rutgers Dual,133,L,DEC,4 - 0,Anthony Giraldo,20359,Rutgers,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,L,DEC,5 - 0,Nathan Kraisser,20783,Campbell,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,W,DEC,4 - 2,Zack Davis,20604,Navy,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,W,DEC,10 - 5,Evan Cheek,40190,Cleveland State,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,L,SV-1,3 - 1,Tyler Ziegler,13787,Gardner-Webb,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,W,FALL,2:03,Anthony Rivera,14699,Edinboro,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,W,DEC,9 - 5,Sam Brancale,13257,Minnesota,Garth Yenter,13374,Michigan State
2016,01/01,Southern Scuffle,133,W,DEC,6 - 1,Ben Lamantia,39644,Michigan,Garth Yenter,13374,Michigan State
2016,12/12,Cleveland State Open,141,L,MFOR,0 - 0,Anthony Tutolo,19968,Kent State,Garth Yenter,13374,Michigan State
2016,12/12,Cleveland State Open,141,L,MFOR,0 - 0,Michael Labry,22681,Ashland,Garth Yenter,13374,Michigan State
2016,12/12,Cleveland State Open,141,W,SV-2,3 - 1,Adam Nichols,15924,Central Michigan,Garth Yenter,13374,Michigan State
2016,12/12,Cleveland State Open,141,W,DEC,9 - 5,Tanner Stephens,20287,Old Dominion,Garth Yenter,13374,Michigan State
2016,12/12,Cleveland State Open,141,W,MD,9 - 1,Joe Ghione,20590,Lock Haven,Garth Yenter,13374,Michigan State
2016,12/06,Michigan State - Central Michigan Dual,141,L,DEC,4 - 3,Zach Horan,11624,Central Michigan,Garth Yenter,13374,Michigan State
2016,12/02,Eastern Michigan - Michigan State Dual,141,L,MD,12 - 4,Kyle Springer,37484,Eastern Michigan,Garth Yenter,13374,Michigan State
2016,11/15,Michigan State Open,133,L,MD,11 - 3,Austin Eicher,20200,Northern Illinois,Garth Yenter,13374,Michigan State
2016,11/15,Michigan State Open,133,L,DEC,6 - 3,Zak Hassan,15159,Ohio,Garth Yenter,13374,Michigan State
2016,11/07,Ohio - Michigan State Dual,133,L,MD,12 - 1,Cameron Kelly,39687,Ohio,Garth Yenter,13374,Michigan State
2016,11/07,Clarion - Michigan State Dual,133,L,DEC,7 - 2,Michael Bartolo,40462,Clarion,Garth Yenter,13374,Michigan State
2016,11/07,Utah Valley - Michigan State Dual,133,L,MD,13 - 4,Jade Rauser,13291,Utah Valley,Garth Yenter,13374,Michigan State
2016,12/10,Michigan State - Michigan Dual,133,L,TF5,16 - 1 3:26,Rossi Bruno,15289,Michigan,Patrick Blommel,20751,Michigan State
2016,12/06,Michigan State - Central Michigan Dual,133,L,TF5,22 - 6 6:22,Corey Keener,12111,Central Michigan,Patrick Blommel,20751,Michigan State
