season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/20,NCAA Championships,125,L,DEC,4 - 3,Trever Anderson,76359,Northern Iowa,Cooper Flynn,72148,Minnesota
2025,03/20,NCAA Championships,125,W,DEC,2 - 1,Marc-Anthony McGowan,79468,Princeton,Cooper Flynn,72148,Minnesota
2025,03/20,NCAA Championships,125,W,FALL,2:48,Caleb Weiand,79429,Michigan State,Cooper Flynn,72148,Minnesota
2025,03/20,NCAA Championships,125,L,DEC,2 - 0,Spencer Moore,68720,North Carolina,Cooper Flynn,72148,Minnesota
2025,03/08,Big Ten Championships,125,W,CMFF,0 - 0,Caleb Weiand,79429,Michigan State,Cooper Flynn,72148,Minnesota
2025,03/08,Big Ten Championships,125,W,MD,10 - 0,Dedrick Navarro,84344,Northwestern,Cooper Flynn,72148,Minnesota
2025,03/08,Big Ten Championships,125,L,TF5,17 - 0 6:45,Nicolar Rivera,78438,Wisconsin,Cooper Flynn,72148,Minnesota
2025,03/08,Big Ten Championships,125,L,DEC,10 - 3,Jacob Moran,63550,Indiana,Cooper Flynn,72148,Minnesota
2025,02/14,Iowa - Minnesota Dual,125,L,SV-1,7 - 4,Joey Cruz,73188,Iowa,Cooper Flynn,72148,Minnesota
2025,02/09,Purdue - Minnesota Dual,125,W,DEC,5 - 2,Isaiah Quintero,81600,Purdue,Cooper Flynn,72148,Minnesota
2025,02/07,Minnesota - Ohio State Dual,125,L,MD,9 - 0,Brendan McCrone,76350,Ohio State,Cooper Flynn,72148,Minnesota
2025,01/24,Minnesota - Wisconsin Dual,125,W,DEC,7 - 3,Nicolar Rivera,78438,Wisconsin,Cooper Flynn,72148,Minnesota
2025,01/19,Michigan - Minnesota Dual,125,W,DEC,5 - 2,Wilfred Tanefeu,73461,Michigan,Cooper Flynn,72148,Minnesota
2025,01/11,Minnesota - Nebraska Dual,125,L,DEC,2 - 0,Caleb Smith,58559,Nebraska,Cooper Flynn,72148,Minnesota
2025,12/07,Cougar Clash,125,W,DEC,8 - 2,Noah Surtin,56715,Missouri,Cooper Flynn,72148,Minnesota
2025,12/07,Cougar Clash,125,W,DEC,7 - 1,Stevo Poulin,71929,Northern Colorado,Cooper Flynn,72148,Minnesota
2025,12/07,Cougar Clash,125,W,FALL,4:57,Joey Ruzic,79555,Illinois,Cooper Flynn,72148,Minnesota
2025,12/01,Minnesota - South Dakota State Dual,125,W,DEC,7 - 2,Tanner Jordan,57664,South Dakota State,Cooper Flynn,72148,Minnesota
2025,11/24,Campbell - Minnesota Dual,125,W,DEC,5 - 4,Anthony Molton,57207,Campbell,Cooper Flynn,72148,Minnesota
2025,11/22,Minnesota - North Dakota State Dual,125,W,DEC,4 - 1,Tristan Daugherty,62877,North Dakota State,Cooper Flynn,72148,Minnesota
2025,11/09,Mountaineer Invitational,125,L,DEC,4 - 1,Eddie Ventresca,62357,Virginia Tech,Cooper Flynn,72148,Minnesota
2025,11/09,Mountaineer Invitational,125,W,DEC,8 - 3,Bryson Terrell,79650,Appalachian State,Cooper Flynn,72148,Minnesota
2025,11/09,Mountaineer Invitational,125,W,TF5,18 - 1 5:00,Colby McBride,79082,Appalachian State,Cooper Flynn,72148,Minnesota
2025,02/09,Purdue - Minnesota Dual,133,L,DEC,14 - 7,Dustin Norris,72154,Purdue,Brandon Morvari,81742,Minnesota
2025,02/02,Rutgers - Minnesota Dual,125,L,DEC,8 - 2,Dean Peterson,72936,Rutgers,Brandon Morvari,81742,Minnesota
2025,12/07,Cougar Clash,125,L,DEC,1 - 0,Davian Guanajuato,74863,SIU Edwardsville,Brandon Morvari,81742,Minnesota
2025,12/07,Cougar Clash,125,L,DEC,4 - 0,Blake West,73337,Northern Illinois,Brandon Morvari,81742,Minnesota
2025,12/07,Cougar Clash,125,L,TB-1,4 - 1,Damion Ryan,78489,Bellarmine,Brandon Morvari,81742,Minnesota
2025,12/07,Cougar Clash,125,W,DEC,11 - 10,Jack Parker,71291,Bellarmine,Brandon Morvari,81742,Minnesota
2025,11/09,Mountaineer Invitational,125,W,FALL,2:18,Enis Ljikovic,84455,Davidson,Brandon Morvari,81742,Minnesota
2025,11/09,Mountaineer Invitational,125,W,DEC,9 - 7,Bryson Terrell,79650,Appalachian State,Brandon Morvari,81742,Minnesota
2025,11/09,Mountaineer Invitational,125,W,FALL,3:08,Noah Luna,79081,Appalachian State,Brandon Morvari,81742,Minnesota
2025,11/09,Mountaineer Invitational,125,L,DEC,1 - 0,Noah Luna,79081,Appalachian State,Brandon Morvari,81742,Minnesota
2025,01/26,Minnesota - Northwestern Dual,133,L,DEC,14 - 7,Massey Odiotti,84345,Northwestern,Blake Beissel,82489,Minnesota
2025,01/24,Minnesota - Wisconsin Dual,133,L,DEC,8 - 4,Zan Fugitt,78091,Wisconsin,Blake Beissel,82489,Minnesota
2025,11/23,Jim Koch Wisconsin Open,125,W,DEC,4 - 1,Wyatt Skebba,79470,Wisconsin,Blake Beissel,82489,Minnesota
2025,11/23,Jim Koch Wisconsin Open,125,W,DEC,16 - 12,Joey Ruzic,79555,Illinois,Blake Beissel,82489,Minnesota
