season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/21,NCAA Championships,125,L,MD,14 - 0,Brendan McCrone,76350,Ohio State,Noah Surtin,56715,Missouri
2024,03/21,NCAA Championships,125,L,DEC,3 - 1,Stevo Poulin,71929,Northern Colorado,Noah Surtin,56715,Missouri
2024,03/09,Big 12 Championships,125,L,CMFF,0 - 0,Jett Strickenberger,74382,West Virginia,Noah Surtin,56715,Missouri
2024,03/09,Big 12 Championships,125,L,MFOR,0 - 0,Tanner Jordan,57664,South Dakota State,Noah Surtin,56715,Missouri
2024,03/09,Big 12 Championships,125,L,DEC,6 - 5,Jore Volk,72600,Wyoming,Noah Surtin,56715,Missouri
2024,03/09,Big 12 Championships,125,W,SV-1,7 - 4,Eli Griffin,68743,Cal Baptist,Noah Surtin,56715,Missouri
2024,02/18,Missouri - South Dakota State Dual,125,W,MD,14 - 6,Tanner Jordan,57664,South Dakota State,Noah Surtin,56715,Missouri
2024,02/16,Missouri - North Dakota State Dual,125,W,MD,20 - 8,Ryan Henningson,67078,North Dakota State,Noah Surtin,56715,Missouri
2024,02/04,Oklahoma State - Missouri Dual,125,L,SV-1,4 - 1,Troy Spratley,73119,Oklahoma State,Noah Surtin,56715,Missouri
2024,01/28,Missouri - Cornell Dual,125,W,FALL,2:21,Brett Ungar,68705,Cornell,Noah Surtin,56715,Missouri
2024,01/26,Missouri - West Virginia Dual,125,W,TF5,17 - 2 6:35,Jace Schafer,73377,West Virginia,Noah Surtin,56715,Missouri
2024,01/10,Missouri - Stanford Dual,125,W,MD,12 - 3,Nico Provo,65883,Stanford,Noah Surtin,56715,Missouri
2024,01/02,Virginia Tech - Missouri Dual,125,L,SV-1,10 - 3,Cooper Flynn,72148,Virginia Tech,Noah Surtin,56715,Missouri
2024,12/21,Missouri - Illinois Dual,125,W,DEC,6 - 1,Justin Cardani,51687,Illinois,Noah Surtin,56715,Missouri
