season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2025,03/07,EIWA Championships,125,L,TF5,15 - 0 2:27,Nick Treaster,89471,Navy,Julian Dawson,84955,Morgan State
2025,03/07,EIWA Championships,125,L,TF5,15 - 0 5:06,Robbie Sagaris,73406,LIU,Julian Dawson,84955,Morgan State
2025,03/07,EIWA Championships,125,W,FALL,3:44,Jack Parker,83327,Franklin & Marshall,Julian Dawson,84955,Morgan State
2025,03/07,EIWA Championships,125,L,MD,8 - 0,Coen Bainey,78808,American,Julian Dawson,84955,Morgan State
2025,02/23,American - Morgan State Dual,125,L,MD,10 - 0,JJ Peace,82775,American,Julian Dawson,84955,Morgan State
2025,02/16,Morgan State - Sacred Heart Dual,125,W,FALL,1:48,Michael Baker,93968,Sacred Heart,Julian Dawson,84955,Morgan State
2025,01/19,Johns Hopkins - Morgan State Dual,125,W,FALL,1:29,Duncan Stadler,95465,Johns Hopkins,Julian Dawson,84955,Morgan State
2025,01/17,Morgan State - The Citadel Dual,125,L,MD,13 - 4,Gylon Sims,84440,The Citadel,Julian Dawson,84955,Morgan State
2025,01/17,Little Rock - Morgan State Dual,125,L,TF5,17 - 2 7:00,Tyson Roach,93198,Little Rock,Julian Dawson,84955,Morgan State
2025,01/17,Morgan State - Davidson Dual,125,L,DEC,8 - 5,Luke Passarelli,78850,Davidson,Julian Dawson,84955,Morgan State
2025,01/17,Lock Haven - Morgan State Dual,125,L,TF5,17 - 0 4:09,Sean Logue,78512,Lock Haven,Julian Dawson,84955,Morgan State
2025,01/10,Princeton - Morgan State Dual,125,L,TF5,19 - 4 7:00,Marc-Anthony McGowan,79468,Princeton,Julian Dawson,84955,Morgan State
2025,01/04,Southern Scuffle,125,L,FALL,4:08,Cooper Shore,84285,Campbell,Julian Dawson,84955,Morgan State
2025,01/04,Southern Scuffle,125,L,TF5,17 - 2 3:40,Nain Vasquez,76010,Army West Point,Julian Dawson,84955,Morgan State
2025,12/21,Morgan State - Hofstra Dual,125,W,FALL,1:48,Teague Strobel,93797,Hofstra,Julian Dawson,84955,Morgan State
2025,12/13,Army West Point - Morgan State Dual,125,L,TF5,17 - 2 7:00,Charlie Farmer,71771,Army West Point,Julian Dawson,84955,Morgan State
