season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2018,03/15,NCAA Championships,125,L,DEC,8 - 1,Travis Piotrowski,44646,Illinois,Sean Fausz,20126,Nc State
2018,03/15,NCAA Championships,125,L,SV-1,10 - 4,Louie Hayes,44641,Virginia,Sean Fausz,20126,Nc State
2018,03/15,NCAA Championships,125,W,TB-1,8 - 5,Michael McGee,49264,Old Dominion,Sean Fausz,20126,Nc State
2018,03/03,ACC Championships,125,W,DEC,9 - 3,Kyle Norstrem,45110,Virginia Tech,Sean Fausz,20126,Nc State
2018,03/03,ACC Championships,125,W,DEC,4 - 0,Louie Hayes,44641,Virginia,Sean Fausz,20126,Nc State
2018,02/18,Ohio State - North Carolina State Dual,125,L,DEC,12 - 6,Nathan Tomasello,14674,Ohio State,Sean Fausz,20126,Nc State
2018,02/16,Virginia Tech - North Carolina State Dual,125,W,TF5,15 - 0 5:10,Kyle Norstrem,45110,Virginia Tech,Sean Fausz,20126,Nc State
2018,02/09,North Carolina - North Carolina State Dual,125,W,MD,16 - 2,James Szymanski,39623,North Carolina,Sean Fausz,20126,Nc State
2018,01/05,Oklahoma State - North Carolina State Dual,125,W,DEC,9 - 5,Nick Piccininni,39547,Oklahoma State,Sean Fausz,20126,Nc State
2018,12/17,Reno Tournament or Champions,125,L,DEC,2 - 1,Daton Fix,49263,Oklahoma State,Sean Fausz,20126,Nc State
2018,12/17,Reno Tournament or Champions,125,W,FALL,4:21,Fransisco Barrera,45790,Southwestern Oregon Community College,Sean Fausz,20126,Nc State
2018,12/17,Reno Tournament or Champions,125,W,FALL,6:52,Eli Hale,15232,Central Oklahoma,Sean Fausz,20126,Nc State
2018,12/17,Reno Tournament or Champions,125,W,TF5,16 - 1 2:04,Jeremy Trihn,50849,Fresno State,Sean Fausz,20126,Nc State
2018,12/17,Reno Tournament or Champions,125,W,TF5,16 - 0 2:57,Aaron Burton,40429,Campbell,Sean Fausz,20126,Nc State
2018,11/19,Wolfpack Open,125,W,MD,17 - 6,Tommy Cox,44623,NC State,Sean Fausz,20126,Nc State
2018,11/19,Wolfpack Open,125,W,TF5,17 - 2 4:23,Keegan Duncan,45576,Gardner-Webb,Sean Fausz,20126,Nc State
2018,11/19,Wolfpack Open,125,W,FALL,0:31,Michael McClelland,49116,Davidson,Sean Fausz,20126,Nc State
2018,11/19,Wolfpack Open,125,W,MD,14 - 2,Paxton Rosen,49072,Campbell,Sean Fausz,20126,Nc State
2018,11/19,Wolfpack Open,125,W,DEC,8 - 3,Taylor LaMont,44777,Utah Valley,Sean Fausz,20126,Nc State
2018,02/25,National Collegiate Open,125,L,MD,10 - 0,Sidney Flores,49031,Air Force Prep,Tommy Cox,44623,Nc State
2018,02/25,National Collegiate Open,125,W,DEC,29 - 23,Tyshawn White,45934,Lock Haven,Tommy Cox,44623,Nc State
2018,02/25,National Collegiate Open,125,W,DEC,8 - 5,Ryan Hetrick,45638,Army West Point,Tommy Cox,44623,Nc State
2018,02/25,National Collegiate Open,125,W,INJ,7:00,Nick DeNora,50327,Rutgers,Tommy Cox,44623,Nc State
2018,02/02,North Carolina State - Pittsburgh Dual,125,L,DEC,4 - 3,LJ Bentley,39598,Pittsburgh,Tommy Cox,44623,Nc State
2018,01/26,Virginia - North Carolina State Dual,125,L,MD,19 - 6,Louie Hayes,44641,Virginia,Tommy Cox,44623,Nc State
2018,01/19,North Carolina State - Duke Dual,125,W,DEC,6 - 3,Thayer Atkins,19857,Duke,Tommy Cox,44623,Nc State
2018,12/15,North Carolina State - Nebraska Dual,125,W,DEC,7 - 6,Mitchell Maginnis,15418,Nebraska,Tommy Cox,44623,Nc State
2018,12/10,North Carolina State - Appalachian State Dual,125,W,FALL,2:19,De'Andre Swinson,50576,Appalachian State,Tommy Cox,44623,Nc State
2018,12/02,Chattanooga - North Carolina State Dual,125,W,FALL,4:32,Alonzo Allen,19765,Chattanooga,Tommy Cox,44623,Nc State
2018,11/30,Old Dominion - North Carolina State Dual,125,L,TF5,15 - 0 5:39,Michael McGee,49264,Old Dominion,Tommy Cox,44623,Nc State
2018,11/19,Wolfpack Open,125,L,MD,17 - 6,Sean Fausz,20126,NC State,Tommy Cox,44623,Nc State
2018,11/19,Wolfpack Open,125,W,FALL,4:50,Zurich Storm,50138,NC State,Tommy Cox,44623,Nc State
2018,11/19,Wolfpack Open,125,W,MD,11 - 3,Sam Book,49332,Virginia,Tommy Cox,44623,Nc State
2018,11/19,Wolfpack Open,125,W,DEC,7 - 1,TJ Hicks,50948,Chattanooga,Tommy Cox,44623,Nc State
2018,11/18,Reinhardt University (GA) - North Carolina State Dual,125,W,TF5,20 - 5 7:00,Jordan Pitt,52147,Reinhardt University,Tommy Cox,44623,Nc State
2018,11/18,UNC Pembroke - North Carolina State Dual,125,W,TF5,15 - 0 5:34,Nick Daggett,51295,UNC Pembroke,Tommy Cox,44623,Nc State
2018,11/18,Utah Valley - North Carolina State Dual,125,L,DEC,8 - 3,Taylor LaMont,44777,Utah Valley,Tommy Cox,44623,Nc State
2018,11/12,Journeymen Classic,125,W,TF5,16 - 1 2:16,Nicholas Conetta,51292,LIU,Tommy Cox,44623,Nc State
2018,11/12,Journeymen Classic,125,W,MFOR,0 - 0,Frank Darwak,51730,Castleton University,Tommy Cox,44623,Nc State
