season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/05,Big Ten 9th Place Matches,125,L,DEC,9 - 7,Jacob Moran,63550,Indiana,Jeremiah Reno,62342,Nebraska
2022,03/05,Big Ten Championships,125,L,MD,10 - 1,Malik Heinselman,50611,Ohio State,Jeremiah Reno,62342,Nebraska
2022,03/05,Big Ten Championships,125,L,SV-1,13 - 11,Jacob Moran,63550,Indiana,Jeremiah Reno,62342,Nebraska
2022,02/20,Iowa - Nebraska Dual,125,L,DEC,13 - 6,Drake Ayala,66975,Iowa,Jeremiah Reno,62342,Nebraska
2022,02/13,Illinois - Nebraska Dual,125,W,MD,10 - 2,Dane Durlacher,56817,Illinois,Jeremiah Reno,62342,Nebraska
2022,02/06,Nebraska - Penn State Dual,125,L,DEC,4 - 0,Drew Hildebrandt,44818,Penn State,Jeremiah Reno,62342,Nebraska
2022,02/04,Michigan - Nebraska Dual,125,L,TF5,24 - 8 6:11,Jack Medley,51392,Michigan,Jeremiah Reno,62342,Nebraska
2022,01/23,Nebraska - Northwestern Dual,125,L,DEC,6 - 1,Michael DeAugustino,56007,Northwestern,Jeremiah Reno,62342,Nebraska
2022,01/21,Nebraska - Wisconsin Dual,125,L,DEC,6 - 0,Eric Barnett,56753,Wisconsin,Jeremiah Reno,62342,Nebraska
2022,01/14,Minnesota - Nebraska Dual,125,L,DEC,7 - 2,Patrick McKee,50594,Minnesota,Jeremiah Reno,62342,Nebraska
2022,01/07,Purdue - Nebraska Dual,125,L,TF5,17 - 0 6:22,Devin Schroder,44591,Purdue,Jeremiah Reno,62342,Nebraska
2022,12/03,CKLV Invitational,125,W,DEC,4 - 3,Greg Diakomihalis,61116,Cornell,Jeremiah Reno,62342,Nebraska
2022,12/03,CKLV Invitational,125,L,TF5,18 - 3 7:00,Jack Medley,51392,Michigan,Jeremiah Reno,62342,Nebraska
2022,12/03,CKLV Invitational,125,L,DEC,8 - 2,Beau Bayless,59670,Harvard,Jeremiah Reno,62342,Nebraska
2022,11/21,Daktronics Open,125,W,DEC,5 - 4,Conor Knopick,72174,Iowa State,Jeremiah Reno,62342,Nebraska
2022,11/21,Daktronics Open,125,L,FALL,6:59,Caleb Fuessley,62605,Iowa State,Jeremiah Reno,62342,Nebraska
2022,11/21,Daktronics Open,125,L,TF5,15 - 0 5:00,Brody Teske,52779,Northern Iowa,Jeremiah Reno,62342,Nebraska
2022,11/11,Nebraska-Kearney - Nebraska Dual,125,W,INJ,1:57,Jackson Nielsen,62638,Nebraska-Kearney,Jeremiah Reno,62342,Nebraska
2022,11/11,Chadron State - Nebraska Dual,125,L,FALL,7:45,Quade Smith,71646,Chadron State,Jeremiah Reno,62342,Nebraska
2022,11/21,Daktronics Open,125,L,DEC,5 - 2,Tanner Jordan,57664,South Dakota State,Liam Cronin,45061,Nebraska
2022,11/21,Daktronics Open,125,L,DEC,4 - 3,Kysen Terukina,67143,Iowa State,Liam Cronin,45061,Nebraska
2022,11/21,Daktronics Open,125,W,DEC,8 - 1,Caleb Fuessley,62605,Iowa State,Liam Cronin,45061,Nebraska
2022,11/21,Daktronics Open,125,W,DEC,5 - 3,Jager Eisch,72139,Minnesota,Liam Cronin,45061,Nebraska
2022,11/21,Daktronics Open,125,L,MD,8 - 0,Jager Eisch,72139,Minnesota,Liam Cronin,45061,Nebraska
2022,11/17,North Carolina - Nebraska Dual,125,W,DEC,3 - 1,Spencer Moore,68720,North Carolina,Liam Cronin,45061,Nebraska
2022,02/05,Missouri Valley Open,125,W,DEC,5 - 2,Dillon Witt,78347,Missouri Baptist,Quinton Chavez,72161,Nebraska
2022,02/05,Missouri Valley Open,125,W,FALL,7:00,Jason Henschel,74959,Pratt Community College,Quinton Chavez,72161,Nebraska
2022,02/05,Missouri Valley Open,125,W,DEC,9 - 5,Davian Guanajuato,74863,SIU Edwardsville,Quinton Chavez,72161,Nebraska
2022,02/05,Missouri Valley Open,125,W,FALL,7:00,Nick Lindley,62970,Lindenwood,Quinton Chavez,72161,Nebraska
2022,02/05,Missouri Valley Open,125,L,MD,11 - 2,Aden Reeves,56711,Grand View,Quinton Chavez,72161,Nebraska
2022,02/05,Missouri Valley Open,125,L,TF5,16 - 0 7:00,Justin Portillo,44829,Grand View,Quinton Chavez,72161,Nebraska
2022,01/08,Hastings Open,125,L,TF5,17 - 1 7:00,Christian Olsen,73228,Augustana,Quinton Chavez,72161,Nebraska
2022,01/08,Hastings Open,125,L,DEC,7 - 5,Ivan Lazo,72931,Nebraska-Kearney,Quinton Chavez,72161,Nebraska
2022,12/04,Doane Open,125,W,FALL,0:35,Trey Reed,76068,York,Quinton Chavez,72161,Nebraska
2022,12/04,Doane Open,125,L,DEC,7 - 1,Hector Serratos,76050,Nebraska-Kearney,Quinton Chavez,72161,Nebraska
2022,12/04,Doane Open,125,W,DEC,7 - 4,Adam Roberts,76031,Concordia,Quinton Chavez,72161,Nebraska
2022,12/04,Doane Open,125,L,DEC,9 - 8,Kaden Karns,75864,Ellsworth CC,Quinton Chavez,72161,Nebraska
