season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/08,ACC Championships,125,L,DEC,11 - 8,Louis Newell,50916,Pittsburgh,Joey Melendez,50805,North Carolina
2020,03/08,ACC Championships,125,L,DEC,5 - 1,Jakob Camacho,50655,NC State,Joey Melendez,50805,North Carolina
2020,02/23,Arizona State - North Carolina Dual,125,L,DEC,6 - 3,Brandon Courtney,50881,Arizona State,Joey Melendez,50805,North Carolina
2020,02/21,North Carolina - Virginia Dual,125,L,TF5,19 - 1 4:30,Jack Mueller,45232,Virginia,Joey Melendez,50805,North Carolina
2020,02/16,North Carolina - Cornell Dual,125,W,FALL,6:39,Dominic LaJoie,49112,Cornell,Joey Melendez,50805,North Carolina
2020,02/14,Pittsburgh - North Carolina Dual,125,W,DEC,6 - 3,Louis Newell,50916,Pittsburgh,Joey Melendez,50805,North Carolina
2020,02/09,Newberry Open,125,L,MFOR,0 - 0,Chase Ayers,63284,Life University,Joey Melendez,50805,North Carolina
2020,02/09,Newberry Open,125,L,MFOR,0 - 0,Austin Ross,63124,Lander,Joey Melendez,50805,North Carolina
2020,02/09,Newberry Open,125,W,FALL,4:24,Dyllan Gorrin,63036,Presbyterian,Joey Melendez,50805,North Carolina
2020,02/07,North Carolina - North Carolina State Dual,125,L,DEC,9 - 4,Jakob Camacho,50655,NC State,Joey Melendez,50805,North Carolina
2020,02/01,Bucknell - North Carolina Dual,125,W,DEC,5 - 3,Geo Barzona,49064,Bucknell,Joey Melendez,50805,North Carolina
2020,01/25,Appalachian Open,125,W,SV-1,5 - 3,Brandon Wittenberg,57647,Virginia Tech,Joey Melendez,50805,North Carolina
2020,01/25,Appalachian Open,125,W,DEC,5 - 4,Anthony Molton,57207,Old Dominion,Joey Melendez,50805,North Carolina
2020,01/25,Appalachian Open,125,W,FALL,0:12,Carson Smith,62812,Appalachian State,Joey Melendez,50805,North Carolina
2020,01/25,Appalachian Open,125,L,DEC,2 - 0,Caleb Smith,58559,Appalachian State,Joey Melendez,50805,North Carolina
2020,01/24,North Carolina - Virginia Tech Dual,125,W,DEC,8 - 7,Joey Prata,44734,Virginia Tech,Joey Melendez,50805,North Carolina
2020,01/10,Princeton - North Carolina Dual,133,W,DEC,4 - 3,Ty Agaisse,45131,Princeton,Joey Melendez,50805,North Carolina
2020,12/01,Appalachian State - North Carolina Dual,125,L,DEC,9 - 3,Sean Carter,62808,Appalachian State,Joey Melendez,50805,North Carolina
2020,11/24,Tornado Open,125,W,FALL,3:51,Bryan Rubenacker,65203,Brewton-Parker,Joey Melendez,50805,North Carolina
2020,11/24,Tornado Open,125,L,MFOR,0 - 0,Blaine Fussell,65200,Cumberlands,Joey Melendez,50805,North Carolina
2020,11/24,Tornado Open,125,L,MFOR,0 - 0,Evan Carrigan,63515,Newberry,Joey Melendez,50805,North Carolina
2020,11/24,Tornado Open,125,W,DEC,9 - 5,William Olivas,40267,Lander,Joey Melendez,50805,North Carolina
2020,11/16,North Carolina - Stanford Dual,125,L,DEC,8 - 5,Jackson DiSario,57126,Stanford,Joey Melendez,50805,North Carolina
2020,11/08,North Carolina - Michigan Dual,125,L,MD,10 - 2,Jack Medley,51392,Michigan,Joey Melendez,50805,North Carolina
2020,01/25,Appalachian Open,125,L,DEC,7 - 2,Carson Smith,62812,Appalachian State,Jeremiah Derby,56331,North Carolina
2020,01/25,Appalachian Open,125,L,DEC,10 - 6,Sean Carter,62808,Appalachian State,Jeremiah Derby,56331,North Carolina
2020,01/04,Wyoming - North Carolina Dual,125,W,DEC,7 - 4,Doyle Trout,39591,Wyoming,Jeremiah Derby,56331,North Carolina
2020,01/04,North Carolina - American Dual,133,W,DEC,6 - 2,Daniel Kidd,50026,American,Jeremiah Derby,56331,North Carolina
2020,12/20,North Carolina - Little Rock Dual,125,L,DEC,10 - 4,Jayden Carson,62838,Little Rock,Jeremiah Derby,56331,North Carolina
2020,11/24,Chattanooga - North Carolina Dual,125,L,TF5,16 - 0 7:00,Fabian Gutierrez,45245,Chattanooga,Jeremiah Derby,56331,North Carolina
2020,11/03,Southeast Open,125,W,DEC,3 - 2,Timothy Decatur,63018,North Carolina,Jeremiah Derby,56331,North Carolina
2020,11/03,Southeast Open,125,L,FALL,4:29,Cian Fischer,57516,Davidson,Jeremiah Derby,56331,North Carolina
2020,11/03,Southeast Open,125,W,DEC,5 - 1,Rylee Billings,57430,King,Jeremiah Derby,56331,North Carolina
2020,11/03,Southeast Open,125,L,DEC,9 - 7,Talha Farooq,45317,George Mason,Jeremiah Derby,56331,North Carolina
2020,01/10,Princeton - North Carolina Dual,125,L,TF5,18 - 0 7:00,Patrick Glory,51100,Princeton,Timothy Decatur,63018,North Carolina
2020,01/04,North Carolina - Army Dual,125,L,DEC,8 - 5,Trey Chalifoux,44745,Army West Point,Timothy Decatur,63018,North Carolina
2020,01/04,North Carolina - American Dual,125,L,MD,9 - 1,Gage Curry,44583,American,Timothy Decatur,63018,North Carolina
2020,11/17,Wolfpack Open,125,L,DEC,5 - 4,Melvin Rubio,52204,Queens,Timothy Decatur,63018,North Carolina
2020,11/17,Wolfpack Open,125,L,DEC,8 - 3,Zurich Storm,50138,Campbell,Timothy Decatur,63018,North Carolina
2020,11/10,UNCP Classic,125,W,MD,9 - 1,Andrew Smith,60272,Huntingdon,Timothy Decatur,63018,North Carolina
2020,11/10,UNCP Classic,125,L,MD,12 - 3,Nick Daggett,51295,UNC Pembroke,Timothy Decatur,63018,North Carolina
2020,11/10,UNCP Classic,125,W,DEC,6 - 5,John Watts,56284,Coker,Timothy Decatur,63018,North Carolina
2020,11/03,Southeast Open,125,L,DEC,3 - 2,Jeremiah Derby,56331,North Carolina,Timothy Decatur,63018,North Carolina
2020,11/03,Southeast Open,125,W,TF5,16 - 1 5:39,Anthony Rautmann,51175,Davidson,Timothy Decatur,63018,North Carolina
2020,11/03,Southeast Open,125,L,DEC,10 - 6,Sean Carter,62808,Appalachian State,Timothy Decatur,63018,North Carolina
2020,03/08,ACC Championships,133,W,DEC,7 - 2,Jarrett Trombley,50807,NC State,Jaime Hernandez,49213,North Carolina
2020,03/08,ACC Championships,133,L,DEC,8 - 5,Micky Phillippi,45230,Pittsburgh,Jaime Hernandez,49213,North Carolina
