season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/09,Big 12 Championships,125,L,FALL,1:09,Stevo Poulin,71929,Northern Colorado,Ryan Henningson,67078,North Dakota State
2024,03/09,Big 12 Championships,125,L,FALL,5:26,Tanner Jordan,57664,South Dakota State,Ryan Henningson,67078,North Dakota State
2024,02/25,North Dakota State - South Dakota State Dual,125,L,MD,13 - 0,Tanner Jordan,57664,South Dakota State,Ryan Henningson,67078,North Dakota State
2024,02/16,Missouri - North Dakota State Dual,125,L,MD,20 - 8,Noah Surtin,56715,Missouri,Ryan Henningson,67078,North Dakota State
2024,02/04,North Dakota State - Wyoming Dual,125,L,TF5,21 - 5 2:50,Jore Volk,72600,Wyoming,Ryan Henningson,67078,North Dakota State
2024,02/02,North Dakota State - Utah Valley Dual,125,L,DEC,5 - 2,Yusief Lillie,72995,Utah Valley,Ryan Henningson,67078,North Dakota State
2024,01/28,Air Force - North Dakota State Dual,125,L,MD,11 - 3,Tucker Owens,71711,Air Force,Ryan Henningson,67078,North Dakota State
2024,01/21,Northern Colorado - North Dakota State Dual,125,L,TF5,22 - 5 3:00,Stevo Poulin,71929,Northern Colorado,Ryan Henningson,67078,North Dakota State
2024,01/20,Cal Baptist - North Dakota State Dual,125,L,FALL,0:20,Eli Griffin,68743,Cal Baptist,Ryan Henningson,67078,North Dakota State
2024,11/19,North Dakota State - Oklahoma Dual,133,L,DEC,8 - 2,Jace Koelzer,50912,Oklahoma,Ryan Henningson,67078,North Dakota State
2024,11/11,Bison Open,133,W,INJ,7:00,Amantee Mills,84417,North Dakota State,Ryan Henningson,67078,North Dakota State
2024,11/11,Bison Open,133,L,DEC,8 - 4,Chase DeBlaere,72993,Oregon State,Ryan Henningson,67078,North Dakota State
2024,11/11,Bison Open,133,L,FALL,5:17,Derrick Cardinal,68734,South Dakota State,Ryan Henningson,67078,North Dakota State
2024,12/02,Virginia - North Dakota State Dual,125,W,DEC,8 - 2,Kyle Montaperto,73138,Virginia,Carlos Negrete Jr,67085,North Dakota State
2024,11/19,North Dakota State - Oklahoma Dual,125,L,DEC,3 - 1,Conrad Hendriksen,80186,Oklahoma,Carlos Negrete Jr,67085,North Dakota State
2024,11/11,Bison Open,125,L,SV-1,6 - 3,Tanner Jordan,57664,South Dakota State,Carlos Negrete Jr,67085,North Dakota State
2024,11/11,Bison Open,125,W,DEC,6 - 2,Brandon Meredith,56935,South Dakota State,Carlos Negrete Jr,67085,North Dakota State
2024,11/11,Bison Open,125,W,DEC,2 - 0,Brandon Morvari,81742,Minnesota,Carlos Negrete Jr,67085,North Dakota State
2024,11/04,Nebraska - North Dakota State Dual,125,L,DEC,9 - 5,Caleb Smith,58559,Nebraska,Carlos Negrete Jr,67085,North Dakota State
2024,03/09,Big 12 Championships,133,L,TF5,18 - 3 7:00,Daton Fix,49263,Oklahoma State,Fernando Barreto,77720,North Dakota State
2024,03/09,Big 12 Championships,133,L,DEC,6 - 2,Hunter Leake,67190,Cal Baptist,Fernando Barreto,77720,North Dakota State
2024,02/25,North Dakota State - South Dakota State Dual,133,W,DEC,7 - 2,Derrick Cardinal,68734,South Dakota State,Fernando Barreto,77720,North Dakota State
2024,02/16,Missouri - North Dakota State Dual,133,L,DEC,12 - 5,Drew Stanfield,80266,Missouri,Fernando Barreto,77720,North Dakota State
2024,02/04,North Dakota State - Wyoming Dual,133,L,DEC,13 - 8,Garrett Ricks,67111,Wyoming,Fernando Barreto,77720,North Dakota State
2024,02/02,North Dakota State - Utah Valley Dual,133,L,FALL,2:22,Kase Mauger,65846,Utah Valley,Fernando Barreto,77720,North Dakota State
2024,01/28,Air Force - North Dakota State Dual,133,W,DEC,6 - 2,Robert Wright,81230,Air Force,Fernando Barreto,77720,North Dakota State
2024,01/21,Northern Colorado - North Dakota State Dual,133,L,DEC,5 - 1,Dominick Serrano,61120,Northern Colorado,Fernando Barreto,77720,North Dakota State
2024,01/20,Cal Baptist - North Dakota State Dual,133,L,FALL,6:12,Hunter Leake,67190,Cal Baptist,Fernando Barreto,77720,North Dakota State
2024,01/01,Southern Scuffle,133,L,MFOR,0 - 0,Tyson Lane,75724,Gardner-Webb,Fernando Barreto,77720,North Dakota State
2024,01/01,Southern Scuffle,133,W,MD,13 - 4,Joshua Sarpy,65932,Little Rock,Fernando Barreto,77720,North Dakota State
2024,01/01,Southern Scuffle,133,L,INJ,4:06,Blake Boarman,70737,Chattanooga,Fernando Barreto,77720,North Dakota State
2024,12/19,Stanford - North Dakota State Dual,133,W,DEC,4 - 3,Dominic LaJoie,49112,Stanford,Fernando Barreto,77720,North Dakota State
2024,12/19,Purdue - North Dakota State Dual,133,W,TF5,18 - 3 6:32,Dustin Norris,72154,Purdue,Fernando Barreto,77720,North Dakota State
2024,12/19,North Dakota State - Campbell Dual,133,L,DEC,9 - 8,Domenic Zaccone,56926,Campbell,Fernando Barreto,77720,North Dakota State
2024,12/10,North Dakota State - Minnesota Dual,133,L,SV-1,9 - 6,Jager Eisch,72139,Minnesota,Fernando Barreto,77720,North Dakota State
2024,12/02,Virginia - North Dakota State Dual,133,L,FALL,1:46,Marlon Yarbrough,72946,Virginia,Fernando Barreto,77720,North Dakota State
2024,11/04,Nebraska - North Dakota State Dual,133,L,DEC,5 - 1,Jacob Van Dee,73557,Nebraska,Fernando Barreto,77720,North Dakota State
2024,11/11,Bison Open,133,L,INJ,7:00,Ryan Henningson,67078,North Dakota State,Amantee Mills,84417,North Dakota State
2024,11/11,Bison Open,133,W,MD,14 - 4,Julian Perez,73061,North Dakota State,Amantee Mills,84417,North Dakota State
2024,11/11,Bison Open,133,L,DEC,12 - 7,Chase DeBlaere,72993,Oregon State,Amantee Mills,84417,North Dakota State
2024,11/11,Bison Open,133,L,TF5,19 - 2 7:00,Derrick Cardinal,68734,South Dakota State,Amantee Mills,84417,North Dakota State
2024,11/11,Bison Open,133,L,MD,14 - 4,Amantee Mills,84417,North Dakota State,Julian Perez,73061,North Dakota State
2024,11/11,Bison Open,133,L,TF5,20 - 3 7:00,Tyler Wells,79021,Minnesota,Julian Perez,73061,North Dakota State
2024,03/09,Big 12 Championships,141,L,MD,14 - 4,Cole Brooks,82044,Wyoming,Gavin Drexler,73017,North Dakota State
2024,03/09,Big 12 Championships,141,W,MD,8 - 0,Kaden Smith,73706,Oklahoma,Gavin Drexler,73017,North Dakota State
2024,03/09,Big 12 Championships,141,L,DEC,2 - 0,Haiden Drury,64645,Utah Valley,Gavin Drexler,73017,North Dakota State
2024,02/25,North Dakota State - South Dakota State Dual,141,L,DEC,4 - 1,Clay Carlson,56441,South Dakota State,Gavin Drexler,73017,North Dakota State
2024,02/18,Cowboy Shootout,141,W,DEC,2 - 0,Jakob Romero,75096,Utah Valley,Gavin Drexler,73017,North Dakota State
2024,02/18,Cowboy Shootout,141,W,DEC,12 - 9,Brandon Meredith,56935,South Dakota State,Gavin Drexler,73017,North Dakota State
2024,02/18,Cowboy Shootout,141,W,FALL,6:59,Daniel Miranda,84525,Arizona State,Gavin Drexler,73017,North Dakota State
2024,02/16,Missouri - North Dakota State Dual,141,L,MD,15 - 2,Josh Edmond,62704,Missouri,Gavin Drexler,73017,North Dakota State
2024,02/04,North Dakota State - Wyoming Dual,141,L,TF5,17 - 2 3:59,Cole Brooks,82044,Wyoming,Gavin Drexler,73017,North Dakota State
2024,02/02,North Dakota State - Utah Valley Dual,141,L,DEC,8 - 7,Haiden Drury,64645,Utah Valley,Gavin Drexler,73017,North Dakota State
2024,01/28,Air Force - North Dakota State Dual,141,W,DEC,10 - 3,Garrett Kuchan,69522,Air Force,Gavin Drexler,73017,North Dakota State
2024,01/21,Northern Colorado - North Dakota State Dual,141,W,MD,14 - 3,Armando Garcia,73045,Northern Colorado,Gavin Drexler,73017,North Dakota State
2024,01/20,Cal Baptist - North Dakota State Dual,141,W,DEC,9 - 6,Darren Green,62886,Cal Baptist,Gavin Drexler,73017,North Dakota State
2024,12/19,Stanford - North Dakota State Dual,141,L,FALL,2:30,Jason Miranda,64654,Stanford,Gavin Drexler,73017,North Dakota State
2024,12/19,Purdue - North Dakota State Dual,141,W,DEC,6 - 1,Greyson Clark,79389,Purdue,Gavin Drexler,73017,North Dakota State
2024,12/19,North Dakota State - Campbell Dual,141,W,MD,9 - 1,Chris Rivera,62331,Campbell,Gavin Drexler,73017,North Dakota State
2024,12/10,North Dakota State - Minnesota Dual,141,W,DEC,4 - 2,Ben Lunn,64637,Minnesota,Gavin Drexler,73017,North Dakota State
2024,12/02,Virginia - North Dakota State Dual,141,L,DEC,7 - 5,Jack Gioffre,73018,Virginia,Gavin Drexler,73017,North Dakota State
2024,11/19,North Dakota State - Oklahoma Dual,141,L,MD,16 - 7,Mosha Schwartz,55841,Oklahoma,Gavin Drexler,73017,North Dakota State
2024,11/11,Bison Open,141,W,MD,10 - 1,Parker Janssen,84822,South Dakota State,Gavin Drexler,73017,North Dakota State
2024,11/11,Bison Open,141,W,DEC,3 - 0,Walker Bents,73549,North Dakota State,Gavin Drexler,73017,North Dakota State
2024,11/11,Bison Open,141,W,DEC,6 - 4,Vance Vombaur,68715,Minnesota,Gavin Drexler,73017,North Dakota State
2024,11/04,Nebraska - North Dakota State Dual,141,W,DEC,9 - 4,Blake Cushing,73160,Nebraska,Gavin Drexler,73017,North Dakota State
2024,12/03,Dragon Open,141,W,DEC,5 - 3,Sean Solis,78990,North Dakota State,Walker Bents,73549,North Dakota State
2024,12/03,Dragon Open,141,W,TF5,16 - 0 4:14,Hunter Hayes,69465,Minnesota State Moorhead,Walker Bents,73549,North Dakota State
2024,11/19,Daktronics Open,141,W,DEC,6 - 0,Parker Janssen,84822,South Dakota State,Walker Bents,73549,North Dakota State
2024,11/19,Daktronics Open,141,L,DEC,7 - 6,Connor Thorpe,68862,Northern Iowa,Walker Bents,73549,North Dakota State
2024,11/19,Daktronics Open,141,L,MD,21 - 7,Cael Happel,62345,Northern Iowa,Walker Bents,73549,North Dakota State
2024,11/19,Daktronics Open,141,W,FALL,1:45,Calvin Empkey,84492,Sioux Falls,Walker Bents,73549,North Dakota State
2024,11/11,Bison Open,141,L,DEC,3 - 0,Gavin Drexler,73017,North Dakota State,Walker Bents,73549,North Dakota State
2024,11/11,Bison Open,141,W,TF5,15 - 0 7:00,Thomas Moralez,87487,North Dakota State,Walker Bents,73549,North Dakota State
2024,11/11,Bison Open,141,L,DEC,5 - 1,Parker Janssen,84822,South Dakota State,Walker Bents,73549,North Dakota State
2024,01/01,Southern Scuffle,141,L,FALL,1:04,Ian Oswalt,71942,Brown,Sean Solis,78990,North Dakota State
2024,01/01,Southern Scuffle,141,L,MD,18 - 5,Isaiah Powe,84545,Chattanooga,Sean Solis,78990,North Dakota State
2024,12/03,Dragon Open,141,L,DEC,5 - 3,Walker Bents,73549,North Dakota State,Sean Solis,78990,North Dakota State
2024,12/03,Dragon Open,141,W,DEC,12 - 6,Parker Janssen,84822,South Dakota State,Sean Solis,78990,North Dakota State
2024,12/03,Dragon Open,141,W,MD,15 - 5,Connor Krueger,87833,St Johns,Sean Solis,78990,North Dakota State
2024,11/11,Bison Open,141,L,TF5,15 - 0 7:00,Walker Bents,73549,North Dakota State,Thomas Moralez,87487,North Dakota State
2024,11/11,Bison Open,141,L,FALL,2:29,Caleb Gross,62668,South Dakota State,Thomas Moralez,87487,North Dakota State
2024,11/11,Bison Open,141,L,TF5,17 - 1 7:00,Vance Vombaur,68715,Minnesota,Thomas Moralez,87487,North Dakota State
2024,03/09,Big 12 Championships,149,L,DEC,5 - 2,Alek Martin,72167,South Dakota State,Maxwell Petersen,73016,North Dakota State
2024,03/09,Big 12 Championships,149,L,MD,12 - 2,Ty Watters,73868,West Virginia,Maxwell Petersen,73016,North Dakota State
2024,03/09,Big 12 Championships,149,L,SV-1,8 - 5,Willie McDougald,67042,Oklahoma,Maxwell Petersen,73016,North Dakota State
2024,03/09,Big 12 Championships,149,W,FALL,3:21,Adam Allard,62777,Northern Iowa,Maxwell Petersen,73016,North Dakota State
2024,03/09,Big 12 Championships,149,W,DEC,4 - 1,Dayne Morton,56980,Cal Baptist,Maxwell Petersen,73016,North Dakota State
2024,02/25,North Dakota State - South Dakota State Dual,149,L,DEC,8 - 7,Alek Martin,72167,South Dakota State,Maxwell Petersen,73016,North Dakota State
2024,02/18,Cowboy Shootout,149,W,MD,15 - 2,Q'veli Quintanilla,81877,Utah Valley,Maxwell Petersen,73016,North Dakota State
2024,02/18,Cowboy Shootout,149,W,DEC,8 - 1,Brady Hankin,73003,Northern Colorado,Maxwell Petersen,73016,North Dakota State
2024,02/18,Cowboy Shootout,149,W,DEC,10 - 3,Aidan Noonan,70757,Wyoming,Maxwell Petersen,73016,North Dakota State
2024,02/16,Missouri - North Dakota State Dual,149,W,DEC,4 - 2,Joel Mylin,73025,Missouri,Maxwell Petersen,73016,North Dakota State
2024,02/04,North Dakota State - Wyoming Dual,149,W,TF5,19 - 4 5:17,Gabe Willochell,62335,Wyoming,Maxwell Petersen,73016,North Dakota State
2024,02/02,North Dakota State - Utah Valley Dual,149,W,DEC,7 - 5,Isaiah Delgado,57056,Utah Valley,Maxwell Petersen,73016,North Dakota State
2024,01/28,Air Force - North Dakota State Dual,149,W,MD,15 - 3,Joe Fernau,79037,Air Force,Maxwell Petersen,73016,North Dakota State
2024,01/21,Northern Colorado - North Dakota State Dual,149,W,MD,11 - 2,Kilian Schultz,84797,Northern Colorado,Maxwell Petersen,73016,North Dakota State
2024,01/20,Cal Baptist - North Dakota State Dual,149,W,SV-1,4 - 1,Dayne Morton,56980,Cal Baptist,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,L,SV-1,8 - 5,Jeremiah Price,76306,Appalachian State,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,W,MD,11 - 3,Riley Bower,71755,Bucknell,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,L,FALL,2:15,Thomas Deck,69378,Army West Point,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,W,DEC,8 - 1,Jarred Papscy,56827,Duke,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,L,DEC,8 - 5,Zach Price,50932,Gardner-Webb,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,W,DEC,9 - 8,Jeffrey Boyd,62594,The Citadel,Maxwell Petersen,73016,North Dakota State
2024,01/01,Southern Scuffle,149,W,DEC,4 - 2,Xavier McKnight,84300,Davidson,Maxwell Petersen,73016,North Dakota State
2024,12/19,Stanford - North Dakota State Dual,149,W,MD,17 - 3,Dawson Sihavong,56737,Stanford,Maxwell Petersen,73016,North Dakota State
2024,12/19,Purdue - North Dakota State Dual,149,W,DEC,10 - 7,Marcos Polanco,57653,Purdue,Maxwell Petersen,73016,North Dakota State
2024,12/10,North Dakota State - Minnesota Dual,149,L,SV-1,2 - 1,Drew Roberts,72140,Minnesota,Maxwell Petersen,73016,North Dakota State
2024,12/02,Virginia - North Dakota State Dual,149,L,SV-1,5 - 2,Michael Gioffre,73019,Virginia,Maxwell Petersen,73016,North Dakota State
2024,11/19,North Dakota State - Oklahoma Dual,149,L,DEC,7 - 5,Willie McDougald,67042,Oklahoma,Maxwell Petersen,73016,North Dakota State
2024,11/11,Bison Open,149,W,INJ,2:25,Kellyn March,63030,North Dakota State,Maxwell Petersen,73016,North Dakota State
2024,11/11,Bison Open,149,W,DEC,10 - 8,Drew Roberts,72140,Minnesota,Maxwell Petersen,73016,North Dakota State
2024,11/11,Bison Open,149,W,DEC,15 - 11,Theo Cha,71025,Minnesota,Maxwell Petersen,73016,North Dakota State
2024,12/19,North Dakota State - Campbell Dual,149,L,DEC,4 - 1,Justin Rivera,61114,Campbell,Kellyn March,63030,North Dakota State
2024,11/11,Bison Open,149,L,MFOR,0 - 0,Tanner Gerber,78989,North Dakota State,Kellyn March,63030,North Dakota State
2024,11/11,Bison Open,149,L,INJ,2:25,Maxwell Petersen,73016,North Dakota State,Kellyn March,63030,North Dakota State
2024,11/11,Bison Open,149,L,MFOR,0 - 0,Clay Radenz,67446,North Dakota State,Kellyn March,63030,North Dakota State
2024,11/11,Bison Open,149,W,FALL,6:54,Trae Thilmony,78628,North Dakota State,Kellyn March,63030,North Dakota State
2024,11/04,Nebraska - North Dakota State Dual,149,L,MD,11 - 1,Ridge Lovett,57520,Nebraska,Kellyn March,63030,North Dakota State
2024,02/03,Don Parker Open,157,W,TF5,17 - 0 7:00,Kris Castro,87849,St Johns,Clay Radenz,67446,North Dakota State
2024,02/03,Don Parker Open,157,W,DEC,9 - 7,Karsen Otis,87528,Augsburg,Clay Radenz,67446,North Dakota State
