season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/21,NCAA Championships,125,L,DEC,5 - 0,Caleb Smith,58559,Nebraska,Stevo Poulin,71929,Northern Colorado
2024,03/21,NCAA Championships,125,W,DEC,4 - 2,Diego Sotelo,71874,Harvard,Stevo Poulin,71929,Northern Colorado
2024,03/21,NCAA Championships,125,W,SV-1,7 - 4,Eli Griffin,68743,Cal Baptist,Stevo Poulin,71929,Northern Colorado
2024,03/21,NCAA Championships,125,L,DEC,4 - 2,Matt Ramos,57134,Purdue,Stevo Poulin,71929,Northern Colorado
2024,03/21,NCAA Championships,125,W,DEC,3 - 1,Noah Surtin,56715,Missouri,Stevo Poulin,71929,Northern Colorado
2024,03/09,Big 12 Championships,125,W,DEC,7 - 5,Eli Griffin,68743,Cal Baptist,Stevo Poulin,71929,Northern Colorado
2024,03/09,Big 12 Championships,125,L,DEC,12 - 9,Jett Strickenberger,74382,West Virginia,Stevo Poulin,71929,Northern Colorado
2024,03/09,Big 12 Championships,125,W,MD,9 - 1,Yusief Lillie,72995,Utah Valley,Stevo Poulin,71929,Northern Colorado
2024,03/09,Big 12 Championships,125,W,FALL,1:09,Ryan Henningson,67078,North Dakota State,Stevo Poulin,71929,Northern Colorado
2024,03/09,Big 12 Championships,125,L,DEC,3 - 2,Kysen Terukina,67143,Iowa State,Stevo Poulin,71929,Northern Colorado
2024,02/18,Northern Colorado - Air Force Dual,125,W,FALL,2:07,Tucker Owens,71711,Air Force,Stevo Poulin,71929,Northern Colorado
2024,02/10,Utah Valley - Northern Colorado Dual,125,W,FALL,1:50,Yusief Lillie,72995,Utah Valley,Stevo Poulin,71929,Northern Colorado
2024,01/26,Northern Colorado - Wyoming Dual,125,W,DEC,3 - 1,Jore Volk,72600,Wyoming,Stevo Poulin,71929,Northern Colorado
2024,01/21,Northern Colorado - North Dakota State Dual,125,W,TF5,22 - 5 3:00,Ryan Henningson,67078,North Dakota State,Stevo Poulin,71929,Northern Colorado
2024,01/19,Northern Colorado - South Dakota State Dual,125,W,MD,14 - 6,Tanner Jordan,57664,South Dakota State,Stevo Poulin,71929,Northern Colorado
2024,01/13,Northern Colorado - Cal Baptist Dual,125,L,DEC,7 - 4,Eli Griffin,68743,Cal Baptist,Stevo Poulin,71929,Northern Colorado
2024,01/12,Northern Colorado - Cal Poly Dual,125,W,MD,8 - 0,Dominic Mendez,73704,Cal Poly,Stevo Poulin,71929,Northern Colorado
2024,01/01,Southern Scuffle,125,W,MD,15 - 2,Chad Bellis,71922,Appalachian State,Stevo Poulin,71929,Northern Colorado
2024,01/01,Southern Scuffle,125,W,DEC,6 - 5,Nico Provo,65883,Stanford,Stevo Poulin,71929,Northern Colorado
2024,01/01,Southern Scuffle,125,W,DEC,10 - 5,Michael Spangler,60212,Indiana,Stevo Poulin,71929,Northern Colorado
2024,01/01,Southern Scuffle,125,W,FALL,2:04,Malik Hardy,73357,The Citadel,Stevo Poulin,71929,Northern Colorado
2024,12/17,North Idaho College - Northern Colorado Dual,125,W,FALL,2:15,Kobi Johnson,78586,North Idaho College,Stevo Poulin,71929,Northern Colorado
2024,12/10,West Virginia - Northern Colorado Dual,125,L,DEC,11 - 6,Jett Strickenberger,74382,West Virginia,Stevo Poulin,71929,Northern Colorado
2024,11/17,Northern Colorado - Presbyterian Dual,125,W,FALL,2:37,Trenton Dominguez,78608,Presbyterian,Stevo Poulin,71929,Northern Colorado
2024,11/17,Northern Colorado - Buffalo Dual,125,W,TF5,20 - 5 6:01,Max Elton,79785,Buffalo,Stevo Poulin,71929,Northern Colorado
2024,11/03,New Mexico Highlands - Northern Colorado Dual,125,W,MD,18 - 5,Rhys Sellers,81264,New Mexico Highlands,Stevo Poulin,71929,Northern Colorado
2024,11/03,Fort Hays State - Northern Colorado Dual,125,W,TF5,22 - 3 4:56,D'Andre Brown,84879,Fort Hays State,Stevo Poulin,71929,Northern Colorado
2024,12/02,Cougar Clash,125,L,FALL,7:00,Blake West,73337,Northern Illinois,Kenny Sailas,72179,Northern Colorado
2024,12/02,Cougar Clash,125,W,DEC,6 - 3,Moses Santiago,72178,Northern Colorado,Kenny Sailas,72179,Northern Colorado
2024,12/02,Cougar Clash,125,W,CMFF,0 - 0,Preston Spray,78653,Missouri,Kenny Sailas,72179,Northern Colorado
2024,12/02,Cougar Clash,125,W,SV-1,1 - 0,Austin Kegley,70722,Lindenwood,Kenny Sailas,72179,Northern Colorado
2024,12/02,Cougar Clash,125,L,FALL,3:58,Ethan Berginc,71779,Army West Point,Kenny Sailas,72179,Northern Colorado
2024,12/17,Otero Junior College - Northern Colorado Dual,125,W,DEC,9 - 3,Elijah Montalvan,85975,Otero Junior College,Moses Santiago,72178,Northern Colorado
2024,12/02,Cougar Clash,125,L,DEC,6 - 3,Kenny Sailas,72179,Northern Colorado,Moses Santiago,72178,Northern Colorado
2024,12/02,Cougar Clash,125,L,DEC,9 - 6,Davian Guanajuato,74863,SIU Edwardsville,Moses Santiago,72178,Northern Colorado
2024,03/21,NCAA Championships,133,L,MD,19 - 10,Braden Basile,73707,Army West Point,Dominick Serrano,61120,Northern Colorado
2024,03/21,NCAA Championships,133,L,DEC,4 - 1,Julian Chlebove,56769,Arizona State,Dominick Serrano,61120,Northern Colorado
