season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2014,02/23,Buffalo - Northern Illinois Dual,133,L,DEC,7 - 5,Justin Farmer,37471,Buffalo,Derek Elmore,13350,Northern Illinois
2014,02/14,Northern Illinois - South Dakota State Dual,133,L,FALL,4:43,Brance Simms,11703,South Dakota State,Derek Elmore,13350,Northern Illinois
2014,11/16,Eastern Michigan Open,125,W,MFOR,0 - 0,Hunter Jones,12147,Clarion,Derek Elmore,13350,Northern Illinois
2014,03/08,MAC Championships,125,L,FALL,6:03,Max Soria,12190,Buffalo,Nickalas Harrison,13347,Northern Illinois
2014,02/23,Buffalo - Northern Illinois Dual,125,L,MD,11 - 1,Max Soria,12190,Buffalo,Nickalas Harrison,13347,Northern Illinois
2014,02/14,Northern Illinois - South Dakota State Dual,125,W,DEC,4 - 2,Ben Gillette,13275,South Dakota State,Nickalas Harrison,13347,Northern Illinois
2014,02/08,Kent State - Northern Illinois Dual,125,L,DEC,3 - 2,Alfredo Gray,37222,Kent State,Nickalas Harrison,13347,Northern Illinois
2014,01/31,Northern Illinois - Old Dominion Dual,125,L,DEC,6 - 2,Brandon Jeske,12133,Old Dominion,Nickalas Harrison,13347,Northern Illinois
2014,01/25,Missouri - Northern Illinois Dual,125,L,DEC,4 - 2,Barlow McGhee,13251,Missouri,Nickalas Harrison,13347,Northern Illinois
2014,01/19,Northern Illinois - Purdue Dual,125,L,DEC,10 - 4,Camden Eppert,37441,Purdue,Nickalas Harrison,13347,Northern Illinois
2014,01/17,Northern Illinois - Eastern Michigan Dual,125,W,FALL,2:22,Jared Germaine,37449,Eastern Michigan,Nickalas Harrison,13347,Northern Illinois
2014,01/10,Northern Illinois - Ohio Dual,125,L,DEC,7 - 3,KeVon Powell,13309,Ohio,Nickalas Harrison,13347,Northern Illinois
2014,11/09,Michigan State Open,125,L,DEC,10 - 4,Camden Eppert,37441,Purdue,Nickalas Harrison,13347,Northern Illinois
2014,11/03,Daktronics Open,125,L,FALL,0:35,Skyler Goepfert,18208,Midland,Nickalas Harrison,13347,Northern Illinois
2014,11/03,Daktronics Open,125,L,DEC,3 - 0,Morgan Engbrecht,23451,Augustana,Nickalas Harrison,13347,Northern Illinois
2014,11/03,Daktronics Open,125,W,DEF,7:00,Eric Coufal,14701,Nebraska,Nickalas Harrison,13347,Northern Illinois
2014,01/10,Northern Illinois - Ohio Dual,133,L,FALL,3:13,Kagan Squire,13386,Ohio,Braun Marquez,13317,Northern Illinois
2014,12/21,Central Michigan - Northern Illinois Dual,125,L,DEC,8 - 4,Corey Keener,12111,Central Michigan,Braun Marquez,13317,Northern Illinois
2014,12/05,Cleveland State - Northern Illinois Dual,125,W,DEC,15 - 8,John Martin,12102,Cleveland State,Braun Marquez,13317,Northern Illinois
2014,11/23,North Dakota State - Northern Illinois Dual,125,L,DEC,1 - 0,Hunter Weber,13273,North Dakota State,Braun Marquez,13317,Northern Illinois
2014,11/23,Northern Iowa - Northern Illinois Dual,125,L,FALL,0:38,Dylan Peters,13253,Northern Iowa,Braun Marquez,13317,Northern Illinois
2014,11/16,Clarion - Northern Illinois Dual,125,L,DEC,12 - 8,Jonathan Mele,12168,Clarion,Braun Marquez,13317,Northern Illinois
2014,11/16,Oregon State - Northern Illinois Dual,125,L,DEC,3 - 2,Pat Rollins,18141,Oregon State,Braun Marquez,13317,Northern Illinois
2014,11/16,Northern Illinois - Michigan Dual,125,L,MD,8 - 0,Conor Youtsey,13271,Michigan,Braun Marquez,13317,Northern Illinois
2014,11/03,Daktronics Open,125,W,TF5,17 - 0 7:00,Nate Smith,23866,Iowa Central Community College,Braun Marquez,13317,Northern Illinois
2014,11/03,Daktronics Open,125,W,DEC,8 - 1,Javier Vieyra,21701,Augustana,Braun Marquez,13317,Northern Illinois
2014,11/03,Daktronics Open,125,L,DEC,3 - 2,Barlow McGhee,13251,Missouri,Braun Marquez,13317,Northern Illinois
2014,11/03,Daktronics Open,125,L,MD,8 - 0,Zach Synon,12142,Missouri,Braun Marquez,13317,Northern Illinois
2014,03/20,NCAA Championships,133,L,DEC,10 - 7,Nick Soto,12005,Chattanooga,Nick Smith,37479,Northern Illinois
2014,02/08,Kent State - Northern Illinois Dual,133,L,DEC,13 - 9,Mack McGuire,12004,Kent State,Nick Smith,37479,Northern Illinois
2014,01/31,Northern Illinois - Old Dominion Dual,133,W,FALL,6:13,Michael Hayes,15134,Old Dominion,Nick Smith,37479,Northern Illinois
2014,01/25,Missouri - Northern Illinois Dual,133,L,DEC,8 - 5,Matt Manley,13384,Missouri,Nick Smith,37479,Northern Illinois
2014,01/19,Northern Illinois - Purdue Dual,133,L,MD,14 - 5,Cashé Quiroga,37185,Purdue,Nick Smith,37479,Northern Illinois
2014,01/19,Northern Illinois - Ashland Dual,133,W,TB-1,6 - 5,Michael Labry,22681,Ashland,Nick Smith,37479,Northern Illinois
2014,01/17,Northern Illinois - Eastern Michigan Dual,133,L,DEC,14 - 8,Vincent Pizzuto,13387,Eastern Michigan,Nick Smith,37479,Northern Illinois
2014,12/29,Midlands Championships,133,L,DEC,9 - 8,Colton Schilling,12033,Cal Poly,Nick Smith,37479,Northern Illinois
2014,12/21,Central Michigan - Northern Illinois Dual,133,L,DEC,18 - 15,Joe Roth,37254,Central Michigan,Nick Smith,37479,Northern Illinois
2014,12/05,Cleveland State - Northern Illinois Dual,133,W,DEC,9 - 3,Jared McKinley,11768,Cleveland State,Nick Smith,37479,Northern Illinois
2014,11/23,Northern Iowa - Northern Illinois Dual,133,L,TF5,20 - 5 2:25,Joe Colon,37214,Northern Iowa,Nick Smith,37479,Northern Illinois
2014,11/23,North Dakota State - Northern Illinois Dual,133,W,DEC,7 - 3,Clay Cathey,13421,North Dakota State,Nick Smith,37479,Northern Illinois
2014,11/16,Clarion - Northern Illinois Dual,133,W,DEC,8 - 4,Sam Sherlock,15334,Clarion,Nick Smith,37479,Northern Illinois
2014,11/16,Oregon State - Northern Illinois Dual,133,W,SV-1,8 - 6,Drew Van Anrooy,18148,Oregon State,Nick Smith,37479,Northern Illinois
2014,11/16,Northern Illinois - Michigan Dual,133,L,DEC,8 - 2,Rossi Bruno,15289,Michigan,Nick Smith,37479,Northern Illinois
2014,11/09,Michigan State Open,133,L,TF5,20 - 5 2:25,Joe Colon,37214,Northern Iowa,Nick Smith,37479,Northern Illinois
2014,11/16,Eastern Michigan Open,133,W,DEC,16 - 9,Javier Gasca,13435,Michigan State,Jordan Northrup,13353,Northern Illinois
2014,11/03,Daktronics Open,133,W,FALL,3:21,Justin Reinsma,37480,Southwest Minnesota State,Jordan Northrup,13353,Northern Illinois
2014,11/03,Daktronics Open,133,W,MD,14 - 0,Austin Jordan,24059,Augustana,Jordan Northrup,13353,Northern Illinois
2014,11/03,Daktronics Open,133,W,DEC,9 - 2,Cole Baumgartner,13425,Missouri,Jordan Northrup,13353,Northern Illinois
2014,11/03,Daktronics Open,133,L,DEC,3 - 0,Matt Manley,13384,Missouri,Jordan Northrup,13353,Northern Illinois
2014,11/03,Daktronics Open,133,W,MD,12 - 0,Brance Simms,11703,South Dakota State,Jordan Northrup,13353,Northern Illinois
2014,02/23,Buffalo - Northern Illinois Dual,141,L,MD,11 - 3,Nick Flannery,37163,Buffalo,Tyler Argue,11722,Northern Illinois
2014,02/08,Kent State - Northern Illinois Dual,141,L,DEC,9 - 6,Tyler Small,11836,Kent State,Tyler Argue,11722,Northern Illinois
2014,01/31,Northern Illinois - Old Dominion Dual,141,L,DEC,4 - 0,Chris Mecate,11835,Old Dominion,Tyler Argue,11722,Northern Illinois
2014,01/25,Missouri - Northern Illinois Dual,141,L,DEC,7 - 3,Lavion Mayes,11599,Missouri,Tyler Argue,11722,Northern Illinois
2014,01/19,Northern Illinois - Purdue Dual,141,L,DEC,7 - 1,Danny Sabatello,11741,Purdue,Tyler Argue,11722,Northern Illinois
2014,01/19,Northern Illinois - Ashland Dual,141,W,DEC,8 - 1,Clarence Longley,11740,Ashland,Tyler Argue,11722,Northern Illinois
2014,01/17,Northern Illinois - Eastern Michigan Dual,141,W,DEC,9 - 4,Nicholas Barber,11739,Eastern Michigan,Tyler Argue,11722,Northern Illinois
2014,01/10,Northern Illinois - Ohio Dual,141,L,DEC,7 - 4,Noah Forrider,11648,Ohio,Tyler Argue,11722,Northern Illinois
2014,12/29,Midlands Championships,141,W,DEC,7 - 6,Avery Garner,37142,Utah Valley,Tyler Argue,11722,Northern Illinois
2014,12/29,Midlands Championships,141,L,DEC,8 - 1,Ethan Raley,11731,Indiana,Tyler Argue,11722,Northern Illinois
2014,12/05,Cleveland State - Northern Illinois Dual,141,L,DEC,6 - 5,Michael Carlone,11736,Cleveland State,Tyler Argue,11722,Northern Illinois
2014,11/23,North Dakota State - Northern Illinois Dual,141,W,TF5,17 - 1 5:20,Devin Wolf,11735,North Dakota State,Tyler Argue,11722,Northern Illinois
2014,11/16,Northern Illinois - Findlay Dual,149,W,FALL,2:36,Nicholas Skonieczny,22716,Findlay,Tyler Argue,11722,Northern Illinois
2014,11/16,Northern Illinois - Michigan Dual,141,L,DEC,11 - 5,Angelo Latora,11733,Michigan,Tyler Argue,11722,Northern Illinois
2014,11/09,Michigan State Open,141,W,FALL,3:42,Ethan Raley,11731,Indiana,Tyler Argue,11722,Northern Illinois
2014,11/03,Daktronics Open,141,W,FALL,2:15,Nick Chavez,38116,Adams State,Tyler Argue,11722,Northern Illinois
2014,11/03,Daktronics Open,141,L,DEC,7 - 5,Lavion Mayes,11599,Missouri,Tyler Argue,11722,Northern Illinois
2014,11/03,Daktronics Open,141,L,FALL,1:24,Jacob Anderson,23453,Augustana,Tyler Argue,11722,Northern Illinois
