season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/17,NCAA Championships,125,L,MD,10 - 2,Vitali Arujau,49108,Cornell,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,W,DEC,10 - 6,Brandon Courtney,50881,Arizona State,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,W,DEC,6 - 1,Brandon Kaylor,51198,Oregon State,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,W,DEC,2 - 0,Joey Prata,44734,Oklahoma,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,L,DEC,6 - 0,Vitali Arujau,49108,Cornell,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,W,DEC,3 - 2,Trevor Mastrogiovanni,57608,Oklahoma State,Michael DeAugustino,56007,Northwestern
2022,03/17,NCAA Championships,125,W,DEC,3 - 1,Dylan Shawver,61767,Rutgers,Michael DeAugustino,56007,Northwestern
2022,03/05,Big Ten Championships,125,L,DEC,3 - 1,Patrick McKee,50594,Minnesota,Michael DeAugustino,56007,Northwestern
2022,03/05,Big Ten Championships,125,W,DEC,3 - 2,Malik Heinselman,50611,Ohio State,Michael DeAugustino,56007,Northwestern
2022,03/05,Big Ten Championships,125,L,DEC,3 - 0,Eric Barnett,56753,Wisconsin,Michael DeAugustino,56007,Northwestern
2022,03/05,Big Ten Championships,125,W,SV-1,5 - 3,Drew Hildebrandt,44818,Penn State,Michael DeAugustino,56007,Northwestern
2022,03/05,Big Ten Championships,125,W,DEC,3 - 1,Justin Cardani,51687,Illinois,Michael DeAugustino,56007,Northwestern
2022,02/19,Purdue - Northwestern Dual,125,L,DEC,5 - 0,Devin Schroder,44591,Purdue,Michael DeAugustino,56007,Northwestern
2022,02/13,Northern Illinois - Northwestern Dual,125,W,SV-1,8 - 6,Bryce West,50039,Northern Illinois,Michael DeAugustino,56007,Northwestern
2022,02/11,Northwestern - Michigan State Dual,125,W,DEC,4 - 0,Tristan Lujan,63015,Michigan State,Michael DeAugustino,56007,Northwestern
2022,02/06,Maryland - Northwestern Dual,125,W,TF5,19 - 4 5:56,Tommy Capul,73318,Maryland,Michael DeAugustino,56007,Northwestern
2022,01/29,Northwestern - Illinois Dual,125,W,DEC,1 - 0,Justin Cardani,51687,Illinois,Michael DeAugustino,56007,Northwestern
2022,01/23,Nebraska - Northwestern Dual,125,W,DEC,6 - 1,Jeremiah Reno,62342,Nebraska,Michael DeAugustino,56007,Northwestern
2022,01/14,Iowa - Northwestern Dual,125,L,DEC,6 - 5,Drake Ayala,66975,Iowa,Michael DeAugustino,56007,Northwestern
2022,01/09,Northwestern - Minnesota Dual,125,W,DEC,8 - 7,Patrick McKee,50594,Minnesota,Michael DeAugustino,56007,Northwestern
2022,01/07,Northwestern - Wisconsin Dual,125,W,DEC,9 - 5,Eric Barnett,56753,Wisconsin,Michael DeAugustino,56007,Northwestern
2022,02/19,Purdue - Northwestern Dual,133,L,DEC,9 - 5,Matt Ramos,57134,Purdue,Matt Vinci,57087,Northwestern
2022,02/06,Northwestern Maryland ECM,133,W,DEC,4 - 0,Zach Spence,57519,Maryland,Matt Vinci,57087,Northwestern
2022,01/23,Nebraska Northwestern ECM,133,L,MD,15 - 2,Alex Thomsen,50601,Nebraska,Matt Vinci,57087,Northwestern
2022,12/29,Virginia - Northwestern Dual,125,L,DEC,4 - 0,Patrick McCormick,57063,Virginia,Matt Vinci,57087,Northwestern
2022,12/29,Southern Illinois Edwardsville - Northwestern Dual,125,W,MD,10 - 2,Austin Macias,57088,SIU Edwardsville,Matt Vinci,57087,Northwestern
2022,03/17,NCAA Championships,133,W,DEC,5 - 4,Devan Turner,45397,Oregon State,Chris Cannon,62895,Northwestern
2022,03/17,NCAA Championships,133,L,DEC,2 - 1,Lucas Byrd,56714,Illinois,Chris Cannon,62895,Northwestern
