season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2023,03/03,MAC Championships,125,W,DEC,4 - 2,Austin Macias,57088,SIU Edwardsville,Oscar Sanchez,57320,Ohio
2023,03/03,MAC Championships,125,L,DEC,4 - 2,Jake Ferri,51179,Kent State,Oscar Sanchez,57320,Ohio
2023,03/03,MAC Championships,125,L,DEC,5 - 3,Benjamin Aranda,71804,Cleveland State,Oscar Sanchez,57320,Ohio
2023,02/18,Ohio - Buffalo Dual,125,W,DEC,6 - 0,Mason Bush,72224,Buffalo,Oscar Sanchez,57320,Ohio
2023,02/12,Little Rock - Ohio Dual,125,L,DEC,3 - 2,Jeremiah Reno,62342,Little Rock,Oscar Sanchez,57320,Ohio
2023,02/12,Ohio - Southern Illinois Edwardsville Dual,125,W,DEC,10 - 3,Austin Macias,57088,SIU Edwardsville,Oscar Sanchez,57320,Ohio
2023,02/03,Kent State - Ohio Dual,125,L,DEC,3 - 2,Jake Ferri,51179,Kent State,Oscar Sanchez,57320,Ohio
2023,01/29,Central Michigan - Ohio Dual,125,W,SV-1,2 - 1,Sean Spidle,63063,Central Michigan,Oscar Sanchez,57320,Ohio
2023,01/22,Cleveland State - Ohio Dual,125,W,DEC,4 - 1,Benjamin Aranda,71804,Cleveland State,Oscar Sanchez,57320,Ohio
2023,01/20,Northern Illinois - Ohio Dual,125,L,DEC,3 - 2,Blake West,73337,Northern Illinois,Oscar Sanchez,57320,Ohio
2023,01/14,South Dakota State - Ohio Dual,125,L,DEC,4 - 0,Tanner Jordan,57664,South Dakota State,Oscar Sanchez,57320,Ohio
2023,01/14,Ohio - Oklahoma Dual,125,L,DEC,1 - 0,Joey Prata,44734,Oklahoma,Oscar Sanchez,57320,Ohio
2023,01/13,Ohio - Maryland Dual,125,L,FALL,3:30,Braxton Brown,72103,Maryland,Oscar Sanchez,57320,Ohio
2023,01/13,Ohio - Virginia Dual,125,W,DEC,6 - 2,Kyle Montaperto,73138,Virginia,Oscar Sanchez,57320,Ohio
2023,01/06,Ohio - West Virginia Dual,125,L,DEC,6 - 2,Killian Cardinale,49268,West Virginia,Oscar Sanchez,57320,Ohio
2023,12/19,Gardner-Webb - Ohio Dual,125,L,FALL,5:25,Drew West,50041,Gardner-Webb,Oscar Sanchez,57320,Ohio
2023,12/10,Ohio - Edinboro Dual,125,W,DEC,8 - 3,Aiden Lewis,71750,Edinboro,Oscar Sanchez,57320,Ohio
2023,12/02,Cliff Keen Invitational,125,L,DEC,3 - 2,Eddie Ventresca,62357,Virginia Tech,Oscar Sanchez,57320,Ohio
2023,12/02,Cliff Keen Invitational,125,L,TF5,18 - 3 7:00,Kurt McHenry,56182,Michigan,Oscar Sanchez,57320,Ohio
