season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2024,03/21,NCAA Championships,125,L,DEC,12 - 6,Nico Provo,65883,Stanford,Brendan McCrone,76350,Ohio State
2024,03/21,NCAA Championships,125,W,MD,14 - 0,Noah Surtin,56715,Missouri,Brendan McCrone,76350,Ohio State
2024,03/21,NCAA Championships,125,L,DEC,4 - 3,Matt Ramos,57134,Purdue,Brendan McCrone,76350,Ohio State
2024,03/09,Big Ten Championships,125,L,DEC,3 - 2,Dean Peterson,72936,Rutgers,Brendan McCrone,76350,Ohio State
2024,03/09,Big Ten Championships,125,L,FALL,1:46,Drake Ayala,66975,Iowa,Brendan McCrone,76350,Ohio State
2024,03/09,BIG True Matches,125,L,DEC,5 - 0,Tristan Lujan,63015,Michigan State,Brendan McCrone,76350,Ohio State
2024,03/09,BIG True Matches,125,W,MD,15 - 6,Blaine Frazier,78575,Indiana,Brendan McCrone,76350,Ohio State
2024,02/16,Ohio State - Michigan State Dual,125,W,DEC,4 - 1,Tristan Lujan,63015,Michigan State,Brendan McCrone,76350,Ohio State
2024,02/11,Indiana - Ohio State Dual,125,W,MD,14 - 4,Blaine Frazier,78575,Indiana,Brendan McCrone,76350,Ohio State
2024,02/04,Ohio State - Rutgers Dual,125,W,DEC,7 - 1,Dean Peterson,72936,Rutgers,Brendan McCrone,76350,Ohio State
2024,01/26,Michigan - Ohio State Dual,125,L,TF5,16 - 1 6:05,Michael DeAugustino,56007,Michigan,Brendan McCrone,76350,Ohio State
2024,01/21,Ohio State - Wisconsin Dual,125,L,FALL,0:32,Eric Barnett,56753,Wisconsin,Brendan McCrone,76350,Ohio State
2024,01/19,Maryland - Ohio State Dual,125,W,MD,10 - 1,Tommy Capul,73318,Maryland,Brendan McCrone,76350,Ohio State
2024,01/12,Illinois - Ohio State Dual,125,W,FALL,1:23,Justin Cardani,51687,Illinois,Brendan McCrone,76350,Ohio State
2024,01/05,Cornell - Ohio State Dual,125,L,DEC,7 - 1,Brett Ungar,68705,Cornell,Brendan McCrone,76350,Ohio State
2024,12/19,NC State - Ohio State Dual,125,W,FALL,0:37,Jakob Camacho,50655,NC State,Brendan McCrone,76350,Ohio State
2024,12/19,Ohio State - Northern Iowa Dual,125,W,DEC,10 - 8,Trever Anderson,76359,Northern Iowa,Brendan McCrone,76350,Ohio State
2024,12/10,Pittsburgh - Ohio State Dual,125,L,DEC,14 - 9,Colton Camacho,58029,Pittsburgh,Brendan McCrone,76350,Ohio State
2024,12/01,Cliff Keen Invitational,125,L,DEC,11 - 7,Tanner Jordan,57664,South Dakota State,Brendan McCrone,76350,Ohio State
2024,12/01,Cliff Keen Invitational,125,W,MD,13 - 0,Tucker Owens,71711,Air Force,Brendan McCrone,76350,Ohio State
2024,12/01,Cliff Keen Invitational,125,L,DEC,4 - 2,Jore Volk,72600,Wyoming,Brendan McCrone,76350,Ohio State
2024,12/01,Cliff Keen Invitational,125,W,DEC,5 - 3,Nick Babin,65929,Columbia,Brendan McCrone,76350,Ohio State
2024,12/01,Cliff Keen Invitational,125,W,FALL,1:27,Malik Hardy,73357,The Citadel,Brendan McCrone,76350,Ohio State
2024,11/19,Ohio State - Columbia Dual,125,W,DEC,13 - 8,Sulayman Bah,79305,Columbia,Brendan McCrone,76350,Ohio State
2024,11/19,Hofstra - Ohio State Dual,125,W,FALL,4:33,Dylan Ryder,50876,Hofstra,Brendan McCrone,76350,Ohio State
2024,11/12,Edinboro - Ohio State Dual,125,W,FALL,1:06,Caleb Edwards,72216,Edinboro,Brendan McCrone,76350,Ohio State
2024,11/10,Ohio State - Virginia Tech Dual,125,W,MD,11 - 3,Eddie Ventresca,62357,Virginia Tech,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,W,FALL,0:21,Matt Daugherty,86132,Spartan Combat RTC,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,W,DEC,3 - 0,Louis Gill,83136,Unattached,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,L,DEC,6 - 1,Tristan Lujan,63015,Michigan State,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,W,DEC,9 - 8,Markel Baker,78892,George Mason,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,W,FALL,3:47,Drew West,50041,Gardner-Webb,Brendan McCrone,76350,Ohio State
2024,11/05,Clarion Open,125,L,MD,14 - 5,Nick Babin,65929,Columbia,Brendan McCrone,76350,Ohio State
2024,02/02,Ohio State - Penn State Dual,125,L,DEC,4 - 3,Braeden Davis,77952,Penn State,Vincent Kilkeary,74118,Ohio State
2024,01/07,Bobby Kauffman Memorial Open,125,W,TF5,19 - 3 3:49,Braden Hahlen,84976,Lake Erie College,Vincent Kilkeary,74118,Ohio State
2024,01/07,Bobby Kauffman Memorial Open,125,W,FALL,1:33,Blake Sheppard,64638,Lake Erie College,Vincent Kilkeary,74118,Ohio State
2024,01/07,Bobby Kauffman Memorial Open,125,L,SV-1,4 - 1,Greg Diakomihalis,61116,Cornell,Vincent Kilkeary,74118,Ohio State
2024,01/07,Bobby Kauffman Memorial Open,125,W,TF5,18 - 2 6:53,Caleb Edwards,72216,Edinboro,Vincent Kilkeary,74118,Ohio State
2024,12/29,Midlands Championships,125,W,TF5,17 - 2 7:00,Massey Odiotti,84345,Northwestern,Vincent Kilkeary,74118,Ohio State
2024,12/29,Midlands Championships,125,W,MD,13 - 1,Ashton Jackson,81722,Purdue,Vincent Kilkeary,74118,Ohio State
2024,12/29,Midlands Championships,125,W,MD,9 - 0,Max Elton,79785,Buffalo,Vincent Kilkeary,74118,Ohio State
2024,12/29,Midlands Championships,125,L,DEC,5 - 4,Max Gallagher,78893,Pennsylvania,Vincent Kilkeary,74118,Ohio State
