season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2014,03/20,NCAA Championships,125,L,DEC,6 - 5,Joey Dance,12221,Virginia Tech,Jarrod Patterson,37237,Oklahoma
2014,03/20,NCAA Championships,125,L,DEC,6 - 0,Nico Megaludis,12051,Penn State,Jarrod Patterson,37237,Oklahoma
2014,03/20,NCAA Championships,125,W,DEC,2 - 1,Robert Deutsch,12122,Rider,Jarrod Patterson,37237,Oklahoma
2014,03/20,NCAA Championships,125,W,DEC,7 - 5,Nick Herrmann,12144,Virginia,Jarrod Patterson,37237,Oklahoma
2014,03/08,Big 12 Championships,125,W,DEC,4 - 3,Eddie Klimara,12136,Oklahoma State,Jarrod Patterson,37237,Oklahoma
2014,03/08,Big 12 Championships,125,W,DEC,9 - 4,Cory Stainbrook,12131,West Virginia,Jarrod Patterson,37237,Oklahoma
2014,02/16,Oklahoma - Bloomsburg Dual,125,W,DEC,5 - 0,Sean Boylan,37235,Bloomsburg,Jarrod Patterson,37237,Oklahoma
2014,02/16,Oklahoma - Central Michigan Dual,125,W,DEC,9 - 2,Corey Keener,12111,Central Michigan,Jarrod Patterson,37237,Oklahoma
2014,01/19,Northern Iowa - Oklahoma Dual,125,L,DEC,4 - 1,Dylan Peters,13253,Northern Iowa,Jarrod Patterson,37237,Oklahoma
2014,01/12,Oklahoma - Iowa State Dual,125,W,DEC,5 - 0,Kyle Larson,12069,Iowa State,Jarrod Patterson,37237,Oklahoma
2014,01/09,Oklahoma - Wyoming Dual,125,W,DEC,4 - 2,Tyler Cox,13326,Wyoming,Jarrod Patterson,37237,Oklahoma
2014,12/06,Cliff Keen Las Vegas,125,W,DEC,2 - 0,Jamie Franco,37445,Hofstra,Jarrod Patterson,37237,Oklahoma
2014,12/06,Cliff Keen Las Vegas,125,L,DEC,6 - 1,Nahshon Garrett,12070,Cornell,Jarrod Patterson,37237,Oklahoma
2014,12/06,Cliff Keen Las Vegas,125,W,DEC,9 - 2,Tyler Cox,13326,Wyoming,Jarrod Patterson,37237,Oklahoma
2014,12/06,Cliff Keen Las Vegas,125,W,DEC,6 - 0,Nick Herrmann,12144,Virginia,Jarrod Patterson,37237,Oklahoma
2014,12/06,Cliff Keen Las Vegas,125,W,DEC,5 - 2,Rami Haddadin,16069,Boise State,Jarrod Patterson,37237,Oklahoma
2014,12/01,Oklahoma - Oklahoma State Dual,125,W,DEC,5 - 0,Eddie Klimara,12136,Oklahoma State,Jarrod Patterson,37237,Oklahoma
2014,11/19,Bucknell - Oklahoma Dual,125,W,DEC,10 - 4,Paul Petrov,12116,Bucknell,Jarrod Patterson,37237,Oklahoma
2014,11/17,Hofstra - Oklahoma Dual,125,W,DEC,5 - 3,Jamie Franco,37445,Hofstra,Jarrod Patterson,37237,Oklahoma
2014,11/05,Oklahoma City - Oklahoma Dual,125,W,TF5,20 - 4 7:00,Adrian Gains,21219,Oklahoma City,Jarrod Patterson,37237,Oklahoma
2014,12/14,Northern Iowa Open,125,W,DEC,4 - 1,Brenan Lyon,20027,Michigan State,Alfredo Rodriguez,41005,Oklahoma
2014,12/14,Northern Iowa Open,125,L,DEC,3 - 1,Brenan Lyon,20027,Michigan State,Alfredo Rodriguez,41005,Oklahoma
2014,03/20,NCAA Championships,125,L,TF5,15 - 0 7:00,Austin Miller,13250,Oklahoma State,Sean Williams,16527,Oklahoma
2014,02/16,Ohio State - Oklahoma Dual,125,L,FALL,4:17,Nick Roberts,13272,Ohio State,Sean Williams,16527,Oklahoma
2014,02/16,Oklahoma - Cornell Dual,125,L,FALL,1:05,Nahshon Garrett,12070,Cornell,Sean Williams,16527,Oklahoma
2014,02/09,Oklahoma - Oklahoma State Dual,125,L,FALL,3:31,Eddie Klimara,12136,Oklahoma State,Sean Williams,16527,Oklahoma
2014,02/06,Oklahoma - West Virginia Dual,125,L,DEC,6 - 0,Cory Stainbrook,12131,West Virginia,Sean Williams,16527,Oklahoma
2014,01/30,Oklahoma - Missouri Dual,125,L,DEC,3 - 1,Barlow McGhee,13251,Missouri,Sean Williams,16527,Oklahoma
2014,01/25,Oklahoma - Oregon State Dual,125,L,FALL,4:33,Pat Rollins,18141,Oregon State,Sean Williams,16527,Oklahoma
2014,12/22,Reno Tournament of Champions,125,L,DEC,7 - 2,Britain Longmire,37829,Cal Poly,Sean Williams,16527,Oklahoma
2014,11/03,Oklahoma City Open,125,W,DEC,6 - 2,Robert Turrentine,21334,Oklahoma City,Sean Williams,16527,Oklahoma
2014,03/20,NCAA Championships,133,W,FALL,2:45,Jonathon Morrison,37472,Oklahoma State,Cody Brewer,12037,Oklahoma
2014,03/08,Big 12 Championships,133,L,DEC,8 - 1,Jonathon Morrison,37472,Oklahoma State,Cody Brewer,12037,Oklahoma
2014,02/16,Oklahoma - Central Michigan Dual,133,L,DEC,10 - 7,Joe Roth,37254,Central Michigan,Cody Brewer,12037,Oklahoma
2014,02/16,Oklahoma - Bloomsburg Dual,133,W,DEC,11 - 4,Nick Wilcox,37215,Bloomsburg,Cody Brewer,12037,Oklahoma
2014,02/16,Ohio State - Oklahoma Dual,133,L,DEC,6 - 3,Johnni DiJulius,14679,Ohio State,Cody Brewer,12037,Oklahoma
2014,02/16,Oklahoma - Cornell Dual,133,W,MD,11 - 2,Mark Grey,12040,Cornell,Cody Brewer,12037,Oklahoma
2014,02/09,Oklahoma - Oklahoma State Dual,133,L,DEC,7 - 3,Jonathon Morrison,37472,Oklahoma State,Cody Brewer,12037,Oklahoma
2014,02/06,Oklahoma - West Virginia Dual,133,W,MD,18 - 6,Nathan Pennesi,37474,West Virginia,Cody Brewer,12037,Oklahoma
2014,01/30,Oklahoma - Missouri Dual,133,W,TF5,18 - 3 7:00,Matt Manley,13384,Missouri,Cody Brewer,12037,Oklahoma
2014,01/25,Oklahoma - Oregon State Dual,133,W,MD,13 - 4,Drew Van Anrooy,18148,Oregon State,Cody Brewer,12037,Oklahoma
2014,01/19,Northern Iowa - Oklahoma Dual,133,L,DEC,7 - 5,Joe Colon,37214,Northern Iowa,Cody Brewer,12037,Oklahoma
2014,01/12,Oklahoma - Iowa State Dual,133,W,TF5,15 - 0 3:43,Dakota Bauer,42265,Iowa State,Cody Brewer,12037,Oklahoma
2014,01/09,Oklahoma - Wyoming Dual,133,W,FALL,1:53,Gunnar Woodburn,16526,Oklahoma State,Cody Brewer,12037,Oklahoma
2014,12/01,Oklahoma - Oklahoma State Dual,133,L,DEC,8 - 2,Jonathon Morrison,37472,Oklahoma State,Cody Brewer,12037,Oklahoma
