season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,12/20,Reno TOC,125,W,DEC,11 - 8,Chasen Tolbert,13373,Utah Valley,Nick Piccininni,39547,Oklahoma State
2016,12/20,Reno TOC,125,W,TF5,15 - 0 5:46,Kegan Calkins,20291,Oregon State,Nick Piccininni,39547,Oklahoma State
2016,12/20,Reno TOC,125,W,MD,9 - 1,Sean Nickell,11606,CSU Bakersfield,Nick Piccininni,39547,Oklahoma State
2016,12/20,Reno TOC,125,L,DEC,15 - 8,Drew Templeman,15167,Wyoming,Nick Piccininni,39547,Oklahoma State
2016,12/20,Reno TOC,125,W,SV-1,11 - 9,Chasen Tolbert,13373,Utah Valley,Nick Piccininni,39547,Oklahoma State
2016,12/06,Bob Smith Open,125,W,DEC,6 - 1,Drake Foster,39797,Wyoming,Nick Piccininni,39547,Oklahoma State
2016,12/06,Bob Smith Open,125,W,TF5,15 - 0 7:00,Lawson Ludwin,43391,Fort Hays State,Nick Piccininni,39547,Oklahoma State
2016,12/06,Bob Smith Open,125,W,MD,12 - 2,Ryan Brooks,25137,Central Oklahoma,Nick Piccininni,39547,Oklahoma State
2016,12/06,Bob Smith Open,125,W,DEC,10 - 4,Ronald Wardleigh,22175,Western Colorado,Nick Piccininni,39547,Oklahoma State
2016,11/21,Joe Parisi Open,125,L,DEC,8 - 6,Aaron Assad,15239,Missouri,Nick Piccininni,39547,Oklahoma State
2016,11/21,Joe Parisi Open,125,W,DEC,6 - 2,Joshua Kieffer,42343,Indianapolis,Nick Piccininni,39547,Oklahoma State
2016,11/21,Joe Parisi Open,125,L,DEC,3 - 1,Barlow McGhee,13251,Missouri,Nick Piccininni,39547,Oklahoma State
2016,11/21,Joe Parisi Open,125,W,FALL,6:37,Tristan Bundy,24658,Grand View,Nick Piccininni,39547,Oklahoma State
2016,11/21,Joe Parisi Open,125,W,DEC,13 - 7,Jaret Singh,42409,Maryville University,Nick Piccininni,39547,Oklahoma State
2016,11/08,Oklahoma Open,125,L,DEC,9 - 7,Eddie Klimara,12136,Oklahoma State,Nick Piccininni,39547,Oklahoma State
2016,11/08,Oklahoma Open,125,W,MD,11 - 2,Eli Hale,15232,Oklahoma State,Nick Piccininni,39547,Oklahoma State
2016,11/08,Oklahoma Open,125,W,MD,8 - 0,Ryan Millhof,20815,Oklahoma,Nick Piccininni,39547,Oklahoma State
2016,11/01,OCU Open,125,W,DEC,4 - 2,Donald Cannon,20268,Oklahoma State,Nick Piccininni,39547,Oklahoma State
2016,11/01,OCU Open,125,W,TF5,16 - 1 7:00,Dustin Miller,41039,Lyon College,Nick Piccininni,39547,Oklahoma State
2016,11/01,OCU Open,125,W,FALL,1:25,Jeremy Fuentes,41038,Northeastern Oklahoma,Nick Piccininni,39547,Oklahoma State
2016,11/01,OCU Open,125,W,TF5,16 - 1 7:00,Christian Moody,39746,Oklahoma,Nick Piccininni,39547,Oklahoma State
2016,01/01,Southern Scuffle,125,W,MFOR,0 - 0,Connor Schram,14982,Stanford,Eli Hale,15232,Oklahoma State
2016,01/01,Southern Scuffle,125,W,DEC,3 - 1,Sean Russell,20727,Edinboro,Eli Hale,15232,Oklahoma State
2016,01/01,Southern Scuffle,125,L,MD,15 - 5,Nico Megaludis,12051,Penn State,Eli Hale,15232,Oklahoma State
2016,01/01,Southern Scuffle,125,W,DEC,3 - 0,Cortez Starkes,12194,Gardner-Webb,Eli Hale,15232,Oklahoma State
2016,01/01,Southern Scuffle,125,W,DEC,9 - 8,Carter Ballinger,19748,Central Michigan,Eli Hale,15232,Oklahoma State
2016,01/01,Southern Scuffle,125,L,MD,12 - 4,Austin Assad,39516,Michigan,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,L,DEC,9 - 6,Lawson Ludwin,43391,Fort Hays State,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,W,MD,9 - 1,Ronald Wardleigh,22175,Western Colorado,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,W,DEC,7 - 2,Ian Wingstrom,24836,Adams State,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,W,TF5,16 - 0 7:00,Jay Maxville,41154,Neosho County Community College,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,W,FALL,2:35,Rocky Krueger,43390,Bethany,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,L,DEC,8 - 4,Josh Breece,42344,Central Oklahoma,Eli Hale,15232,Oklahoma State
2016,12/06,Bob Smith Open,125,W,DEC,7 - 1,Mitchell Maginnis,15418,Nebraska,Eli Hale,15232,Oklahoma State
2016,11/21,Joe Parisi Open,125,L,DEC,10 - 7,Zach D'Amico,23656,Central Oklahoma,Eli Hale,15232,Oklahoma State
2016,11/21,Joe Parisi Open,125,W,DEC,4 - 0,Jaret Singh,42409,Maryville University,Eli Hale,15232,Oklahoma State
2016,11/21,Joe Parisi Open,125,W,MD,8 - 0,Brandon Walz,42408,McKendree University,Eli Hale,15232,Oklahoma State
2016,11/21,Joe Parisi Open,125,L,DEC,7 - 2,Joshua Kieffer,42343,Indianapolis,Eli Hale,15232,Oklahoma State
2016,11/08,Oklahoma Open,125,W,DEC,5 - 3,Zach D'Amico,23656,Central Oklahoma,Eli Hale,15232,Oklahoma State
2016,11/08,Oklahoma Open,125,L,MD,11 - 2,Nick Piccininni,39547,Oklahoma State,Eli Hale,15232,Oklahoma State
2016,11/08,Oklahoma Open,125,W,DEC,9 - 3,Alfredo Rodriguez,41005,SIU Edwardsville,Eli Hale,15232,Oklahoma State
2016,11/08,Oklahoma Open,125,L,SV-1,5 - 3,Ryan Millhof,20815,Oklahoma,Eli Hale,15232,Oklahoma State
2016,11/01,OCU Open,125,W,DEC,8 - 2,Zach Gentzler,41461,Oklahoma State,Eli Hale,15232,Oklahoma State
2016,11/01,OCU Open,125,W,DEC,6 - 1,Hugo Perez,24726,Midland,Eli Hale,15232,Oklahoma State
2016,11/01,OCU Open,125,L,DEC,8 - 4,Eddie Klimara,12136,Oklahoma State,Eli Hale,15232,Oklahoma State
2016,11/08,Oklahoma Open,125,L,SV-1,4 - 2,Zach D'Amico,23656,Central Oklahoma,Donald Cannon,20268,Oklahoma State
2016,11/08,Oklahoma Open,125,W,FALL,0:32,Zach Gentzler,41461,Oklahoma State,Donald Cannon,20268,Oklahoma State
2016,11/08,Oklahoma Open,125,L,DEC,4 - 3,Ryan Millhof,20815,Oklahoma,Donald Cannon,20268,Oklahoma State
2016,11/01,OCU Open,125,W,TF5,18 - 0 7:00,Logan Myers-webb,40981,Northeastern Oklahoma,Donald Cannon,20268,Oklahoma State
2016,11/01,OCU Open,125,W,DEC,7 - 2,Jacob Espana,40982,New Mexico Highlands,Donald Cannon,20268,Oklahoma State
2016,11/01,OCU Open,125,W,MD,13 - 4,Cody Randall,40979,Northeastern Oklahoma,Donald Cannon,20268,Oklahoma State
2016,11/01,OCU Open,125,L,DEC,4 - 2,Nick Piccininni,39547,Oklahoma State,Donald Cannon,20268,Oklahoma State
2016,11/08,Oklahoma Open,125,L,FALL,0:32,Donald Cannon,20268,Oklahoma State,Zach Gentzler,41461,Oklahoma State
