season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2016,03/17,NCAA Championships,125,W,DEC,4 - 3,Joey Dance,12221,Virginia Tech,Brandon Jeske,12133,Old Dominion
2016,03/17,NCAA Championships,125,W,FALL,3:20,Sean McCabe,12035,Rutgers,Brandon Jeske,12133,Old Dominion
2016,03/17,NCAA Championships,125,L,DEC,6 - 1,Chasen Tolbert,13373,Utah Valley,Brandon Jeske,12133,Old Dominion
2016,03/17,NCAA Championships,125,L,TB-1,2 - 1,Darian Cruz,12135,Lehigh,Brandon Jeske,12133,Old Dominion
2016,03/17,NCAA Championships,125,W,DEC,3 - 1,Kyle Larson,12069,Iowa State,Brandon Jeske,12133,Old Dominion
2016,03/05,MAC Championships,125,L,DEC,4 - 0,Brent Fleetwood,19750,Central Michigan,Brandon Jeske,12133,Old Dominion
2016,02/19,Northern Illinois - Old Dominion Dual,125,W,DEC,3 - 1,Alijah Jeffery,20204,Northern Illinois,Brandon Jeske,12133,Old Dominion
2016,02/14,American - Old Dominion Dual,125,L,FALL,0:30,David Terao,12068,American,Brandon Jeske,12133,Old Dominion
2016,02/14,Eastern Michigan - Old Dominion Dual,125,W,DEC,10 - 6,Armando Torres,19876,Eastern Michigan,Brandon Jeske,12133,Old Dominion
2016,02/07,Old Dominion - Ohio Dual,125,L,DEC,7 - 5,Shakur Laney,39917,Ohio,Brandon Jeske,12133,Old Dominion
2016,02/05,Navy - Old Dominion Dual,125,W,DEC,6 - 5,Brant Leadbeter,20612,Navy,Brandon Jeske,12133,Old Dominion
2016,01/31,Old Dominion - Missouri Dual,125,L,DEC,6 - 3,Barlow McGhee,13251,Missouri,Brandon Jeske,12133,Old Dominion
2016,01/24,Old Dominion - Kent State Dual,125,W,MD,11 - 1,Edilberto Vinas,20938,Kent State,Brandon Jeske,12133,Old Dominion
2016,01/22,Old Dominion - Buffalo Dual,125,W,DEC,4 - 1,Kyle Akins,19714,Buffalo,Brandon Jeske,12133,Old Dominion
2016,01/17,Northern Iowa - Old Dominion Dual,125,W,DEC,6 - 3,Leighton Gaul,15052,Northern Iowa,Brandon Jeske,12133,Old Dominion
2016,01/09,Old Dominion - Kent State Dual,125,W,DEC,3 - 1,Edilberto Vinas,20938,Kent State,Brandon Jeske,12133,Old Dominion
2016,01/08,Rider - Old Dominion Dual,125,W,TF5,21 - 2 7:00,Zach Valcarce,12156,Rider,Brandon Jeske,12133,Old Dominion
2016,01/08,Arizona State - Old Dominion Dual,125,W,TF5,16 - 0 7:00,Ares Carpio,12143,Arizona State,Brandon Jeske,12133,Old Dominion
2016,01/08,Campbell - Old Dominion Dual,125,W,TF5,18 - 0 7:00,Collin Stewart,40428,Campbell,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,L,DEC,6 - 4,Ben Thornton,20350,Purdue,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,L,TF5,18 - 2 7:00,Kris Williams,39807,Nebraska,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,W,TF5,16 - 0 7:00,Ben Gillette,13275,South Dakota State,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,L,DEC,7 - 1,Tim Lambert,13256,Nebraska,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,W,DEC,3 - 1,Sean McCabe,12035,Rutgers,Brandon Jeske,12133,Old Dominion
2016,12/29,Midlands Championships,125,W,DEC,4 - 2,Armando Torres,19876,Eastern Michigan,Brandon Jeske,12133,Old Dominion
2016,12/17,Old Dominion - North Carolina State Dual,125,L,FALL,5:56,Sean Fausz,20126,NC State,Brandon Jeske,12133,Old Dominion
2016,12/13,North Carolina - Old Dominion Dual,125,L,DEC,5 - 0,Tyrone Klump,20115,North Carolina,Brandon Jeske,12133,Old Dominion
2016,11/21,Old Dominion - Cal Poly Dual,125,W,MD,14 - 3,David Gonzalez,40838,Cal Poly,Brandon Jeske,12133,Old Dominion
2016,11/21,Old Dominion - San Francisco State Dual,125,W,MD,11 - 3,Brandon Vu,21743,San Francisco State,Brandon Jeske,12133,Old Dominion
2016,11/15,Old Dominion - Virginia Dual,125,L,DEC,5 - 2,Nick Herrmann,12144,Virginia,Brandon Jeske,12133,Old Dominion
2016,03/05,National Collegiate Open,133,W,TF5,15 - 0 3:53,Alex Rinaldi,20120,North Carolina,Alex Madrigal,39754,Old Dominion
2016,03/05,National Collegiate Open,133,W,DEC,6 - 3,Sonny Simonetti,39909,North Carolina,Alex Madrigal,39754,Old Dominion
2016,03/05,National Collegiate Open,133,L,DEC,12 - 5,Josh Terao,20533,American,Alex Madrigal,39754,Old Dominion
2016,12/29,Midlands Championships,125,L,MFOR,0 - 0,Ben Thornton,20350,Purdue,Alex Madrigal,39754,Old Dominion
2016,12/29,Midlands Championships,125,L,DEC,2 - 1,Josh Rodriguez,13418,North Dakota State,Alex Madrigal,39754,Old Dominion
2016,12/29,Midlands Championships,125,W,DEC,6 - 2,Kris Williams,39807,Nebraska,Alex Madrigal,39754,Old Dominion
2016,12/29,Midlands Championships,125,W,MD,17 - 4,Leighton Gaul,15052,Northern Iowa,Alex Madrigal,39754,Old Dominion
2016,11/22,Wolfpack Open,125,W,FALL,7:00,Trung Duong,23478,Newberry,Alex Madrigal,39754,Old Dominion
2016,11/22,Wolfpack Open,125,W,FALL,4:46,James Szymanski,39623,North Carolina,Alex Madrigal,39754,Old Dominion
2016,11/22,Wolfpack Open,125,W,MD,14 - 2,Landon LoAlbo,20795,Gardner-Webb,Alex Madrigal,39754,Old Dominion
2016,11/22,Wolfpack Open,125,L,FALL,3:25,David Terao,12068,American,Alex Madrigal,39754,Old Dominion
2016,11/22,Wolfpack Open,125,W,DEC,8 - 2,Thayer Atkins,19857,Duke,Alex Madrigal,39754,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,TF5,17 - 0 7:00,Casey Abshire,42154,Southern Maine,Alex Madrigal,39754,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,FALL,4:15,Keanan Bottorf,40295,Lock Haven,Alex Madrigal,39754,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,TF5,18 - 0 7:00,William Prochniewski,22285,George Mason,Alex Madrigal,39754,Old Dominion
2016,11/15,East Stroudsburg Open,125,L,DEC,13 - 6,Justin Patrick,39587,Buffalo,Alex Madrigal,39754,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,DEC,6 - 0,Conner Ziegler,43075,Army West Point,Alex Madrigal,39754,Old Dominion
2016,11/08,Hokie Open,125,W,FALL,4:06,James Szymanski,39623,North Carolina,Alex Madrigal,39754,Old Dominion
2016,11/08,Hokie Open,125,W,DEC,13 - 6,Cody Karstetter,40326,North Carolina,Alex Madrigal,39754,Old Dominion
2016,11/08,Hokie Open,125,W,TF5,15 - 0 7:00,Anthony Bosco,20110,North Carolina,Alex Madrigal,39754,Old Dominion
2016,11/08,Hokie Open,125,L,DEC,4 - 3,Britain Carter,12079,Columbia,Alex Madrigal,39754,Old Dominion
2016,03/05,National Collegiate Open,125,W,FALL,5:00,Sean Nickell,11606,CSU Bakersfield,Steven Simpson,39905,Old Dominion
2016,01/16,Shorty Hitchcock Classic,125,L,DEC,6 - 5,Joe Nelson,19659,Binghamton,Steven Simpson,39905,Old Dominion
2016,01/16,Shorty Hitchcock Classic,125,W,MD,20 - 10,Joe Nelson,19659,Binghamton,Steven Simpson,39905,Old Dominion
2016,12/30,Franklin & Marshall Open,125,W,FALL,1:06,Joe Barber,40224,Maryland,Steven Simpson,39905,Old Dominion
2016,12/12,Cleveland State Open,125,W,FALL,6:38,Terrel Grant,41298,Unattached,Steven Simpson,39905,Old Dominion
2016,12/12,Cleveland State Open,125,W,FALL,3:50,Keanan Bottorf,40295,Lock Haven,Steven Simpson,39905,Old Dominion
2016,12/12,Cleveland State Open,125,L,DEC,9 - 2,Justin Patrick,39587,Buffalo,Steven Simpson,39905,Old Dominion
2016,12/12,Cleveland State Open,125,L,DEC,5 - 4,Mitch Rogaliner,12203,Michigan State,Steven Simpson,39905,Old Dominion
2016,11/22,Wolfpack Open,125,W,FALL,4:50,Charles Kearney,40372,The Citadel,Steven Simpson,39905,Old Dominion
2016,11/22,Wolfpack Open,125,W,FALL,5:33,Ryan Burns,45113,VA/Southeast Regional Training,Steven Simpson,39905,Old Dominion
2016,11/22,Wolfpack Open,125,L,DEC,5 - 3,Thayer Atkins,19857,Duke,Steven Simpson,39905,Old Dominion
2016,11/22,Wolfpack Open,125,W,FALL,0:51,Cody Minnick,39943,Chattanooga,Steven Simpson,39905,Old Dominion
2016,11/22,Wolfpack Open,125,L,FALL,1:03,Cortez Starkes,12194,Gardner-Webb,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,MD,15 - 3,Sam Holandez,20745,Bloomsburg,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,FALL,1:41,Derek Gulotta,40294,Lock Haven,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,L,DEC,9 - 4,Justin Patrick,39587,Buffalo,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,FALL,2:00,Michael Russo,19704,Brown,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,L,DEC,6 - 4,Tanner Shoap,12205,Drexel,Steven Simpson,39905,Old Dominion
2016,11/15,East Stroudsburg Open,125,W,TF5,20 - 4 7:00,Conner Ziegler,43075,Army West Point,Steven Simpson,39905,Old Dominion
2016,11/08,Hokie Open,125,L,DEC,11 - 8,Tyrone Klump,20115,North Carolina,Steven Simpson,39905,Old Dominion
2016,11/08,Hokie Open,125,L,TF5,16 - 0 7:00,Cody Karstetter,40326,North Carolina,Steven Simpson,39905,Old Dominion
2016,11/08,Hokie Open,125,W,FALL,2:25,Vince Pallone,19817,Columbia,Steven Simpson,39905,Old Dominion
2016,11/01,Clarion Open,125,W,DEC,7 - 0,Terrel Grant,41298,Unattached,Steven Simpson,39905,Old Dominion
2016,11/01,Clarion Open,125,L,MD,14 - 5,Nick Herrmann,12144,Virginia,Steven Simpson,39905,Old Dominion
2016,11/01,Clarion Open,125,W,MD,11 - 0,Roshaun Cooley,39552,Clarion,Steven Simpson,39905,Old Dominion
2016,11/01,Clarion Open,125,W,FALL,2:16,Arick Shankles,40004,Edinboro,Steven Simpson,39905,Old Dominion
2016,11/01,Clarion Open,125,L,DEC,12 - 10,Sam Holandez,20745,Bloomsburg,Steven Simpson,39905,Old Dominion
2016,01/17,Northern Iowa - Old Dominion Dual,133,L,DEC,2 - 0,Josh Alber,20208,Northern Iowa,Emilio Saavedra,20285,Old Dominion
2016,01/09,Old Dominion - Kent State Dual,133,L,DEC,4 - 2,Mack McGuire,12004,Kent State,Emilio Saavedra,20285,Old Dominion
2016,01/08,Rider - Old Dominion Dual,133,W,DEC,5 - 3,Robert Deutsch,12122,Rider,Emilio Saavedra,20285,Old Dominion
2016,01/08,Arizona State - Old Dominion Dual,133,W,DEC,10 - 4,Mikel Perales,20576,Arizona State,Emilio Saavedra,20285,Old Dominion
2016,01/08,Campbell - Old Dominion Dual,133,L,MD,13 - 5,Nathan Kraisser,20783,Campbell,Emilio Saavedra,20285,Old Dominion
2016,12/29,Midlands Championships,133,W,DEC,5 - 4,Eric Montoya,13414,Nebraska,Emilio Saavedra,20285,Old Dominion
2016,12/29,Midlands Championships,133,W,SV-2,4 - 2,Josh Alber,20208,Northern Iowa,Emilio Saavedra,20285,Old Dominion
2016,12/29,Midlands Championships,133,W,SV-1,4 - 2,Mason Beckman,12016,Lehigh,Emilio Saavedra,20285,Old Dominion
2016,12/29,Midlands Championships,133,W,FALL,2:50,Scott Stevens,15131,Franklin & Marshall,Emilio Saavedra,20285,Old Dominion
2016,12/29,Midlands Championships,133,W,MFOR,0 - 0,Cory Clark,13249,Iowa,Emilio Saavedra,20285,Old Dominion
2016,12/17,Old Dominion - North Carolina State Dual,133,W,DEC,3 - 1,Jamal Morris,20136,NC State,Emilio Saavedra,20285,Old Dominion
2016,12/13,North Carolina - Old Dominion Dual,133,W,FALL,1:56,Anthony Bosco,20110,North Carolina,Emilio Saavedra,20285,Old Dominion
2016,11/21,Old Dominion - Cal Poly Dual,133,W,MD,12 - 1,Jason DelaCruz,19736,Cal Poly,Emilio Saavedra,20285,Old Dominion
2016,11/21,Old Dominion - San Francisco State Dual,133,W,DEC,7 - 6,Jordan Gurrola,22354,San Francisco State,Emilio Saavedra,20285,Old Dominion
2016,11/15,Old Dominion - Virginia Dual,133,L,DEC,8 - 2,George DiCamillo,20426,Virginia,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,3 - 2,Nick Casella,39708,Maryland,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,7 - 6,Austin Harry,22478,Army West Point,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,L,DEC,4 - 1,Nahshon Garrett,12070,Cornell,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,14 - 10,Ryan Pomrinca,39667,Lehigh,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,L,MFOR,0 - 0,Zach Valley,19712,Bucknell,Emilio Saavedra,20285,Old Dominion
2016,11/08,Jonathan Kaloust Bearcat Open,133,W,DEC,7 - 2,Matt Noble,39945,Bloomsburg,Emilio Saavedra,20285,Old Dominion
2016,03/05,National Collegiate Open,141,L,DEC,9 - 4,Uzo Owuama,22154,Grand Canyon,Michael Hayes,15134,Old Dominion
2016,02/14,American - Old Dominion Dual,141,L,DEC,8 - 3,Tyler Scotton,11938,American,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,TF5,19 - 2 3:59,Kenneth Braddock,18014,The Citadel,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,TF5,18 - 2 3:59,Kenneth Braddock,18014,The Citadel,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,3 - 2,Tyler Ziegler,13787,Gardner-Webb,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,FALL,0:59,James Giaccia,40310,American,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,DEC,13 - 7,Brandon Leynaud,42790,Duke,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,TF5,16 - 1 3:00,Philip Anderson,22000,Gardner-Webb,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,MD,10 - 2,Jordan Simpson,22021,Newberry,Michael Hayes,15134,Old Dominion
2016,11/22,Wolfpack Open,133,W,MD,12 - 1,Drew Walker,12118,Campbell,Michael Hayes,15134,Old Dominion
2016,03/05,National Collegiate Open,133,L,FALL,2:56,Cody Karstetter,40326,North Carolina,Brandon James,39673,Old Dominion
2016,01/16,Shorty Hitchcock Classic,141,L,DEC,10 - 4,DJ Fehlman,39898,Lock Haven,Brandon James,39673,Old Dominion
2016,12/12,Cleveland State Open,133,W,DEC,8 - 6,David Bavery,21022,Notre Dame,Brandon James,39673,Old Dominion
2016,12/12,Cleveland State Open,133,W,TF5,17 - 2 4:15,Joel Shump,12023,Ohio,Brandon James,39673,Old Dominion
2016,12/12,Cleveland State Open,133,W,FALL,0:50,Lewis Williams,40291,Lock Haven,Brandon James,39673,Old Dominion
2016,12/12,Cleveland State Open,133,L,DEC,5 - 4,Ben Lamantia,39644,Michigan,Brandon James,39673,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,8 - 3,Esteban Gomez-Rivera,18134,American,Brandon James,39673,Old Dominion
2016,11/22,Wolfpack Open,133,W,DEC,8 - 1,Jaquan Loney,40176,Old Dominion,Brandon James,39673,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,7 - 4,Nick Lankford,22002,Newberry,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,W,MD,8 - 0,Matt Noble,39945,Bloomsburg,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,W,FALL,1:05,Vincent Vespa,41322,United States Military Academy,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,W,DEC,5 - 2,Mike Russo,42009,Spartan Combat RTC,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,W,DEC,8 - 1,Lewis Williams,40291,Lock Haven,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,L,DEC,5 - 3,Ryan Pomrinca,39667,Lehigh,Brandon James,39673,Old Dominion
2016,11/15,East Stroudsburg Open,133,L,FALL,5:56,Ezekiel Salvo,22497,Brown,Brandon James,39673,Old Dominion
2016,11/08,Hokie Open,133,W,DEC,6 - 0,Sonny Simonetti,39909,North Carolina,Brandon James,39673,Old Dominion
2016,11/08,Hokie Open,133,L,FALL,1:56,Xaviel Ramos,11838,Duke,Brandon James,39673,Old Dominion
2016,11/08,Hokie Open,133,L,DEC,8 - 3,Kevin Norstrem,11999,Virginia Tech,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,MFOR,0 - 0,Jacob Goodwin,22009,Notre Dame,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,FALL,4:22,Scott Lopez,41310,Wheeling,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,L,DEC,8 - 3,Jacob Goodwin,22009,Notre Dame,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,DEC,5 - 2,Ben Ross,20331,Pittsburgh,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,TF5,18 - 3 7:00,Tony Recco,40442,Edinboro,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,MD,11 - 0,Mike Kostandaras,19803,Cleveland State,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,MD,11 - 1,Mike Kostandaras,19803,Cleveland State,Brandon James,39673,Old Dominion
2016,11/01,Clarion Open,133,W,MD,14 - 0,Lewis Williams,40291,Lock Haven,Brandon James,39673,Old Dominion
2016,02/21,Central Michigan - Old Dominion Dual,133,L,FALL,0:58,Corey Keener,12111,Central Michigan,Josh Markham,25207,Old Dominion
2016,02/19,Northern Illinois - Old Dominion Dual,133,L,MD,15 - 4,Austin Eicher,20200,Northern Illinois,Josh Markham,25207,Old Dominion
2016,02/14,American - Old Dominion Dual,133,W,DEC,12 - 5,James Giaccia,40310,American,Josh Markham,25207,Old Dominion
2016,02/14,Eastern Michigan - Old Dominion Dual,133,L,DEC,7 - 2,Shayne Wireman,12103,Eastern Michigan,Josh Markham,25207,Old Dominion
2016,02/07,Old Dominion - Ohio Dual,133,L,TF5,16 - 0 4:20,Cameron Kelly,39687,Ohio,Josh Markham,25207,Old Dominion
2016,02/05,Navy - Old Dominion Dual,133,L,TF5,17 - 2 6:54,Zack Davis,20604,Navy,Josh Markham,25207,Old Dominion
2016,01/31,Old Dominion - Missouri Dual,133,L,DEC,3 - 0,Zach Synon,12142,Missouri,Josh Markham,25207,Old Dominion
2016,12/12,Cleveland State Open,133,W,MD,14 - 3,Stephen Corasaniti,24631,Shorter,Josh Markham,25207,Old Dominion
2016,12/12,Cleveland State Open,133,L,DEC,6 - 3,Tyler Ziegler,13787,Gardner-Webb,Josh Markham,25207,Old Dominion
2016,12/12,Cleveland State Open,133,L,DEC,7 - 2,Salvatore Profaci,39825,Michigan,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,W,TF5,18 - 2 6:03,Kenneth Braddock,18014,The Citadel,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,W,MD,9 - 0,James Giaccia,40310,American,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,8 - 4,Xaviel Ramos,11838,Duke,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,W,TF5,19 - 2 6:03,Kenneth Braddock,18014,The Citadel,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,W,MD,16 - 3,Alex Rinaldi,20120,North Carolina,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,W,FALL,0:01,Cole Manion,42791,Campbellsville,Josh Markham,25207,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,7 - 5,Drew Walker,12118,Campbell,Josh Markham,25207,Old Dominion
2016,11/08,Hokie Open,133,L,FALL,2:39,AC Headlee,39627,North Carolina,Josh Markham,25207,Old Dominion
2016,11/08,Hokie Open,133,L,FALL,3:00,Brandon Leynaud,42790,Duke,Josh Markham,25207,Old Dominion
2016,11/01,Clarion Open,133,W,FALL,6:57,Vincent Vespa,41322,United States Military Academy,Josh Markham,25207,Old Dominion
2016,11/01,Clarion Open,133,L,DEC,2 - 1,Korbin Myers,39637,Edinboro,Josh Markham,25207,Old Dominion
2016,11/01,Clarion Open,133,L,TF5,20 - 4 7:00,Robert Rehm,21101,Lock Haven,Josh Markham,25207,Old Dominion
2016,03/05,National Collegiate Open,133,L,DEC,11 - 6,Sonny Simonetti,39909,North Carolina,Jaquan Loney,40176,Old Dominion
2016,01/16,Shorty Hitchcock Classic,133,L,TF5,18 - 2 7:00,Mason Beckman,12016,Lehigh,Jaquan Loney,40176,Old Dominion
2016,11/22,Wolfpack Open,133,L,MD,13 - 4,Philip Anderson,22000,Gardner-Webb,Jaquan Loney,40176,Old Dominion
2016,11/22,Wolfpack Open,133,L,DEC,8 - 1,Brandon James,39673,Old Dominion,Jaquan Loney,40176,Old Dominion
2016,11/15,East Stroudsburg Open,133,W,FALL,0:30,Mario Castellanos,42155,Middlesex Community College,Jaquan Loney,40176,Old Dominion
2016,11/15,East Stroudsburg Open,133,L,DEC,10 - 9,Zach Ulerick,22529,Kutztown,Jaquan Loney,40176,Old Dominion
2016,11/15,East Stroudsburg Open,133,L,DEC,4 - 3,Dan Martoccio,19891,Franklin & Marshall,Jaquan Loney,40176,Old Dominion
2016,11/08,Hokie Open,133,L,MD,19 - 8,Drew Walker,12118,Campbell,Jaquan Loney,40176,Old Dominion
2016,11/08,Hokie Open,133,L,DEC,8 - 4,Alex Rinaldi,20120,North Carolina,Jaquan Loney,40176,Old Dominion
2016,11/01,Clarion Open,133,L,MD,9 - 1,Michael Bartolo,40462,Clarion,Jaquan Loney,40176,Old Dominion
2016,11/01,Clarion Open,133,W,DEC,7 - 6,Tony Recco,40442,Edinboro,Jaquan Loney,40176,Old Dominion
2016,11/01,Clarion Open,133,L,DEC,9 - 3,Korbin Myers,39637,Edinboro,Jaquan Loney,40176,Old Dominion
2016,03/17,NCAA Championships,141,W,DEC,5 - 3,Solomon Chishko,20440,Virginia Tech,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,L,DEC,3 - 1,Joseph McKenna,24215,Stanford,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,L,DEC,5 - 4,Anthony Ashnault,11803,Rutgers,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,W,DEC,6 - 0,Jimmy Gulibon,13371,Penn State,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,W,SV-1,4 - 2,Joey Ward,11615,North Carolina,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,W,FALL,1:35,Anthony Abidin,11584,Nebraska,Chris Mecate,11835,Old Dominion
2016,03/17,NCAA Championships,141,W,DEC,5 - 0,Michael Longo,19624,Appalachian State,Chris Mecate,11835,Old Dominion
2016,03/05,MAC Championships,141,W,MFOR,0 - 0,Matt Manley,13384,Missouri,Chris Mecate,11835,Old Dominion
2016,03/05,MAC Championships,141,W,DEC,8 - 5,Steve Bleise,20195,Northern Illinois,Chris Mecate,11835,Old Dominion
2016,03/05,MAC Championships,141,W,DEC,4 - 1,Kyle Springer,37484,Eastern Michigan,Chris Mecate,11835,Old Dominion
2016,02/21,Central Michigan - Old Dominion Dual,141,W,SV-1,3 - 1,Zach Horan,11624,Central Michigan,Chris Mecate,11835,Old Dominion
2016,02/19,Northern Illinois - Old Dominion Dual,141,W,DEC,2 - 0,Steve Bleise,20195,Northern Illinois,Chris Mecate,11835,Old Dominion
2016,02/14,Eastern Michigan - Old Dominion Dual,141,L,DEC,11 - 4,Kyle Springer,37484,Eastern Michigan,Chris Mecate,11835,Old Dominion
2016,02/07,Old Dominion - Ohio Dual,141,W,DEC,3 - 1,Noah Forrider,11648,Ohio,Chris Mecate,11835,Old Dominion
2016,02/05,Navy - Old Dominion Dual,141,W,DEC,3 - 1,Nicholas Gil,40255,Navy,Chris Mecate,11835,Old Dominion
2016,01/31,Old Dominion - Missouri Dual,141,L,DEC,4 - 1,Matt Manley,13384,Missouri,Chris Mecate,11835,Old Dominion
2016,01/24,Old Dominion - Kent State Dual,141,W,SV-1,3 - 1,Anthony Tutolo,19968,Kent State,Chris Mecate,11835,Old Dominion
2016,01/22,Old Dominion - Buffalo Dual,141,W,DEC,7 - 1,Brandon Lapi,19724,Buffalo,Chris Mecate,11835,Old Dominion
2016,01/17,Northern Iowa - Old Dominion Dual,141,L,DEC,5 - 3,Trevor Jauch,22449,Northern Iowa,Chris Mecate,11835,Old Dominion
2016,01/09,Old Dominion - Kent State Dual,141,W,DEC,2 - 1,Anthony Tutolo,19968,Kent State,Chris Mecate,11835,Old Dominion
2016,01/08,Rider - Old Dominion Dual,141,W,MD,8 - 0,Paul Kirchner,11780,Rider,Chris Mecate,11835,Old Dominion
2016,01/08,Arizona State - Old Dominion Dual,141,W,DEC,3 - 2,Robert Mathers,40849,Arizona State,Chris Mecate,11835,Old Dominion
2016,01/08,Campbell - Old Dominion Dual,141,W,DEC,7 - 3,Luke Stewart,20788,Campbell,Chris Mecate,11835,Old Dominion
2016,12/29,Midlands Championships,141,L,DEC,4 - 3,Anthony Ashnault,11803,Rutgers,Chris Mecate,11835,Old Dominion
2016,12/29,Midlands Championships,141,W,DEC,4 - 3,Seth Gross,19949,South Dakota State,Chris Mecate,11835,Old Dominion
2016,12/29,Midlands Championships,141,W,DEC,10 - 5,Gabriel Grahek,11661,Wisconsin,Chris Mecate,11835,Old Dominion
2016,12/29,Midlands Championships,141,L,DEC,3 - 2,Ronnie Perry,12058,Lock Haven,Chris Mecate,11835,Old Dominion
2016,12/29,Midlands Championships,141,L,DEC,3 - 1,Richard Durso,11960,Franklin & Marshall,Chris Mecate,11835,Old Dominion
